0:0:0 | [CMD] HastasyzBaba(16) => /sarkilar
1:10:13 | Freezer3543(9): Aga simdi farkettim her yeri ezberlemisim.Bir dahaki rehber alýmlarýnda ben de varým :D
1:10:19 | [LOCAL]sezzer(8): gelmedi knk
1:10:19 | [CMD] sezzer(8) => /l gelmedi knk
1:10:26 | [LOCAL]tavsanpaladin55(12): tm
1:10:26 | [CMD] tavsanpaladin55(12) => /l tm
1:10:31 | [LOCAL]sezzer(8): ne yazmýþtýn
1:10:31 | [CMD] sezzer(8) => /l ne yazmýþtýn
1:10:49 | [LOCAL]tavsanpaladin55(12): önemli deðil kýnýk
1:10:49 | [CMD] tavsanpaladin55(12) => /l önemli deðil kýnýk
1:10:55 | [LOCAL]sezzer(8): lan söle
1:10:55 | [CMD] sezzer(8) => /l lan söle
1:10:57 | [LOCAL]tavsanpaladin55(12): birazdan tp hack diye atýlýrsam þaþma aq
1:10:57 | [CMD] tavsanpaladin55(12) => /l birazdan tp hack diye atýlýrsam þaþma aq
1:10:58 | Freezer3543(9): Lucifer
1:11:5 | [LOCAL]sezzer(8): neden la
1:11:5 | [CMD] sezzer(8) => /l neden la
1:11:6 | Freezer3543(9): Reis gel sadlerle gezek :D
1:11:9 | [LOCAL]tavsanpaladin55(12): warning vehicle 162 was not deleted fln diyor
1:11:9 | [CMD] tavsanpaladin55(12) => /l warning vehicle 162 was not deleted fln diyor
1:11:11 | [CMD] Freezer3543(9) => /araba
1:11:17 | [LOCAL]sezzer(8): wtf
1:11:17 | [CMD] sezzer(8) => /l wtf
1:11:21 | [CMD] Freezer3543(9) => /kemer
1:11:22 | [CMD] Freezer3543(9) => /modifiye
1:11:33 | [LOCAL]tavsanpaladin55(12): suan uçan bi týrýn üstünde oturuyorum
1:11:33 | [CMD] tavsanpaladin55(12) => /l suan uçan bi týrýn üstünde oturuyorum
1:11:36 | [LOCAL]tavsanpaladin55(12): herþey olabilir
1:11:36 | [CMD] tavsanpaladin55(12) => /l herþey olabilir
1:11:42 | [CMD] Freezer3543(9) => /pm 13 Lag mý var la kimse yazmýyo :D
1:11:43 | [LOCAL]tavsanpaladin55(12): atakan desen assagýda gidiyor
1:11:43 | [CMD] tavsanpaladin55(12) => /l atakan desen assagýda gidiyor
1:11:46 | CcCAtakan1907(13): .
1:11:50 | Freezer3543(9): He tm
1:11:51 | [LOCAL]tavsanpaladin55(12): alis harikalar diyarý aq
1:11:51 | [CMD] tavsanpaladin55(12) => /l alis harikalar diyarý aq
1:11:54 | Freezer3543(9): Eyw
1:11:55 | [LOCAL]sezzer(8): senin pc sikilmiþ
1:11:55 | [CMD] sezzer(8) => /l senin pc sikilmiþ
1:11:59 | CcCAtakan1907(13): ö.d
1:12:9 | [LOCAL]tavsanpaladin55(12): birþey bulamayýnca knk ne yapayým
1:12:9 | [CMD] tavsanpaladin55(12) => /l birþey bulamayýnca knk ne yapayým
1:12:11 | sezzer(8): arkadaþ ne þarkýymýþw
1:12:14 | sezzer(8): bi çalmadý
1:12:18 | Freezer3543(9): Dj yok :D
1:12:21 | [LOCAL]tavsanpaladin55(12): ben kaçayým knk
1:12:21 | [CMD] tavsanpaladin55(12) => /l ben kaçayým knk
1:12:28 | [CMD] tavsanpaladin55(12) => /hayatziplamasi
1:12:30 | [CMD] tavsanpaladin55(12) => /hayatziplamasi
1:12:31 | [LOCAL]sezzer(8): tememe knk
1:12:31 | [CMD] sezzer(8) => /l tememe knk
1:12:32 | [CMD] tavsanpaladin55(12) => /hayatziplamasi
1:12:35 | [CMD] tavsanpaladin55(12) => /animkapat
1:12:43 | [CMD] tavsanpaladin55(12) => /rescue
1:12:50 | [LOCAL]tavsanpaladin55(12): gidemiyom lan
1:12:50 | [CMD] tavsanpaladin55(12) => /l gidemiyom lan
1:13:0 | [CMD] tavsanpaladin55(12) => /rescue
1:13:2 | [CMD] tavsanpaladin55(12) => /animkapat
1:13:16 | VIPTRUCKS(6) oyuna girdi [IP: 92.45.79.244]
1:13:18 | CagatayBro(7) oyuna girdi [IP: 178.233.46.143]
1:13:18 | [CMD] tavsanpaladin55(12) => /animkapat
1:13:21 | tavsanpaladin55(12) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
1:13:27 | 
1:13:27 | 
1:13:30 | 
1:13:32 | {FFCC00}CagatayBro(7) {FFFFFF}Kamyoncu olarak spawn oldu.
1:13:35 | VIPTRUCKS(6): sezer gerçekten kb bro
1:13:37 | [CMD] CagatayBro(7) => /sa
1:13:41 | VIPTRUCKS(6): mavi ekran verdi pc
1:13:42 | [CMD] VIPTRUCKS(6) => /as
1:13:42 | [CMD] CagatayBro(7) => /araba
1:13:43 | [CMD] VIPTRUCKS(6) => /sac
1:13:43 | sezzer(8): sorun yok knk
1:13:47 | CcCAtakan1907(13): git
1:13:49 | [CMD] CagatayBro(7) => /ehliyetyeir
1:13:49 | sezzer(8): olur öle
1:13:51 | CcCAtakan1907(13): pls
1:13:51 | VIPTRUCKS(6): bida istek atsanýza
1:13:52 | Freezer3543(9): Saldýrý degilw
1:13:53 | [CMD] CagatayBro(7) => /ehliyetyeir
1:13:55 | tavsanpaladin55(11) oyuna girdi [IP: 85.100.48.58]
1:13:56 | [CMD] CagatayBro(7) => /ehliyetyeri
1:13:57 | [ANTIHACK] Þüpheli CagatayBro(7) => Airbreak-hack
1:13:59 | [CMD] sezzer(8) => /isteksarki 1558
1:14:9 | [CMD] CagatayBro(7) => /araba
1:14:13 | sezzer(8): konvoyuz zaten
1:14:16 | sezzer(8): saldýramaz
1:14:38 | [CMD] sezzer(8) => /sac
1:14:43 | sezzer(8): bu þarký atakan a gelsin
1:14:47 | Freezer3543(9): :d
1:14:48 | VIPTRUCKS(6): lagg
1:14:48 | CcCAtakan1907(13): owww
1:14:53 | sezzer(8): sac yap
1:14:58 | [CMD] CagatayBro(7) => /galeri
1:15:5 | CcCAtakan1907(13): yok la mahalle bizim eve gelir
1:15:9 | CcCAtakan1907(13): kýsýkta dinliyom :D
1:15:12 | VIPTRUCKS(6): st/asay Forum adresimiz www.trucksamp.com/forum
1:15:15 | [CMD] VIPTRUCKS(6) => /asay Forum adresimiz www.trucksamp.com/forum
1:15:16 | tavsanpaladin55(11) 60 saniye içinde giriþ yapmadýðý için tekmelendi
1:15:16 | tavsanpaladin55(11) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
1:15:22 | [CMD] CagatayBro(7) => /galeir
1:15:23 | VIPTRUCKS(6): sezer tekrardan k.b knka gecikti
1:15:25 | [CMD] CagatayBro(7) => /galeri
1:15:26 | VIPTRUCKS(6): pc eski
1:15:30 | sezzer(8): tmm dinle de istersen kýsýk dinle
1:15:33 | VIPTRUCKS(6): 2002 iþlemcisi var
1:15:36 | CcCAtakan1907(13): dinliyom
1:15:37 | sezzer(8): sorun yok knk olur öle :D
1:15:38 | [CMD] Freezer3543(9) => /pm 6 Gizli Aþk aga adý 1401
1:15:39 | CcCAtakan1907(13): knk
1:15:42 | sezzer(8): he
1:15:46 | [CMD] VIPTRUCKS(6) => /pm 9 istekþarký at knka karýþýyor
1:15:47 | Freezer3543(9): La benimki 90 model
1:15:54 | [CMD] Freezer3543(9) => /isteksarki 1401
1:15:56 | [CMD] VIPTRUCKS(6) => /asay Ýstek þarkýnýz sýraya alýnmýþtýr. 
1:16:8 | [LOCAL]sezzer(8): slm
1:16:8 | [CMD] sezzer(8) => /l slm
1:16:9 | VIPTRUCKS(6): kargocu varmý ortak
1:16:12 | [LOCAL]Freezer3543(9): as
1:16:12 | [CMD] Freezer3543(9) => /l as
1:16:20 | VIPTRUCKS(6): bu saate aktifim bi a1 i hakediyom :D
1:16:23 | [CMD] VIPTRUCKS(6) => /work
1:16:28 | Freezer3543(9): Biz neyiz
1:16:31 | CcCAtakan1907(13): biz neyiz
1:16:36 | CcCAtakan1907(13): aa
1:16:40 | CcCAtakan1907(13): ayný yazdýk la
1:16:41 | VIPTRUCKS(6): sütten çýkmýþ ak kaþýk
1:16:44 | Freezer3543(9): :D
1:16:48 | VIPTRUCKS(6): :D
1:16:59 | tavsanpaladin55(11) oyuna girdi [IP: 85.100.48.58]
1:17:1 | VIPTRUCKS(6): rehberi özledim ama dj hojdýr
1:17:1 | [CMD] Freezer3543(9) => /tamir
1:17:8 | VIPTRUCKS(6): sarýyor
1:17:13 | Freezer3543(9): Aga ben rehberlik ederim ha her yeri ezberlemisim :D
1:17:13 | 
1:17:20 | [CMD] CcCAtakan1907(13) => /sirket
1:17:25 | VIPTRUCKS(6): baþvur bidakine
1:17:30 | Freezer3543(9): Aynen oyle yapcam
1:17:34 | [CMD] CcCAtakan1907(13) => /c vaay 1m kasmýþým
1:17:36 | [CMD] VIPTRUCKS(6) => /pm 13 knka
1:17:36 | [CMD] CcCAtakan1907(13) => /sirket
1:17:42 | [CMD] VIPTRUCKS(6) => /pm 13 arkamdan konuþtularmý hiç
1:17:44 | [CMD] sezzer(8) => /c devam mý
1:17:46 | [CMD] sezzer(8) => /sirket
1:17:47 | [CMD] CcCAtakan1907(13) => /pm 6 yoo
1:17:52 | [CMD] VIPTRUCKS(6) => /pm 13 doðruyu söle be
1:18:1 | [CMD] CcCAtakan1907(13) => /c son kez daha knk snra gezek istersen
1:18:5 | tavsanpaladin55(11) Balikci olarak spawn oldu.
1:18:5 | [CMD] CcCAtakan1907(13) => /work
1:18:9 | [CMD] sezzer(8) => /c farketmez knk
1:18:19 | VIPTRUCKS(6): beni vurup yerde býrakmaa
1:18:19 | [CMD] CcCAtakan1907(13) => /asiriyuk
1:18:20 | [CMD] tavsanpaladin55(11) => /rescue
1:18:21 | [CMD] CcCAtakan1907(13) => /asiriyuk
1:18:25 | sezzer(8): :(
1:18:26 | Freezer3543(9): Konvoy size escort arac olýyým mý :D
1:18:38 | [CMD] tavsanpaladin55(11) => /araba
1:18:44 | [CMD] tavsanpaladin55(11) => /modifiye
1:18:47 | sezzer(8): katlanamýyorum hiçbir yokluðunaa
1:18:48 | CcCAtakan1907(13): 10 yýldýz var
1:18:52 | VIPTRUCKS(6): atakan
1:18:54 | Freezer3543(9): Dur
1:18:54 | CcCAtakan1907(13): efm
1:18:55 | VIPTRUCKS(6): bekle sen benimsin
1:18:57 | [CMD] VIPTRUCKS(6) => /meslek
1:18:59 | [CMD] Freezer3543(9) => /meslek
1:19:0 | {FFCC00}VIPTRUCKS(6) {FFFFFF}Polis olarak spawn oldu.
1:19:5 | CcCAtakan1907(13): gel hemen :D
1:19:7 | [CMD] Freezer3543(9) => /meslek
1:19:8 | VIPTRUCKS(6): nerdesin
1:19:9 | {FFCC00}Freezer3543(9) {FFFFFF}Polis olarak spawn oldu.
1:19:12 | CcCAtakan1907(13): sölemem
1:19:14 | [CMD] Freezer3543(9) => /rescue
1:19:26 | [CMD] Freezer3543(9) => /kemer
1:19:27 | VIPTRUCKS(6): söle olm iþte
1:19:32 | Freezer3543(9): Ben biliyorum :D
1:19:36 | [CMD] Freezer3543(9) => /pm 6 Lv gel
1:19:41 | [CMD] VIPTRUCKS(6) => /rescue
1:19:46 | CcCAtakan1907(13): bilen bilir.
1:19:49 | [CMD] Freezer3543(9) => /pm 6 Harbour
1:19:51 | CcCAtakan1907(13): :D
1:19:52 | [CMD] VIPTRUCKS(6) => /asay Ýstek þarkýnýz çalýnýyor.Ýyi oyunlar dileriz...
1:19:57 | CcCAtakan1907(13): üh
1:20:3 | CcCAtakan1907(13): ula güldüm :D
1:20:5 | CcCAtakan1907(13): sezer
1:20:7 | CcCAtakan1907(13): :D
1:20:8 | CcCAtakan1907(13): knk
1:20:13 | [CMD] tavsanpaladin55(11) => /galeri
1:20:19 | CcCAtakan1907(13): nabtýn öle
1:20:25 | sezzer(8): dorse çýktý asjdghagsd
1:20:26 | [CMD] Freezer3543(9) => /tamir
1:20:31 | CcCAtakan1907(13): tak la hemen
1:20:45 | CcCAtakan1907(13): freezer þanslý :D
1:20:48 | [CMD] sezzer(8) => /tamir
1:20:49 | Freezer3543(9): :D
1:20:56 | Freezer3543(9): Mafya devam :D
1:21:0 | [CMD] Freezer3543(9) => /meslek
1:21:1 | CcCAtakan1907(13): tak hadi
1:21:2 | Freezer3543(9) Mafya olarak spawn oldu.
1:21:2 | CcCAtakan1907(13): knk
1:21:5 | VIPTRUCKS(6): gusül þart
1:21:6 | [CMD] Freezer3543(9) => /sac
1:21:8 | sezzer(8): taktým çoktan
1:21:22 | VIPTRUCKS(6): beyler 510 u istek atsanýza
1:21:35 | [CMD] CcCAtakan1907(13) => /isteksarki 510
1:21:35 | Freezer3543(9): Ben afk beyler
1:21:37 | [CMD] VIPTRUCKS(6) => /asay Ýstek þarkýnýz sýraya alýnmýþtýr. 
1:21:44 | [CMD] Freezer3543(9) => /afk
1:21:51 | VIPTRUCKS(6): yük çalcam jsjs
1:21:54 | [CMD] VIPTRUCKS(6) => /meslek
1:21:56 | Freezer3543(9): qweqwepqweö
1:22:0 | VIPTRUCKS(6) Mafya olarak spawn oldu.
1:22:1 | CcCAtakan1907(13): kanka gene dorseyi tren uçurdu D:sa
1:22:2 | CcCAtakan1907(13): :D
1:22:7 | Freezer3543(9): salkdmkasldmasl gg
1:22:9 | sezzer(8): nasý kurtrdýn asjdghasd
1:22:18 | CcCAtakan1907(13): dorsenin ucuna deðdi bu sefer :D
1:22:18 | VIPTRUCKS(6): atakan
1:22:19 | [ANTIHACK] Þüpheli VIPTRUCKS(6) => Airbreak-hack
1:22:21 | CcCAtakan1907(13): efm
1:22:22 | VIPTRUCKS(6): sen aþýrý yüklümüsün knk
1:22:25 | CcCAtakan1907(13): ev
1:22:27 | CcCAtakan1907(13): evt
1:22:28 | sezzer(8): konvoyuz knk
1:22:34 | CcCAtakan1907(13): aynen konvoy
1:22:35 | VIPTRUCKS(6): of be
1:22:37 | VIPTRUCKS(6): :t
1:22:38 | CcCAtakan1907(13): :D
1:22:41 | VIPTRUCKS(6) oyundan cIktI (Hata/Crash) (IP: 92.45.79.244)
1:22:52 | [CMD] CcCAtakan1907(13) => /Tamir
1:23:12 | [CMD] tavsanpaladin55(11) => /galeri
1:23:19 | VIPTRUCKS(6) oyuna girdi [IP: 92.45.79.244]
1:23:30 | 
1:23:41 | 
1:23:45 | VIPTRUCKS(6): þarký bittimi
1:24:1 | [CMD] VIPTRUCKS(6) => /sorusor hýzlý exp nasýl kasýlýr ?
1:24:5 | [CMD] CcCAtakan1907(13) => /sorular
1:24:5 | [CMD] tavsanpaladin55(11) => /rescue
1:24:14 | VIPTRUCKS(6): þarký bittimi
1:24:14 | [CMD] CcCAtakan1907(13) => /sorukabul 6
1:24:17 | [CMD] tavsanpaladin55(11) => /araba
1:24:28 | [CMD] VIPTRUCKS(6) => /ypm cevap pls rebber bey
1:24:32 | [CMD] CcCAtakan1907(13) => /ypm Pilotta LV1-VERDANT Arasý Yaparak
1:24:38 | [CMD] VIPTRUCKS(6) => /ypm kaç exp
1:24:40 | sezzer(8): ben ne biliyim yaandex miyim
1:24:46 | VIPTRUCKS(6): :D
1:24:48 | [CMD] CcCAtakan1907(13) => /ypm 5 tabiiki ama kýsa mesafe
1:24:54 | [CMD] VIPTRUCKS(6) => /ypm þarký bittimi knk
1:25:0 | [CMD] VIPTRUCKS(6) => /ypm bide ehliyet istiyomu
1:25:2 | [CMD] CcCAtakan1907(13) => /ypm bilmiyorum
1:25:17 | [CMD] VIPTRUCKS(6) => /asay Ýstek þarký olmadýðý için rastgele açýlmýþtýr. 
1:25:18 | [CMD] CcCAtakan1907(13) => /ypm baþja sorun var mý
1:25:24 | [CMD] VIPTRUCKS(6) => /ypm yok knka saol
1:25:27 | [CMD] CcCAtakan1907(13) => /ybitir
1:25:32 | CcCAtakan1907(13): iyi oyunlar..
1:25:34 | VIPTRUCKS(6): orta seviye ev 2.5m alýnýrmý
1:25:45 | [CMD] CcCAtakan1907(13) => /asay Yolunu Bulamayan, Yardýma Ýhtiyacý Olan ? 
1:25:46 | [CMD] CcCAtakan1907(13) => /asay Sorularýnýzý /sorusor Komutu Ýle Bizlere Sorabilirsiniz. 
1:25:47 | [CMD] CcCAtakan1907(13) => /asay Yeni Gelen Oyuncularýmýz /kurallar Yazýp Okuyup Kabul Ederek 30 K Para Ve 5 Skor Kazanabilirsiniz. 
1:25:49 | VIPTRUCKS(6): tavsan gel gezek .D
1:26:3 | tavsanpaladin55(11): sebebi neydi ki
1:26:7 | sezzer(8): knk þunu suriyeye götür de kurtulak
1:26:14 | VIPTRUCKS(6): tavsan
1:26:19 | tavsanpaladin55(11): eyð
1:26:20 | VIPTRUCKS(6): acsana bisikleti
1:26:27 | [CMD] tavsanpaladin55(11) => /araba
1:26:39 | sezzer(8): bugün bisikletini açan yarýn ...
1:26:39 | [ANTIHACK] Þüpheli VIPTRUCKS(6) => Airbreak-hack
1:26:45 | VIPTRUCKS(6) oyundan cIktI (Hata/Crash) (IP: 92.45.79.244)
1:26:48 | VIPTRUCKS(6) oyuna girdi [IP: 92.45.79.244]
1:26:55 | tavsanpaladin55(11): ya kuduruver gari
1:27:1 | VIPTRUCKS(6) oyundan cIktI (Hata/Crash) (IP: 92.45.79.244)
1:27:2 | sezzer(8): kes lan mahalle karýsý
1:27:3 | tavsanpaladin55(11): adam bisikletime binince
1:27:5 | tavsanpaladin55(11): crash yedi la
1:27:9 | sezzer(8): ajsghdjgahsd
1:27:16 | tavsanpaladin55(11): gývv
1:27:17 | VIPTRUCKS(6) oyuna girdi [IP: 92.45.79.244]
1:27:22 | sezzer(8): gýv gýv gýv
1:27:51 | VIPTRUCKS(6) oyundan cIktI (Hata/Crash) (IP: 92.45.79.244)
1:27:57 | [CMD] tavsanpaladin55(11) => /ARABA
1:28:9 | [CMD] CagatayBro(7) => /rentcar
1:28:38 | [CMD] CagatayBro(7) => /rentcar
1:28:45 | [CMD] CagatayBro(7) => /rentcar
1:29:3 | tavsanpaladin55(11): ey bug geng yolo hol gang shit you noð se
1:29:5 | [CMD] CagatayBro(7) => /rentcar
1:29:12 | [CMD] CagatayBro(7) => /rentcar
1:29:20 | [CMD] CagatayBro(7) => /rentcar
1:29:24 | tavsanpaladin55(11): Olum 3 kere crash yedi VIP
1:29:27 | [CMD] CagatayBro(7) => /rentcar
1:29:31 | [CMD] CagatayBro(7) => /rentcar
1:29:33 | sezzer(8): 3 crash 1 penaltý
1:29:40 | [CMD] CagatayBro(7) => /rentcar
1:29:43 | [CMD] CagatayBro(7) => /rentcar
1:29:49 | [CMD] CagatayBro(7) => /rentcar
1:29:55 | [CMD] CagatayBro(7) => /rentcar
1:30:2 | [CMD] CagatayBro(7) => /rentcar
1:30:4 | [CMD] CcCAtakan1907(13) => /c gezek knk
1:30:11 | [CMD] sezzer(8) => /sirket
1:30:12 | [CMD] CcCAtakan1907(13) => /convoyayril
1:30:13 | [CMD] CagatayBro(7) => /rentcar
1:30:16 | [CMD] sezzer(8) => /c knk
1:30:17 | [CMD] CagatayBro(7) => /rentcar
1:30:21 | [CMD] CcCAtakan1907(13) => /sirket
1:30:23 | [CMD] CagatayBro(7) => /rentcar
1:30:23 | [CMD] sezzer(8) => /c dönüþü de yapalým mý 3 m olcak
1:30:29 | [CMD] CagatayBro(7) => /rentcar
1:30:38 | [CMD] sezzer(8) => /c son kez dönüp bitirelim
1:30:42 | [CMD] CcCAtakan1907(13) => /pcc
1:30:44 | sezzer(8): ato
1:30:47 | CcCAtakan1907(13): efm
1:30:48 | [CMD] CagatayBro(7) => /rentcar
1:30:50 | sezzer(8): son kez dönüp bitirek mi la
1:30:51 | [CMD] CagatayBro(7) => /rentcar
1:30:53 | sezzer(8): 3 ö olcak katký
1:30:54 | CcCAtakan1907(13): tm
1:30:55 | [CMD] CagatayBro(7) => /rentcar
1:31:2 | [CMD] CcCAtakan1907(13) => /convoy
1:31:2 | sezzer(8): gir knk
1:31:3 | [CMD] CagatayBro(7) => /rentcar
1:31:7 | [CMD] sezzer(8) => /work
1:31:19 | [CMD] CagatayBro(7) => /rentcar
1:31:23 | [CMD] CagatayBro(7) => /rentcar
1:31:28 | [CMD] CagatayBro(7) => /rentcar
1:31:32 | [CMD] CagatayBro(7) => /rentcar
1:31:35 | [CMD] CagatayBro(7) => /rentcar
1:31:38 | CcCAtakan1907(13): içecek biþi olsa hep yaparýmda içecek biþi yk
1:31:47 | sezzer(8): ne alaka lan asjdghjhagsd
1:31:56 | CcCAtakan1907(13): uykum gelmiyo içince
1:31:56 | [CMD] CagatayBro(7) => /rentcar
1:31:56 | VIPTRUCKS(6) oyuna girdi [IP: 92.45.79.244]
1:32:1 | [CMD] CagatayBro(7) => /rentcar
1:32:2 | sezzer(8): su iç knk
1:32:6 | [CMD] CagatayBro(7) => /rentcar
1:32:9 | CcCAtakan1907(13): doru la
1:32:11 | [CMD] CagatayBro(7) => /rentcar
1:32:17 | sezzer(8): bunu da mý ben sölim
1:32:25 | 
1:32:26 | [CMD] CagatayBro(7) => /rentcar
1:32:37 | CcCAtakan1907(13): evt
1:32:37 | {FFCC00}VIPTRUCKS(6) {FFFFFF}Pilot olarak spawn oldu.
1:32:44 | VIPTRUCKS(6): atakan kýsa yol neydi
1:32:44 | sezzer(8): hoppalaaa glu glu glu glu
1:32:48 | [CMD] CagatayBro(7) => /galeri
1:32:49 | sezzer(8): pilot mu
1:32:51 | tavsanpaladin55(11): lv verdant
1:32:52 | VIPTRUCKS(6): evt
1:32:56 | sezzer(8): lv verdant
1:32:58 | VIPTRUCKS(6): ehliyet lazm dimi
1:33:0 | CcCAtakan1907(13): lv verdant
1:33:1 | sezzer(8): aynn
1:33:1 | CcCAtakan1907(13): aynen
1:33:9 | [CMD] VIPTRUCKS(6) => /meslek
1:33:11 | VIPTRUCKS(6) Mafya olarak spawn oldu.
1:33:25 | VIPTRUCKS(6): istek atýn :D
1:33:28 | [CMD] VIPTRUCKS(6) => /dtemizle
1:33:33 | [CMD] VIPTRUCKS(6) => /work
1:33:36 | [CMD] sezzer(8) => /isteksarki 139
1:33:38 | [CMD] CagatayBro(7) => /sac
1:33:39 | [CMD] VIPTRUCKS(6) => /asay Ýstek þarkýnýz sýraya alýnmýþtýr. 
1:33:41 | [CMD] CagatayBro(7) => /isteksarki 20
1:33:45 | [CMD] VIPTRUCKS(6) => /asay Ýstek þarkýnýz sýraya alýnmýþtýr. 
1:33:48 | [CMD] CagatayBro(7) => /rentcar
1:33:56 | [CMD] VIPTRUCKS(6) => /asay Ýstek þarkýnýz çalýnýyor.Ýyi oyunlar dileriz...
1:34:0 | sezzer(8): atakan bizim þarký knk
1:34:1 | [CMD] sezzer(8) => /sac
1:34:2 | [CMD] tavsanpaladin55(11) => /sac
1:34:4 | [CMD] VIPTRUCKS(6) => /sac
1:34:5 | [CMD] CagatayBro(7) => /rentcar
1:34:5 | CcCAtakan1907(13): aynen sagopaa
1:34:9 | [CMD] CagatayBro(7) => /rentcar
1:34:13 | [CMD] CagatayBro(7) => /rentcar
1:34:15 | sezzer(8): muamma
1:34:24 | [CMD] CagatayBro(7) => /rentcar
1:34:27 | [CMD] VIPTRUCKS(6) => /goreviptal
1:34:30 | [CMD] VIPTRUCKS(6) => /asay Ýstek þarkýnýz sýraya alýnmýþtýr. 
1:34:30 | [CMD] tavsanpaladin55(11) => /isteksarki 350
1:34:32 | [CMD] CagatayBro(7) => /rentcar
1:34:32 | [CMD] VIPTRUCKS(6) => /asay Ýstek þarkýnýz sýraya alýnmýþtýr. 
1:34:40 | [CMD] CagatayBro(7) => /rentcar
1:34:43 | tavsanpaladin55(11): En iyi þarký benim
1:34:45 | [CMD] VIPTRUCKS(6) => /asay Ýstek Þarký Listesi : 20-350
1:34:46 | CcCAtakan1907(13): ben bunla sertlik kanýnda var hayatýný seviyom
1:34:47 | [CMD] CagatayBro(7) => /rentcar
1:34:49 | sezzer(8): ne istedin
1:34:49 | [CMD] VIPTRUCKS(6) => /work
1:34:53 | tavsanpaladin55(11): görürsün :D
1:34:55 | Jacop(12) oyuna girdi [IP: 88.254.194.176]
1:34:56 | [CMD] VIPTRUCKS(6) => /goreviptal
1:34:57 | [CMD] VIPTRUCKS(6) => /work
1:34:57 | [CMD] CagatayBro(7) => /galer
1:34:59 | sezzer(8): bakalým :D
1:34:59 | [CMD] CagatayBro(7) => /galeri
1:34:59 | [CMD] VIPTRUCKS(6) => /goreviptal
1:35:0 | [CMD] VIPTRUCKS(6) => /work
1:35:3 | [CMD] VIPTRUCKS(6) => /goreviptal
1:35:5 | [CMD] VIPTRUCKS(6) => /work
1:35:7 | [CMD] VIPTRUCKS(6) => /goreviptal
1:35:8 | [CMD] VIPTRUCKS(6) => /work
1:35:10 | [CMD] VIPTRUCKS(6) => /goreviptal
1:35:11 | [CMD] VIPTRUCKS(6) => /work
1:35:11 | [CMD] Freezer3543(9) => /geldim
1:35:13 | [CMD] VIPTRUCKS(6) => /stats
1:35:13 | sezzer(8): ahmak ýslatan da güzel ato
1:35:15 | [CMD] Freezer3543(9) => /sa
1:35:16 | Jacop(12) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
1:35:20 | [CMD] VIPTRUCKS(6) => /sorusor mafya kaç baþarýmdý
1:35:21 | [CMD] sezzer(8) => /as
1:35:21 | CcCAtakan1907(13): dinlerm knk
1:35:22 | [CMD] VIPTRUCKS(6) => /as
1:35:25 | [CMD] CcCAtakan1907(13) => /sorular
1:35:27 | [CMD] VIPTRUCKS(6) => /goreviptal
1:35:31 | [CMD] VIPTRUCKS(6) => /work
1:35:32 | [CMD] CcCAtakan1907(13) => /sorukabul 6
1:35:34 | sezzer(8): serverde var
1:35:34 | [CMD] VIPTRUCKS(6) => /goreviptal
1:35:35 | [CMD] VIPTRUCKS(6) => /work
1:35:36 | [CMD] CcCAtakan1907(13) => /ypm 10 galiba
1:35:36 | sezzer(8): ýd 138 
1:35:38 | [CMD] VIPTRUCKS(6) => /goreviptal
1:35:40 | [CMD] VIPTRUCKS(6) => /goreviptal
1:35:42 | [CMD] VIPTRUCKS(6) => /goreviptal
1:35:45 | CcCAtakan1907(13): eyv knk
1:35:47 | VIPTRUCKS(6): lag
1:35:49 | [CMD] VIPTRUCKS(6) => /work
1:35:52 | [CMD] VIPTRUCKS(6) => /goreviptal
1:35:53 | [CMD] VIPTRUCKS(6) => /work
1:35:54 | [CMD] CcCAtakan1907(13) => /ypm aþka sorun var mu
1:35:58 | tavsanpaladin55(11): sagodan sevdiðim sw de olan Ateþten Gömlek - Baytar var
1:35:58 | [CMD] CagatayBro(7) => /rentcar
1:35:59 | [CMD] VIPTRUCKS(6) => /ypm yok knk eyw
1:36:2 | [CMD] CagatayBro(7) => /rentcar
1:36:4 | [CMD] CcCAtakan1907(13) => /ybitir
1:36:8 | CcCAtakan1907(13): iyi oyunlar..
1:36:13 | [CMD] VIPTRUCKS(6) => /asay Forum adresimiz www.trucksamp.com/forum
1:36:14 | sezzer(8): baytar ý sevmeyeni dövüyolar
1:36:20 | VIPTRUCKS(6): baytar kim .d
1:36:24 | tavsanpaladin55(11): babannem
1:36:28 | VIPTRUCKS(6): m
1:36:30 | sezzer(8): dedennem
1:36:34 | VIPTRUCKS(6): maðaradaydým
1:36:35 | [CMD] CagatayBro(7) => /tamir
1:36:37 | tavsanpaladin55(11): gýv gýv gýv gýv
1:36:39 | Reader(12) oyuna girdi [IP: 88.254.194.176]
1:36:40 | CcCAtakan1907(13): amcannem
1:36:46 | sezzer(8): amcanne ajsdhhasfdhga
1:36:52 | [CMD] Lucifer(10) => /sac
1:36:53 | [CMD] CagatayBro(7) => /modifiye
1:37:0 | [CMD] VIPTRUCKS(6) => /asay Ýstek þarký listesi : 20-350
1:37:1 | [CMD] CagatayBro(7) => /modifiye
1:37:2 | Reader(12) Yol Iscisi olarak spawn oldu.
1:37:22 | [CMD] CagatayBro(7) => /tamir
