0:0:1 | nik0tin(9): kenidiniz bulmanýz grekiyor 
3:34:14 | [CMD] huso608(8) => /respawn 682
3:34:14 | [CMD] sezzer(7) => /araba
3:34:20 | tavsanpaladin55(6): bak simd
3:34:22 | tavsanpaladin55(6): izle
3:34:22 | [CMD] huso608(8) => /respawn 688
3:34:25 | tavsanpaladin55(6): eeeððh
3:34:26 | sezzer(7): ee
3:34:29 | tavsanpaladin55(6): gitti la
3:34:29 | sezzer(7): adghkaghsd
3:34:31 | tavsanpaladin55(6): A:SD:A
3:34:36 | tavsanpaladin55(6): peki benden degilmis
3:34:42 | tavsanpaladin55(6): araban buglu oglim
3:34:46 | [CMD] sezzer(7) => /otur
3:34:48 | [CMD] huso608(8) => /respawn 682
3:34:52 | sezzer(7): hepsi mi buglý olým
3:35:4 | tavsanpaladin55(6): hay
3:35:10 | tavsanpaladin55(6): qwE:WQE:
3:35:12 | [CMD] huso608(8) => /respawn 682
3:35:25 | sezzer(7): lan kasanýn fanýndan aptal bi ses geliyo
3:35:34 | tavsanpaladin55(6): kedidir kedi
3:35:36 | [CMD] sezzer(7) => /animkapat
3:35:39 | tavsanpaladin55(6): oyy
3:35:45 | tavsanpaladin55(6): sultan süleyman ahmeet
3:35:51 | sezzer(7): kafamý sikti ama
3:35:52 | sezzer(7): dur
3:36:7 | tavsanpaladin55(6): Kasa ýsýnýnca falan
3:36:9 | tavsanpaladin55(6): yapýyomu
3:37:5 | tavsanpaladin55(6): üff
3:37:11 | tavsanpaladin55(6):  O çizdim
3:37:12 | sezzer(7): kulaðýmý sikeyim
3:37:18 | sezzer(7): kasadan gelmiyomuþ
3:37:33 | sezzer(7): araba sesiymiþ malýn biri çalýþtýrdý bekliyo evin önünde
3:38:4 | [CMD] sezzer(7) => /otur
3:38:20 | sezzer(7): üstad bu yeni teknik mi
3:38:30 | tavsanpaladin55(6): zamaný yavaþlatýp sürmek mi
3:38:31 | tavsanpaladin55(6): evet
3:38:46 | tavsanpaladin55(6): ne sizofren adamým ya
3:39:10 | tavsanpaladin55(6): postaa
3:39:13 | tavsanpaladin55(6): qwewq
3:39:27 | tavsanpaladin55(6): laa
3:39:32 | sezzer(7): heeey sen elmacý mýsýn
3:39:40 | tavsanpaladin55(6): lann
3:39:42 | sezzer(7): evet çok güzel elmalarým var merhabaaa
3:39:48 | [CMD] huso608(8) => /respawn 682
3:39:53 | sezzer(7): ooo güneþ tutuluyo o yüzden ýþýklar yoook
3:39:54 | tavsanpaladin55(6): pamuk prenses 
3:39:59 | tavsanpaladin55(6): aaa en sevdiigiim
3:40:0 | sezzer(7): neyseee
3:40:1 | [CMD] huso608(8) => /respawn 481
3:40:7 | sezzer(7): bana 700 tane elma lütfen
3:40:15 | sezzer(7): bilmiyon mu lan onu
3:40:19 | tavsanpaladin55(6): bilmem mi lan
3:40:24 | tavsanpaladin55(6): pamuk prenses degilmi iþte
3:40:28 | tavsanpaladin55(6): elma veriyor 
3:40:29 | sezzer(7): yok devenin amý
3:40:29 | tavsanpaladin55(6): fln
3:40:47 | sezzer(7): atarým knk linkini çok saçma ama komik bi video
3:40:48 | tavsanpaladin55(6): oðsadspadsakdpükamaülmdðawmdwad
3:41:11 | tavsanpaladin55(6): lan
3:41:13 | sezzer(7): nöbet mi geçiriyosun
3:41:16 | [CMD] huso608(8) => /asay2 . 
3:41:18 | [CMD] huso608(8) => /asay2 . 
3:41:19 | [CMD] huso608(8) => /asay2 . 
3:41:20 | [CMD] huso608(8) => /asay2 . 
3:41:21 | [CMD] huso608(8) => /asay2 . 
3:41:22 | [CMD] huso608(8) => /asay2 . 
3:41:24 | [CMD] huso608(8) => /asay2 . 
3:41:38 | tavsanpaladin55(6): abooooow
3:41:42 | tavsanpaladin55(6): lan manyak yapdým aq
3:42:9 | tavsanpaladin55(6): Q:WE:Q pesimden kosturuyor
3:42:12 | sezzer(7): asjkdjhgasd
3:42:17 | sezzer(7): napýyým lan
3:42:18 | tavsanpaladin55(6): yazýýk
3:42:20 | tavsanpaladin55(6): bmx in yokmuu
3:42:22 | tavsanpaladin55(6): kýyamam
3:42:26 | sezzer(7): yok abi
3:42:26 | tavsanpaladin55(6): al hadi
3:42:27 | [CMD] tavsanpaladin55(6) => /araba
3:42:34 | sezzer(7): neyse lan
3:42:40 | sezzer(7): artýk geceleri giriceme göre
3:42:43 | sezzer(7): mesa yý satam
3:42:46 | sezzer(7): bmx alam
3:42:50 | tavsanpaladin55(6): he ya
3:42:53 | [CMD] sezzer(7) => /araba
3:42:54 | tavsanpaladin55(6): eskiden mesamý varmýs
3:42:56 | tavsanpaladin55(6): aq
3:42:59 | [ARAC] sezzer(7), 290 ID'li Mesa model araci 18000000$'a satin aldi.
3:43:2 | tavsanpaladin55(6): mesa diyince
3:43:4 | tavsanpaladin55(6): aklýma half life dan
3:43:7 | tavsanpaladin55(6): black mesa geldi
3:43:15 | sezzer(7): hadi galeriye götür beni aþkýmm
3:43:17 | [CMD] sezzer(7) => /otur
3:43:26 | tavsanpaladin55(6): cok iyi sürerim
3:43:30 | sezzer(7): þþ karýþma bende
3:43:33 | tavsanpaladin55(6): qw:EQ
3:43:41 | [CMD] sezzer(7) => /otur
3:43:55 | sezzer(7): ya bu gavat hala bekliyo camýn önünde
3:44:3 | sezzer(7): sikicem evveliyatýný gitmiyo lan bu
3:44:3 | tavsanpaladin55(6): olm o 
3:44:33 | tavsanpaladin55(6): senin internet ipni bulup ev adresini ele geçirdi ve arabayý motoru açýk þekilde býrakdý senin apartmanýnda
3:44:38 | tavsanpaladin55(6): senin dikkatini daðýtmak amacý
3:44:40 | sezzer(7): kimse de görünmüyo araba kendiliðinden çalýþmýþ oalamaz dimi
3:44:43 | tavsanpaladin55(6): sen cama gittiðinde o evine giricek
3:44:48 | tavsanpaladin55(6): arkandan gelip
3:44:52 | tavsanpaladin55(6): jumpscare yapýcak
3:45:0 | [CMD] sezzer(7) => /galeri
3:45:4 | [ARAC] sezzer(7), 290 ID'li @Mountain Bike model araci 1000000$'a satin aldi.
3:45:10 | [CMD] sezzer(7) => /araba
3:45:25 | tavsanpaladin55(6): aileye
3:45:25 | sezzer(7): oh bee bmx bee
3:45:28 | tavsanpaladin55(6): hoþgeldin evlaat
3:45:29 | [CMD] huso608(8) => /respawn 683
3:45:37 | tavsanpaladin55(6): benim bmx koyu yeþil la
3:45:42 | tavsanpaladin55(6): hep böyle geliyo
3:45:54 | [CMD] huso608(8) => /musait
3:46:6 | [CMD] huso608(8) => /cantazele
3:46:7 | [CMD] huso608(8) => /asay Arac Res Geliyor!!! 
3:46:9 | [CMD] huso608(8) => /asay Arac Res Geliyor!!! 
3:46:12 | [CMD] huso608(8) => /asay Arac Res Geliyor!!! 
3:46:13 | [CMD] huso608(8) => /respawncars
3:46:24 | tavsanpaladin55(6): ooo
3:46:26 | tavsanpaladin55(6): biliyin iþinii
3:46:28 | tavsanpaladin55(6): biliyiiin
3:46:47 | tavsanpaladin55(6): aha
3:46:49 | tavsanpaladin55(6): açýlmýþ
3:46:50 | sezzer(7): valla baþým aðrýdý
3:46:51 | tavsanpaladin55(6): ya lan burasý
3:46:59 | tavsanpaladin55(6): kapalýydý deme
3:47:0 | tavsanpaladin55(6): burasý
3:47:21 | tavsanpaladin55(6): helal
3:48:7 | sezzer(7): þuana gidip bi bakcam
3:48:9 | sezzer(7): ne bu mk
3:48:11 | sezzer(7): gece gece
3:48:13 | tavsanpaladin55(6): git
3:48:16 | tavsanpaladin55(6): al anahtar
3:48:17 | tavsanpaladin55(6): çiz
3:48:57 | [CMD] huso608(8) => /specoff
3:48:57 | {FFCC00}huso608(8) {FFFFFF}Kamyoncu olarak spawn oldu.
3:49:7 | [CMD] huso608(8) => /rescue
3:49:39 | [CMD] huso608(8) => /sirketdorse
3:49:58 | [CMD] tavsanpaladin55(6) => /meslek
3:50:5 | {FFCC00}tavsanpaladin55(6) {FFFFFF}Polis olarak spawn oldu.
3:50:8 | [CMD] tavsanpaladin55(6) => /rescue
3:52:12 | [CMD] huso608(8) => /work
3:52:28 | [CMD] huso608(8) => /asiriyuk
3:52:44 | [CMD] tavsanpaladin55(6) => /araba
3:53:32 | [CMD] tavsanpaladin55(6) => /araba
3:54:5 | sezzer(7): geldim
3:54:9 | tavsanpaladin55(6): h.g
3:54:9 | sezzer(7): olm napýyon
3:54:10 | tavsanpaladin55(6): lann
3:54:10 | sezzer(7): jaghsjdgh
3:54:13 | tavsanpaladin55(6): olm nasýl cýkdýn
3:54:18 | sezzer(7): knk
3:54:21 | sezzer(7): araba da deðilmiþ
3:54:26 | tavsanpaladin55(6): ney knk
3:54:28 | sezzer(7): kapýya çýktým
3:54:29 | tavsanpaladin55(6): ufo fln mý
3:54:36 | sezzer(7): yan binada klima motoru gibi biþey var
3:54:40 | sezzer(7): o yapýyo amk
3:54:46 | tavsanpaladin55(6): klima mý
3:54:47 | sezzer(7): bi allahýn kulu da çýkýp bakmýyo
3:54:50 | sezzer(7): he lan
3:55:2 | tavsanpaladin55(6): daha yaz gelmedi ne klimasý
3:55:4 | tavsanpaladin55(6): daha 
3:55:14 | sezzer(7): þuan burda olsan kafan sikilir varya tar tar tar tar
3:55:17 | sezzer(7): 1 saattir
3:55:25 | tavsanpaladin55(6): camlarýna taþ at
3:55:28 | tavsanpaladin55(6): sosis ve salam
3:55:32 | tavsanpaladin55(6): polisden gaç
3:55:33 | [CMD] huso608(8) => /uyar 7 Uslubumuza Dikkat
3:55:34 | tavsanpaladin55(6): bugi bugi
3:55:45 | sezzer(7): hayret bunun için sancaðý çaðýrmadýn
3:56:14 | huso608(8): biz gereken kurallar icin yetki yonetimine bilgi veririz
3:56:23 | tavsanpaladin55(6): Tabi tabi
3:56:25 | [CMD] tavsanpaladin55(6) => /araba
3:56:26 | huso608(8): iciniz ferah olsun
3:56:27 | sezzer(7): öyle öyle
3:56:30 | sezzer(7): hmm
3:56:39 | tavsanpaladin55(6): satürn ünde diðer gezegenlere göre çekim kuvveti daha fazla
3:56:41 | tavsanpaladin55(6): biliyomsuun
3:57:37 | [CMD] tavsanpaladin55(6) => /dans 1
3:57:37 | sezzer(7): satürn
3:57:43 | sezzer(7): as sezer
3:57:49 | sezzer(7): anladýn mý
3:57:59 | tavsanpaladin55(6): sa tamamda türn 
3:58:2 | tavsanpaladin55(6): sezeri anlamadým
3:58:9 | sezzer(7): bende anlamadým knk boþver
3:58:16 | tavsanpaladin55(6): bak knk böyle yapýcaksýn
3:58:17 | sezzer(7): biz bilgilendiririz sen rahat ol
3:58:22 | sezzer(7): içini ferah tut
3:58:23 | tavsanpaladin55(6): böyle parlatanlara
3:58:24 | [CMD] sezzer(7) => /araba
3:58:29 | tavsanpaladin55(6): ense köküne
3:58:30 | tavsanpaladin55(6): bak bak
3:58:44 | tavsanpaladin55(6): yapmýyor lan
3:58:44 | [CMD] sezzer(7) => /dans 1
3:59:9 | sezzer(7): bu nasý bi dans
3:59:13 | [CMD] sezzer(7) => /dans 2
3:59:14 | [CMD] sezzer(7) => /dans 2
3:59:23 | [CMD] tavsanpaladin55(6) => /animkapat
3:59:26 | [CMD] sezzer(7) => /dans 3
3:59:37 | [CMD] sezzer(7) => /31
3:59:52 | tavsanpaladin55(6): bak bi bana
4:0:23 | [CMD] sezzer(7) => /animkapat
4:0:23 | tavsanpaladin55(6): oki
4:0:25 | [CMD] sezzer(7) => /animkapat
4:0:28 | tavsanpaladin55(6): labrýýnt qomeent
4:0:29 | sezzer(7): kapanmýyo lan
4:0:31 | [CMD] sezzer(7) => /dans 2
4:0:41 | tavsanpaladin55(6): laan
4:0:42 | tavsanpaladin55(6): naptýn
4:0:44 | sezzer(7): aksjdhkhasd
4:0:46 | tavsanpaladin55(6): a:SDA:DAD:A
4:0:48 | tavsanpaladin55(6): QE:QWEQW:EWWQ
4:0:50 | sezzer(7): asdghjaghsd
4:0:55 | sezzer(7): nasý oldu lan bu
4:0:59 | tavsanpaladin55(6): headdshot
4:1:14 | [CMD] tavsanpaladin55(6) => /saplakat
4:1:15 | [CMD] tavsanpaladin55(6) => /saplakat
4:1:20 | tavsanpaladin55(6): üff
4:1:22 | [CMD] sezzer(7) => /saplakat
4:1:23 | tavsanpaladin55(6): mala bak
4:1:30 | [CMD] sezzer(7) => /saplakat
4:1:31 | [KAMYONCU] huso608, Diver Island Farm'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 559113$, 1 Skor ve 5 EXP Sure: 402 Saniye
4:1:35 | [CMD] huso608(8) => /cleanupcars
4:1:36 | tavsanpaladin55(6): ayy sapýýýk
4:1:38 | [CMD] sezzer(7) => /saplakat
4:1:39 | [CMD] huso608(8) => /work
4:1:45 | [CMD] sezzer(7) => /saplakat
4:1:50 | sezzer(7): oyþh yumuþacýk
4:1:51 | tavsanpaladin55(6): merhaba kdeeþ
4:1:55 | [CMD] huso608(8) => /asiriyuk
4:2:13 | tavsanpaladin55(6): onu kovalayýn ve cezalandýrýn
4:2:15 | tavsanpaladin55(6): diyor
4:2:23 | tavsanpaladin55(6): þimdi bu yazýya göre hareket etsek
4:2:25 | tavsanpaladin55(6): ban yeriz
4:2:34 | sezzer(7): wowowow
4:2:35 | tavsanpaladin55(6): demi knk ?
4:2:42 | tavsanpaladin55(6): sonra user hatalý
4:2:46 | [CMD] tavsanpaladin55(6) => /araba
4:2:50 | [CMD] sezzer(7) => /araba
4:2:52 | tavsanpaladin55(6): hadi cezalandýralým
4:2:53 | tavsanpaladin55(6): knk
4:2:57 | tavsanpaladin55(6): a
4:3:0 | tavsanpaladin55(6): midillililer
4:3:2 | tavsanpaladin55(6): geliyor
4:3:10 | sezzer(7): hani lan
4:3:16 | sezzer(7): ashdgjhagsdajsdgh
4:3:19 | sezzer(7): olm
4:3:21 | sezzer(7): asdghjhagsdjghas
4:3:21 | tavsanpaladin55(6): lan benimki koyu yesildi
4:3:25 | sezzer(7): olm
4:3:28 | tavsanpaladin55(6): renk kodunu bozdun
4:3:28 | sezzer(7): ben bunu nasý yedim
4:3:29 | sezzer(7): jhgasdjghasd
4:3:38 | tavsanpaladin55(6): qweq
4:3:45 | tavsanpaladin55(6): A:SD:SAd
4:3:45 | sezzer(7): çýldýrýyorum asjkdghkjaghdjghasd
4:3:47 | [ANTIHACK] Þüpheli sezzer(7) => Airbreak-hack
4:3:49 | tavsanpaladin55(6): haný lan demis
4:3:51 | tavsanpaladin55(6): yeni farkettim
4:3:53 | tavsanpaladin55(6): .QWEWQ:EWQ:E
4:3:56 | tavsanpaladin55(6): .ASD:A
4:4:16 | tavsanpaladin55(6): gel knk
4:4:18 | tavsanpaladin55(6): cezalandýrak
4:4:34 | tavsanpaladin55(6): cezalandýrmak deyince aklýna ilk gelen þeyi söyle knk
4:4:53 | sezzer(7): pembe tüylü kelepçeyle yataða baðlayýp
4:5:1 | tavsanpaladin55(6): heh bunu bekliyordum
4:5:7 | [ANTIHACK] Þüpheli sezzer(7) => Airbreak-hack
4:5:10 | sezzer(7): lagg
4:5:14 | sezzer(7): haydaaa
4:5:16 | tavsanpaladin55(6): benim aklýma kýrbaç geliyo
4:5:32 | tavsanpaladin55(6): ya
4:5:34 | [CMD] huso608(8) => /fuel
4:5:34 | tavsanpaladin55(6): peder sal 2  dk ya
4:5:35 | [CMD] huso608(8) => /atamir
4:6:30 | [CMD] tavsanpaladin55(6) => /rescue
4:6:42 | sezzer(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
4:8:35 | [CMD] tavsanpaladin55(6) => /rescue
4:10:3 | [KAMYONCU] huso608, Longway Warehouse'den Harbour Island Warehouse'e Elektronik Esyalar tasidi. Kazanc: 539817$, 1 Skor ve 5 EXP Sure: 365 Saniye
4:10:28 | [CMD] huso608(8) => /work
4:10:45 | [CMD] huso608(8) => /asiriyuk
4:13:29 | tavsanpaladin55(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
4:14:49 | [CMD] huso608(8) => /sac
4:19:55 | [KAMYONCU] huso608, Harbour Island Warehouse'den Duzce AVM'e Degerli Esyalar tasidi. Kazanc: 368538$, 1 Skor ve 5 EXP Sure: 412 Saniye
4:22:14 | [CMD] huso608(8) => /dtemizle
4:22:16 | [CMD] huso608(8) => /work
4:22:33 | [CMD] huso608(8) => /asiriyuk
4:31:1 | [KAMYONCU] huso608, Duzce AVM'den Diver Island Farm'e Elektronik Esyalar tasidi. Kazanc: 424389$, 1 Skor ve 5 EXP Sure: 382 Saniye
4:31:49 | [CMD] huso608(8) => /respawncars
4:31:50 | [CMD] huso608(8) => /asay Arac Res Geliyor!!! 
4:31:51 | [CMD] huso608(8) => /asay Arac Res Geliyor!!! 
4:31:51 | [CMD] huso608(8) => /asay Arac Res Geliyor!!! 
4:31:52 | [CMD] huso608(8) => /respawncars
4:31:54 | [CMD] huso608(8) => /cantazele
4:32:0 | [CMD] huso608(8) => /cleanupcars
4:32:11 | Asi_Kaptan(6) oyuna girdi [IP: 78.185.3.84]
4:32:18 | [CMD] huso608(8) => /musait
4:33:38 | Asi_Kaptan(6) 60 saniye içinde giriþ yapmadýðý için tekmelendi
4:33:38 | Asi_Kaptan(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
4:34:13 | [CMD] huso608(8) => /meslek
4:34:17 | [CMD] huso608(8) => /karakol
4:34:24 | [CMD] huso608(8) => /cezaode
4:34:28 | [CMD] huso608(8) => /meslek
4:34:36 | huso608(8) Oduncu olarak spawn oldu.
4:34:40 | [CMD] huso608(8) => /sac
4:34:56 | [CMD] huso608(8) => /work
4:35:6 | [CMD] huso608(8) => /sirket
4:36:22 | Asi_Kaptan(6) oyuna girdi [IP: 78.185.3.84]
4:36:29 | 
4:36:32 | 
4:36:33 | [CMD] Asi_Kaptan(6) => /sa
4:38:20 | [CMD] huso608(8) => /work
4:40:33 | Asi_Kaptan(6): huso
4:41:2 | Asi_Kaptan(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
5:6:29 | [CMD] huso608(8) => /work
5:6:49 | [CMD] huso608(8) => /skapat
5:8:32 | [CMD] huso608(8) => /skapat
5:8:37 | [CMD] huso608(8) => /work
5:10:24 | [CMD] huso608(8) => /work
5:12:19 | [CMD] huso608(8) => /work
5:14:6 | [CMD] huso608(8) => /work
5:15:53 | [CMD] huso608(8) => /work
5:16:8 | Asi_Kaptan(6) oyuna girdi [IP: 78.185.3.84]
5:16:15 | 
5:16:19 | 
5:16:22 | [CMD] Asi_Kaptan(6) => /sa
5:16:24 | [CMD] Asi_Kaptan(6) => /gobus
5:16:35 | [CMD] Asi_Kaptan(6) => /admins
5:16:39 | [CMD] huso608(8) => /musait
5:16:44 | [CMD] huso608(8) => /as
5:16:50 | huso608(8): hosgeldin
5:16:53 | Asi_Kaptan(6): huso kargoculuk yapak mý ?
5:16:57 | [CMD] Asi_Kaptan(6) => /rescue
5:17:12 | Asi_Kaptan(6): hosbulduk
5:17:19 | huso608(8): sagolasýn reis islerim var daha teminde geþmisin
5:17:33 | huso608(8): kusuruma bakma cevap  veremedim
5:17:45 | [CMD] huso608(8) => /work
5:17:47 | Asi_Kaptan(6): tamam Kolay Gelsin Cýkýyorum Ben O Zaman
5:17:57 | huso608(8): sen bilirsin
5:18:6 | Asi_Kaptan(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
5:19:34 | [CMD] huso608(8) => /work
5:21:23 | [CMD] huso608(8) => /work
5:23:12 | [CMD] huso608(8) => /work
5:25:5 | [CMD] huso608(8) => /work
5:26:55 | [CMD] huso608(8) => /work
5:28:49 | [CMD] huso608(8) => /work
5:30:41 | [CMD] huso608(8) => /work
5:32:27 | [CMD] huso608(8) => /work
5:34:22 | [CMD] huso608(8) => /work
5:36:11 | [CMD] huso608(8) => /work
5:38:23 | [CMD] huso608(8) => /work
5:40:20 | [CMD] huso608(8) => /rescue
5:40:30 | [CMD] huso608(8) => /odunsat
5:40:49 | [CMD] huso608(8) => /work
5:42:44 | [CMD] huso608(8) => /work
5:44:32 | [CMD] huso608(8) => /work
5:46:18 | [CMD] huso608(8) => /work
5:48:8 | [CMD] huso608(8) => /work
5:48:50 | [CMD] huso608(8) => /sac
5:50:1 | [CMD] huso608(8) => /work
5:51:31 | [CMD] huso608(8) => /skapat
5:51:51 | [CMD] huso608(8) => /work
5:53:24 | [CMD] huso608(8) => /dtemizle
5:53:38 | [CMD] huso608(8) => /work
5:55:25 | [CMD] huso608(8) => /work
5:57:13 | [CMD] huso608(8) => /work
5:59:14 | [CMD] huso608(8) => /work
6:1:8 | [CMD] huso608(8) => /work
6:3:15 | [CMD] huso608(8) => /work
6:5:3 | [CMD] huso608(8) => /work
6:6:50 | [CMD] huso608(8) => /work
6:8:37 | [CMD] huso608(8) => /work
6:10:32 | [CMD] huso608(8) => /work
6:12:26 | [CMD] huso608(8) => /work
6:14:12 | [CMD] huso608(8) => /work
6:16:20 | [CMD] huso608(8) => /work
6:18:23 | [CMD] huso608(8) => /rescue
6:18:32 | [CMD] huso608(8) => /odunsat
6:18:48 | [CMD] huso608(8) => /work
6:20:44 | [CMD] huso608(8) => /work
6:24:1 | [CMD] huso608(8) => /work
6:25:47 | [CMD] huso608(8) => /work
6:27:34 | [CMD] huso608(8) => /work
6:29:23 | [CMD] huso608(8) => /work
6:31:12 | [CMD] huso608(8) => /work
6:33:2 | [CMD] huso608(8) => /work
6:34:48 | [CMD] huso608(8) => /work
6:36:35 | [CMD] huso608(8) => /work
6:38:24 | [CMD] huso608(8) => /work
6:40:11 | [CMD] huso608(8) => /work
6:41:58 | [CMD] huso608(8) => /work
6:43:44 | [CMD] huso608(8) => /work
6:45:32 | [CMD] huso608(8) => /work
6:47:19 | [CMD] huso608(8) => /rescue
6:47:32 | [CMD] huso608(8) => /odunsat
6:48:9 | [CMD] huso608(8) => /asay2 . 
6:48:11 | [CMD] huso608(8) => /asay2 . 
6:48:13 | [CMD] huso608(8) => /asay2 . 
6:48:16 | [CMD] huso608(8) => /asay2 . 
6:48:19 | [CMD] huso608(8) => /asay2 . 
6:48:21 | [CMD] huso608(8) => /asay2 . 
6:48:24 | [CMD] huso608(8) => /asay2 . 
6:48:32 | huso608(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
6:59:10 | [eN]Overlord(6) oyuna girdi [IP: 95.13.66.238]
6:59:33 | 
6:59:37 | {FFCC00}[eN]Overlord(6) {FFFFFF}Kamyoncu olarak spawn oldu.
7:26:54 | [eN]Overlord(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
7:58:27 | Sttder(6) oyuna girdi [IP: 78.170.54.102]
7:58:51 | 
7:59:53 | {FFCC00}Sttder(6) {FFFFFF}Pilot olarak spawn oldu.
8:0:2 | [CMD] Sttder(6) => /meslek
8:0:6 | [CMD] Sttder(6) => /karakol
8:0:14 | [CMD] Sttder(6) => /cezaode
8:0:16 | [CMD] Sttder(6) => /meslek
8:0:19 | Sttder(6) Balikci olarak spawn oldu.
8:1:38 | Sttder(6) oyundan cIktI (Hata/Crash) (IP: 78.170.54.102)
8:1:50 | Sttder(6) oyuna girdi [IP: 78.170.54.102]
8:2:1 | 
8:2:4 | Sttder(6) Balikci olarak spawn oldu.
8:3:10 | [CMD] Sttder(6) => /work
8:5:22 | [CMD] Sttder(6) => /work
8:7:1 | [CMD] Sttder(6) => /work
8:13:18 | [CMD] Sttder(6) => /work
8:15:14 | [CMD] Sttder(6) => /work
8:16:40 | [CMD] Sttder(6) => /work
8:18:44 | [CMD] Sttder(6) => /work
8:20:30 | [CMD] Sttder(6) => /work
8:22:44 | [CMD] Sttder(6) => /work
8:24:42 | [CMD] Sttder(6) => /work
8:26:24 | [CMD] Sttder(6) => /baliksat
8:26:51 | [CMD] Sttder(6) => /rescue
8:27:19 | [CMD] Sttder(6) => /rescue
8:28:5 | [CMD] Sttder(6) => /work
8:28:11 | [CMD] Sttder(6) => /work
8:28:41 | [CMD] Sttder(6) => /work
8:28:45 | [CMD] Sttder(6) => /rescue
8:28:49 | [CMD] Sttder(6) => /meslek
8:28:54 | {FFCC00}Sttder(6) {FFFFFF}Pilot olarak spawn oldu.
8:29:11 | [CMD] Sttder(6) => /work
8:30:28 | [eN]Overlord(7) oyuna girdi [IP: 95.13.66.238]
8:30:42 | 
8:30:45 | {FFCC00}[eN]Overlord(7) {FFFFFF}Polis olarak spawn oldu.
8:30:51 | [CMD] [eN]Overlord(7) => /Meslek
8:30:59 | {FFCC00}[eN]Overlord(7) {FFFFFF}Kamyoncu olarak spawn oldu.
8:31:3 | [CMD] [eN]Overlord(7) => /gobus
8:31:12 | [CMD] [eN]Overlord(7) => /icerigir
8:33:40 | [CMD] Sttder(6) => /ac
8:33:43 | [CMD] Sttder(6) => /yardim
8:34:16 | [CMD] Sttder(6) => /yardim
8:34:53 | [CMD] Sttder(6) => /yardim
8:35:9 | Asi_Kaptan(8) oyuna girdi [IP: 78.185.3.84]
8:35:16 | 
8:35:20 | 
8:35:30 | [CMD] Asi_Kaptan(8) => /kemer
8:35:37 | [CMD] Asi_Kaptan(8) => /sa
8:36:41 | [CMD] Sttder(6) => /work
8:36:55 | [CMD] [eN]Overlord(7) => /as
8:36:57 | [CMD] [eN]Overlord(7) => /afk
8:37:13 | [CMD] [eN]Overlord(7) => /stats
8:37:14 | Sttder(6): Aleyküm Selam
8:37:15 | [CMD] [eN]Overlord(7) => /stats
8:37:21 | [CMD] [eN]Overlord(7) => /geldim
8:37:42 | Asi_Kaptan(8): Neyse Ýyi Oyunlar Sizlere
8:37:45 | Asi_Kaptan(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
8:42:23 | [CMD] Sttder(6) => /work
8:50:12 | [CMD] Sttder(6) => /work
8:51:34 | Sttder(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
8:57:23 | eren1616(6) oyuna girdi [IP: 95.10.188.196]
8:57:56 | eren1616(6) oyundan cIktI (Hata/Crash) (IP: 95.10.188.196)
8:58:20 | Sttder(6) oyuna girdi [IP: 78.170.54.102]
8:58:30 | 
8:58:33 | {FFCC00}Sttder(6) {FFFFFF}Pilot olarak spawn oldu.
8:58:37 | [CMD] Sttder(6) => /rescue
8:58:44 | eren1616(8) oyuna girdi [IP: 95.10.188.196]
8:58:54 | 
8:59:0 | Sttder(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
8:59:12 | {FFCC00}eren1616(8) {FFFFFF}Kamyoncu olarak spawn oldu.
8:59:18 | [CMD] eren1616(8) => /admgiris
8:59:22 | [CMD] eren1616(8) => /sa
8:59:26 | [CMD] eren1616(8) => /gobus
8:59:39 | eren1616(8) oyundan cIktI (Hata/Crash) (IP: 95.10.188.196)
8:59:55 | eren1616(6) oyuna girdi [IP: 95.10.188.196]
9:0:4 | 
9:0:7 | {FFCC00}eren1616(6) {FFFFFF}Kamyoncu olarak spawn oldu.
9:0:12 | [CMD] eren1616(6) => /admgiris
9:0:15 | eren1616(6): la olm
9:0:24 | eren1616(6): niye crash yiyom ben /gobus yazýnca
9:0:27 | [CMD] eren1616(6) => /gobus
9:0:42 | eren1616(6) oyundan cIktI (Hata/Crash) (IP: 95.10.188.196)
9:23:5 | [A.s.i]KraL(6) oyuna girdi [IP: 78.185.69.216]
9:23:34 | 
9:23:37 | {FFCC00}[A.s.i]KraL(6) {FFFFFF}Polis olarak spawn oldu.
9:23:47 | [CMD] [A.s.i]KraL(6) => /modifiye
9:23:51 | [CMD] [A.s.i]KraL(6) => /modifiye
9:26:25 | eren1616(8) oyuna girdi [IP: 95.10.188.196]
9:26:41 | 
9:26:49 | [CMD] [A.s.i]KraL(6) => /cevir
9:26:49 | {FFCC00}eren1616(8) {FFFFFF}Kamyoncu olarak spawn oldu.
