0:0:3 | [CMD] Jodor(16) => /vtamir
10:27:8 | [CMD] buyukustadbitti(11) => /rentcar
10:27:10 | [CMD] testere151(7) => /uyar 8 caps off
10:27:14 | testere151(7): 81 
10:27:16 | OkanMutlu(8): kýrmýzý iþaret burada çýkýyor
10:27:24 | VIPTRUCKS(10): bende 148 yazýyor :D
10:27:25 | [CMD] VIPTRUCKS(10) => /asay /pcc komutu ile kendi chatýnýzý silebilirsiniz. 
10:27:29 | testere151(7): baþka yerdede çýkýyo
10:27:32 | OkanMutlu(8): görev tamamlandý diyor.
10:27:36 | [CMD] OkanMutlu(8) => /work
10:27:38 | [A.s.i]KraL(9): okan ordan dýsarý cýk ondan sonra gorev al duzeliyor
10:27:39 | testere151(7): haritaya iyi bakarsan görebilirsin
10:27:47 | OkanMutlu(8): Tamam.
10:27:51 | OkanMutlu(8): Saðolun
10:27:51 | [A.s.i]KraL(9): gorev noktasýndan dýsarý cýk ondan sonra gorev
10:27:52 | [CMD] buyukustadbitti(11) => /modifiye
10:27:55 | [CMD] OkanMutlu(8) => /work
10:27:55 | [CMD] VIPTRUCKS(10) => /asay Yeni gelen oyuncularýmýz /kurallar kabul ederek 30.000$ ve 5 skor kazanabilirler. 
10:28:9 | [CMD] VIPTRUCKS(10) => /tamir
10:28:10 | VIPTRUCKS(10): can res
10:28:16 | [CMD] testere151(7) => /cantazele
10:28:34 | [CMD] VIPTRUCKS(10) => /sirket
10:28:56 | [CMD] buyukustadbitti(11) => /adminler
10:29:8 | buyukustadbitti(11): arac res
10:29:18 | testere151(7): araç res geliyor!!
10:29:18 | [CMD] VIPTRUCKS(10) => /uyeal 8
10:29:19 | testere151(7): araç res geliyor!!
10:29:26 | [CMD] testere151(7) => /respawncars
10:29:29 | [SirketCHT] VIPTRUCKS(10): ! hg
10:29:32 | [CMD] OkanMutlu(8) => /sirket
10:29:49 | VIPTRUCKS(10): þirket chatýna yazmak için ! msj
10:29:49 | [CMD] OkanMutlu(8) => /sorusor þirket ten nasýl yazýyoruz
10:29:51 | [CMD] VIPTRUCKS(10) => /sorular
10:29:53 | [CMD] testere151(7) => /dtemizle
10:29:55 | [CMD] testere151(7) => /asay2 k 
10:29:56 | [CMD] VIPTRUCKS(10) => /sorukabul 8
10:30:0 | [CMD] VIPTRUCKS(10) => /ypm merhaba
10:30:9 | [CMD] OkanMutlu(8) => /ypm gördüm saðolun asýl chatte
10:30:9 | [CMD] VIPTRUCKS(10) => /ypm  ünlem boþluk yazacaðýnýz þey
10:30:12 | [CMD] VIPTRUCKS(10) => /ypm ! msj
10:30:13 | [SirketCHT] buyukustadbitti(11): !msj
10:30:17 | [SirketCHT] OkanMutlu(8): ! hg
10:30:21 | [SirketCHT] OkanMutlu(8): ! hb
10:30:42 | [A.s.i]KraL(9): testere
10:30:44 | [SirketCHT] VIPTRUCKS(10): ! þirkete para kasarak hem daha çok gelir elde edersiniz hem de maaþ günlerinde ek para alýrsýnýz.
10:30:46 | [CMD] buyukustadbitti(11) => /tamir
10:30:49 | testere151(7): ?
10:31:2 | [A.s.i]KraL(9): gelsene
10:31:10 | [CMD] VIPTRUCKS(10) => /work
10:31:18 | [CMD] buyukustadbitti(11) => /cevir
10:31:19 | [CMD] OkanMutlu(8) => /work
10:31:21 | [SirketCHT] VIPTRUCKS(10): ! þirkete para kasmak için týrcý olmanýz gerekmektedir.
10:31:21 | [CMD] buyukustadbitti(11) => /tamir
10:31:23 | [CMD] OkanMutlu(8) => /goreviptal
10:31:28 | [CMD] VIPTRUCKS(10) => /asay Sizi rahatsýz eden & þikayetçi olduðunuz oyuncularý /sikayet <id> <sebep> komutu ile raporlayabilirsiniz. 
10:31:31 | [CMD] VIPTRUCKS(10) => /asay Ýstek þarkýlarýnýz için /isteksarki <id> komutunu kullanabilirsiniz.  
10:31:43 | [SirketCHT] OkanMutlu(8): ! maaþ günleri ne zamanlar
10:31:49 | [LOCAL]testere151(7): biþe lazým olursa çaðýrýrsýn kolay gelsin
10:31:49 | [CMD] testere151(7) => /l biþe lazým olursa çaðýrýrsýn kolay gelsin
10:31:55 | [SirketCHT] VIPTRUCKS(10): ! normalde pazarlarýda isteyene istediði gün verebiliyoruz.
10:32:1 | [LOCAL]OkanMutlu(8): tamam.
10:32:1 | [CMD] OkanMutlu(8) => /l tamam.
10:32:9 | [CMD] testere151(7) => /goto 9
10:32:21 | testere151(7): püð
10:32:24 | [SirketCHT] OkanMutlu(8): ! ne kadar oluyor para miktarý
10:32:33 | [A.s.i]KraL(9): gidiyoz la :D
10:32:38 | testere151(7): trenin içindeyim QW:E
10:32:38 | [SirketCHT] VIPTRUCKS(10): ! kastýðýnýz kadar para alýrsýnýz
10:32:43 | [A.s.i]KraL(9): bende :D
10:32:50 | [SirketCHT] OkanMutlu(8): ! tamam.
10:32:53 | [CMD] testere151(7) => /goto 9
10:32:56 | [CMD] OkanMutlu(8) => /kill
10:32:56 | [SirketCHT] VIPTRUCKS(10): ! örneðin 1 milyon kastýnýz þirkette size ayrýca 1m para verir
10:33:0 | [CMD] OkanMutlu(8) => /meslek
10:33:3 | [SirketCHT] VIPTRUCKS(10): ! yani 2m kazanmýþ olursunuz
10:33:13 | {FFCC00}OkanMutlu(8) {FFFFFF}Kamyoncu olarak spawn oldu.
10:33:14 | [A.s.i]KraL(9): düþtüm
10:33:15 | [A.s.i]KraL(9): :D
10:33:18 | [SirketCHT] OkanMutlu(8): ! anladým
10:33:18 | testere151(7): qe
10:33:35 | [SirketCHT] OkanMutlu(8): ! ne kadar kastýðým gözükücek dimi sizde yani
10:33:42 | [SirketCHT] VIPTRUCKS(10): ! /basarimlar daki görevlerden size uygun olanlarý yaparak 100 skor kazanabilirsiniz
10:33:48 | [CMD] OkanMutlu(8) => /basarimlar
10:33:53 | [SirketCHT] VIPTRUCKS(10): ! kendinizde bakabilirsiniz
10:33:54 | [CMD] VIPTRUCKS(10) => /sirket
10:34:0 | [CMD] buyukustadbitti(11) => /tamir
10:34:1 | [CMD] [A.s.i]KraL(9) => /basarimlar
10:34:5 | [SirketCHT] VIPTRUCKS(10): ! /sirket --> þirket üyeleri
10:34:13 | [SirketCHT] OkanMutlu(8): ! yöneticiye soru sor var nasýl olucak
10:34:13 | [CMD] [A.s.i]KraL(9) => /basarimlar
10:34:16 | [CMD] OkanMutlu(8) => /basarimlar
10:34:17 | {FFCC00}testere151(7) {FFFFFF}Kamyoncu olarak spawn oldu.
10:34:18 | testere151(7): püð öldüm
10:34:21 | [SirketCHT] VIPTRUCKS(10): ! /sorusor
10:34:29 | [CMD] VIPTRUCKS(10) => /ybitir
10:34:37 | [CMD] [A.s.i]KraL(9) => /sorusor nasýlsýn
10:34:38 | buyukustadbitti(11) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
10:34:40 | [CMD] VIPTRUCKS(10) => /sorular
10:34:43 | [CMD] [A.s.i]KraL(9) => /basarimlar
10:34:46 | [CMD] VIPTRUCKS(10) => /gsoru 9
10:34:57 | [CMD] VIPTRUCKS(10) => /rapor 9 gereksiz sorusor
10:35:1 | [SirketCHT] OkanMutlu(8): ! geldi 
10:35:6 | [CMD] OkanMutlu(8) => /basarimlar
10:35:12 | [CMD] testere151(7) => /r ne yazmýþ
10:35:17 | [CMD] VIPTRUCKS(10) => /r nasýlsýn yazmýþ
10:35:23 | [CMD] OkanMutlu(8) => /sorusor lottodan ödül al görevini nasýl tamamlarýz
10:35:27 | [CMD] OkanMutlu(8) => /work
10:35:32 | [CMD] [A.s.i]KraL(9) => /basarimlar
10:35:34 | [CMD] testere151(7) => /r siktiret /gsoru yaparsýn öle þeylerde
10:35:43 | [CMD] VIPTRUCKS(10) => /r görevimdende ediyor :D
10:35:54 | [CMD] VIPTRUCKS(10) => /r texas ile görüþürmüsün lütfen bugün olsun toplantý :D
10:36:11 | [A.s.i]KraL(9): testere
10:36:14 | [SirketCHT] VIPTRUCKS(10): ! sunucu hakkýnda öðrenmek istediðiniz þeyleri /sorusor komutu ile sorabilirsiniz
10:36:15 | [CMD] testere151(7) => /r neyse ben az afk
10:36:18 | [CMD] VIPTRUCKS(10) => /r ok
10:36:18 | [CMD] testere151(7) => /musait
10:36:19 | [SirketCHT] OkanMutlu(8): ! týrcýyým þuan ama dorse lazým dorse varmý
10:36:21 | [CMD] testere151(7) => /afk
10:36:28 | [CMD] [A.s.i]KraL(9) => /basarimlar
10:36:32 | [SirketCHT] VIPTRUCKS(10): ! þirkete giderek dorse alabilirsiniz /sirketdorse
10:36:38 | [CMD] OkanMutlu(8) => /sirketdorse
10:36:43 | [SirketCHT] VIPTRUCKS(10): ! þirkete gitmek için /rescue --> þirkete ýþýnlan
10:36:43 | [CMD] VIPTRUCKS(10) => /asay Rehber & Adminlerimize soru sormak için /sorusor komutunu kullanabilirsiniz. 
10:36:51 | VIPTRUCKS(10): ?
10:37:8 | [A.s.i]KraL(9): sorusor yazinca basarm gelmesi gerekmiyo mu
10:37:10 | OkanMutlu(8): Birþey sorucam
10:37:14 | [CMD] VIPTRUCKS(10) => /basarimlar
10:37:21 | VIPTRUCKS(10): hayýr
10:37:24 | [CMD] VIPTRUCKS(10) => /basarimlar
10:37:27 | OkanMutlu(8): Panelden birþey alýnca kaç skor veriyo
10:37:31 | VIPTRUCKS(10): aa evet
10:37:34 | VIPTRUCKS(10): gelmesi lazm
10:37:36 | VIPTRUCKS(10): gelmedimi
10:37:44 | [CMD] OkanMutlu(8) => /work
10:37:52 | [CMD] VIPTRUCKS(10) => /asay Rehber & Adminlerimize soru sormak için /sorusor komutunu kullanabilirsiniz. 
10:38:0 | [SirketCHT] VIPTRUCKS(10): ! /sorusor komutunu kullanabilirsin
10:38:11 | VIPTRUCKS(10): bi soru sor
10:38:15 | [CMD] OkanMutlu(8) => /sorusor Panelden birþey alýnca kaç skor veriyo
10:38:16 | [A.s.i]KraL(9): gelmedi bana
10:38:19 | VIPTRUCKS(10): soru sor
10:38:29 | [CMD] [A.s.i]KraL(9) => /sorusor Sen Bana Sor
10:38:33 | [CMD] VIPTRUCKS(10) => /sorukabul 
10:38:34 | [A.s.i]KraL(9): gelmiy
10:38:35 | [CMD] VIPTRUCKS(10) => /sorukabul 9
10:38:39 | [CMD] VIPTRUCKS(10) => /ypm naber :D
10:39:8 | [CMD] [A.s.i]KraL(9) => /ypm gelmedi
10:39:12 | [CMD] VIPTRUCKS(10) => /ypm ypm yi kapatýcam gelmezse bide testere cevaplasýn
10:39:18 | [CMD] VIPTRUCKS(10) => /ypm yöneticiye sor diyor çünkü :D
10:39:21 | [CMD] VIPTRUCKS(10) => /ybitir
10:39:24 | VIPTRUCKS(10): geldimi
10:39:27 | [A.s.i]KraL(9): taamm geldi
10:39:33 | VIPTRUCKS(10): kaç skor
10:39:44 | [A.s.i]KraL(9): 10skor
10:39:48 | [CMD] OkanMutlu(8) => /sorusor forum adresi nedir
10:39:50 | [CMD] VIPTRUCKS(10) => /sorular
10:39:55 | [CMD] VIPTRUCKS(10) => /sorukabul 8
10:40:0 | [CMD] VIPTRUCKS(10) => /ypm www.trucksamp.com/forum
10:40:1 | [CMD] VIPTRUCKS(10) => /asay VIP-Donator-Ýþyeri-Para-Giþe v.b ürünlerimizi satýn almak için www.trucksamp.com/forum 
10:40:7 | [CMD] OkanMutlu(8) => /ypm saðolun
10:40:9 | [CMD] VIPTRUCKS(10) => /ybitir
10:40:31 | VIPTRUCKS(10): 2800 skor olcam bee :D
10:40:39 | VIPTRUCKS(10): lag
10:40:43 | [CMD] VIPTRUCKS(10) => /r testere
10:40:55 | [CMD] VIPTRUCKS(10) => /asay VIP-Donator-Ýþyeri-Para-Giþe v.b ürünlerimizi satýn almak için www.trucksamp.com/forum 
10:40:58 | [CMD] VIPTRUCKS(10) => /asay Sürekli ayný iþi yapmaktan sýkýldýnýzýmý? /meslek komutu ile mesleðinizi deðiþtirebilirsiniz.  
10:41:0 | [CMD] VIPTRUCKS(10) => /asay Rehber & Adminlerimize soru sormak için /sorusor komutunu kullanabilirsiniz. 
10:41:5 | [CMD] VIPTRUCKS(10) => /ybitir
10:41:10 | [CMD] VIPTRUCKS(10) => /asay /pcc komutu ile kendi chatýnýzý silebilirsiniz. 
10:41:12 | [CMD] VIPTRUCKS(10) => /asay Sizi rahatsýz eden & þikayetçi olduðunuz oyuncularý /sikayet <id> <sebep> komutu ile raporlayabilirsiniz. 
10:41:30 | VIPTRUCKS(10): beyler nickimi ne yapam sizce
10:41:40 | VIPTRUCKS(10): g
10:41:46 | [CMD] VIPTRUCKS(10) => /goto 8
10:41:59 | [LOCAL]VIPTRUCKS(10): bi sorunuz varmý
10:41:59 | [CMD] VIPTRUCKS(10) => /l bi sorunuz varmý
10:42:8 | [LOCAL]OkanMutlu(8): Kýrmýzý yer arkada nasýl gidicem
10:42:8 | [CMD] OkanMutlu(8) => /l Kýrmýzý yer arkada nasýl gidicem
10:42:18 | [LOCAL]VIPTRUCKS(10): nereye gideceksiniz saðda yazar
10:42:18 | [CMD] VIPTRUCKS(10) => /l nereye gideceksiniz saðda yazar
10:42:46 | [LOCAL]OkanMutlu(8): Emkatu Sanayiden p.creek general store 
10:42:46 | [CMD] OkanMutlu(8) => /l Emkatu Sanayiden p.creek general store 
10:42:56 | [LOCAL]VIPTRUCKS(10): bulmaya çalýþalým gelin buraya
10:42:56 | [CMD] VIPTRUCKS(10) => /l bulmaya çalýþalým gelin buraya
10:43:3 | [LOCAL]VIPTRUCKS(10): emkatu sanayiye gittinizmi ?
10:43:3 | [CMD] VIPTRUCKS(10) => /l emkatu sanayiye gittinizmi ?
10:43:19 | [LOCAL]OkanMutlu(8): Haritada bir tane kýrmýzý yer var.
10:43:19 | [CMD] OkanMutlu(8) => /l Haritada bir tane kýrmýzý yer var.
10:43:24 | [LOCAL]VIPTRUCKS(10): gelin
10:43:24 | [CMD] VIPTRUCKS(10) => /l gelin
10:43:27 | [CMD] VIPTRUCKS(10) => /araba
10:43:39 | VIPTRUCKS(10): araçtan inmeyiniz aracýnýz gider
10:44:1 | VIPTRUCKS(10): topla topla topla :D
10:44:4 | [CMD] VIPTRUCKS(10) => /modifiye
10:44:8 | [CMD] VIPTRUCKS(10) => /asay Hile kullananlarý bildirmek için /rapor <id> <sebep> komutunu kullanabilirsiniz.  
10:44:10 | [CMD] VIPTRUCKS(10) => /asay Hile kullananlarý bildirmek için /rapor <id> <sebep> komutunu kullanabilirsiniz.  
10:44:10 | [CMD] VIPTRUCKS(10) => /asay Rehber & Adminlerimize soru sormak için /sorusor komutunu kullanabilirsiniz. 
10:44:47 | [LOCAL]VIPTRUCKS(10): emkatu saðda
10:44:47 | [CMD] VIPTRUCKS(10) => /l emkatu saðda
10:44:53 | VIPTRUCKS(10): emkatu saðda 
10:45:0 | VIPTRUCKS(10): düz gidin bulursunuz
10:45:4 | [CMD] VIPTRUCKS(10) => /goto 6
10:45:14 | OkanMutlu(8): Buldum
10:45:52 | [SirketCHT] VIPTRUCKS(10): ! okan
10:45:56 | [A.s.i]KraL(9): ben kaçr bb
10:45:57 | [SirketCHT] OkanMutlu(8): ! evet
10:45:57 | [A.s.i]KraL(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
10:45:59 | [SirketCHT] VIPTRUCKS(10): ! sorusor yapsana bi taktik veriyinm
10:46:1 | [SirketCHT] VIPTRUCKS(10): ! sorusor yapsana bi taktik veriyim
10:46:1 | VIPTRUCKS(10): bb
10:46:15 | [SirketCHT] OkanMutlu(8): ! ne yazýyým
10:46:21 | [SirketCHT] VIPTRUCKS(10): ! nokta koysan yeter
10:46:32 | [CMD] OkanMutlu(8) => /sorusor .
10:46:33 | [CMD] VIPTRUCKS(10) => /sorukabul 8
10:46:37 | [CMD] OkanMutlu(8) => /sorusor .
10:46:40 | [CMD] OkanMutlu(8) => /sorusor soru
10:46:40 | [CMD] VIPTRUCKS(10) => /ypm sana tavsiyem ne biliyomusun
10:46:55 | [CMD] VIPTRUCKS(10) => /ypm /basarimlar yaz ordakilerden sana uygun olanlarý yap
10:47:3 | [SirketCHT] OkanMutlu(8): ! geldimi
10:47:3 | [CMD] VIPTRUCKS(10) => /ypm sonra otobüs ehliyeti al hýzlý skor kasarsýn
10:47:8 | [SirketCHT] VIPTRUCKS(10): ! geldi
10:47:34 | OkanMutlu(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
10:47:53 | [CMD] VIPTRUCKS(10) => /ypm hýzlý skor kasmak için mutlaka yap
10:47:58 | [CMD] VIPTRUCKS(10) => /ybitir
10:48:2 | [CMD] VIPTRUCKS(10) => /gsoru
10:48:5 | [CMD] VIPTRUCKS(10) => /gsoru 8
10:48:14 | [CMD] VIPTRUCKS(10) => /work
10:48:20 | [ANTIHACK] Þüpheli VIPTRUCKS(10) => Airbreak-hack
10:48:22 | VIPTRUCKS(10): lag
10:48:32 | [CMD] VIPTRUCKS(10) => /tamir
10:49:3 | [CMD] VIPTRUCKS(10) => /goto 6
10:50:27 | [CMD] VIPTRUCKS(10) => /asay VIP-Donator-Ýþyeri-Para-Giþe v.b ürünlerimizi satýn almak için www.trucksamp.com/forum 
10:50:47 | [CMD] VIPTRUCKS(10) => /asay Hile kullananlarý bildirmek için /rapor <id> <sebep> komutunu kullanabilirsiniz.  
10:50:47 | [CMD] VIPTRUCKS(10) => /asay Rehber & Adminlerimize soru sormak için /sorusor komutunu kullanabilirsiniz. 
10:51:5 | [CMD] VIPTRUCKS(10) => /goto 6
10:51:15 | [CMD] testere151(7) => /geldim
10:51:18 | [CMD] testere151(7) => /musait
10:51:25 | [CMD] testere151(7) => /meslek
10:51:27 | [CMD] VIPTRUCKS(10) => /asay Yeni gelen oyuncularýmýz /kurallar kabul ederek 30.000$ ve 5 skor kazanabilirler. 
10:51:27 | testere151(7) Gemici olarak spawn oldu.
10:51:45 | [CMD] testere151(7) => /araba
10:51:58 | VIPTRUCKS(10): lag
10:53:9 | [CMD] testere151(7) => /cevir
10:53:12 | [CMD] testere151(7) => /atamir
10:53:46 | [CMD] testere151(7) => /work
10:54:2 | [CMD] VIPTRUCKS(10) => /work
10:57:19 | testere151(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
10:58:19 | [CMD] VIPTRUCKS(10) => /asay VIP-Donator-Ýþyeri-Para-Giþe v.b ürünlerimizi satýn almak için www.trucksamp.com/forum 
10:58:20 | [CMD] VIPTRUCKS(10) => /asay Hile kullananlarý bildirmek için /rapor <id> <sebep> komutunu kullanabilirsiniz.  
10:58:20 | [CMD] VIPTRUCKS(10) => /asay Rehber & Adminlerimize soru sormak için /sorusor komutunu kullanabilirsiniz. 
10:58:20 | [CMD] VIPTRUCKS(10) => /asay Ýstek þarkýlarýnýz için /isteksarki <id> komutunu kullanabilirsiniz.  
10:58:20 | [CMD] VIPTRUCKS(10) => /asay Sürekli ayný iþi yapmaktan sýkýldýnýzýmý? /meslek komutu ile mesleðinizi deðiþtirebilirsiniz.  
10:58:21 | [CMD] VIPTRUCKS(10) => /asay Yeni gelen oyuncularýmýz /kurallar kabul ederek 30.000$ ve 5 skor kazanabilirler. 
10:58:21 | [CMD] VIPTRUCKS(10) => /asay Sizi rahatsýz eden & þikayetçi olduðunuz oyuncularý /sikayet <id> <sebep> komutu ile raporlayabilirsiniz. 
10:58:21 | [CMD] VIPTRUCKS(10) => /asay /pcc komutu ile kendi chatýnýzý silebilirsiniz. 
10:58:39 | ibrahim55(7) oyuna girdi [IP: 217.25.19.145]
10:58:39 | ibrahim55(7) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
10:59:10 | [CMD] VIPTRUCKS(10) => /work
10:59:19 | [CMD] VIPTRUCKS(10) => /work
10:59:23 | [CMD] VIPTRUCKS(10) => /goreviptal
10:59:26 | [CMD] VIPTRUCKS(10) => /work
10:59:30 | ibrahimkk(7) oyuna girdi [IP: 217.25.19.145]
10:59:35 | [CMD] VIPTRUCKS(10) => /goreviptal
10:59:42 | [CMD] VIPTRUCKS(10) => /meslek
10:59:43 | 
10:59:46 | {FFCC00}ibrahimkk(7) {FFFFFF}Kamyoncu olarak spawn oldu.
10:59:50 | [CMD] VIPTRUCKS(10) => /karakol
10:59:51 | OkanMutlu(8) oyuna girdi [IP: 85.106.122.185]
10:59:51 | [CMD] ibrahimkk(7) => /sa
10:59:58 | 
11:0:2 | [CMD] VIPTRUCKS(10) => /as
11:0:8 | ibrahimkk(7): abimin pc ile girdim
11:0:10 | {FFCC00}OkanMutlu(8) {FFFFFF}Kamyoncu olarak spawn oldu.
11:0:16 | ibrahimkk(7): simdi cikiuom
11:0:17 | OkanMutlu(8): Aleyküm Selam
11:0:28 | ibrahimkk(7): neyse bb
11:0:35 | VIPTRUCKS(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
11:0:36 | ibrahimkk(7): okula gidiyom ben
11:0:42 | [CMD] ibrahimkk(7) => /adminol
11:0:45 | [CMD] ibrahimkk(7) => /adminol
11:0:50 | ibrahimkk(7): hadi  bb
11:1:10 | VIPTRUCKS(9) oyuna girdi [IP: 92.45.79.244]
11:1:10 | [CMD] OkanMutlu(8) => /sirketdorse
11:1:20 | 
11:1:27 | VIPTRUCKS(9) Mafya olarak spawn oldu.
11:1:30 | [CMD] VIPTRUCKS(9) => /sa
11:1:36 | OkanMutlu(8): Aleyküm Selam.
11:1:48 | [CMD] VIPTRUCKS(9) => /work
11:1:53 | [CMD] VIPTRUCKS(9) => /goreviptal
11:1:55 | [CMD] VIPTRUCKS(9) => /work
11:1:57 | [CMD] VIPTRUCKS(9) => /goreviptal
11:1:57 | [CMD] VIPTRUCKS(9) => /work
11:1:59 | [CMD] VIPTRUCKS(9) => /goreviptal
11:2:0 | [CMD] VIPTRUCKS(9) => /work
11:2:2 | [CMD] VIPTRUCKS(9) => /goreviptal
11:2:3 | [CMD] VIPTRUCKS(9) => /work
11:2:7 | ibrahimkk(7): bb
11:2:9 | ibrahimkk(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
11:2:20 | [CMD] VIPTRUCKS(9) => /goreviptal
11:2:24 | [CMD] VIPTRUCKS(9) => /meslek
11:2:30 | {FFCC00}VIPTRUCKS(9) {FFFFFF}Kamyoncu olarak spawn oldu.
11:2:35 | VIPTRUCKS(9): ibrahim 
11:2:37 | [SirketCHT] OkanMutlu(8): ! sen hani birþey öðretcektin
11:2:42 | [SirketCHT] VIPTRUCKS(9): ! yazdým ya
11:2:52 | [SirketCHT] OkanMutlu(8): ! sorusor dan bana gelmedi relog attým.
11:2:59 | [SirketCHT] VIPTRUCKS(9): ! sor bida
11:3:1 | [CMD] VIPTRUCKS(9) => /asay Rehber & Adminlerimize soru sormak için /sorusor komutunu kullanabilirsiniz. 
11:3:2 | [CMD] OkanMutlu(8) => /work
11:3:10 | [CMD] OkanMutlu(8) => /sorusor .
11:3:13 | [CMD] VIPTRUCKS(9) => /sorukabul 8
11:3:24 | [CMD] VIPTRUCKS(9) => /ypm  /basarimlar dan sana uygun olanlarý yap
11:3:29 | [CMD] VIPTRUCKS(9) => /ypm sonra otobüs ehliyeti al
11:3:32 | [CMD] OkanMutlu(8) => /ypm tamam.
11:3:35 | [CMD] VIPTRUCKS(9) => /ypm kolayca skor kasabilirsin
11:3:50 | [CMD] OkanMutlu(8) => /ypm eyvallah
11:3:51 | VIPTRUCKS(9): okan
11:3:53 | VIPTRUCKS(9): gel þirkete
11:3:55 | VIPTRUCKS(9): konvoy yapalým
11:4:1 | [CMD] OkanMutlu(8) => /goreviptal
11:4:3 | [CMD] VIPTRUCKS(9) => /sirketdorse
11:4:8 | OkanMutlu(8): Geliyom
11:4:11 | VIPTRUCKS(9):  /rescue
11:4:19 | OkanMutlu(8): Araba geliyormu
11:4:21 | [A.s.i]KraL(7) oyuna girdi [IP: 78.180.176.220]
11:4:22 | [ANTIHACK] Þüpheli VIPTRUCKS(9) => Airbreak-hack
11:4:22 | VIPTRUCKS(9) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
11:4:34 | 
11:4:42 | {FFCC00}[A.s.i]KraL(7) {FFFFFF}Polis olarak spawn oldu.
11:4:48 | [CMD] [A.s.i]KraL(7) => /saat 1
11:4:54 | [CMD] [A.s.i]KraL(7) => /resuce
11:4:57 | VIPTRUCKS(9) oyuna girdi [IP: 92.45.79.244]
11:4:58 | [CMD] [A.s.i]KraL(7) => /resuce
11:5:1 | [CMD] [A.s.i]KraL(7) => /rescue
11:5:4 | [CMD] [A.s.i]KraL(7) => /rescue
11:5:13 | 
11:5:14 | [CMD] [A.s.i]KraL(7) => /modifiye
11:5:17 | {FFCC00}VIPTRUCKS(9) {FFFFFF}Kamyoncu olarak spawn oldu.
11:5:23 | VIPTRUCKS(9): bu anti hile neyin kafasýný yaþýyor ya :D
11:5:37 | [CMD] VIPTRUCKS(9) => /convoy
11:5:39 | VIPTRUCKS(9): gel
11:5:46 | [CMD] OkanMutlu(8) => /convoy
11:5:55 | OkanMutlu(8): Dorseyi çýkarýyýmmý
11:5:56 | [A.s.i]KraL(7): la ne hilesi açiyon bizede söyle bize açak :D
11:6:1 | VIPTRUCKS(9): :D
11:6:6 | VIPTRUCKS(9): eyýrbörek dedi
11:6:9 | OkanMutlu(8): Dorseyi çýkarýyýmmý
11:6:10 | VIPTRUCKS(9): okan
11:6:12 | VIPTRUCKS(9):  /kasabirak
11:6:16 | [CMD] OkanMutlu(8) => /kasabirak
11:6:16 | [A.s.i]KraL(7): :d
11:6:21 | [CMD] OkanMutlu(8) => /kasabirak
11:6:22 | [CMD] OkanMutlu(8) => /kasabirak
11:6:28 | [CMD] OkanMutlu(8) => /convoy
11:6:31 | [CMD] VIPTRUCKS(9) => /sirketdorse
11:6:36 | [CMD] OkanMutlu(8) => /convoyayril
11:6:39 | [CMD] OkanMutlu(8) => /kasabirak
11:6:41 | [CMD] OkanMutlu(8) => /convoy
11:6:42 | [CMD] [A.s.i]KraL(7) => /pm 9 býraktým mý beni dedigim yere ?
11:6:57 | VIPTRUCKS(9): burda /sirketdorse yaz kargo dorsesi indir
11:7:0 | [CMD] VIPTRUCKS(9) => /pm 7 anlamadým ? :D
11:7:3 | OkanMutlu(8): Ok.
11:7:6 | [CMD] OkanMutlu(8) => /sirketdorse
11:7:13 | [CMD] [A.s.i]KraL(7) => /pm 9 asikaptan iyim
11:7:20 | [CMD] VIPTRUCKS(9) => /pm 7 evt
11:7:27 | [CMD] [A.s.i]KraL(7) => /pm 9 iyi :D
11:7:34 | [CMD] VIPTRUCKS(9) => /pm 7 :D
11:7:46 | [CMD] VIPTRUCKS(9) => /pm 7 asikral la onu kassanýza
11:7:51 | OkanMutlu(8): Mükemmel
11:7:55 | VIPTRUCKS(9): :D
11:8:5 | [CMD] [A.s.i]KraL(7) => /pm 9 ne gelek var boþ ver
11:8:18 | [CMD] VIPTRUCKS(9) => /pm 7 polisten çýkta aðýr yük alak :D
11:8:37 | [A.s.i]KraL(7): alin sýkýnýt yok
11:9:39 | [SirketCHT] VIPTRUCKS(9): ! okan
11:9:41 | VIPTRUCKS(9): t/asay VIP-Donator-Ýþyeri-Para-Giþe v.b ürünlerimizi satýn almak için www.trucksamp.com/forum 
11:9:42 | [CMD] VIPTRUCKS(9) => /asay VIP-Donator-Ýþyeri-Para-Giþe v.b ürünlerimizi satýn almak için www.trucksamp.com/forum 
11:9:45 | [SirketCHT] OkanMutlu(8): ! evet
11:9:52 | [SirketCHT] VIPTRUCKS(9): ! rescue yaz harbour gel
11:9:58 | OkanMutlu(8): Tamam.
11:10:3 | [CMD] OkanMutlu(8) => /rescue
11:10:6 | [CMD] OkanMutlu(8) => /rescue
11:10:6 | [CMD] OkanMutlu(8) => /rescue
11:10:8 | [CMD] OkanMutlu(8) => /rescue
