0:0:0 | [CMD] HeRquL(14) => /work
1:1:47 | [CMD] Adem32(21) => /galeri
1:1:47 | [CMD] huso608(17) => /asay Arac Res Geliyor!!! 
1:1:47 | [CMD] GSLIMERT(13) => /work
1:1:47 | Freezer3543(11): H.o. alýrým
1:1:48 | emre_cool(10): lv deyim mert
1:1:48 | [CMD] huso608(17) => /respawncars
1:1:48 | ASLANBEY(23): n bas
1:1:48 | xX_Abby_Xx(26): ya otosbüs çalýsmýyo kurucu napýcam
1:1:53 | ASLANBEY(23): n bas
1:1:54 | [ARAC] Adem32(21), 84 ID'li ÀRegina model araci 15000000$'a satin aldi.
1:1:54 | CagatayBro(7): ./tamir
1:1:57 | [CMD] cCc.Bayram.cCC(9) => /work
1:1:57 | amiral(25): n tuþuna bas
1:1:57 | huso608(17): @26 n bas veya /motor
1:1:58 | GravLaunch(19): h.o freezer
1:2:4 | VictorVance(33) oyundan cIktI (Hata/Crash) (IP: 88.231.50.30)
1:2:5 | [CMD] huso608(17) => /spec 25
1:2:6 | VictorVance(33) oyuna girdi [IP: 88.231.50.30]
1:2:11 | [CMD] HeRquL(14) => /atamir
1:2:12 | xX_Abby_Xx(26): olmuyo hareket etmýyo
1:2:12 | Freezer3543(11): Saol aga eskiden kacak islerdi simdi sw hizmeti :D
1:2:13 | [CMD] emre_cool(10) => /tamir
1:2:15 | [CMD] nefariouss(12) => /convoy
1:2:16 | [CMD] [cCc]HulkHulk[cCc](8) => /convoyayril
1:2:17 | xX_Abby_Xx(26): olmuyo hareket etmýyo
1:2:18 | [CMD] GSpor1991(15) => /convoyayril
1:2:19 | [CMD] [cCc]HulkHulk[cCc](8) => /convoy
1:2:21 | [CMD] GSpor1991(15) => /convoy
1:2:23 | [CMD] Freezer3543(11) => /rescue
1:2:26 | [CMD] huso608(17) => /spec 26
1:2:27 | [CMD] TDSElektro(16) => /work
1:2:27 | aliturkak(24): freezer
1:2:28 | aliturkak(24): h.o
1:2:28 | AylnBahadr12(29) 60 saniye içinde giriþ yapmadýðý için tekmelendi
1:2:29 | AylnBahadr12(29) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
1:2:32 | [CMD] GSpor1991(15) => /modifiye
1:2:35 | [CMD] HeRquL(14) => /duyuru ~g~/sac
1:2:35 | [CMD] ahmet55(18) => /rescue
1:2:36 | [CMD] nik0tin(28) => /work 
1:2:37 | VictorVance(33) oyundan cIktI (Hata/Crash) (IP: 88.231.50.30)
1:2:37 | aliturkak(24): 10 kiþiye ceza kes baþarým versin
1:2:39 | [CMD] emre_cool(10) => /sac
1:2:40 | Adem32(21): arabm nasýl getcem 
1:2:40 | [LOCAL]GravLaunch(19): az bana sal
1:2:40 | [CMD] GravLaunch(19) => /l az bana sal
1:2:40 | VictorVance(29) oyuna girdi [IP: 88.231.50.30]
1:2:42 | [LOCAL]GravLaunch(19): ben sürem
1:2:42 | [CMD] GravLaunch(19) => /l ben sürem
1:2:42 | [CMD] GSLIMERT(13) => /sac
1:2:42 | Adem32(21): arabm nasýl getcem 
1:2:42 | [CMD] xX_Abby_Xx(26) => /kemer
1:2:43 | [CMD] ahmet55(18) => /araba
1:2:46 | huso608(17):   /araba
1:2:48 | aliturkak(24):  /araba
1:2:49 | [CMD] xqHost(31) => /getdorse
1:2:50 | [CMD] Adem32(21) => /araba
1:2:50 | [CMD] ahmet55(18) => /Tamir
1:2:52 | [CMD] [AsLt]Cicek.Abbas.(20) => /sac
1:2:53 | [CMD] xqHost(31) => /getdorse
1:2:53 | [CMD] nik0tin(28) => /a gruba niye porno attýnýz 
1:2:54 | [CMD] xqHost(31) => /getdorse
1:2:55 | 
1:2:57 | [CMD] ahmet55(18) => /tamir
1:2:58 | [CMD] xqHost(31) => /yardim
1:3:0 | [CMD] huso608(17) => /a kim attý
1:3:0 | [CMD] GravLaunch(19) => /kemer
1:3:0 | emre_cool(10): hayýr 5 kiþiye ceza kes baþarým veriyor.
1:3:2 | [CMD] HeRquL(14) => /a kim attý
1:3:2 | [LOCAL]GravLaunch(19): kemerini tak
1:3:2 | [CMD] GravLaunch(19) => /L kemerini tak
1:3:4 | [CMD] emre_cool(10) => /tamir
1:3:4 | VictorVance(29) Yol Iscisi olarak spawn oldu.
1:3:5 | [CMD] HeRquL(14) => /kemer
1:3:5 | [CMD] [AsLt]Cicek.Abbas.(20) => /skapat
1:3:5 | [CMD] GravLaunch(19) => /vtamir
1:3:6 | [CMD] cCc.Bayram.cCC(9) => /vtamir
1:3:8 | [CMD] CagatayBro(7) => /work
1:3:10 | aliturkak(24): 10 deðil mi la
1:3:10 | [CMD] nik0tin(28) => /a atmýþlar ifþa mifþa brazzers :D 
1:3:13 | [CMD] TDSElektro(16) => /work
1:3:14 | Adem32(21): sonda arabam aldým
1:3:14 | [CMD] CagatayBro(7) => /goreviptal
1:3:15 | [CMD] nefariouss(12) => /work
1:3:15 | [CMD] CagatayBro(7) => /work
1:3:19 | [CMD] CagatayBro(7) => /goreviptal
1:3:19 | emre_cool(10): hayýr 5 kiþiye ceza kes baþarým veriyor.
1:3:20 | [CMD] CagatayBro(7) => /work
1:3:20 | huso608(17): @10 verinceye kadar kas
1:3:22 | ASLANBEY(23): ho
1:3:23 | [CMD] VictorVance(29) => /yardim
1:3:23 | [CMD] CagatayBro(7) => /goreviptal
1:3:24 | [CMD] [cCc]HulkHulk[cCc](8) => /modifiye
1:3:25 | [CMD] Joako_Suraniti(30) => /sac/sac
1:3:26 | [CMD] CagatayBro(7) => /work
1:3:27 | [CMD] CagatayBro(7) => /goreviptal
1:3:28 | [CMD] Joako_Suraniti(30) => /sac
1:3:29 | [CMD] HeRquL(14) => /a sikimiz bayram etsin diye kocayürekli personel
1:3:30 | [CMD] CagatayBro(7) => /work
1:3:32 | emre_cool(10): ben niye kasýyom
1:3:34 | amiral(25): lan param yok nasýl geçicem giþeden
1:3:35 | (BANKA) Adem32(21) 2128 nolu banka hesabina 20000$ yatirdi.
1:3:35 | [CMD] HeRquL(14) => /a kim o
1:3:35 | [CMD] emre_cool(10) => /taöir
1:3:38 | [SirketCHT] CagatayBro(7): ! niko reis
1:3:40 | [CMD] emre_cool(10) => /tamir
1:3:42 | [SirketCHT] nik0tin(28): ! evet 
1:3:45 | [SirketCHT] CagatayBro(7): ! gemi ehliteyi ne kadar skor
1:3:47 | aliturkak(24): aha ilk cezasýný kesti
1:3:50 | [CMD] Joako_Suraniti(30) => /pay?
1:3:51 | Freezer3543(11): :d
1:3:54 | aliturkak(24): :D
1:3:57 | emre_cool(10): :D
1:3:57 | amiral(25): ad
1:3:58 | [CMD] VictorVance(29) => /work
1:4:3 | [SirketCHT] nik0tin(28): ! bilmiyorum bakmak lazým emin deðilim 
1:4:3 | Freezer3543(11): Artýk dorse maceralarý bitti :D
1:4:5 | [CMD] CagatayBro(7) => /vtamir
1:4:11 | [CMD] Makarov(22) => /tamþir
1:4:12 | amiral(25): admin para atsana
1:4:13 | [CMD] Makarov(22) => /tamir
1:4:13 | aliturkak(24): bitmedi
1:4:14 | GravLaunch(19): yanýmda admin var
1:4:15 | [CMD] xqHost(31) => /yardim
1:4:16 | BahadrOkan12(33) oyuna girdi [IP: 78.165.64.179]
1:4:18 | aliturkak(24): daha benle uðraþýcaktn
1:4:19 | [SirketCHT] CagatayBro(7): ! ehliyetin orda olan arkadaþ var mý
1:4:19 | [CMD] ahmet55(18) => /Rescue
1:4:21 | GravLaunch(19): ters þerit girmeye korkuyom :D
1:4:21 | [CMD] VictorVance(29) => /sac
1:4:23 | [SirketCHT] nik0tin(28): ! /ehliyetyeri 
1:4:23 | [CMD] ahmet55(18) => /Rescue
1:4:26 | [SirketCHT] CagatayBro(7): ! ben bu vapurdan inersem gider
1:4:29 | [CMD] Freezer3543(11) => /rescue
1:4:36 | [SirketCHT] nik0tin(28): ! dur bakam ben 
1:4:38 | [CMD] HeRquL(14) => /uyar 25 adminden para istemek yasak
1:4:39 | 
1:4:41 | [LOCAL]GravLaunch(19): 1 görev daha yapcaz mý ?
1:4:41 | [CMD] GravLaunch(19) => /l 1 görev daha yapcaz mý ?
1:4:42 | [CMD] Freezer3543(11) => /kemer
1:4:44 | [SirketCHT] CagatayBro(7): ! biri alýr ben alasýya kadar yain
1:4:47 | {FFCC00}BahadrOkan12(33) {FFFFFF}Kamyoncu olarak spawn oldu.
1:4:47 | [CMD] GravLaunch(19) => /vtamir
1:4:48 | [CMD] huso608(17) => /specoff
1:4:49 | tumamaperra(34) oyuna girdi [IP: 190.42.42.39]
1:4:49 | huso608(17) Oduncu olarak spawn oldu.
1:4:50 | [SirketCHT] CagatayBro(7): ! eyvallah reis
1:4:51 | [CMD] emre_cool(10) => /tamir
1:4:57 | [LOCAL]HeRquL(14): devam et
1:4:57 | [CMD] HeRquL(14) => /l devam et
1:4:59 | [CMD] GravLaunch(19) => /work
1:5:3 | [LOCAL]GravLaunch(19): geldi mi ??
1:5:3 | [CMD] GravLaunch(19) => /l geldi mi ??
1:5:3 | [CMD] Joako_Suraniti(30) => /skapat
1:5:5 | Konyali42(36) oyuna girdi [IP: 89.14.156.57]
1:5:9 | [CMD] huso608(17) => /ehliyetyeri
1:5:10 | nefariouss(12) oyundan cIktI (Hata/Crash) (IP: 176.33.252.163)
1:5:14 | 
1:5:16 | [CMD] huso608(17) => /rescue
1:5:17 | {FFCC00}Konyali42(36) {FFFFFF}Kamyoncu olarak spawn oldu.
1:5:17 | [CMD] HeRquL(14) => /duyuru ~g~/sac 
1:5:18 | amiral(25): admin para atabiliyonmu
1:5:19 | [CMD] HeRquL(14) => /duyuru ~g~/sac
1:5:20 | [CMD] Konyali42(36) => /sa
1:5:22 | [CMD] emre_cool(10) => /as
1:5:24 | [CMD] nik0tin(28) => /ehliyetyeri 
1:5:24 | [CMD] Joako_Suraniti(30) => /sac
1:5:25 | [CMD] CagatayBro(7) => /as
1:5:26 | [CMD] ASLANBEY(23) => /as
1:5:26 | [CMD] CagatayBro(7) => /work
1:5:27 | [CMD] GravLaunch(19) => /as
1:5:28 | [CMD] imDegoo(32) => /sac
1:5:28 | [CMD] HeRquL(14) => /as
1:5:33 | aliturkak(24): can res
1:5:34 | [CMD] CagatayBro(7) => /goreviptal
1:5:34 | [CMD] cCc.Bayram.cCC(9) => /vtamir
1:5:35 | huso608(17): Adminlerden Para Skor istemek yasaktýr
1:5:35 | [CMD] CagatayBro(7) => /work
1:5:36 | [CMD] amiral(25) => /kemer
1:5:36 | [CMD] huso608(17) => /cantazele
1:5:36 | [SirketCHT] nik0tin(28): ! 100 skor  150k para
1:5:36 | [CMD] aliturkak(24) => /kemer
1:5:37 | [CMD] [AsLt]Cicek.Abbas.(20) => /vtamir
1:5:37 | [CMD] cCc.Bayram.cCC(9) => /work
1:5:38 | [CMD] nik0tin(28) => /rescue 
1:5:38 | Konyali42(36): cagatay?
1:5:38 | [CMD] CagatayBro(7) => /goreviptal
1:5:39 | [CMD] [AsLt]Cicek.Abbas.(20) => /vbenzin
1:5:42 | nefariouss(12) oyuna girdi [IP: 176.33.252.163]
1:5:42 | [CMD] [cCc]HulkHulk[cCc](8) => /asiriyuk
1:5:45 | [SirketCHT] CagatayBro(7): ! tamam ayrý 100 skor kasýcam o zaman
1:5:46 | Konyali42(36): 1600 oha :D
1:5:47 | [CMD] GSLIMERT(13) => /c nerdesýnýz
1:5:47 | [CMD] aliturkak(24) => /basarimlar
1:5:50 | [SirketCHT] CagatayBro(7): ! ilerde gerekicek
1:5:51 | [CMD] Freezer3543(11) => /rescue
1:5:51 | 
1:5:52 | [AsLt]Cicek.Abbas.(20) oyundan cIktI (Hata/Crash) (IP: 176.216.65.61)
1:5:53 | [CMD] nik0tin(28) => /myskin 124 
1:5:53 | [CMD] emre_cool(10) => /c yükünü vermeyn kim kaldý ?
1:5:54 | {FFCC00}nefariouss(12) {FFFFFF}Kamyoncu olarak spawn oldu.
1:5:56 | [SirketCHT] Konyali42(36): ! beyler
1:5:57 | [SirketCHT] CagatayBro(7): ! eyvallah reis
1:5:59 | aliturkak(24): son 60 saat :D
1:6:0 | [CMD] CagatayBro(7) => /work
1:6:2 | [SirketCHT] Konyali42(36): ! bugün vip mi dagitildi ?
1:6:4 | [CMD] CagatayBro(7) => /goreviptal
1:6:5 | amiral(25) oyundan cIktI (Hata/Crash) (IP: 176.218.124.119)
1:6:6 | [SirketCHT] xqHost(31): ! evt
1:6:7 | tumamaperra(34) 60 saniye içinde giriþ yapmadýðý için tekmelendi
1:6:7 | [LOCAL]cCc.Bayram.cCC(9): ne icin
1:6:7 | [CMD] cCc.Bayram.cCC(9) => /l ne icin
1:6:7 | tumamaperra(34) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
1:6:8 | [SirketCHT] GravLaunch(19): !evt
1:6:8 | [SirketCHT] CagatayBro(7): ! evet 1 günlük
1:6:9 | aliturkak(24): baþarýmý almam içn
1:6:9 | [CMD] CagatayBro(7) => /work
1:6:11 | [CMD] GravLaunch(19) => /cevir
1:6:12 | [CMD] CagatayBro(7) => /goreviptal
1:6:12 | emre_cool(10): >
1:6:12 | BahadrOkan12(33): dorseyi nasýl býrakýrým
1:6:13 | [SirketCHT] nik0tin(28): ! ehliyet al lv porto hemen çýkartýrsýn 
1:6:13 | [CMD] CagatayBro(7) => /work
1:6:15 | [SirketCHT] Konyali42(36): ! hay sansima tüküreyim
1:6:19 | huso608(17):   /kasabirak
1:6:19 | [SirketCHT] emre_cool(10): !
1:6:20 | [LOCAL]aliturkak(24): 240 saat baþarýmý için
1:6:20 | [CMD] aliturkak(24) => /l 240 saat baþarýmý için
1:6:23 | [CMD] Makarov(22) => /c baþlat
1:6:23 | [CMD] ASLANBEY(23) => /cpnvoyiptal
1:6:25 | Joako_Suraniti(30) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
1:6:25 | [CMD] BahadrOkan12(33) => /kasabirak
1:6:26 | [CMD] nik0tin(28) => /vipneon 
1:6:27 | [CMD] aliturkak(24) => /skapat
1:6:27 | [CMD] cCc.Bayram.cCC(9) => /basarimlar
1:6:28 | [CMD] [cCc]HulkHulk[cCc](8) => /kasabirak
1:6:28 | [SirketCHT] Konyali42(36): ! cagatay
1:6:28 | [SirketCHT] CagatayBro(7): ! da reis vapur gider
1:6:29 | GSLIMERT(13): sf son 2 kýsý convoy gelcek varsa gelsýn otobus
1:6:29 | [CMD] Freezer3543(11) => /kemer
1:6:30 | [CMD] emre_cool(10) => /tamir
1:6:30 | [CMD] nik0tin(28) => /vipneon 
1:6:30 | GSLIMERT(13): sf son 2 kýsý convoy gelcek varsa gelsýn otobus
1:6:30 | [CMD] ASLANBEY(23) => /convoyiptal
1:6:32 | [SirketCHT] CagatayBro(7): ! efendim
1:6:33 | [CMD] nik0tin(28) => /vipneon 
1:6:34 | [CMD] huso608(17) => /work
1:6:34 | [CMD] ASLANBEY(23) => /work
1:6:38 | [CMD] nik0tin(28) => /vipneon 
1:6:39 | [SirketCHT] Konyali42(36): ! acayip skor kasmissin haa :D
1:6:40 | [LOCAL]GravLaunch(19): üste çýk
1:6:40 | [CMD] GravLaunch(19) => /l üste çýk
1:6:40 | [CMD] BahadrOkan12(33) => /sirketdorse
1:6:44 | [LOCAL]GravLaunch(19): geldik sayýlýr
1:6:44 | [CMD] GravLaunch(19) => /l geldik sayýlýr
1:6:45 | [SirketCHT] CagatayBro(7): ! ha bugün 700 skor kastým
1:6:46 | [CMD] GSLIMERT(13) => /t otobusculer sf gelýn convoy var
1:6:47 | [CMD] [cCc]HulkHulk[cCc](8) => /taö
1:6:51 | [CMD] ASLANBEY(23) => /asiriyuk
1:6:53 | [SirketCHT] Konyali42(36): ! helal
1:6:53 | [CMD] ASLANBEY(23) => /asiriyuk
1:6:53 | [CMD] [cCc]HulkHulk[cCc](8) => /tamir
1:6:53 | [LOCAL]cCc.Bayram.cCC(9): benim baþarým deyiþlmiþ :D
1:6:53 | [CMD] cCc.Bayram.cCC(9) => /l benim baþarým deyiþlmiþ :D
1:6:54 | [CMD] Konyali42(36) => /convoy
1:6:54 | amiral(20) oyuna girdi [IP: 176.217.104.184]
1:6:55 | [SirketCHT] CagatayBro(7): ! eyw reis
1:6:57 | [SirketCHT] aliturkak(24): ! aga son 60 saat lan sdfhjsd
1:6:58 | [SirketCHT] emre_cool(10): ! benim skora bakýn 
1:6:58 | [CMD] Konyali42(36) => /convoy
1:6:59 | indoman(25) oyuna girdi [IP: 112.215.175.49]
1:7:0 | VictorVance(29): ya kardeþim adam direk çaktý bana arabasýyla ya
1:7:5 | [SirketCHT] aliturkak(24): ! 240 baþarýmýný almak için
1:7:7 | 
1:7:7 | [SirketCHT] nik0tin(28): ! araç res gelmediði sürece kalýr 
1:7:7 | [CMD] GravLaunch(19) => /vtamir
1:7:8 | [CMD] GSLIMERT(13) => /výpneon
1:7:10 | [CMD] cCc.Bayram.cCC(9) => /vtamir
1:7:11 | [CMD] [cCc]HulkHulk[cCc](8) => /goreviptal
1:7:13 | [SirketCHT] CagatayBro(7): ! gelirse :D
1:7:13 | [CMD] HeRquL(14) => /basarimlar
1:7:13 | [CMD] GSLIMERT(13) => /vipneon
1:7:13 | [CMD] nefariouss(12) => /convoy
1:7:14 | [SirketCHT] nik0tin(28): ! in /ehliyet yeri yap 
1:7:14 | [CMD] Makarov(22) => /sirket
1:7:15 | {FFCC00}amiral(20) Otobus Soforu olarak spawn oldu.
1:7:15 | [CMD] [cCc]HulkHulk[cCc](8) => /convoyayril
1:7:17 | [CMD] Konyali42(36) => /basarimlar
1:7:20 | [CMD] [cCc]HulkHulk[cCc](8) => /convoy
1:7:21 | [SirketCHT] nik0tin(28): ! bekletiriz :D 
1:7:23 | [CMD] ahmet55(18) => /meslek
1:7:23 | [CMD] GSLIMERT(13) => /work
1:7:24 | [CMD] BahadrOkan12(33) => /convoy
1:7:26 | {FFCC00}ahmet55(18) {FFFFFF}Pilot olarak spawn oldu.
1:7:26 | CagatayBro(7): adminler lütfen res atmayýn
1:7:26 | [CMD] amiral(20) => /convoy
1:7:29 | CagatayBro(7): kýsa bir süreliðine
1:7:32 | CagatayBro(7): lütfen
1:7:34 | Konyali42(36): .
1:7:34 | [CMD] CagatayBro(7) => /ehliyet
1:7:35 | [CMD] VictorVance(29) => /goreviptal
1:7:35 | [CMD] BahadrOkan12(33) => /c nerde konvoy?
1:7:36 | HeRquL(14): araç res mi
1:7:39 | CagatayBro(7): evet
1:7:39 | {FFCC00}indoman(25) {FFFFFF}Kamyoncu olarak spawn oldu.
1:7:40 | [SirketCHT] Konyali42(36): ! bende niye vip yok
1:7:40 | [CMD] emre_cool(10) => /c neyonlar yakýyor mert
1:7:41 | [SirketCHT] nik0tin(28): ! hadi koþ /ehliyetyeri /rescue 
1:7:42 | [CMD] CagatayBro(7) => /ehliyet
1:7:42 | [CMD] GSpor1991(15) => /goreviptal
1:7:45 | [CMD] amiral(20) => /rescue
1:7:45 | [CMD] CagatayBro(7) => /ehliyetyeri
1:7:45 | [CMD] xqHost(31) => /ehliyetleri
1:7:48 | VictorVance(29) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
1:7:48 | [CMD] xqHost(31) => /ehliyetyeri
1:7:49 | [SirketCHT] aliturkak(24): ! konyalý yalnýz deðilsn kardeþm bende de yok
1:7:50 | [CMD] CagatayBro(7) => /goreviptal
1:7:50 | [CMD] GSpor1991(15) => /convoyayril
1:7:52 | [CMD] CagatayBro(7) => /ehliyetyeri
1:7:53 | [CMD] GSpor1991(15) => /convoya
1:7:54 | [CMD] GSpor1991(15) => /convoy
1:7:55 | [CMD] ahmet55(18) => /work
1:7:55 | [CMD] amiral(20) => /goreviptal
1:7:56 | [CMD] GravLaunch(19) => /vtamir
1:7:56 | [SirketCHT] nik0tin(28): ! özel olarak 1 gün daðýtýldý herkese 
1:7:57 | [CMD] GSLIMERT(13) => /c ankarayta
1:7:58 | indoman(25) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
1:8:0 | [CMD] amiral(20) => /rescue
1:8:4 | VictorVance(25) oyuna girdi [IP: 88.231.50.30]
1:8:5 | [SirketCHT] Konyali42(36): ! tmm daha bazilarinda var
1:8:7 | [SirketCHT] CagatayBro(7): ! e ben oraya nasýl gelcem
1:8:9 | [SirketCHT] CagatayBro(7): ! geri
1:8:9 | [SirketCHT] GravLaunch(19): !oyunda olan herkese
1:8:12 | [SirketCHT] ASLANBEY(23): !harbour docks git gel 1m :D
1:8:13 | [CMD] BahadrOkan12(33) => /c konyo nerdee aloooo
1:8:15 | [CMD] GSLIMERT(13) => /convoyat 20
1:8:16 | sezzer(29) oyuna girdi [IP: 88.235.227.130]
1:8:17 | [SirketCHT] nik0tin(28): ! /rescue porto seç 
1:8:18 | [SirketCHT] Konyali42(36): ! bende niye yok ozaman .d
1:8:18 | [CMD] Makarov(22) => /tamir
1:8:18 | [SirketCHT] aliturkak(24): ! :D
1:8:20 | [CMD] CagatayBro(7) => /rescue
1:8:22 | [CMD] TDSElektro(16) => /meslek
1:8:22 | [CMD] [cCc]HulkHulk[cCc](8) => /c sootry
1:8:23 | [CMD] cCc.Bayram.cCC(9) => /vtamir
1:8:24 | [CMD] amiral(20) => /convoy
1:8:25 | [CMD] nefariouss(12) => /convoyat 33
1:8:26 | {FFCC00}TDSElektro(16) {FFFFFF}Kamyoncu olarak spawn oldu.
1:8:26 | [CMD] TDSDoctor(27) => /meslek
1:8:27 | [CMD] emre_cool(10) => /tamir
1:8:28 | [SirketCHT] CagatayBro(7): ! adamsýn sen reis
1:8:29 | VictorVance(25) oyundan cIktI (Hata/Crash) (IP: 88.231.50.30)
1:8:30 | {FFCC00}TDSDoctor(27) Otobus Soforu olarak spawn oldu.
1:8:30 | [CMD] huso608(17) => /work
1:8:31 | 
1:8:34 | [CMD] GSLIMERT(13) => /c lan ankara otagara beyýnsýzler
1:8:34 | [CMD] TDSElektro(16) => /meslek
1:8:35 | [CMD] nefariouss(12) => /work
1:8:35 | {FFCC00}sezzer(29) {FFFFFF}Kamyoncu olarak spawn oldu.
1:8:36 | TDSElektro(16) Yol Iscisi olarak spawn oldu.
1:8:36 | [CMD] amiral(20) => /sac
1:8:38 | [CMD] huso608(17) => /sac
1:8:38 | [SirketCHT] Konyali42(36): ! niko
1:8:38 | [CMD] sezzer(29) => /sa
1:8:40 | [CMD] Makarov(22) => /c aptal kim deedi sana ankara aç diye
1:8:40 | [CMD] xqHost(31) => /as
1:8:40 | [CMD] GravLaunch(19) => /as
1:8:41 | [CMD] ASLANBEY(23) => /asw
1:8:41 | [CMD] Konyali42(36) => /as
1:8:41 | VictorVance(25) oyuna girdi [IP: 88.231.50.30]
1:8:42 | aliturkak(24): dur binem
1:8:43 | [CMD] Makarov(22) => /c söveyimmi illa
1:8:43 | [CMD] huso608(17) => /as
1:8:43 | [CMD] ASLANBEY(23) => /as
1:8:45 | [CMD] BahadrOkan12(33) => /rescue
1:8:45 | [CMD] Adem32(21) => /as
1:8:47 | [CMD] Makarov(22) => /c sýktýrgýt kendýn yap
1:8:48 | [CMD] emre_cool(10) => /as
1:8:50 | sezzer(29): gece gece bu ne kalabalýk lan
1:8:50 | [CMD] Makarov(22) => /convoyayril
1:8:52 | 
1:8:53 | [CMD] GSLIMERT(13) => /c gel beklýyom sený topýk
1:8:55 | [CMD] CagatayBro(7) => /work
1:8:56 | GravLaunch(19): :D
1:8:56 | [SirketCHT] Konyali42(36): ! niko cagatayda hala vip var
1:8:57 | Joako_Suraniti(30) oyuna girdi [IP: 190.55.34.111]
1:8:57 | [CMD] TDSDoctor(27) => /meslek
1:8:57 | aliturkak(24): kanka vip verilmiþ ya
1:8:58 | [CMD] Makarov(22) => /rescue
1:8:59 | ASLANBEY(23): :D
1:9:0 | TDSDoctor(27) Yol Iscisi olarak spawn oldu.
1:9:1 | aliturkak(24): millet kullanýyoü
1:9:2 | [SirketCHT] Konyali42(36): ! 24 saat mi verildi
1:9:3 | VictorVance(25) Yol Iscisi olarak spawn oldu.
1:9:4 | xqHost(31): :D
1:9:5 | CagatayBro(7): he
1:9:5 | sezzer(29): haaa
1:9:7 | [SirketCHT] GravLaunch(19): !evet
1:9:7 | aliturkak(24): biz garibanlar gibi kenarda
1:9:11 | [CMD] Makarov(22) => /kemer
1:9:11 | sezzer(29): :D
1:9:12 | amiral(20) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
1:9:13 | [CMD] emre_cool(10) => /adminol
1:9:13 | xqHost(31): benim 11 gün
1:9:13 | [CMD] GSLIMERT(13) => /c gelýn lan
1:9:13 | [CMD] CagatayBro(7) => /work
1:9:14 | emre_cool(10): q
1:9:16 | [CMD] Makarov(22) => /work
1:9:16 | emre_cool(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
1:9:18 | [CMD] Makarov(22) => /work
1:9:20 | [SirketCHT] Konyali42(36): ! simdi biz gelmeyenler kayip mi ettik ozaman
1:9:21 | [CMD] GravLaunch(19) => /vipler
1:9:22 | [CMD] BahadrOkan12(33) => /c orasý neresi
1:9:24 | [SirketCHT] CagatayBro(7): ! niko reis
1:9:25 | 
1:9:27 | sezzer(29): benim ihtiyacým yok çok þükür herþeyim var
1:9:28 | [CMD] VictorVance(25) => /work
1:9:29 | [SirketCHT] nik0tin(28): ! evet 
1:9:30 | [SirketCHT] huso608(17): ! aynen
1:9:30 | [SirketCHT] CagatayBro(7): ! porto dan lv ye miydi
1:9:32 | [CMD] TDSElektro(16) => /tamir
1:9:34 | [CMD] BahadrOkan12(33) => /convoy
1:9:34 | [CMD] CagatayBro(7) => /work
1:9:34 | [CMD] GSLIMERT(13) => /top
1:9:34 | [SirketCHT] Konyali42(36): ! :(
1:9:36 | [CMD] VictorVance(25) => /kemer
1:9:37 | {FFCC00}Joako_Suraniti(30) Otobus Soforu olarak spawn oldu.
1:9:38 | [LOCAL]GravLaunch(19): yapýoz mu görev daha
1:9:38 | [CMD] GravLaunch(19) => /l yapýoz mu görev daha
1:9:39 | GSLIMERT(13): top
1:9:40 | [CMD] Adem32(21) => /araba
1:9:43 | amiral(10) oyuna girdi [IP: 176.217.104.184]
1:9:43 | aliturkak(24): benim ihtiyacým var la
1:9:44 | sezzer(29): rehber açýklandý mý
1:9:45 | [SirketCHT] nik0tin(28): ! evet porto lv lv porto yap 
1:9:45 | [CMD] Freezer3543(11) => /tamir
1:9:47 | [CMD] TDSDoctor(27) => /kemer
1:9:47 | [CMD] GravLaunch(19) => /vtamir
1:9:51 | ASLANBEY(23): ewet sezer
1:9:51 | huso608(17): evet
1:9:52 | 
1:9:52 | [CMD] GravLaunch(19) => /work
1:9:53 | Konyali42(36): herkez vip bi ben degil -.
1:9:53 | [CMD] Adem32(21) => /araba
1:9:54 | [CMD] BahadrOkan12(33) => /work
1:9:55 | sezzer(29): kim kim
1:9:56 | amiral(10) Yol Iscisi olarak spawn oldu.
1:9:56 | [SirketCHT] CagatayBro(7): ! tamamdýr eyw reis
1:9:59 | [CMD] Konyali42(36) => /kasabirak
1:10:0 | ASLANBEY(23): hrn hiç viptrucks
1:10:1 | xqHost(31): hic hrn viptrucks
1:10:2 | [SirketCHT] nik0tin(28): ! buglara dikkat et 
1:10:2 | [CMD] cCc.Bayram.cCC(9) => /vtamir
1:10:6 | [SirketCHT] CagatayBro(7): ! 2000 e doðru bugün
1:10:8 | [CMD] aliturkak(24) => /c ben çýkýcam þimdi aga
1:10:9 | huso608(17): hic hrn výptucks
1:10:11 | [SirketCHT] CagatayBro(7): ! yarýn da 2500 e
1:10:11 | sezzer(29): vay 
1:10:13 | Sparta298(20) oyuna girdi [IP: 217.131.73.173]
1:10:14 | HeRquL(14): 7l nerey la
1:10:15 | [SirketCHT] nik0tin(28): ! boðazda ada var oraya 
