0:0:0 | sezzer(6): 120 mi
10:53:29 | [CMD] testere151(8) => /r QW:E
10:53:32 | [CMD] iYasinBey(7) => /work
10:53:34 | [SirketCHT] [TR]MaroNBeReTSs(13): ! sw el deðiþtirdiði için 
10:53:48 | [CMD] [TR]MaroNBeReTSs(13) => /work
10:53:53 | [CMD] testere151(8) => /r balina da neymiþ oný ayaðýmda oynatýrým :D
10:53:53 | [CMD] nik0tin(9) => /a þu ekip baba mrb atýldý mý 
10:53:58 | [CMD] testere151(8) => /a evet
10:54:3 | [CMD] testere151(8) => /yonetim
10:54:7 | [CMD] iYasinBey(7) => /a dün sancak banladý gece onu
10:54:7 | [CMD] H.R.N.(12) => /r zýpkýný aldým þimdi o düþünsün
10:54:7 | [CMD] iYasinBey(7) => /atamir
10:54:13 | [CMD] nik0tin(9) => /a bozoða girmiþ 
10:54:13 | [CMD] [TR]MaroNBeReTSs(13) => /work 
10:54:14 | [BBG]ArdaCetiner(6) SansTRr(10)'a 10000$ para gönderdi
10:54:14 | [CMD] [BBG]ArdaCetiner(6) => /paragonder 10 10000
10:54:17 | [CMD] nik0tin(9) => /a :D 
10:54:24 | [CMD] testere151(8) => /a at o zmn :D
10:54:35 | [CMD] testere151(8) => /work
10:54:38 | [CMD] H.R.N.(12) => /r ayaðaýmý ýsýrdý ahhh
10:54:45 | [SirketCHT] nik0tin(9): ! atýlmýþ o ve ban yemiþ 
10:54:53 | [CMD] [TR]MaroNBeReTSs(13) => /work
10:55:3 | [CMD] testere151(8) => /r len ayaðýný sokma diyoz
10:55:6 | [LOCAL]H.R.N.(12): size kg be biraz pizza daðýtýyým
10:55:6 | [CMD] H.R.N.(12) => /l size kg be biraz pizza daðýtýyým
10:55:7 | [CMD] nik0tin(9) => /bangor [ekip]babamrb
10:55:9 | [CMD] iYasinBey(7) => /r :D
10:55:12 | [CMD] H.R.N.(12) => /meslek
10:55:13 | [LOCAL]iYasinBey(7): tm
10:55:13 | [CMD] iYasinBey(7) => /l tm
10:55:14 | [CMD] [TR]MaroNBeReTSs(13) => /work
10:55:15 | [CMD] H.R.N.(12) => /rescue
10:55:23 | [CMD] H.R.N.(12) => /work
10:55:25 | [CMD] nik0tin(9) => /work 
10:55:28 | [CMD] testere151(8) => /r ýsýrýr diyoruz dinlemiyosun 
10:55:28 | [CMD] [TR]MaroNBeReTSs(13) => /work
10:55:30 | [LOCAL]iYasinBey(7): palamut geldi
10:55:30 | [CMD] iYasinBey(7) => /l palamut geldi
10:55:34 | [CMD] iYasinBey(7) => /r palamut geldi
10:55:36 | [CMD] iYasinBey(7) => /work
10:55:38 | [CMD] testere151(8) => /r :D
10:55:49 | [CMD] iYasinBey(7) => /r amk bi köpekbalýðý tutamadýk
10:55:51 | [CMD] nik0tin(9) => /r pantolon balýðý tutma yasin sonu ahýrla biter .d.d.d
10:56:3 | [CMD] H.R.N.(12) => /asay /kurallar okuyup kabul ederek 30k ve 5 skor alabilirsiniz.
10:56:8 | [CMD] testere151(8) => /r kaç balýk tuttun 
10:56:13 | [CMD] iYasinBey(7) => /r 7
10:56:14 | [CMD] iYasinBey(7) => /r sen
10:56:17 | [CMD] testere151(8) => /r 7 
10:56:19 | [CMD] [TR]MaroNBeReTSs(13) => /work
10:56:20 | [CMD] iYasinBey(7) => /r :D
10:56:23 | [CMD] testere151(8) => /r :D
10:56:24 | [CMD] nik0tin(9) => /asay Vip-Skor-Para-Þirket Vb Ürünler Almak Ýstiyorsanýz www.trucksamp.com ' dan Alabilirsiniz    
10:56:28 | [CMD] testere151(8) => /r 8 
10:56:36 | [CMD] iYasinBey(7) => /r benim daha var sayýyor
10:56:36 | [CMD] testere151(8) => /r istavrit geldi
10:56:41 | [CMD] testere151(8) => /work
10:56:47 | [CMD] H.R.N.(12) => /modifiye
10:56:58 | [CMD] [TR]MaroNBeReTSs(13) => /work
10:57:3 | [CMD] nik0tin(9) => /work 
10:57:4 | [CMD] H.R.N.(12) => /work
10:57:10 | [ANTIHACK] Þüpheli SansTRr(10) => Airbreak-hack
10:57:11 | [CMD] iYasinBey(7) => /r evo gördüm olum gorkuyom ben buralarda
10:57:15 | [CMD] nik0tin(9) => /spec 10 
10:57:21 | [CMD] iYasinBey(7) => /r ýðhhh geliyor
10:57:24 | [CMD] nik0tin(9) => /specoff 
10:57:25 | nik0tin(9) Pizzaci olarak spawn oldu.
10:57:25 | [CMD] testere151(8) => /a id 10 bak niko
10:57:26 | [CMD] iYasinBey(7) => /r palamut geldi
10:57:27 | [TR]YagizKCKN(11) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
10:57:27 | [CMD] nik0tin(9) => /myskin 124 
10:57:28 | [CMD] iYasinBey(7) => /aka 10
10:57:31 | [CMD] nik0tin(9) => /a temiz 
10:57:33 | [CMD] [TR]MaroNBeReTSs(13) => /work
10:57:35 | [CMD] nik0tin(9) => /slap 9 
10:57:35 | [CMD] iYasinBey(7) => /work
10:57:39 | [CMD] testere151(8) => /a ok
10:57:46 | [CMD] nik0tin(9) => /a giþede hýzlý çarpmýþ 
10:57:52 | [CMD] H.R.N.(12) => /work
10:57:58 | [CMD] nik0tin(9) => /sac 
10:58:7 | [CMD] [TR]MaroNBeReTSs(13) => /work
10:58:8 | Salih.Veysel(0) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
10:58:25 | [CMD] H.R.N.(12) => /work
10:58:27 | [CMD] nik0tin(9) => /work 
10:58:29 | [ANTIHACK] Þüpheli SansTRr(10) => Airbreak-hack
10:58:33 | [CMD] nik0tin(9) => /spec 10 
10:58:35 | [CMD] [TR]MaroNBeReTSs(13) => /work
10:58:42 | [CMD] [BBG]ArdaCetiner(6) => /göreviptal
10:58:44 | [CMD] testere151(8) => /a bunda biþey var
10:58:48 | [CMD] H.R.N.(12) => /work
10:58:49 | [CMD] testere151(8) => /spec 10
10:58:49 | [CMD] [BBG]ArdaCetiner(6) => /göreviptal
10:58:52 | [CMD] nik0tin(9) => /a bakýyom 
10:58:55 | [CMD] [BBG]ArdaCetiner(6) => /goreviptal
10:58:59 | [CMD] iYasinBey(7) => /work
10:59:3 | [CMD] [BBG]ArdaCetiner(6) => /karakol
10:59:4 | [CMD] iYasinBey(7) => /r hamsu gledi
10:59:6 | [CMD] iYasinBey(7) => /r hamsu
10:59:8 | [CMD] iYasinBey(7) => /r uiyyy
10:59:11 | [CMD] testere151(8) => /specoff
10:59:11 | testere151(8) Balikci olarak spawn oldu.
10:59:12 | [CMD] [BBG]ArdaCetiner(6) => /cezaode
10:59:15 | [CMD] [BBG]ArdaCetiner(6) => /meslek
10:59:15 | [CMD] [TR]MaroNBeReTSs(13) => /work
10:59:17 | [CMD] nik0tin(9) => /specoff 
10:59:17 | nik0tin(9) Pizzaci olarak spawn oldu.
10:59:17 | {FFCC00}[BBG]ArdaCetiner(6) Otobus Soforu olarak spawn oldu.
10:59:20 | [CMD] H.R.N.(12) => /r cizart unlarý da
10:59:24 | [CMD] testere151(8) => /work
10:59:29 | [CMD] H.R.N.(12) => /work
10:59:33 | [TR]YagizKCKN(0) oyuna girdi [IP: 85.106.102.99]
10:59:34 | [CMD] [TR]MaroNBeReTSs(13) => /work
10:59:35 | [CMD] testere151(8) => /r 9 balýk mý oldu
10:59:36 | [CMD] [BBG]ArdaCetiner(6) => /kemer
10:59:39 | [CMD] iYasinBey(7) => /r ayn
10:59:40 | [CMD] [BBG]ArdaCetiner(6) => /modifiye
10:59:42 | 
10:59:44 | [CMD] [TR]MaroNBeReTSs(13) => /work
10:59:44 | [CMD] nik0tin(9) => /spec 10 
10:59:45 | [CMD] [TR]MaroNBeReTSs(13) => /work
10:59:48 | {FFCC00}[TR]YagizKCKN(0) Otobus Soforu olarak spawn oldu.
10:59:49 | [CMD] testere151(8) => /r benimde 10 tutuyorum
10:59:55 | [CMD] H.R.N.(12) => /work
10:59:55 | [CMD] iYasinBey(7) => /r su balký sayacý azalsa güzel olur
10:59:56 | [CMD] [TR]YagizKCKN(0) => /rescue
11:0:0 | [CMD] [TR]YagizKCKN(0) => /karakol
11:0:1 | [CMD] iYasinBey(7) => /r 30 40 larda filan
11:0:7 | [CMD] testere151(8) => /r ayn
11:0:8 | [CMD] [TR]YagizKCKN(0) => /cezaode
11:0:11 | [CMD] [TR]YagizKCKN(0) => /rescue
11:0:16 | [CMD] iYasinBey(7) => /r hem bu gemi mesleði çoðalýr
11:0:16 | [CMD] [BBG]ArdaCetiner(6) => /piss
11:0:18 | [CMD] [TR]YagizKCKN(0) => /rescue
11:0:19 | [CMD] iYasinBey(7) => /r gemi kalmaz
11:0:20 | [CMD] [BBG]ArdaCetiner(6) => /pýss
11:0:24 | [CMD] [TR]MaroNBeReTSs(13) => /work
11:0:38 | [CMD] [BBG]ArdaCetiner(6) => /kemer
11:0:39 | [CMD] iYasinBey(7) => /r o sýrada benim yapt ýðým lucinin hatalarý düzelttiði map gelicek
11:0:41 | [CMD] [BBG]ArdaCetiner(6) => /kemer
11:0:44 | [CMD] iYasinBey(7) => /r devrey
11:0:45 | [CMD] iYasinBey(7) => /r devreye
11:0:45 | [CMD] [BBG]ArdaCetiner(6) => /modifiye
11:0:54 | [CMD] iYasinBey(7) => /r allah izin verirse
11:0:54 | [CMD] H.R.N.(12) => /r kaç dk yapýyonuz daha 10 skor alacanýz mesela
11:0:55 | [LOCAL][TR]MaroNBeReTSs(13): efendi ol efendi 
11:0:55 | [CMD] [TR]MaroNBeReTSs(13) => /l efendi ol efendi 
11:0:57 | [CMD] iYasinBey(7) => /r inþallah
11:0:57 | [CMD] testere151(8) => /r hatta þöle olsa /work yazýp 20 tane oto tutucak 
11:1:0 | [CMD] [TR]MaroNBeReTSs(13) => /work
11:1:5 | [CMD] iYasinBey(7) => /work
11:1:5 | [LOCAL]H.R.N.(12): yohya
11:1:5 | [CMD] H.R.N.(12) => /l yohya
11:1:6 | [CMD] testere151(8) => /r balýklarý
11:1:6 | [CMD] iYasinBey(7) => /r ayn
11:1:7 | [CMD] [TR]YagizKCKN(0) => /modifiye
11:1:18 | [CMD] [TR]YagizKCKN(0) => /modifiye
11:1:18 | [CMD] H.R.N.(12) => /work
11:1:23 | [CMD] [TR]MaroNBeReTSs(13) => /work
11:1:28 | [CMD] nik0tin(9) => /r gemiyi karaya çekip exp kasanlar vardý 
11:1:29 | Salih.Veysel(11) oyuna girdi [IP: 78.190.133.199]
11:1:38 | [CMD] testere151(8) => /work
11:1:39 | [CMD] [TR]YagizKCKN(0) => /convoy
11:1:42 | [CMD] iYasinBey(7) => /r nasýl o
11:1:42 | 
11:1:43 | [CMD] [TR]MaroNBeReTSs(13) => /afk
11:1:47 | [CMD] [TR]MaroNBeReTSs(13) => /karkaol
11:1:49 | [CMD] [TR]MaroNBeReTSs(13) => /karakol
11:1:51 | [CMD] [TR]MaroNBeReTSs(13) => /cezaode
11:1:53 | [CMD] [TR]MaroNBeReTSs(13) => /rescue
11:1:53 | [CMD] SansTRr(10) => /karokor
11:1:56 | [CMD] nik0tin(9) => /r ama yasak o artýk 
11:1:56 | Salih.Veysel(11) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
11:1:57 | [CMD] [TR]YagizKCKN(0) => /convoy
11:1:57 | [CMD] SansTRr(10) => /karakor
11:1:58 | [CMD] [BBG]ArdaCetiner(6) => /convoyayril
11:2:0 | [CMD] [TR]MaroNBeReTSs(13) => /afk 
11:2:4 | [CMD] [TR]YagizKCKN(0) => /convoy
11:2:6 | [CMD] [BBG]ArdaCetiner(6) => /convoy
11:2:9 | [CMD] H.R.N.(12) => /r yasin evini kilitle lo
11:2:12 | [CMD] iYasinBey(7) => /r :D
11:2:13 | [CMD] H.R.N.(12) => /work
11:2:14 | [CMD] [TR]YagizKCKN(0) => /convoy
11:2:17 | [CMD] SansTRr(10) => /convoy
11:2:19 | [CMD] [TR]YagizKCKN(0) => /convoy
11:2:24 | [CMD] [TR]YagizKCKN(0) => /convoyayril
11:2:26 | [CMD] iYasinBey(7) => /a nasýl yapýlýyor söylede adam görürsem jail atarým 
11:2:26 | [CMD] [TR]YagizKCKN(0) => /convoy
11:2:27 | [CMD] SansTRr(10) => /convoyayrýl
11:2:27 | [CMD] iYasinBey(7) => /a nasýl yapýlýyor söylede adam görürsem jail atarým 
11:2:31 | [CMD] SansTRr(10) => /convoyayril
11:2:36 | [CMD] H.R.N.(12) => /work
11:2:37 | [CMD] SansTRr(10) => /convoy
11:2:41 | [CMD] SansTRr(10) => /karakolþ
11:2:43 | [CMD] SansTRr(10) => /karakol
11:2:46 | [CMD] nik0tin(9) => /a tekneyi karada tutuyor 
11:2:52 | [CMD] testere151(8) => /a mythic yapýyodu
11:2:58 | [CMD] SansTRr(10) => /cezaode
11:3:1 | [CMD] H.R.N.(12) => /work
11:3:3 | [CMD] iYasinBey(7) => /work
11:3:6 | [CMD] nik0tin(9) => /a ondan sonra bende öðrendim :D 
11:3:13 | [CMD] testere151(8) => /work
11:3:14 | [CMD] iYasinBey(7) => /a :D
11:3:16 | [CMD] iYasinBey(7) => /ogorev 8
11:3:16 | [CMD] nik0tin(9) => /a o bot salýyodu 
11:3:26 | [CMD] SansTRr(10) => /meslek
11:3:26 | [CMD] nik0tin(9) => /a bende saldým bi ara :D 
11:3:32 | [CMD] nik0tin(9) => /a yasak deðildi 
11:3:32 | [CMD] H.R.N.(12) => /r 1 hafta zaman tuttum 15:00 da bakalým kumarhane ne kadar verecek
11:3:33 | {FFCC00}SansTRr(10) Otobus Soforu olarak spawn oldu.
11:3:34 | [CMD] testere151(8) => /r 11 inci balýðý tuttum ,
11:3:44 | iYasinBey(7): ben 12. deyim
11:3:46 | [CMD] SansTRr(10) => /kemer
11:3:48 | [CMD] H.R.N.(12) => /work
11:3:49 | [CMD] [BBG]ArdaCetiner(6) => /work
11:3:51 | [CMD] iYasinBey(7) => /r ben 12. deyim
11:3:54 | [CMD] iYasinBey(7) => /atamir
11:4:3 | [CMD] testere151(8) => /r saniye mi
11:4:8 | [CMD] iYasinBey(7) => /r yes
11:4:12 | [CMD] testere151(8) => /r benimde 
11:4:13 | [CMD] nik0tin(9) => /specoff 
11:4:13 | nik0tin(9) Pizzaci olarak spawn oldu.
11:4:23 | [CMD] testere151(8) => /r 55 sn
11:4:23 | [CMD] nik0tin(9) => /a specten çýkýnca müzik gitmiyor 
11:4:25 | [CMD] H.R.N.(12) => /r 12 skor yaptýnýz 10dk 40skor yaptým .d
11:4:34 | [CMD] H.R.N.(12) => /work
11:4:38 | [CMD] testere151(8) => /r bende vip var :D
11:4:41 | [CMD] nik0tin(9) => /asay Araç Res Geliyor ...    
11:4:41 | [CMD] nik0tin(9) => /asay Araç Res Geliyor ...    
11:4:43 | [CMD] nik0tin(9) => /cantazele 
11:4:43 | [CMD] iYasinBey(7) => /r herif haklý
11:4:45 | [CMD] iYasinBey(7) => /work
11:4:47 | [CMD] nik0tin(9) => /respawncars 
11:4:47 | [CMD] H.R.N.(12) => /r hmm
11:4:58 | [CMD] testere151(8) => /r bi versem 3 katý gelcek skor
11:4:59 | [CMD] H.R.N.(12) => /work
11:5:6 | [BBG]ArdaCetiner(6): herkes
11:5:10 | [CMD] iYasinBey(7) => /r 1 günlük vip ver bizde yararlaak
11:5:20 | [CMD] testere151(8) => /r parasýný ver :D
11:5:27 | H.R.N.(12):  @10 /kurallar oku kabul et hediye al
11:5:32 | [CMD] iYasinBey(7) => /r bitcoin geçse
11:5:32 | [CMD] nik0tin(9) => /r onu tek matite verir beleþi .d 
11:5:36 | [CMD] iYasinBey(7) => /r bitcoin geçse sw de
11:5:53 | [CMD] H.R.N.(12) => /work
11:6:12 | [CMD] iYasinBey(7) => /r marmaraya açýldýk
11:6:14 | [CMD] H.R.N.(12) => /work
11:6:25 | [CMD] nik0tin(9) => /goto 8 
11:6:30 | [CMD] nik0tin(9) => /araba 
11:6:40 | [CMD] iYasinBey(7) => /atamir
11:6:41 | [CMD] iYasinBey(7) => /workd
11:6:42 | [CMD] H.R.N.(12) => /r yarým ekmek lüfer ayarlayýn
11:6:49 | [CMD] iYasinBey(7) => /r yeni tuttum
11:6:50 | [CMD] nik0tin(9) => /myskin 95
11:6:51 | [CMD] nik0tin(9) => /myskin 94
11:6:52 | [CMD] iYasinBey(7) => /r gel verem
11:6:53 | [CMD] nik0tin(9) => /myskin 80
11:6:55 | [CMD] nik0tin(9) => /myskin 81
11:6:56 | [CMD] nik0tin(9) => /myskin 82
11:6:57 | [CMD] H.R.N.(12) => /work
11:6:58 | [CMD] nik0tin(9) => /myskin 83
11:6:59 | [CMD] nik0tin(9) => /myskin 84
11:7:1 | [CMD] nik0tin(9) => /myskin 85
11:7:2 | [CMD] nik0tin(9) => /myskin 86
11:7:3 | [CMD] nik0tin(9) => /myskin 87
11:7:5 | [CMD] nik0tin(9) => /myskin 88
11:7:6 | [CMD] nik0tin(9) => /myskin 89
11:7:8 | [CMD] iYasinBey(7) => /r kafasýn kparcam dur
11:7:8 | [CMD] nik0tin(9) => /myskin 90
11:7:10 | [CMD] nik0tin(9) => /myskin 91
11:7:10 | [CMD] iYasinBey(7) => /goto 8
11:7:12 | [CMD] nik0tin(9) => /myskin 92
11:7:13 | [CMD] nik0tin(9) => /myskin 93
11:7:14 | [CMD] nik0tin(9) => /myskin 94
11:7:16 | [CMD] nik0tin(9) => /myskin 95
11:7:17 | [CMD] nik0tin(9) => /myskin 96
11:7:19 | [CMD] nik0tin(9) => /myskin 97
11:7:27 | [CMD] nik0tin(9) => /modifiye 
11:7:28 | [CMD] H.R.N.(12) => /araba
11:7:41 | [CMD] SansTRr(10) => /tamir
11:7:43 | [CMD] nik0tin(9) => /scar
11:7:46 | [CMD] nik0tin(9) => /araba 
11:7:48 | [CMD] iYasinBey(7) => /baliksat
11:7:50 | [CMD] testere151(8) => /baliksat
11:7:52 | [CMD] iYasinBey(7) => /meslek
11:7:56 | [CMD] nik0tin(9) => /modifiye 
11:7:57 | iYasinBey(7) Pizzaci olarak spawn oldu.
11:7:59 | [CMD] testere151(8) => /r 36 skor temiz
11:8:5 | [CMD] H.R.N.(12) => /r helikopter pisti yaptýrýn artýk gemiye
11:8:7 | [CMD] iYasinBey(7) => /r 13
11:8:18 | [CMD] iYasinBey(7) => /kemer
11:8:19 | [CMD] iYasinBey(7) => /work
11:8:41 | [CMD] nik0tin(9) => /car skimmer 0 1 
11:8:50 | [CMD] H.R.N.(12) => /baliksat
11:9:1 | [CMD] H.R.N.(12) => /r pizza satýlmýyo
11:9:7 | [CMD] iYasinBey(7) => /cevir
11:9:7 | [CMD] H.R.N.(12) => /r /pizzasat
11:9:10 | [CMD] nik0tin(9) => /atamir 
11:9:16 | [CMD] iYasinBey(7) => /r vay canýna
11:9:29 | [CMD] iYasinBey(7) => /r oto satýyor
11:9:33 | [CMD] nik0tin(9) => /car skimmer 0 1 
11:9:36 | [CMD] [BBG]ArdaCetiner(6) => /work
11:10:9 | [CMD] H.R.N.(12) => /work
11:10:26 | [CMD] iYasinBey(7) => /atamir
11:10:37 | [CMD] nik0tin(9) => /cleaanupcars 
11:10:41 | [CMD] SansTRr(10) => /tamir
11:10:44 | [CMD] nik0tin(9) => /cleanupcars 
11:10:49 | [CMD] iYasinBey(7) => /work
11:10:52 | [CMD] nik0tin(9) => /boat 
11:10:53 | [CMD] H.R.N.(12) => /work
11:11:29 | [CMD] iYasinBey(7) => /r kendi evime pizza býrakan ilk gavatým
11:11:32 | [CMD] [BBG]ArdaCetiner(6) => /rescue
11:11:33 | [CMD] iYasinBey(7) => /work
11:11:38 | [CMD] [BBG]ArdaCetiner(6) => /goreviptal
11:11:38 | [CMD] H.R.N.(12) => /r a.SDasd
11:11:40 | [CMD] [BBG]ArdaCetiner(6) => /rescue
11:11:41 | [CMD] H.R.N.(12) => /work
11:11:53 | [CMD] testere151(8) => /meslek
11:11:56 | testere151(8) Pizzaci olarak spawn oldu.
11:11:57 | [CMD] [BBG]ArdaCetiner(6) => /work
11:12:0 | [CMD] H.R.N.(12) => /r sipariþi inþ 2 kiþi vermemiþtir
11:12:9 | [CMD] iYasinBey(7) => /r :d
11:12:13 | [CMD] testere151(8) => /r bu ls deki pizza spawn yeri sýkýntýlý mk
11:12:13 | [CMD] SansTRr(10) => /tamir
11:12:19 | [CMD] testere151(8) => /r havada baþlýyoz
11:12:21 | [CMD] [TR]MaroNBeReTSs(13) => /geldim
11:12:25 | [CMD] [TR]MaroNBeReTSs(13) => /kemer
11:12:27 | [CMD] H.R.N.(12) => /r vahiy gibi gökten býrakýyo
11:12:27 | [CMD] iYasinBey(7) => /work
11:12:35 | [CMD] testere151(8) => /rescue
11:12:37 | [CMD] H.R.N.(12) => /work
11:12:43 | [CMD] testere151(8) => /work
11:13:6 | [CMD] H.R.N.(12) => /work
11:13:26 | [CMD] H.R.N.(12) => /work
11:13:40 | iYasinBey(7): san fierroyu pizzacýlar bastý
11:13:43 | [CMD] iYasinBey(7) => /work
11:13:46 | [CMD] [TR]MaroNBeReTSs(13) => /work
11:13:48 | [CMD] iYasinBey(7) => /atamir
11:13:54 | [CMD] H.R.N.(12) => /work
11:14:1 | iYasinBey(7): bak baks
11:14:5 | [CMD] SansTRr(10) => /kemer
11:14:8 | [CMD] nik0tin(9) => /cleanupcars 
11:14:11 | [CMD] nik0tin(9) => /rescue 
11:14:13 | iYasinBey(7): kendi evime pizza
11:14:13 | iYasinBey(7): :D
11:14:18 | [CMD] [TR]MaroNBeReTSs(13) => /work
11:14:20 | [CMD] [TR]MaroNBeReTSs(13) => /work
11:14:25 | [CMD] H.R.N.(12) => /work
11:14:30 | [CMD] SansTRr(10) => /goreviptal
11:14:51 | [CMD] iYasinBey(7) => /work
11:14:53 | [CMD] H.R.N.(12) => /r yasin týrla daðýtsaydýn
11:14:54 | [CMD] [TR]MaroNBeReTSs(13) => /work
11:14:58 | [CMD] iYasinBey(7) => /r :D
11:15:8 | [CMD] testere151(8) => /work
11:15:9 | [TR]MaroNBeReTSs(13): yasin 
11:15:10 | [CMD] H.R.N.(12) => /r yasin týrla daðýtsaydýn
11:15:13 | [TR]MaroNBeReTSs(13): evi kitle la 
11:15:16 | [CMD] [TR]MaroNBeReTSs(13) => /work
11:15:17 | [CMD] H.R.N.(12) => /r upss
11:15:17 | iYasinBey(7): :D
11:15:19 | [CMD] H.R.N.(12) => /work
11:15:27 | testere151(8): maron sana pizza býraktým yersin bol malzemoslu
11:15:35 | [CMD] [BBG]ArdaCetiner(6) => /goreviptal
11:15:37 | [CMD] H.R.N.(12) => /work
11:15:40 | iYasinBey(7): 2 defa kendime pizza býraktým ben
11:15:41 | [TR]MaroNBeReTSs(13): tükürmedin demi 
11:15:42 | [CMD] SansTRr(10) => /goreviptal
11:15:43 | [CMD] iYasinBey(7) => /atamir
11:15:43 | [CMD] [TR]YagizKCKN(0) => /goreviptal
11:15:46 | testere151(8): yoh 
11:15:49 | [CMD] iYasinBey(7) => /atamir
11:15:50 | [CMD] H.R.N.(12) => /work
11:15:52 | iYasinBey(7): 2 defa kendime pizza býraktým ben
11:15:56 | testere151(8): bi parça üstünden yedim 
11:15:57 | [CMD] iYasinBey(7) => /kemer
11:15:59 | [CMD] iYasinBey(7) => /work
11:16:5 | testere151(8): çok güzel koktu
11:16:7 | [CMD] SansTRr(10) => /modify
11:16:8 | [TR]MaroNBeReTSs(13): afiyet zýkkým olsun 
11:16:17 | nik0tin(9): promasyonunu yemiþ adam 
11:16:20 | [CMD] [TR]MaroNBeReTSs(13) => /modifiye
11:16:24 | testere151(8): tabi tabi
11:16:24 | [CMD] [BBG]ArdaCetiner(6) => /work
11:16:25 | [CMD] H.R.N.(12) => /work
11:16:25 | [CMD] [TR]MaroNBeReTSs(13) => /work
11:16:34 | iYasinBey(7): pizzacýnýn hakkýný yedirmeyiz..
11:16:45 | [CMD] H.R.N.(12) => /gc spedyy gonzales gibiyim haa
11:16:45 | [CMD] [TR]MaroNBeReTSs(13) => /work
11:16:46 | [CMD] [BBG]ArdaCetiner(6) => /goreviptal
11:16:53 | [CMD] [TR]YagizKCKN(0) => /convoyayril
11:16:55 | [CMD] [TR]YagizKCKN(0) => /convoy
11:16:56 | [CMD] SansTRr(10) => /convotayril
11:16:57 | [CMD] [BBG]ArdaCetiner(6) => /convoyayril
11:16:58 | [CMD] iYasinBey(7) => /work
11:16:59 | testere151(8): o kadar pizzacýda çalýþak bizde yemiyek mi
11:16:59 | [CMD] SansTRr(10) => /convoy
11:17:0 | [CMD] [TR]YagizKCKN(0) => /convoy
11:17:3 | [CMD] SansTRr(10) => /convotayril
11:17:4 | [CMD] [BBG]ArdaCetiner(6) => /convoy
11:17:6 | [CMD] [TR]MaroNBeReTSs(13) => /gc speedy deðil o zibidi 
11:17:6 | [CMD] [TR]YagizKCKN(0) => /convoy
11:17:9 | iYasinBey(7): bak ya
11:17:11 | [CMD] [TR]YagizKCKN(0) => /convoy
11:17:14 | [CMD] SansTRr(10) => /convoyayirl
11:17:15 | iYasinBey(7): iy ne kendime býrakýyom
11:17:19 | [CMD] SansTRr(10) => /convoyayril
11:17:21 | [CMD] H.R.N.(12) => /work
11:17:21 | [CMD] iYasinBey(7) => /pm 7 kendime pizza :D
11:17:22 | [CMD] [TR]YagizKCKN(0) => /modifiye
11:17:22 | [CMD] [TR]MaroNBeReTSs(13) => /work
11:17:23 | [CMD] SansTRr(10) => /convoy
11:17:29 | [CMD] [BBG]ArdaCetiner(6) => /work
11:17:36 | [CMD] H.R.N.(12) => /t hep bura gelse yokuþ gelmese
11:17:36 | testere151(8): hüseyine pizza býraktým
11:17:44 | iYasinBey(7): kendime 3 tane pizza býraktým kim söylüyor bu pizzalarý
11:17:49 | testere151(8): üstüne tüküreyimde
11:17:55 | testere151(8): püð 
11:18:0 | [CMD] testere151(8) => /work
11:18:2 | [CMD] [TR]MaroNBeReTSs(13) => /work
11:18:4 | H.R.N.(12):  ss time
11:18:7 | iYasinBey(7): gerekli ss ler alýndý
11:18:9 | [CMD] iYasinBey(7) => /work
11:18:16 | [CMD] H.R.N.(12) => /work
11:18:29 | iYasinBey(7): :D
11:18:32 | [CMD] [TR]MaroNBeReTSs(13) => /work
11:18:35 | [CMD] H.R.N.(12) => /work
11:18:41 | testere151(8): yasin sana pizza býrakýcam
11:18:50 | iYasinBey(7): tükrme
11:18:54 | [CMD] nik0tin(9) => /a çiþli piza 
11:18:58 | [CMD] iYasinBey(7) => /a yemem
11:19:3 | [CMD] testere151(8) => /a spermli pizza
11:19:4 | iYasinBey(7): pizzalarýn hepsini atcam
11:19:4 | [CMD] H.R.N.(12) => /stats
11:19:5 | [CMD] [TR]MaroNBeReTSs(13) => /work
11:19:9 | [CMD] H.R.N.(12) => /basarimlar
11:19:12 | iYasinBey(7): kendim býraktýklarýmý yicem
11:19:13 | [CMD] nik0tin(9) => /a kurutur yersin .d 
11:19:20 | [CMD] H.R.N.(12) => /sac
11:19:23 | [TR]MaroNBeReTSs(13): yasin
11:19:23 | [CMD] H.R.N.(12) => /work
11:19:26 | iYasinBey(7): efm
11:19:28 | [TR]MaroNBeReTSs(13): pizza parasýný ver 
11:19:31 | [CMD] iYasinBey(7) => /kemer
11:19:38 | [CMD] [TR]MaroNBeReTSs(13) => /work
11:19:40 | iYasinBey(7): borcumuz ne kadar
11:19:40 | [CMD] H.R.N.(12) => /work
11:19:43 | [CMD] [BBG]ArdaCetiner(6) => /tamir
11:19:44 | [TR]MaroNBeReTSs(13): 50M
11:19:44 | [CMD] iYasinBey(7) => /work
11:19:51 | iYasinBey(7) [TR]MaroNBeReTSs(13)'a 50$ para gönderdi
11:19:51 | [CMD] iYasinBey(7) => /paragonder 13 50
11:19:56 | iYasinBey(7): :d
11:20:8 | [CMD] H.R.N.(12) => /work
