0:0:0 | [CMD] TIRCI(23) => /basarimlar
7:59:26 | [CMD] Asi_Kaptan(0) => /c farlarýný nasýl yapýyorsun ole ?
7:59:37 | [CMD] testere151(7) => /atamir
7:59:52 | [CMD] testere151(7) => /c ters gitmeyin lo
8:0:9 | [CMD] Asi_Kaptan(0) => /c dogru gidiyoruz
8:0:49 | [CMD] eren1616(9) => /sc
8:0:51 | [CMD] eren1616(9) => /sac
8:2:21 | [CMD] eren1616(9) => /a siyi uyar giþe beleþ
8:2:43 | [CMD] testere151(7) => /a sen uyar ben görmedim
8:3:8 | [CMD] testere151(7) => /a lo giþedemisin
8:3:12 | [CMD] eren1616(9) => /getdorse
8:3:20 | [CMD] eren1616(9) => /a amk lagýýýü
8:3:58 | [CMD] eren1616(9) => /atamir
8:4:23 | [CMD] eren1616(9) => /atamir
8:4:26 | [CMD] Asi_Kaptan(0) => /tamir
8:4:40 | [CMD] Asi_Kaptan(0) => /c testere sayemde zengin oluyorsun :D
8:4:51 | [CMD] testere151(7) => /atamir
8:5:0 | [CMD] testere151(7) => /c ben zaten zenginim ;)
8:5:17 | [CMD] Asi_Kaptan(0) => /c giseden hep :D
8:6:58 | Asi_Kaptan(0): nereye :D
8:7:4 | testere151(7): hay :/
8:7:45 | testere151(7): alýþmýþým harboura 
8:7:51 | testere151(7): oraya gidiyorum :/
8:7:57 | Asi_Kaptan(0): soylemesem devam :D
8:8:1 | testere151(7): ayn :d
8:8:22 | [CMD] testere151(7) => /a kaç yýldýz
8:8:43 | [CMD] testere151(7) => /a var
8:8:59 | [CMD] eren1616(9) => /A 1
8:9:3 | [CMD] eren1616(9) => /a oda bugtan
8:9:9 | [CMD] testere151(7) => /wanted 9 0
8:9:17 | [CMD] testere151(7) => /a sildim
8:9:24 | [CMD] eren1616(9) => /a eyw
8:10:1 | Asi_Kaptan(0): Yuvas Tavran Araca d:
8:10:20 | [CMD] testere151(7) => /atamir
8:10:22 | [CMD] testere151(7) => /fuel
8:10:28 | [CMD] Asi_Kaptan(0) => /convoykontrol
8:10:32 | Asi_Kaptan(0): Eren 
8:10:34 | [CMD] testere151(7) => /caroption
8:10:36 | eren1616(9): ??
8:10:53 | eren1616(9): lanet olsasý lag
8:10:59 | Asi_Kaptan(0): Evet :D
8:11:1 | eren1616(9): lagdan davacýyým
8:11:3 | [CMD] testere151(7) => /convoyayril
8:11:15 | Asi_Kaptan(0): Al Gorevi ;)
8:11:16 | [CMD] eren1616(9) => /a la diver harbour al
8:11:16 | [CMD] eren1616(9) => /a la diver harbour al
8:11:18 | testere151(7): ben gidiyom tek yapcam
8:11:27 | [CMD] testere151(7) => /work
8:11:33 | Asi_Kaptan(0): liderligi sal bari :D
8:11:41 | [CMD] eren1616(9) => /c lidersin
8:11:43 | testere151(7): lider ben deðilim 
8:11:44 | [CMD] Asi_Kaptan(0) => /work
8:11:47 | [CMD] eren1616(9) => /c harbour al burdan
8:11:54 | [CMD] eren1616(9) => /atamir
8:12:15 | [CMD] Asi_Kaptan(0) => /cakar
8:12:23 | [CMD] Asi_Kaptan(0) => /c o cakarlarý nasýl yapýyorsun ?
8:12:37 | [CMD] eren1616(9) => /a mod
8:12:42 | [CMD] eren1616(9) => /c mod
8:12:52 | [CMD] eren1616(9) => /a yanlýþ chat
8:12:55 | [CMD] testere151(7) => /a qwe
8:15:25 | [CMD] eren1616(9) => /a knk sende kaç m var
8:15:30 | [CMD] eren1616(9) => /vtamir
8:16:1 | [CMD] testere151(7) => /a tab a bas ismime çift týkla görürsün
8:16:14 | [CMD] eren1616(9) => /a olmiyi
8:16:19 | [CMD] testere151(7) => /a püð
8:16:24 | [CMD] testere151(7) => /a 321 m
8:16:29 | [CMD] eren1616(9) => /a yuh amk
8:16:35 | [CMD] eren1616(9) => /a bende 33m
8:16:54 | [CMD] eren1616(9) => /a gerçi paramý ve arabalarý alabilseydim
8:17:13 | [CMD] eren1616(9) => /a elegy banshee maverick tekne stafford
8:18:34 | [CMD] eren1616(9) => /atamir
8:19:0 | [CMD] Asi_Kaptan(0) => /c arkadan gec :D
8:19:17 | [CMD] Asi_Kaptan(0) => /c allahdan gec dedik :d
8:19:29 | [CMD] eren1616(9) => /c haram para olmaz
8:19:37 | [CMD] Asi_Kaptan(0) => /c oyunun haramýmý olur sence :D
8:19:46 | [CMD] eren1616(9) => /c hayatta bi oyun :)
8:19:54 | [CMD] Asi_Kaptan(0) => /c hadi len ordan
8:20:49 | [CMD] eren1616(9) => /c yuh be
8:20:56 | [CMD] Asi_Kaptan(0) => /c basarýný tebrik ediyorum
8:21:12 | [CMD] eren1616(9) => /atamir
8:21:26 | [CMD] Asi_Kaptan(0) => /c hatta milletce alkýs tutalým
8:21:41 | [CMD] testere151(7) => /atamir
8:22:7 | [LOCAL]Asi_Kaptan(0): az yavas vur
8:22:7 | [CMD] Asi_Kaptan(0) => /l az yavas vur
8:22:9 | [CMD] Asi_Kaptan(0) => /work
8:22:12 | [CMD] Asi_Kaptan(0) => /work
8:22:13 | [CMD] eren1616(9) => /c docks 
8:22:15 | [CMD] eren1616(9) => /c harbour
8:22:18 | [CMD] eren1616(9) => /c yapalým
8:22:22 | [CMD] eren1616(9) => /atamir
8:22:34 | [LOCAL]eren1616(9): la olm yav
8:22:34 | [CMD] eren1616(9) => /l la olm yav
8:22:36 | [CMD] Asi_Kaptan(0) => /c burasý daha iyi gise parasý vermiyoruz
8:22:38 | [LOCAL]eren1616(9): az para veriyor
8:22:38 | [CMD] eren1616(9) => /l az para veriyor
8:23:31 | [CMD] eren1616(9) => /c ben docks a gidiyom
8:23:48 | [CMD] eren1616(9) => /a knk
8:23:49 | [CMD] Asi_Kaptan(0) => /c yolun acýk olsun 
8:23:52 | [CMD] testere151(7) => /a efm
8:23:53 | [CMD] eren1616(9) => /a gel biþey yapak
8:24:17 | [CMD] eren1616(9) => /a knk bi bug vardý
8:24:19 | testere151, 101 gün VIP Oldu
8:24:19 | [CMD] testere151(7) => /setvip 7 101
8:24:21 | [CMD] eren1616(9) => /a hala varmý gelsene bi
8:24:26 | testere151, 110 gün VIP Oldu
8:24:26 | [CMD] testere151(7) => /setvip 7 110
8:24:37 | Asi_Kaptan(0): bize yoh mu :D
8:24:49 | Asi_Kaptan, 1 gün VIP Oldu
8:24:49 | [CMD] testere151(7) => /setvip 0 1
8:24:51 | Asi_Kaptan, 0 gün VIP Oldu
8:24:51 | [CMD] testere151(7) => /setvip 0 0
8:25:3 | Asi_Kaptan(0): oda iyi :D
8:25:5 | [CMD] eren1616(9) => /a 31 gün ver :D
8:25:8 | [CMD] testere151(7) => /cc
8:25:9 | [CMD] eren1616(9) => /vipler
8:25:20 | [CMD] testere151(7) => /vipler
8:25:22 | [CMD] eren1616(9) => /a knk bi goto ol
8:25:27 | [CMD] eren1616(9) => /a buga bakýcam
8:25:28 | [CMD] testere151(7) => /a görev var
8:25:32 | [CMD] testere151(7) => /a bitsin 
8:25:35 | [CMD] eren1616(9) => /a ok
8:25:35 | [CMD] Asi_Kaptan(0) => /pm 7 ss aldým hatýra kalsýn 
8:25:41 | [CMD] testere151(7) => /pm 0 Q:WE
8:25:49 | [CMD] Asi_Kaptan(0) => /pm 7 saniyelik vip olduk diye :D
8:26:5 | [CMD] eren1616(9) => /a .
8:26:7 | [CMD] eren1616(9) => /r .
8:26:9 | [CMD] eren1616(9) => /d .
8:26:13 | [CMD] Asi_Kaptan(0) => /pm 7 verceksen bari cýkana kadar verseydin :D
8:26:14 | [CMD] eren1616(9) => /work
8:26:18 | [CMD] eren1616(9) => /convoyayril
8:26:22 | [CMD] testere151(7) => /pm 0 olmaz
8:26:24 | [CMD] eren1616(9) => /work
8:26:32 | [CMD] testere151(7) => /pm 0 sancak kýzar sonra
8:26:36 | [CMD] eren1616(9) => /atamir
8:26:40 | [CMD] eren1616(9) => /asiriyuk
8:27:4 | [CMD] Asi_Kaptan(0) => /pm 7 gunluk vermiyorsun sonucda saatlýk :d
8:27:30 | [CMD] eren1616(9) => /atamir
8:27:36 | [CMD] eren1616(9) => /atamir
8:28:12 | [CMD] eren1616(9) => /a knk yýldýzlarý temizlesene
8:28:18 | testere151(7): kendi giþeme para veriyorum ne güzel :/
8:28:33 | eren1616(9): senin giþe nerde ka
8:28:41 | testere151(7): lv ls yolu
8:28:50 | eren1616(9): :D
8:28:55 | eren1616(9): hatýrladým 
8:29:17 | Asi_Kaptan(0): gotur desek bulamazsýn .d
8:29:19 | testere151(7): yaw 10 kere dorse mi çýkar
8:29:23 | eren1616(9): :D
8:29:43 | Asi_Kaptan(0): senin gibi  acemi olursa cýkar :D
8:29:48 | testere151(7): :D
8:30:2 | Asi_Kaptan(0): ucretsiz vip ne zaman verilir :d
8:30:4 | testere151(7): heh benzin  bitti güzel oldu
8:30:12 | [CMD] testere151(7) => /fuel
8:30:29 | Asi_Kaptan(0): ucretsiz vip ne zaman verilir :D
8:30:38 | [KAMYONCU] testere151, Konya Organize Sanayii 1'den LV Freight Depot'e Pano tasidi. Kazanc: 177276$, 1 Skor ve 5 EXP Sure: 499 Saniye
8:30:43 | testere151(7): bilmem :sd
8:30:58 | Asi_Kaptan(0): benim id niye o :D
8:31:4 | testere151(7): dorsen gidebilir haberin olsun 
8:31:8 | [CMD] eren1616(9) => /sirket
8:31:10 | Asi_Kaptan(0): niye ?
8:31:12 | [CMD] testere151(7) => /ogorev 0
8:31:25 | testere151(7): spawn ettiðim araçlarý siliyorum
8:31:35 | [CMD] testere151(7) => /spec 0
8:31:36 | Asi_Kaptan(0): ben senden almadým ama :D
8:31:41 | Asi_Kaptan(0): isin kotu tarafý
8:31:56 | testere151(7): görevi bitir silicem
8:32:0 | Asi_Kaptan(0): sil :D
8:32:6 | Asi_Kaptan(0): senden almadým araci
8:32:13 | eren1616(9): silme
8:32:18 | Asi_Kaptan(0): :D :D :D 
8:32:21 | testere151(7): görevin giderse beni ilgilendirmez 
8:32:25 | eren1616(9): ben senden aldým :D
8:32:27 | eren1616(9): yapma
8:32:34 | [CMD] testere151(7) => /ogorev 9
8:32:38 | Asi_Kaptan(0): ben almadýgým icin sorun  yok :d
8:32:58 | [CMD] testere151(7) => /uyar 0 ters þerit
8:33:8 | [CMD] eren1616(9) => /atamir
8:33:17 | Asi_Kaptan(0): Testere Uyuzsun Bize Anlýyorumda Yapma Soyle Seyler
8:33:36 | testere151(7): ters gitme sen de
8:33:56 | Asi_Kaptan(0): Serverde Farkýnda Ýsen 2 Adet Admin Var Baska Kim Var ?
8:33:59 | [CMD] Asi_Kaptan(0) => /work
8:34:3 | [CMD] Asi_Kaptan(0) => /convoyiptal
8:34:5 | [CMD] Asi_Kaptan(0) => /work
8:34:21 | [CMD] eren1616(9) => /fuel
8:34:24 | [CMD] eren1616(9) => /vtamir
8:34:30 | [CMD] testere151(7) => /a bunuda sikicem mk 
8:34:34 | [CMD] Asi_Kaptan(0) => /asiriyuk
8:34:41 | [CMD] eren1616(9) => /a ÇSA
8:34:42 | [CMD] Asi_Kaptan(0) => /tamir
8:34:47 | [CMD] testere151(7) => /a siliyorum hýzlý bitir
8:34:57 | [CMD] eren1616(9) => /a harbour giriþindeyim
8:34:59 | [CMD] testere151(7) => /spec 9
8:35:6 | [LOCAL]testere151(7): hýzlý 
8:35:6 | [CMD] testere151(7) => /l hýzlý 
8:35:29 | [CMD] eren1616(9) => /vtamir
8:35:30 | [LOCAL]Asi_Kaptan(0): izlemeye devam mý :D
8:35:30 | [CMD] Asi_Kaptan(0) => /l izlemeye devam mý :D
8:36:1 | Asi_Kaptan(0): specdeki vatandas :D
8:36:20 | testere151(7): sende deðilim
8:36:36 | Asi_Kaptan(0): olsan kac yazar :D :D
8:36:38 | eren1616(9): sende deðil kendini izleyemez acaba kimde
8:36:48 | [LOCAL]testere151(7): hýz lý lo
8:36:48 | [CMD] testere151(7) => /l hýz lý lo
8:37:1 | Asi_Kaptan(0): gokyuzunu izliyordur belki
8:37:12 | [CMD] testere151(7) => /spec 0
8:37:20 | [CMD] Asi_Kaptan(0) => /sirket
8:37:23 | [KAMYONCU] eren1616, Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 844056$, 1 Skor ve 5 EXP Sure: 520 Saniye
8:37:28 | [CMD] testere151(7) => /cleanupcars
8:37:34 | Asi_Kaptan(0): Sirkete 6.3 kasmýsým nasýl
8:37:40 | [CMD] eren1616(9) => /sirket
8:37:47 | [CMD] Asi_Kaptan(0) => /goreviptal
8:37:49 | [CMD] Asi_Kaptan(0) => /sirket
8:37:55 | [CMD] Asi_Kaptan(0) => /rescue
8:38:0 | [CMD] testere151(7) => /specoff
8:38:0 | [CMD] Asi_Kaptan(0) => /karakol
8:38:0 | {FFCC00}testere151(7) {FFFFFF}Kamyoncu olarak spawn oldu.
8:38:3 | [CMD] Asi_Kaptan(0) => /cezaode
8:38:8 | [CMD] Asi_Kaptan(0) => /meslek
8:38:11 | {FFCC00}Asi_Kaptan(0) {FFFFFF}Polis olarak spawn oldu.
8:38:13 | [CMD] testere151(7) => /meslek
8:38:15 | [CMD] Asi_Kaptan(0) => /rescue
8:38:19 | [CMD] Asi_Kaptan(0) => /rescue
8:38:24 | [CMD] eren1616(9) => /a knk yýldýzlarý sil
8:38:24 | [CMD] eren1616(9) => /a knk yýldýzlarý sil
8:38:26 | [CMD] eren1616(9) => /a pls
8:38:29 | [CMD] testere151(7) => /a hyr
8:38:31 | [CMD] eren1616(9) => /a bugtan
8:38:37 | [CMD] eren1616(9) => /a aþýrýyük ten kaldý
8:38:42 | [CMD] testere151(7) => /a hyr
8:38:44 | [CMD] eren1616(9) => /a 4 yýldýz
8:38:50 | [CMD] eren1616(9) => /balon
8:38:53 | [CMD] testere151(7) => /a polise ayýp olur
8:39:3 | [CMD] testere151(7) => /meslek
8:39:3 | [CMD] eren1616(9) => /a bende balonla kaçarým
8:39:12 | [CMD] testere151(7) => /a kaç biþey olmaz
8:39:16 | [CMD] eren1616(9) => /meslek
8:39:23 | [CMD] testere151(7) => /a hapis girersen kendini çýkarma
8:39:34 | [CMD] Asi_Kaptan(0) => /modifiye
8:39:46 | [CMD] eren1616(9) => /a o kadar mal deðilim :D
8:39:58 | [CMD] testere151(7) => /a banlarým bak qW:E
8:40:3 | [CMD] eren1616(9) => /a A:SDA
8:40:14 | [CMD] eren1616(9) => /a /sban 7 can sýkýntýsý
8:40:30 | [CMD] testere151(7) => /unban
8:40:36 | [CMD] testere151(7) => /unban heysimit
8:40:41 | [CMD] Asi_Kaptan(0) => /araba
8:40:45 | eren1616(9): :D
8:40:46 | [CMD] testere151(7) => /sban2 heysimit
8:40:48 | [CMD] Asi_Kaptan(0) => /araba
8:40:51 | [OBAN] testere151(7) heysimit'i sinirsiz offline banladi. Sebep: çift hesap
8:40:51 | [CMD] testere151(7) => /sban2 heysimit çift hesap
8:40:58 | eren1616(9) oyundan cIktI (Hata/Crash) (IP: 81.213.185.227)
8:41:12 | Asi_Kaptan(0): Kacti :d
8:41:24 | testere151(7): crash yemiþ :/
8:41:26 | Asi_Kaptan(0): Arac Res 
8:41:31 | [CMD] Asi_Kaptan(0) => /rescue
8:41:33 | [CMD] testere151(7) => /respawncars
8:41:53 | [CMD] Asi_Kaptan(0) => /modifiye
8:41:56 | eren1616(8) oyuna girdi [IP: 81.213.185.227]
8:42:36 | eren1616(8) oyundan cIktI (Hata/Crash) (IP: 81.213.185.227)
8:42:53 | eren1616(8) oyuna girdi [IP: 81.213.185.227]
8:42:53 | Asi_Kaptan(0) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
8:42:55 | testere151(7): yine crash qwe
8:43:28 | [CMD] testere151(7) => /meslek
8:43:31 | Asi_Kaptan(0) oyuna girdi [IP: 88.233.100.39]
8:43:37 | testere151(7) Yol Iscisi olarak spawn oldu.
8:43:37 | 
8:43:38 | 
8:43:43 | {FFCC00}Asi_Kaptan(0) {FFFFFF}Polis olarak spawn oldu.
8:43:48 | [CMD] Asi_Kaptan(0) => /rescue
8:43:48 | eren1616(8) oyundan cIktI (Hata/Crash) (IP: 81.213.185.227)
8:43:49 | [CMD] testere151(7) => /work
8:44:6 | Asi_Kaptan(0): Serveri Niye Kapattýn
8:44:14 | testere151(7): kapatmadým ki
8:44:29 | Asi_Kaptan(0): server closed dedi :D
8:44:37 | testere151(7): senle alakalý o
8:44:43 | [CMD] testere151(7) => /kemer
8:44:49 | Asi_Kaptan(0): Res Atabiliyor Musun Sen ?
8:44:53 | testere151(7): evet
8:45:3 | Asi_Kaptan(0): Atsana Rahatlasýn Server
8:45:16 | testere151(7): atarsam sw gg olur
8:45:21 | Asi_Kaptan(0): niye ?
8:45:27 | testere151(7): sw açýlmaz
8:45:34 | Asi_Kaptan(0): niye acýlmasýn ?
8:45:45 | testere151(7): res ten sonra sw açýlmý sebebini bilmiyorum
8:46:4 | Asi_Kaptan(0): Senlik Sorun O o Zaman ;)
8:46:23 | testere151(7): yok baþkasý attýðýnda da öle oluyo
8:46:28 | testere151(7): sw ile alakalý
8:46:39 | Asi_Kaptan(0): Gecen A7 Attý Sorun Olmadý ?
8:47:13 | Asi_Kaptan(0): Arac Res
8:47:27 | [CMD] Asi_Kaptan(0) => /meslek
8:47:31 | {FFCC00}Asi_Kaptan(0) {FFFFFF}Kamyoncu olarak spawn oldu.
8:47:35 | [CMD] testere151(7) => /respawncars
8:47:54 | Asi_Kaptan(0): Hayrýna Vip Ver 1 2 Gorevlik ;)
8:47:58 | testere151(7): no
8:48:14 | Asi_Kaptan(0): en iyi para hangi gorevde ?
8:48:24 | testere151(7): harbour dock 
8:48:28 | Asi_Kaptan(0): Baska ?
8:48:46 | testere151(7): dock diver
8:48:57 | [CMD] Asi_Kaptan(0) => /work
8:49:10 | Asi_Kaptan(0): nerden nereye ?
8:49:11 | [CMD] Asi_Kaptan(0) => /work
8:49:17 | [CMD] Asi_Kaptan(0) => /sirketdorse
8:49:27 | [CMD] Asi_Kaptan(0) => /work
8:49:40 | Asi_Kaptan(0): ?
8:49:51 | testere151(7): longway warehouse - diver 
8:50:4 | testere151(7): longway dock - harbour 
8:50:17 | Asi_Kaptan(0): benim yapdýgýmý diyorsun zaten :D
8:50:25 | testere151(7): evet
8:50:33 | Asi_Kaptan(0): Baska Yok Mu ?
8:50:42 | testere151(7): yok heralde 
8:51:21 | Asi_Kaptan(0): Sen Napýyorsun :D
8:51:29 | testere151(7): hiç
8:51:48 | Asi_Kaptan(0): Baska Ýyi Para Veren Meslek Yok Mý ?
8:52:2 | testere151(7): çöpçü var
8:52:6 | testere151(7): kargocu 
8:52:13 | Asi_Kaptan(0): Guzel Para Vermiyor Copcu
8:52:24 | Asi_Kaptan(0): Kargo Veriyor
8:52:29 | Asi_Kaptan(0): iki kisi olunca oda
8:52:45 | [CMD] testere151(7) => /work
8:52:49 | Asi_Kaptan(0): Arac res
8:52:56 | testere151(7): þu radarlarý tamir edeyim bari
8:53:3 | [CMD] Asi_Kaptan(0) => /meslek
8:53:8 | Asi_Kaptan(0) Yol Iscisi olarak spawn oldu.
8:53:10 | [CMD] testere151(7) => /respawncars
8:53:23 | Asi_Kaptan(0): duzeltdi mi bu ?
8:53:24 | [CMD] Asi_Kaptan(0) => /work
8:53:33 | [CMD] Asi_Kaptan(0) => /meslek
8:53:38 | Asi_Kaptan(0) Mafya olarak spawn oldu.
8:53:40 | [CMD] Asi_Kaptan(0) => /meslek
8:53:43 | Asi_Kaptan(0) Yol Iscisi olarak spawn oldu.
8:53:54 | [CMD] Asi_Kaptan(0) => /work
8:54:3 | Asi_Kaptan(0): Gorevi Burda Veriyor Hep ?
8:54:19 | testere151(7): baþka yeri veriyo iyi bak haritaya
8:54:25 | [CMD] Asi_Kaptan(0) => /work
8:54:37 | Asi_Kaptan(0): Dýsarýdan Alýnca Oyle Oluyormus :D
8:54:38 | testere151(7): 2 kýrmýzý olucak
8:55:0 | testere151(7): aboo harbour gidiyorum
8:55:11 | Asi_Kaptan(0): benimki denizde :D
8:55:15 | testere151(7): :D
8:55:25 | Asi_Kaptan(0): ters serit gitme
8:55:34 | Asi_Kaptan(0): uyar kendini :D
8:55:39 | testere151(7): qwe
8:55:43 | [CMD] Asi_Kaptan(0) => /modifiye
8:56:13 | Asi_Kaptan(0): biz olsak ters serit diye kýrmýzý gelirdi 
8:56:43 | testere151(7): püð arkamdaki þeyden dumanlar çýkiyi
8:56:44 | Asi_Kaptan(0): ne kadar para veriyor bu ?
8:56:49 | testere151(7): az 
8:56:57 | Asi_Kaptan(0):  tamir patlat gelsin 
8:57:15 | testere151(7): 1 seferliðine tamir yapýcam 
8:57:19 | [CMD] testere151(7) => /aftamir
8:57:20 | Asi_Kaptan(0): :D :D A:SD:SAD:ASD:AS:
8:57:23 | [CMD] Asi_Kaptan(0) => /mytime 1
8:57:37 | Asi_Kaptan(0): benim aracda sýkýntý yok zaten sikýntý sende :D
8:58:14 | Asi_Kaptan(0): bu araba cok yavas tam senlik fazla kaza yapmazsýn
8:58:30 | testere151(7): baþlarým görevine goreviptal
8:58:34 | [CMD] testere151(7) => /goreviptal
8:58:36 | [CMD] testere151(7) => /meslek
8:58:40 | testere151(7) Mafya olarak spawn oldu.
8:58:56 | [CMD] testere151(7) => /modifiye
8:59:1 | [CMD] testere151(7) => /work
9:1:20 | [CMD] testere151(7) => /meslek
9:1:22 | {FFCC00}testere151(7) {FFFFFF}Kamyoncu olarak spawn oldu.
9:1:31 | [CMD] testere151(7) => /god
9:1:34 | Asi_Kaptan(0): cok verdi 2.500 :D
9:1:37 | testere151(7): :D
9:1:58 | Asi_Kaptan(0): geri verebiliyor muyuz parayý istemiyorum mk bundan gelcek hayýr allahdan gelsin 
9:2:14 | [CMD] testere151(7) => /sirketdorse
9:2:32 | [CMD] testere151(7) => /work
9:2:44 | [CMD] Asi_Kaptan(0) => /rescue
9:2:49 | [CMD] Asi_Kaptan(0) => /goreviptal
9:2:54 | Asi_Kaptan(0): arac res
9:2:57 | [CMD] Asi_Kaptan(0) => /meslek
9:3:0 | {FFCC00}Asi_Kaptan(0) {FFFFFF}Pilot olarak spawn oldu.
9:3:14 | [CMD] testere151(7) => /respawncars
9:3:15 | [CMD] Asi_Kaptan(0) => /work
9:3:31 | [CMD] Asi_Kaptan(0) => /sorusor Sorun Var Sorun
9:3:35 | [CMD] testere151(7) => /sorular
9:3:47 | [CMD] testere151(7) => /sorukabul 0 
9:3:53 | [CMD] testere151(7) => /ypm ne sorunu
9:4:1 | [CMD] Asi_Kaptan(0) => /ypm Pilot Gorevi En Ýyi Para Veren Rota ?
9:4:20 | [CMD] testere151(7) => /ypm kastamonu mardin
9:4:30 | [CMD] Asi_Kaptan(0) => /work
9:4:47 | [CMD] Asi_Kaptan(0) => /ypm ne kadar veriyor ?
9:4:55 | [CMD] Asi_Kaptan(0) => /kemer
9:5:1 | [CMD] testere151(7) => /ypm 80 90 k veriyo
9:5:10 | [CMD] Asi_Kaptan(0) => /ypm az 
9:5:22 | [CMD] Asi_Kaptan(0) => /stamir
9:5:27 | [CMD] testere151(7) => /ypm vipe 240 k mý öle biþi veriyo
9:5:35 | [CMD] Asi_Kaptan(0) => /ypm yuh 
9:6:0 | [CMD] Asi_Kaptan(0) => /ypm malesef biz vip degiliz 80 veya 90 k talim
9:6:6 | [CMD] testere151(7) => /meslek
9:6:47 | [CMD] Asi_Kaptan(0) => /work
9:7:31 | [CMD] Asi_Kaptan(0) => /stamir
9:7:35 | {FFCC00}testere151(7) {FFFFFF}Pilot olarak spawn oldu.
9:7:51 | Asi_Kaptan(0): Arabayý Kullanamýyorsun Ucak Mý Kullancan .D
9:7:56 | testere151(7): ayn :D
9:8:3 | [CMD] testere151(7) => /rescue
9:8:5 | Asi_Kaptan(0): Evler Korksun O Zaman SENDEN
9:8:18 | [CMD] testere151(7) => /work
9:8:50 | testere151(7): uçaðý iyi sürüyorum araç sýkýntý 
9:9:5 | Asi_Kaptan(0): Her Türlü Bende ;)
9:9:35 | Asi_Kaptan(0): Bu Arada Bu Admin Mezarlýýgý Varya
9:9:39 | testere151(7): evet
9:9:48 | Asi_Kaptan(0): Oraya Ýsmimizi Yazdýramaz Mýyýz ?
9:9:52 | testere151(7): hyr
9:10:4 | testere151(7): orasý adminlere özel
9:10:5 | Asi_Kaptan(0): niye
9:10:57 | Asi_Kaptan(0): Tamam O Zaman Soylersin 5 Dk Admin Yapsýnlar Beni Emekli Oluyum 5 dk sonra ;)
9:11:0 | [CMD] Asi_Kaptan(0) => /work
9:11:26 | Asi_Kaptan(0): Nasýl Fikir ?
9:11:55 | testere151(7): arkandayým dikkat et QW:e
9:12:3 | Asi_Kaptan(0): yoksun
9:12:13 | testere151(7): airprttayým qwE:
9:12:22 | [CMD] testere151(7) => /work
9:12:35 | Asi_Kaptan(0): sen varsan ben ucakla yerde giderim merak etme sen bulutlara carpma ;)
9:14:9 | Asi_Kaptan(0): Bes Ýleri  Yok Geri Vites
9:14:27 | [CMD] testere151(7) => /work
9:15:1 | [CMD] Asi_Kaptan(0) => /gobus
9:15:19 | Asi_Kaptan(0): Goto Ol Az
9:15:23 | testere151(7): neden
9:15:33 | Asi_Kaptan(0): Hile Var :D 
9:15:47 | Asi_Kaptan(0): Simdi Goto Ol
9:15:55 | testere151(7): sebep
9:16:5 | Asi_Kaptan(0): Gel Bak Anlarsýn
9:16:9 | [CMD] testere151(7) => /spec 0
9:16:16 | testere151(7): bakýyorum
9:16:26 | Asi_Kaptan(0): baktýn mý :D
9:16:39 | testere151(7): uçaðýn içinden gaçiyon :/
9:16:40 | Asi_Kaptan(0): Ucagýn Ýcenden Geciyor :D
9:16:52 | [CMD] testere151(7) => /specoff
9:16:53 | {FFCC00}testere151(7) {FFFFFF}Pilot olarak spawn oldu.
9:16:54 | [CMD] testere151(7) => /goto 0
9:16:55 | Asi_Kaptan(0): Evden Gecmiyor Ama :D
9:17:7 | Asi_Kaptan(0): Senin Gucun Yetmiyor Ona :D
9:17:38 | testere151(7): ben bi relog
9:17:38 | Asi_Kaptan(0): tabanca versene az
9:17:43 | testere151(7): ban yersin
9:17:48 | Asi_Kaptan(0): birþey gostercem
9:17:52 | Asi_Kaptan(0): ates etmiycem zaten :D
9:17:52 | testere151(7): ban yersin diyorum
9:17:59 | testere151(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
9:18:15 | [CMD] Asi_Kaptan(0) => /araba
9:19:16 | testere151(7) oyuna girdi [IP: 88.230.167.210]
9:19:28 | 
9:19:33 | Asi_Kaptan(0): buraya gel acýl :D
9:19:37 | testere151(7) Gemici olarak spawn oldu.
9:19:41 | [CMD] testere151(7) => /admgiris
9:19:43 | Asi_Kaptan(0): goto ol
9:19:47 | [CMD] testere151(7) => /goto 0
9:20:3 | testere151(7): relog at
9:20:10 | Asi_Kaptan(0): ne kadar guclu adamým :D
9:20:28 | Asi_Kaptan(0): simdi ucakdan geciyorum :D
9:20:35 | testere151(7): relog at 
9:20:54 | [LOCAL]Asi_Kaptan(0): baska araba versene bana
9:20:54 | [CMD] Asi_Kaptan(0) => /l baska araba versene bana
9:21:3 | [CMD] testere151(7) => /araba
9:21:17 | Asi_Kaptan(0): hahaha :D
9:21:32 | Asi_Kaptan(0): Dumper Ver :D
9:21:38 | testere151(7): no
9:21:44 | Asi_Kaptan(0): ondanda geccem :D
9:21:56 | [LOCAL]Asi_Kaptan(0): hahaha D:
9:21:56 | [CMD] Asi_Kaptan(0) => /l hahaha D:
9:22:6 | [LOCAL]testere151(7): relog at bug olmuþ
9:22:6 | [CMD] testere151(7) => /l relog at bug olmuþ
9:22:6 | [LOCAL]Asi_Kaptan(0): kafaya bak kafaya :D 
9:22:6 | [CMD] Asi_Kaptan(0) => /l kafaya bak kafaya :D 
