0:0:3 | [CMD] ScrappeR(7) => /gobus
9:0:8 | [CMD] Hic(0) => /afk
9:0:10 | [CMD] egereis(7) => /akilitle
9:0:12 | [CMD] Hic(0) => /musait
9:0:17 | [CMD] egereis(7) => /kemer
9:0:19 | [CMD] egereis(7) => /akilitle
9:0:25 | [CMD] egereis(7) => /akilitac
9:0:26 | [CMD] egereis(7) => /akilitle
9:0:32 | oktayacar(6): gezmek ister misin herþey dahil emkatu istanbul ankara daga mavi þehir harborudaki admin mezarlýðý
9:0:47 | [CMD] egereis(7) => /work
9:0:58 | [CMD] oktayacar(6) => /meslek
9:1:11 | [CMD] oktayacar(6) => /rescue
9:1:32 | [CMD] oktayacar(6) => /araba
9:1:46 | [CMD] oktayacar(6) => /araba
9:1:54 | [CMD] oktayacar(6) => /mo
9:2:1 | [CMD] oktayacar(6) => /modifiye
9:2:23 | [CMD] oktayacar(6) => /fps
9:3:35 | ordulukral523152(8) oyuna girdi [IP: 78.171.139.120]
9:3:45 | 
9:3:49 | {FFCC00}ordulukral523152(8) {FFFFFF}Kamyoncu olarak spawn oldu.
9:3:54 | [CMD] oktayacar(6) => /as
9:4:6 | ordulukral523152(8): Selamün Aleyküm
9:4:8 | [CMD] oktayacar(6) => /as
9:4:10 | ordulukral523152(8): yetkili varmý
9:4:14 | oktayacar(6): afk
9:4:16 | oktayacar(6): rehber
9:4:19 | oktayacar(6): rehber afk
9:4:30 | oktayacar(6): noldu
9:4:49 | ordulukral523152(8): 2000 score luk hesabýmý banlattý haksýz yere Ringo
9:4:58 | ordulukral523152(8): bu arkadaþýmým
9:4:59 | oktayacar(6): ringobambam
9:5:2 | oktayacar(6): ringobambam mý
9:5:3 | ordulukral523152(8): aynn
9:5:7 | oktayacar(6): o adam 1lvl
9:5:9 | ordulukral523152(8):  sövdü bana 
9:5:13 | oktayacar(6): banlayamz ki
9:5:20 | ordulukral523152(8):  hüseyin abiye söylemiþs
9:5:25 | ordulukral523152(8): kendi ss almamýþ 
9:5:35 | ordulukral523152(8):  benim sövdüðümü almýþ
9:5:43 | ordulukral523152(8): pm den sövüyo bidew
9:5:45 | oktayacar(6): ss almadan iþlem uylulanmaz diyolar admin þikayet edince ban hemen
9:5:49 | ordulukral523152(8): ss almayý bilmiyom
9:5:56 | oktayacar(6): zatwn ringobambamda iþ yok
9:5:59 | oktayacar(6): zatwn ringobambamda iþ yok
9:6:5 | oktayacar(6): 1lvl biþey bilmiyo
9:6:8 | ordulukral523152(8):  adam çok inatcý
9:6:11 | oktayacar(6): artislik yapýyo
9:6:12 | ordulukral523152(8):  boþuna almýþlar
9:6:17 | ordulukral523152(8): aynn
9:6:20 | oktayacar(6): adam 500 skor
9:6:23 | ordulukral523152(8):  onu dedim
9:6:30 | oktayacar(6): ben 5600 skor
9:6:37 | ordulukral523152(8):  ben 3 senedir oynuyom bu oyunu arada girip 
9:6:42 | oktayacar(6): arada fark var  baya
9:7:1 | oktayacar(6): bide adminliði gözüksün diye
9:7:11 | oktayacar(6): radyo deðiþtiriyo dj yokken ust uste
9:7:14 | ordulukral523152(8): výp alýcaktým öyle haksýz yere ban attýrdý ya o zmm almýcam
9:7:30 | oktayacar(6): ordulukral
9:7:32 | ordulukral523152(8): he
9:7:44 | oktayacar(6): ben bi huseyine soyleyem þu ringobambamý
9:7:51 | oktayacar(6): ss si varmý ringonun
9:7:57 | ordulukral523152(8):  söyle adam çok zýtlaþýyo
9:8:4 | ordulukral523152(8):  yok bimiyom ki alsaydým 
9:8:8 | ordulukral523152(8):  o yerdi
9:8:12 | oktayacar(6): ringobambam ss ile mi þikayet etti seni ss siz mi
9:8:14 | ordulukral523152(8):  ben adminim siz oyunucsunuz
9:8:20 | oktayacar(6): ringobambam ss ile mi þikayet etti seni ss siz mi
9:8:21 | ordulukral523152(8):  aynn o sövdü çýktý
9:8:24 | ordulukral523152(8):  bende alamadým
9:8:28 | ordulukral523152(8):  chati sildirdi
9:8:33 | oktayacar(6): hayýrrr
9:8:36 | oktayacar(6): onu demiyom
9:8:43 | ordulukral523152(8): aldý 
9:8:43 | oktayacar(6): ringo seni þikayet etti ya
9:8:45 | ordulukral523152(8):  aynn
9:8:49 | oktayacar(6): ss varmýonda
9:8:58 | ordulukral523152(8): aldým orosbu çocugu görücen sen dediq
9:9:4 | ordulukral523152(8):  vardý
9:9:17 | oktayacar(6): ama onda ss varsa biþey yapamam yani
9:9:21 | [CMD] Hic(0) => /geldim
9:9:23 | [CMD] Hic(0) => /musait
9:9:27 | oktayacar(6): peki
9:9:34 | oktayacar(6):  sebep neyid banlanmanýn
9:9:35 | ordulukral523152(8): bizim gibi oyuncular olmasa nasýl öyle admin olabilir acaba
9:9:41 | Hic(0): ordulukral523152 
9:9:43 | oktayacar(6):  sebep neyid banlanmanýn
9:9:44 | ordulukral523152(8): efm
9:9:55 | Hic(0): Neden Ailevi küfür ediyorsun ?
9:9:59 | oktayacar(6): o etmedi
9:10:4 | ordulukral523152(8):  bende ona  senin gibi admin  olmaz dedim oymulw
9:10:6 | ordulukral523152(8): þ
9:10:6 | oktayacar(6): ringonun soylediðini soyledþ
9:10:21 | oktayacar(6): ringo ona kufur etmiþ
9:10:33 | ordulukral523152(8): 1 lvlik adminsin ben kaç senedir oynuyom dedim
9:10:35 | oktayacar(6): 1 lvl admin bide bacak kadar boyu var artislik taslýyo
9:10:39 | Hic(0): Onun o kelimeyi söylemesi senin onu global chate yazmaný gerektirmez.
9:10:52 | ordulukral523152(8): ok kusura bakma hicwq
9:10:57 | ordulukral523152(8): hic 
9:11:6 | Hic(0): Bu uyarý olsun
9:11:12 | ordulukral523152(8):  kusura bakma chati silebiliyomu 1 lvl admin
9:11:14 | Hic(0): Bi dahakine Foruma atarým
9:11:23 | Hic(0): Ben Silemem yetkim yok
9:11:30 | [CMD] oktayacar(6) => /fps
9:11:33 | Hic(0): Ama 1 lvl admin siler
9:11:43 | ordulukral523152(8):  abi iþte ben ss alýrken sildi
9:11:47 | [CMD] egereis(7) => /tamir
9:11:53 | Hic(0): Siz foruma konu açýnýz
9:12:8 | Hic(0): Üst düzey yöneticilier konu ile ilgilenir.
9:12:24 | ordulukral523152(8):  nasýl açabilrim
9:12:25 | [CMD] Hic(0) => /stats
9:12:34 | ordulukral523152(8): ts geliyom adam bana özelden dalýyo
9:12:37 | Hic(0): Foruma girin önce
9:12:39 | [CMD] oktayacar(6) => /modifiye
9:12:40 | ordulukral523152(8): evt
9:12:46 | Hic(0): Aþaðýlarda
9:12:51 | ordulukral523152(8):  tm
9:12:57 | Hic(0): Yönetici Þikayet kýsmý var
9:13:4 | [CMD] egereis(7) => /meslek
9:13:6 | Hic(0): Onun aþaðýsýna inip
9:13:10 | {FFCC00}egereis(7) Otobus Soforu olarak spawn oldu.
9:13:11 | Hic(0): Yeni konu ya basýn
9:13:16 | Hic(0): VVe
9:13:18 | ordulukral523152(8):  tm ne
9:13:22 | [CMD] egereis(7) => /rank
9:13:23 | Hic(0): Sancak Bey'in
9:13:25 | [CMD] egereis(7) => /yardim
9:13:31 | Hic(0): Yazdýðý
9:13:49 | Hic(0): En üstteki þablona uygun bir þekilde þikayetinizi belirtiniz.
9:13:50 | [CMD] egereis(7) => /kemer
9:13:53 | agareis150(9) oyuna girdi [IP: 78.190.160.226]
9:13:55 | [CMD] egereis(7) => /akilitle
9:13:59 | [CMD] egereis(7) => /akilitac
9:14:1 | [CMD] egereis(7) => /akilitle
9:14:4 | 
9:14:7 | 
9:14:11 | [CMD] agareis150(9) => /sa
9:14:11 | ordulukral523152(8): tm
9:14:13 | [CMD] agareis150(9) => /convoy
9:14:16 | [CMD] egereis(7) => /work
9:14:18 | oktayacar(6): */as
9:14:20 | [CMD] oktayacar(6) => /as
9:14:27 | Hic(0): Aleyküm Selam Hoþgeldin Ýyi Oyunlar.
9:14:31 | [CMD] egereis(7) => /as
9:14:35 | agareis150(9): kargocu olcak varmý
9:14:45 | Hic(0): Ben Gelirim
9:14:46 | egereis(7): týrcý
9:14:48 | agareis150(9): gel
9:14:51 | Hic(0): Ama bekle bira
9:14:52 | Hic(0): z
9:14:55 | [CMD] Hic(0) => /kill
9:14:56 | [CMD] oktayacar(6) => /modifiye
9:14:57 | agareis150(9): tm 10 dk sonra
9:14:59 | [CMD] Hic(0) => /rescue
9:15:0 | [CMD] agareis150(9) => /kemer
9:15:3 | [CMD] agareis150(9) => /work
9:15:6 | [CMD] Hic(0) => /goreviptal
9:15:9 | [CMD] Hic(0) => /tamir
9:15:11 | [CMD] Hic(0) => /kemer
9:15:13 | [CMD] Hic(0) => /work
9:15:19 | oktayacar(6): arac res yapabilir misin rehber
9:15:20 | egereis(7): agareis
9:15:24 | agareis150(9): efm
9:15:24 | Hic(0): Maalesef
9:15:29 | egereis(7): aa isimler ayný
9:15:32 | [CMD] Hic(0) => /respawncars
9:15:33 | egereis(7): gibi klanýz resmen
9:15:40 | agareis150(9): YN
9:15:46 | agareis150(9): ayn
9:15:49 | oktayacar(6): caps off
9:15:55 | agareis150(9): tm pardon
9:15:55 | egereis(7): ben burdan ozendim ismime ilk serverim burasý benim am 2 yýldýr girmiyoum
9:16:17 | Hic(0): Ýki harf büyük diye caps off uyarýsý atýlmaz
9:16:26 | oktayacar(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
9:16:50 | [CMD] Hic(0) => /duyuru Hacklendiniz
9:16:52 | oktayacar(6) oyuna girdi [IP: 94.120.199.121]
9:17:0 | agareis150(9): hic ne atýyon la
9:17:1 | Hic(0): O neydi  la
9:17:5 | Hic(0): Ben Atmadým olm
9:17:7 | agareis150(9): sen yaptýn
9:17:10 | Hic(0): :d
9:17:13 | salih337(10) oyuna girdi [IP: 78.164.123.62]
9:17:16 | 
9:17:17 | Hic(0): Yemediler :d
9:17:19 | agareis150(9): senden baþka yetkili yok
9:17:26 | {FFCC00}oktayacar(6) {FFFFFF}Kamyoncu olarak spawn oldu.
9:17:28 | 
9:17:33 | oktayacar(6): hic
9:17:37 | Hic(0): Efendim
9:17:39 | {FFCC00}salih337(10) {FFFFFF}Kamyoncu olarak spawn oldu.
9:17:46 | agareis150(9): hic iþte niye yiyelim
9:17:47 | oktayacar(6): gelsene gezek azcýk yav sýkýldým
9:17:51 | salih337(10): herkeze günaydýn
9:17:56 | Hic(0): Görevdeyim pnp
9:17:58 | oktayacar(6): günaydýn
9:17:59 | agareis150(9): sanada
9:18:3 | Hic(0): Sanada Salih'cim.
9:18:20 | agareis150(9): hic gelcen dimi kargoya
9:18:26 | oktayacar(6): sanada SALÝH'ciðim
9:18:30 | Hic(0): Gelcem pnp baþarým alayým
9:18:40 | agareis150(9): pnp ne
9:18:44 | Hic(0): panpa
9:18:48 | oktayacar(6): off ya ben sýkýldým
9:18:51 | Hic(0): Kanka gibi biþey iþte
9:18:51 | [CMD] oktayacar(6) => /adminol
9:18:53 | [CMD] oktayacar(6) => /adminol
9:18:54 | Hic(0): ßß
9:18:56 | oktayacar(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
9:18:57 | [CMD] salih337(10) => /work
9:18:58 | agareis150(9): he tm
9:19:0 | agareis150(9): bb
9:19:12 | agareis150(9): þekilli bb nasýl yapýyon
9:19:22 | Hic(0): AltGr+s
9:19:33 | agareis150(9): ßß
9:19:40 | Hic(0): Ctrl+Alt+S de olur
9:20:12 | agareis150(9): ææ
9:20:27 | Hic(0): Sélam
9:20:30 | BaRan_ReiS(6) oyuna girdi [IP: 85.99.138.183]
9:20:30 | agareis150(9): dün ne geceydi
9:20:45 | Hic(0): Ben Valla 22.45 gibi çýktým
9:21:2 | agareis150(9): evo bana ahýr cezasý verdi
9:21:15 | Hic(0): Kaçtýðýn için ban yedin demi ?
9:21:18 | [CMD] Hic(0) => /stats
9:21:22 | [CMD] Hic(0) => /work
9:21:23 | agareis150(9): evet yasakmý
9:21:26 | iYasinBey(11) oyuna girdi [IP: 78.161.218.59]
9:21:27 | Hic(0): Yoo
9:21:34 | Hic(0): Makarasýna diyoz ony
9:21:35 | agareis150(9): deðilmi eminmisi
9:21:39 | 
9:21:39 | [CMD] Hic(0) => /goreviptal
9:21:42 | [CMD] Hic(0) => /work
9:21:51 | 
9:21:53 | agareis150(9): bide beni troollüyo
9:22:1 | {FFCC00}iYasinBey(11) {FFFFFF}Kamyoncu olarak spawn oldu.
9:22:2 | 
9:22:5 | [CMD] iYasinBey(11) => /admgirs
9:22:5 | BaRan_ReiS(6): agareis
9:22:8 | agareis150(9): efm
9:22:10 | BaRan_ReiS(6): nasýl bir yer orasý 
9:22:16 | agareis150(9): nere
9:22:18 | [CMD] iYasinBey(11) => /admgir
9:22:18 | Hic(0): Agareis sen Baranla yap
9:22:19 | BaRan_ReiS(6): ahýr
9:22:21 | [CMD] iYasinBey(11) => /admgiris
9:22:23 | agareis150(9): tm
9:22:24 | [CMD] iYasinBey(11) => /admgiris
9:22:25 | [CMD] BaRan_ReiS(6) => /rescue
9:22:33 | BaRan_ReiS(6): ahýr nasýl bir yer
9:22:34 | [CMD] iYasinBey(11) => /saü
9:22:35 | [CMD] iYasinBey(11) => /sa
9:22:37 | [CMD] BaRan_ReiS(6) => /as
9:22:37 | [CMD] iYasinBey(11) => /admis
9:22:40 | Hic(0): Aleyküm Selam.
9:22:43 | [CMD] iYasinBey(11) => /admins
9:22:47 | Hic(0): Gösterimmi baran ?
9:22:50 | BaRan_ReiS(6): göster
9:22:52 | agareis150(9): ahýr dedikleri a7lerin kýz skini ile kendilerine çekip bi yerlerini yalatmasýdýr
9:22:53 | BaRan_ReiS(6): ama atma
9:22:57 | Hic(0): Bekle Görev bitsin
9:23:7 | BaRan_ReiS(6): göster ama dýþarýdan
9:23:10 | agareis150(9): a7lere özel
9:23:15 | Hic(0): Ýçinide görmen lazým
9:23:22 | BaRan_ReiS(6): hayýrdýr olum ne yalicam oyundan çýkarým :D
9:23:27 | [CMD] agareis150(9) => /meslek
9:23:28 | BaRan_ReiS(6): yok içini boþver
9:23:35 | {FFCC00}agareis150(9) {FFFFFF}Pilot olarak spawn oldu.
9:23:41 | agareis150(9): ama o zmnda ban yersin
9:23:44 | [CMD] agareis150(9) => /rescue
9:23:44 | iYasinBey(11): oyundan çýkarsan evonun gazabýný yersin.
9:24:2 | [CMD] egereis(7) => /meslek
9:24:3 | agareis150(9): ben dün ahýra yatýrdý sonra çýkdým banladý sýnýrsýz
9:24:4 | [CMD] agareis150(9) => /kemer
9:24:5 | {FFCC00}egereis(7) {FFFFFF}Kamyoncu olarak spawn oldu.
9:24:6 | [CMD] agareis150(9) => /work
9:24:19 | [CMD] egereis(7) => /kemer
9:24:25 | [CMD] egereis(7) => /akilitle
9:24:26 | iYasinBey(11): @9 
9:24:29 | [CMD] egereis(7) => /akilitac
9:24:30 | agareis150(9): efm
9:24:32 | [CMD] egereis(7) => /akilitle
9:24:35 | iYasinBey(11): aga sende sýnýrlarýný çok zorluyorsun ha
9:24:39 | salih337(10): neden herkes 0 olmuþ
9:24:44 | BaRan_ReiS(6): beyler bugün 150 skor kasacam çevik kuvvet olmak için
9:24:45 | agareis150(9): neden
9:24:48 | Hic(0): Lagdandýr
9:24:54 | ordulukral523152(8): beyler  attým hic
9:24:57 | BaRan_ReiS(6): beyler bugün 150 skor kasacam çevik kuvvet olmak için kargocu olacak varmý
9:25:2 | [LOCAL]agareis150(9): neden
9:25:2 | [CMD] agareis150(9) => /l neden
9:25:3 | iYasinBey(11):  benü
9:25:6 | Hic(0): Geliyom Baran Beqle
9:25:6 | BaRan_ReiS(6): sf
9:25:9 | ordulukral523152(8): ben olurdum  ama 
9:25:13 | [CMD] iYasinBey(11) => /meslek
9:25:16 | ordulukral523152(8):  gitti bütün emeðim
9:25:18 | 
9:25:19 | [CMD] Hic(0) => /meslek
9:25:20 | [CMD] agareis150(9) => /tamir
9:25:22 | 
9:25:25 | [CMD] iYasinBey(11) => /rescue
9:25:26 | salih337(10): ben 21 dim öbür hesapla girecem orada 70000 var 21 skor
9:25:27 | [CMD] Hic(0) => /goto 6
9:25:37 | ordulukral523152(8): çift hesap yasak
9:25:38 | Hic(0): Agaresi gelsene Kargo
9:25:39 | [CMD] iYasinBey(11) => /r hic
9:25:39 | [CMD] egereis(7) => /work
9:25:43 | ordulukral523152(8): ss hangi tuþ
9:25:45 | [CMD] iYasinBey(11) => /r duduk yere goto atma
9:25:45 | [CMD] Hic(0) => /r Efendim ?
9:25:46 | agareis150(9): tm 5 dk sonra
9:25:54 | [CMD] iYasinBey(11) => /r aga diikkat et þikayet ederlerse
9:25:57 | ordulukral523152(8):  saðolun 
9:26:2 | BaRan_ReiS(6): önemli deðil
9:26:4 | ordulukral523152(8):  salih d,ðer çarýn adý ne
9:26:6 | [CMD] iYasinBey(11) => /kemer
9:26:9 | Hic(0): Agaresi gelsene Kargo
9:26:15 | agareis150(9): son en yaýn görevdeyim bekler
9:26:17 | [CMD] agareis150(9) => /work
9:26:19 | BaRan_ReiS(6): þimdi be nheanginizle olaca
9:26:21 | salih337(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
9:26:24 | Hic(0): Yasinle ol
9:26:32 | BaRan_ReiS(6): sana ayýp olur
9:26:33 | ordulukral523152(8):  salih d,ðer çarýn adý ne 
9:26:34 | iYasinBey(11): farketmez
9:26:38 | Hic(0): Nolcak olm geç ol iþte
9:26:46 | ordulukral523152(8): beyler çift hesap yasakw
9:26:49 | ordulukral523152(8):  deðilmnni
9:26:49 | iYasinBey(11): agareis gelcek
9:26:51 | ordulukral523152(8):  bu 
9:26:53 | iYasinBey(11): yasak
9:26:56 | Hic(0): Agareis gelsene
9:27:2 | agareis150(9): tm 2 dk
9:27:2 | [CMD] iYasinBey(11) => /ak9
9:27:3 | ordulukral523152(8):  salih i report layalým
9:27:6 | [CMD] iYasinBey(11) => /aka 9
9:27:6 | salih338(10) oyuna girdi [IP: 78.164.123.62]
9:27:6 | Hic(0): Çift Hesap Sýnýrsýz Ban Sebebidir
9:27:9 | iYasinBey(11): sali
9:27:9 | agareis150(9): verdant lv
9:27:13 | iYasinBey(11): kim
9:27:21 | [CMD] iYasinBey(11) => /aka 10
9:27:23 | 
9:27:27 | {FFCC00}salih338(10) {FFFFFF}Kamyoncu olarak spawn oldu.
9:27:32 | ordulukral523152(8): demin geldi bidaki çarýma girecem omda 7000 skor var dedi
9:27:34 | Hic(0): Salih Çift Hesap Yasak.
9:27:38 | iYasinBey(11): tm ben adminlerle görüþürüm
9:27:38 | salih338(10): selam diyer hessapla girdim
9:27:43 | Hic(0): Salih Çift Hesap Yasak.
9:27:43 | iYasinBey(11): salih
9:27:47 | salih338(10): efm
9:27:52 | iYasinBey(11): çift hesap ban
9:27:52 | agareis150(9): geliyom
9:27:54 | Hic(0): Sýnýrsýz ban sebebi çift hesap.
9:27:58 | [CMD] iYasinBey(11) => /work
9:27:59 | [CMD] agareis150(9) => /meslek
9:28:3 | [CMD] Hic(0) => /kemer
9:28:4 | [CMD] agareis150(9) => /meslek
9:28:6 | salih338(10): o hessabý kullanmýyorum sadece onda battým kullanmýyacam
9:28:15 | [CMD] Hic(0) => /sac
9:28:16 | egereis(7): ADMÝN EBY BENÝM TIRN MAALRI AHRÝTA DISNA GÝDÝCEK DÝYE GOSTERÝYOR NAPCAZZ
9:28:18 | ordulukral523152(8): þuan ben baným açýlana kadar arkadaþýmýn kiyle oynasam ne olur
9:28:18 | egereis(7): aa ardon
9:28:25 | [CMD] Hic(0) => /work
9:28:25 | egereis(7): kucuk harfl y azcaktýmm
9:28:27 | [CMD] iYasinBey(11) => /uyar 7 küçük harf
9:28:28 | salih338(10): yanlýþýkla girdim
9:28:39 | iYasinBey(11): salih
9:28:42 | salih338(10): efm
9:28:44 | [CMD] ordulukral523152(8) => /iþe
9:28:46 | [CMD] ordulukral523152(8) => /ise
9:28:47 | iYasinBey(11): yetkililer gelir banlarlar
9:28:49 | iYasinBey(11): hesabý
9:28:50 | egereis(7): aysin bey
9:28:51 | iYasinBey(11): diðerini
9:28:53 | egereis(7): yardým edin
9:28:56 | ordulukral523152(8):  beyler yatma komutu ne
9:28:59 | salih338(10): e
9:29:1 | iYasinBey(11): sorununuz nedir
9:29:2 | Hic(0):  /dus
9:29:4 | [CMD] agareis150(9) => /dus
9:29:5 | iYasinBey(11): bekle baran
9:29:6 | [CMD] ordulukral523152(8) => /dus
9:29:13 | [CMD] iYasinBey(11) => /cc
9:29:14 | ordulukral523152(8): yere oturdum iþiyom
9:29:17 | [CMD] iYasinBey(11) => /goto 7
9:29:20 | egereis(7): týrýn dorsesindeki malar harita dýsna gidicek gosteriyorrr
9:29:20 | [CMD] ordulukral523152(8) => /ise
9:29:20 | iYasinBey(11): baran bekle
9:29:23 | salih338(10): tmm banlasýnlar o hessabý 
9:29:23 | BaRan_ReiS(6): adminle görev yapmican aga
9:29:25 | egereis(7): ama yolda yok
9:29:28 | [CMD] agareis150(9) => /animkapat
9:29:30 | iYasinBey(11): evet ek map
9:29:30 | salih338(10): t
9:29:31 | ordulukral523152(8): iþemeyinasýl bitircem
9:29:32 | [CMD] agareis150(9) => /fps
9:29:34 | Hic(0): @7 Oralar ek map olarak geçiyor.
9:29:35 | [CMD] ordulukral523152(8) => /kalk
9:29:37 | agareis150(9): oha
9:29:38 | Hic(0):  /animkapat
9:29:38 | egereis(7): nasýl
9:29:41 | egereis(7): gidicez
9:29:43 | [CMD] ordulukral523152(8) => /animkapat
9:29:44 | iYasinBey(11): haritada bayrak var ilk oraya gitmeniz lazým
9:29:49 | [CMD] ordulukral523152(8) => /animkapat
9:29:54 | egereis(7): gitim
9:29:55 | [CMD] Hic(0) => /ogorev 7
9:29:55 | [CMD] agareis150(9) => /specon id admin komutumy
9:29:59 | egereis(7): oda kayboldu
9:29:59 | agareis150(9):  /specon id admin komutumy
9:30:8 | [CMD] iYasinBey(11) => /cc
9:30:12 | [CMD] ordulukral523152(8) => /spoecon 9 admins
9:30:15 | Hic(0): Admin komutu verme
9:30:18 | iYasinBey(11): @7 nereye gidiceksiniz
9:30:20 | salih338(10): nasýl bir þirkete alýnýrýz
9:30:27 | agareis150(9): tm
9:30:30 | ordulukral523152(8): oo ben baya biliyom ama söylemem
9:30:32 | egereis(7): bakýn tam ilerisi denizin ortasý diye gosteriyorrr
9:30:45 | egereis(7): tam bu týrýn baktýgý yonde denizin ortasýdna gosteriyor
9:30:47 | Hic(0): @10 Þirket yetkilileri size istek atýcak sizde önünüze gelen Ekrandan kabul ediceksiniz.
9:30:48 | BaRan_ReiS(6): hic
9:30:51 | Hic(0): ?
9:30:59 | BaRan_ReiS(6): sen le ben kargocu olak agaraisle yasin
9:31:1 | salih338(10): he 
9:31:5 | Hic(0): Neden ?
9:31:7 | salih338(10): o zaman zor
9:31:9 | BaRan_ReiS(6): bu admin 
9:31:9 | iYasinBey(11): saðda neresi yazýyor
9:31:10 | egereis(7): napcam
9:31:12 | iYasinBey(11): sað tarafta
9:31:13 | BaRan_ReiS(6): çaðýrýyolar
9:31:14 | iYasinBey(11): ekranýn
9:31:20 | iYasinBey(11): baran bekle aga
9:31:22 | egereis(7): antalya mazi dagý fabrikasý
9:31:28 | egereis(7): insat malzemesi tasýyom
9:31:29 | ordulukral523152(8): beni bozoka danger almýþtý
9:31:31 | Hic(0): Yasin ben götürem sen görevini yap
9:31:35 | iYasinBey(11): tm
9:31:38 | egereis(7): 2444metre yol varmýþ
9:31:38 | iYasinBey(11): gel buraya
9:31:39 | [CMD] salih338(10) => /galeri
9:31:43 | [CMD] Hic(0) => /goto 7
9:31:47 | agareis150(9): noldu la
9:31:52 | Hic(0): Agareis sen devam et
9:31:53 | iYasinBey(11): arkadaþým sizi yönlendirecek
9:31:55 | agareis150(9): tm
9:31:56 | egereis(7): tmm
9:31:56 | [CMD] salih338(10) => /galeri
9:32:1 | [CMD] iYasinBey(11) => /goto 6
9:32:1 | ordulukral523152(8): beni bozoka danger almýþtý 
9:32:7 | egereis(7): oncedn boyle seylr yoktu ondan
9:32:8 | Hic(0): Geri gelin
9:32:36 | [LOCAL]iYasinBey(11): k.b aga adminlik görevlerimizden önemli
9:32:36 | [CMD] iYasinBey(11) => /l k.b aga adminlik görevlerimizden önemli
9:32:38 | egereis(7): evet
9:32:38 | Hic(0): Burdan devam ediniz.
9:32:44 | [LOCAL]BaRan_ReiS(6): aynen 
9:32:44 | [CMD] BaRan_ReiS(6) => /l aynen 
9:32:50 | [CMD] salih338(10) => /kemer
9:32:52 | [LOCAL]BaRan_ReiS(6): o görevin
9:32:52 | [CMD] BaRan_ReiS(6) => /l o görevin
9:32:58 | [CMD] agareis150(9) => /asaj
9:33:6 | [LOCAL]BaRan_ReiS(6): bu 2. görevin gibi oluyor
9:33:6 | [CMD] BaRan_ReiS(6) => /l bu 2. görevin gibi oluyor
9:33:10 | [CMD] salih338(10) => /kemer
9:33:16 | [LOCAL]iYasinBey(11): nasýl yani
9:33:16 | [CMD] iYasinBey(11) => /l nasýl yani
9:33:16 | [CMD] ordulukral523152(8) => /tamir
9:33:18 | [CMD] salih338(10) => /kemer
9:33:21 | Hic(0): Dümdüz devam ediniz.
9:33:22 | [CMD] agareis150(9) => /tamir
9:33:22 | [CMD] salih338(10) => /kemer
9:33:23 | [LOCAL]iYasinBey(11): he evet
9:33:23 | [CMD] iYasinBey(11) => /l he evet
9:33:26 | ordulukral523152(8): hic napýyon 
9:33:28 | [LOCAL]BaRan_ReiS(6): çünkü admin olurken diyolardýr bu görevin diðerlerinden önemli
9:33:28 | [CMD] BaRan_ReiS(6) => /l çünkü admin olurken diyolardýr bu görevin diðerlerinden önemli
9:33:33 | Hic(0): Yol yardýmý.
9:33:34 | [LOCAL]iYasinBey(11): ayn
9:33:34 | [CMD] iYasinBey(11) => /l ayn
9:33:34 | egereis(7): pek idonerken erken haber erin
9:33:42 | Hic(0): Veririm.
9:33:48 | iYasinBey(11): @0 kiþiyle pm veya localden yazýþabilirsiniz. 
9:34:2 | [LOCAL]ordulukral523152(8): meraba
9:34:2 | [CMD] ordulukral523152(8) => /l meraba
9:34:7 | agareis150(9): l den kimse görmüyomu sanki
9:34:21 | iYasinBey(11): görmüyor yanýndaki görüyor
9:34:23 | [LOCAL]Hic(0): Dümdüz
9:34:23 | [CMD] Hic(0) => /l Dümdüz
9:34:25 | iYasinBey(11): sadece
9:34:28 | [LOCAL]egereis(7): tamam
9:34:28 | [CMD] egereis(7) => /l tamam
9:34:31 | BaRan_ReiS(6): kaputa bin
9:34:31 | agareis150(9): oha doðrumu
9:34:36 | BaRan_ReiS(6): kaputa bin hiç uðraþma
9:34:41 | [LOCAL]Hic(0): Saða dönün
9:34:41 | [CMD] Hic(0) => /l Saða dönün
9:34:45 | [LOCAL]agareis150(9): kim gördü
9:34:45 | [CMD] agareis150(9) => /l kim gördü
9:34:46 | [LOCAL]agareis150(9): kim gördü
9:34:46 | [CMD] agareis150(9) => /l kim gördü
9:34:47 | [LOCAL]agareis150(9): kim gördü
9:34:47 | [CMD] agareis150(9) => /l kim gördü
9:34:47 | [LOCAL]agareis150(9): kim gördü
9:34:47 | [CMD] agareis150(9) => /l kim gördü
9:34:56 | [LOCAL]Hic(0): Sola dönün
9:34:56 | [CMD] Hic(0) => /l Sola dönün
9:35:6 | agareis150(9): yanýmda kimse yoksa kim görür
9:35:12 | [CMD] agareis150(9) => /kemer
9:35:14 | Hic(0): Sadece sen.
9:35:19 | [CMD] salih338(10) => /work
9:35:35 | agareis150(9): yanýmda 3 kiþi varsa
9:35:40 | [CMD] ordulukral523152(8) => /tamir
9:35:44 | Hic(0): o 3 kiþi gçrür
9:35:47 | Hic(0): görür*
9:35:49 | BaRan_ReiS(6): tebrikler :D
9:35:49 | agareis150(9): tm
