0:0:2 | TunlordBeyWT(6): neyse biter þimdi
13:52:48 | [CMD] Hic(12) => /asay Vip-donator-þirket vb. almak isteyenler forum ----> www.trucksamp.com/forum 
13:52:49 | [CMD] Hic(12) => /asay Hep ayný mesleði yapmaktanmý sýkýldýn ? /meslek komutu ile mesleðinizi deðiþtirebilirsiniz... 
13:52:54 | [CMD] Asi_Kaptan(9) => /tamir
13:53:16 | [CMD] Jodor(7) => /c görkem iyi kastýk :D 
13:53:17 | xxxPussy_SLAYERxxx(14) oyuna girdi [IP: 193.201.80.112]
13:53:18 | xxxPussy_SLAYERxxx(14) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
13:53:22 | [CMD] H.R.N.(13) => /work
13:53:22 | [CMD] Asi_Kaptan(9) => /kemer
13:53:25 | [CMD] Hic(12) => /convoy
13:53:28 | [CMD] Jodor(7) => /c þirket bonusunu gördün mü
13:53:29 | [CMD] gorkemu24(11) => /sirket
13:53:30 | H.R.N.(13): jodor ho
13:53:32 | [CMD] huseyin(10) => /pm 6 aslýnda DJ Sparta diye biri var .d 
13:53:36 | Jodor(7): eyw. hrn
13:53:40 | [CMD] huseyin(10) => /pm 6 ama bizim sparta sonuna 298 atýyor .d 
13:53:47 | [CMD] testere151(6) => /pm 10 aynn :D
13:53:47 | [SirketCHT] Sparta298(8): ! þu kadiri 30 k yapayým göreve baþlýyýca
13:53:49 | [SirketCHT] Sparta298(8): ! m
13:53:49 | [CMD] huseyin(10) => /pm 6 kendi yapmýþ gibi öne sürüyor .d
13:54:0 | [SirketCHT] gorkemu24(11): !kaç para verdi ki
13:54:4 | [SirketCHT] Jodor(7): ! tamam sparta kafana göre takýl
13:54:5 | H.R.N.(13): senin þirkete gelirsin ama huseyin asqýmý býrakamam D:
13:54:14 | [SirketCHT] Jodor(7): ! bana 88k verdi
13:54:20 | Hic(12): Bozok candýr.
13:54:23 | [SirketCHT] Sparta298(8): ! Bozoktan belki bir kaç tanýdýk gelir 1 2 haftalýk
13:54:29 | [CMD] Sparta298(8) => /sirket
13:54:32 | huseyin(10): SERI de candýr.
13:54:37 | [SirketCHT] gorkemu24(11): !emre knk hg
13:54:38 | Hic(12): Hepsi candýr.
13:54:38 | [CMD] H.R.N.(13) => /stami
13:54:41 | Sparta298(8): Jokerde candýr.
13:54:42 | Jodor(7): niye ART patlýcan mýdýr
13:54:43 | [CMD] H.R.N.(13) => /stamir
13:54:43 | [CMD] Sparta298(8) => /sirket
13:54:45 | Jodor(7): :D
13:54:45 | huseyin(10): :D
13:54:47 | Hic(12): :D
13:54:48 | H.R.N.(13): D:Asd
13:54:50 | [CMD] H.R.N.(13) => /work
13:54:55 | Jodor(7): bozokun evladý kurdu kardeþim
13:54:55 | testere151(6): olabilir Q:E
13:55:10 | [CMD] Sparta298(8) => /pm 12 Hic
13:55:14 | [CMD] huseyin(10) => /dtemizle
13:55:15 | [CMD] huseyin(10) => /asay2 s  
13:55:18 | [CMD] Hic(12) => /pm 8 efendim knk ?
13:55:19 | [CMD] huseyin(10) => /vtamir
13:55:19 | [CMD] Sparta298(8) => /pm 12 Gel 1 2 haftalýk arta geri bozoða döneriz
13:55:21 | (BANKA) H.R.N.(13) 61 nolu banka hesabina 1000000$ yatirdi.
13:55:22 | Jodor(7): bozok kardeþimizdir
13:55:29 | [CMD] Sparta298(8) => /pm 12 artýn ilk rehberi ol
13:55:30 | [CMD] Hic(12) => /pm 8 Olum bilemedeimki
13:55:34 | mehmetkorkmaz@@(14) oyuna girdi [IP: 212.252.19.224]
13:55:42 | [CMD] Sparta298(8) => /pm 12 Hüseyin izin veriyor
13:55:43 | [CMD] huseyin(10) => /a emre_cool rehberdi demi 
13:55:44 | [CMD] Hic(12) => /pm 8 Huseyin geri alýrmý ?
13:55:47 | [CMD] huseyin(10) => /a önceden
13:55:48 | [CMD] Hic(12) => /pm 8 okey
13:55:49 | [CMD] testere151(6) => /a he atmýþtýk
13:55:50 | [CMD] Sparta298(8) => /a evt
13:55:58 | [CMD] Sparta298(8) => /pm 12 alýr tabi
13:55:59 | 
13:56:3 | [CMD] Hic(12) => /pm 8 Önce sen bi gir
13:56:8 | [CMD] Hic(12) => /pm 8 Ýlk amdini ol
13:56:11 | [CMD] Sparta298(8) => /a hüseyin hic 1 2 haftalýk arta gelsin
13:56:11 | [CMD] H.R.N.(13) => /work
13:56:14 | [KAMYONCU] Asi_Kaptan, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 169754$, 1 Skor ve 5 EXP Sure: 451 Saniye
13:56:15 | [CMD] H.R.N.(13) => /work
13:56:16 | [CMD] Sparta298(8) => /pm 12 girdim bak
13:56:17 | Sparta298(8):  
13:56:22 | [CMD] huseyin(10) => /a sparta komple sirketi arta götürelim mi
13:56:24 | [CMD] H.R.N.(13) => /asay Yardým Ýsteyen? Yolunu Bulamayan?
13:56:25 | [SirketCHT] Sparta298(8): ! hic geliyor beyler
13:56:28 | [CMD] Hic(12) => /pm 8 burda kastýklarýmýz ne olcak ?
13:56:28 | [CMD] Sparta298(8) => /a Ya :d
13:56:31 | {FFCC00}mehmetkorkmaz@@(14) {FFFFFF}Kamyoncu olarak spawn oldu.
13:56:33 | [SirketCHT] Jodor(7): ! gelsin 
13:56:33 | [CMD] testere151(6) => /a QW:E
13:56:35 | [CMD] Sparta298(8) => /pm 12 pazar gel istersen
13:56:37 | [CMD] Sparta298(8) => /a sjsjssjsj
13:56:37 | [SirketCHT] Jodor(7): ! rehberimiz olsun
13:56:42 | [SirketCHT] Asi_Kaptan(9): ! sirket aracýna pay veriyor mu ?
13:56:44 | [CMD] huseyin(10) => /a verdim en iyi adamlarý 
13:56:45 | [CMD] Hic(12) => /pm 8 tmm giriyom
13:56:48 | [SirketCHT] Jodor(7): ! veriyorlar
13:56:48 | [SirketCHT] Sparta298(8): ! hüseyinden izin almak lazým
13:56:53 | [SirketCHT] Jodor(7): ! aynen
13:56:56 | [CMD] Sparta298(8) => /a gelceðiz geri :D
13:56:57 | [CMD] Hic(12) => /pm 7 Jodor buba al beni
13:56:59 | [SirketCHT] Jodor(7): ! hüseyin izin verirse olur
13:57:1 | [SirketCHT] gorkemu24(11): !þirket ortak
13:57:3 | [CMD] huseyin(10) => /a sen kalsan da olur 
13:57:3 | [CMD] Sparta298(8) => /uyeal 12
13:57:4 | [LOCAL]testere151(6): sýkýldým yaw býrakýyom görevi
13:57:4 | [CMD] testere151(6) => /l sýkýldým yaw býrakýyom görevi
13:57:5 | Hic(12): tAleyküm Selam Hoþgeldiniz,Ýyiß Oyunlar... 
13:57:7 | [CMD] Jodor(7) => /pm 12 tamam hiç
13:57:8 | gokhan142145(15) oyuna girdi [IP: 78.174.151.121]
13:57:8 | [CMD] Asi_Kaptan(9) => /sirket
13:57:10 | [CMD] Hic(12) => /sac
13:57:14 | [CMD] Sparta298(8) => /a Neden
13:57:15 | [CMD] huseyin(10) => /vtamir
13:57:15 | mehmetkorkmaz@@(14) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
13:57:17 | [CMD] Jodor(7) => /pm 12 hüseyine söyledin mi
13:57:18 | [CMD] Sparta298(8) => /a Beni sevmiyonmu
13:57:18 | [CMD] huseyin(10) => /a yardým edersin 
13:57:20 | [KAMYONCU] huseyin, Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 844056$, 1 Skor ve 5 EXP Sure: 526 Saniye
13:57:21 | [SirketCHT] gorkemu24(11): !admýn verdý rehber de verir dj de verir :(
13:57:22 | [CMD] Sparta298(8) => /meslek
13:57:23 | gokhan142145(15) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
13:57:23 | [CMD] huseyin(10) => /vtamir
13:57:23 | [CMD] Hic(12) => /pm 7 dur söyleyem
13:57:24 | [CMD] huseyin(10) => /dtemizle
13:57:24 | [CMD] huseyin(10) => /asay2 s  
13:57:24 | [SirketCHT] Asi_Kaptan(9): ! sirkete nasýl gidiyoruz ?
13:57:28 | {FFCC00}Sparta298(8) {FFFFFF}Kamyoncu olarak spawn oldu.
13:57:30 | [CMD] huseyin(10) => /work
13:57:34 | Jodor(7):  /rescue
13:57:34 | [CMD] testere151(6) => /a neyse ben çýkýyorum
13:57:34 | [CMD] H.R.N.(13) => /asay Yeni oyuncularýmýz aracýný alýp /work yazarak göreve baþlayabilir
13:57:37 | [CMD] Asi_Kaptan(9) => /rescue
13:57:37 | [CMD] Sparta298(8) => /a bb
13:57:38 | [CMD] huseyin(10) => /a bb
13:57:39 | [CMD] testere151(6) => /a ßß
13:57:41 | [CMD] huseyin(10) => /respawn 200 
13:57:42 | [CMD] testere151(6) => /adminol
13:57:42 | [CMD] Sparta298(8) => /a biraz kalkýndýrak
13:57:43 | [CMD] testere151(6) => /adminol
13:57:44 | Jodor(7): þirket seç
13:57:44 | [CMD] huseyin(10) => /respawn 220 
13:57:45 | testere151(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
13:57:46 | [CMD] Asi_Kaptan(9) => /rescue
13:57:46 | [CMD] huseyin(10) => /dtemizle
13:57:51 | [CMD] huseyin(10) => /asay2 s  
13:57:51 | Sparta298(8): Hic
13:57:51 | [CMD] Jodor(7) => /work
13:57:51 | [CMD] Hic(12) => /pm 10 Hüseyincim ben 1 haftalaðýna art a giriyom  tekrar geri alýrmýsýn ?
13:57:51 | [CMD] H.R.N.(13) => /work
13:57:51 | Hic(12): bb
13:57:54 | Hic(12): ?
13:57:57 | H.R.N.(13): bb
13:57:57 | [CMD] Sparta298(8) => /kemer
13:57:58 | [CMD] huseyin(10) => /pm 12 1 haftalýk ama 
13:58:0 | [CMD] Sparta298(8) => /pm 12 geliyonmu
13:58:2 | [CMD] Hic(12) => /pm 10 Okey
13:58:5 | [CMD] Hic(12) => /pm 8 geliyom
13:58:5 | [CMD] Sparta298(8) => /a biraz kalkýndýrak geri gelcez
13:58:9 | [CMD] Jodor(7) => /asiriyuk
13:58:9 | [SirketCHT] Asi_Kaptan(9): ! kasayý nasýl alýyoruz ?
13:58:9 | [CMD] Hic(12) => /sirketayril
13:58:12 | [CMD] gorkemu24(11) => /asiriyuk
13:58:13 | [CMD] Hic(12) => /sirket
13:58:14 | [CMD] gorkemu24(11) => /asiriyuk
13:58:21 | [SirketCHT] Sparta298(8): ! /sirketdorse
13:58:22 | [CMD] huseyin(10) => /sirket
13:58:23 | [CMD] Hic(12) => /pm 7 at istek buba
13:58:24 | [SirketCHT] Jodor(7): ! /sirketdorse hemen sondaki tahtalý yerde
13:58:26 | Hic(12): .
13:58:26 | [CMD] Asi_Kaptan(9) => /sirketdorse
13:58:28 | [CMD] Jodor(7) => /uyeal 12
13:58:28 | [CMD] H.R.N.(13) => /isteksarki 494
13:58:32 | Hic(12): .
13:58:36 | [SirketCHT] Jodor(7): ! hg
13:58:36 | [CMD] Hic(12) => /sirket
13:58:36 | Sparta298(8): Dj yok.
13:58:40 | [CMD] Jodor(7) => /sirket
13:58:41 | [CMD] Asi_Kaptan(9) => /sirketdorse
13:58:41 | [SirketCHT] Sparta298(8): ! Hg hic
13:58:44 | [SirketCHT] Hic(12): ! Hoþbuldum.
13:58:45 | H.R.N.(13): :p
13:58:46 | [CMD] Hic(12) => /sirket
13:58:48 | Sparta298(8): Gel al asi.
13:58:56 | [CMD] Sparta298(8) => /skapat
13:58:56 | [CMD] H.R.N.(13) => /work
13:59:1 | [CMD] Hic(12) => /asay Yeni gelen oyuncularýmýz /kurallar yazýp kabul ettikten sonra 30.000$ ve 5 skor kazanabilirler... 
13:59:1 | [CMD] Hic(12) => /asay Sunucumuzu Favorilerinize Eklemeyi Unutmayýn...  
13:59:5 | [CMD] huseyin(10) => /gobus
13:59:7 | [CMD] huseyin(10) => /icerigir
13:59:8 | [CMD] Sparta298(8) => /sirketdorse
13:59:9 | [CMD] huseyin(10) => /isyerimenu
13:59:10 | gorkemu24(11): djin olurum hastam çok
13:59:11 | [CMD] huseyin(10) => /gobus
13:59:12 | [CMD] huseyin(10) => /icerigir
13:59:15 | [CMD] huseyin(10) => /isyerimenu
13:59:16 | [CMD] huseyin(10) => /gobus
13:59:18 | [CMD] huseyin(10) => /icerigir
13:59:18 | [CMD] huseyin(10) => /isyerimenu
13:59:19 | [CMD] huseyin(10) => /isyerimenu
13:59:22 | [CMD] huseyin(10) => /dtemizle
13:59:22 | [CMD] huseyin(10) => /asay2 s  
13:59:26 | [SirketCHT] Asi_Kaptan(9): ! siz nerdesiniz harbourda mý ?
13:59:27 | [CMD] Hic(12) => /rescue
13:59:34 | [SirketCHT] Jodor(7): ! harboura geleceðiz
13:59:35 | [SirketCHT] gorkemu24(11): !docks aldýk
13:59:37 | [CMD] huseyin(10) => /pm 7 senin þirketin yeri nerede 
13:59:42 | [SirketCHT] Hic(12): ! Serinin eski yeri :D
13:59:44 | [SirketCHT] Asi_Kaptan(9): ! bekliyorum harbourda :D
13:59:46 | [CMD] Jodor(7) => /pm 10 eski serinin yeri :))
13:59:50 | [CMD] huseyin(10) => /pm 7 :D
13:59:54 | [CMD] huseyin(10) => /pm 7 lv deyiz yani .d
13:59:54 | [CMD] H.R.N.(13) => /karakol
13:59:56 | [CMD] Hic(12) => /kemer
13:59:58 | [CMD] H.R.N.(13) => /cezaode
14:0:3 | [CMD] Jodor(7) => /pm 10 lv candýr :)
14:0:5 | [SirketCHT] Hic(12): ! Asi hazýr ol
14:0:5 | [CMD] H.R.N.(13) => /meslek
14:0:7 | [CMD] Hic(12) => /goto 9
14:0:9 | {FFCC00}H.R.N.(13) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
14:0:10 | [CMD] huseyin(10) => /pm 7 :) 
14:0:13 | [CMD] huseyin(10) => /rescue
14:0:13 | [SirketCHT] Hic(12): ! Pardon
14:0:14 | [SirketCHT] Jodor(7): ! beyler convoy var harbourda 
14:0:15 | [SirketCHT] gorkemu24(11): !abo lag gýrdý
14:0:15 | [SirketCHT] Asi_Kaptan(9): ! eben
14:0:23 | [CMD] Sparta298(8) => /convoy
14:0:23 | [SirketCHT] gorkemu24(11): !ttnet sapýttý
14:0:26 | [CMD] H.R.N.(13) => /rescue
14:0:26 | [SirketCHT] Hic(12): ! Knk dorseli olduðunu bilmiyodum
14:0:29 | [CMD] Hic(12) => /convoy
14:0:30 | [CMD] gorkemu24(11) => /convoyayril
14:0:31 | [CMD] Sparta298(8) => /sac
14:0:33 | [CMD] H.R.N.(13) => /araba
14:0:34 | [SirketCHT] Jodor(7): ! sparta convoyu kurduk geliyoruz 
14:0:35 | [CMD] Hic(12) => /rescue
14:0:40 | [SirketCHT] Hic(12): ! Harbourmu ?
14:0:44 | [SirketCHT] gorkemu24(11): !ben çýktým lag gýrdý 
14:0:45 | [CMD] huseyin(10) => /giseparacek
14:0:46 | [CMD] gorkemu24(11) => /rescue
14:0:47 | [SirketCHT] Sparta298(8): ! harboura gidiyoruz biz
14:0:50 | [SirketCHT] Jodor(7): ! hadi ya
14:0:50 | [CMD] huseyin(10) => /giseparacek
14:0:53 | [CMD] huseyin(10) => /rescue
14:0:56 | [SirketCHT] Hic(12): ! Ok bende bekliyom orda
14:0:58 | [SirketCHT] Jodor(7): ! harboura gidin geliyorum
14:1:5 | [CMD] huseyin(10) => /fly
14:1:5 | [CMD] Sparta298(8) => /convoyiptal
14:1:10 | [CMD] huseyin(10) => /rescue
14:1:12 | [SirketCHT] Hic(12): ! Neden kapattýn ?
14:1:12 | [CMD] huseyin(10) => /fly
14:1:15 | [CMD] Hic(12) => /kemer
14:1:18 | [CMD] Asi_Kaptan(9) => /convoy
14:1:19 | [SirketCHT] Sparta298(8): ! Jodorunkine katýlýcaz.
14:1:24 | [CMD] Hic(12) => /convoy
14:1:27 | [SirketCHT] Jodor(7): ! ya da siz kurun ben katýlýrým size
14:1:32 | [CMD] Sparta298(8) => /convoy
14:1:35 | [CMD] huseyin(10) => /giseparacek
14:1:35 | [CMD] Hic(12) => /arenk1
14:1:35 | [CMD] Sparta298(8) => /atamir
14:1:38 | [CMD] Hic(12) => /convoy
14:1:40 | [SirketCHT] Jodor(7): ! benim mesafe çok 12m daha :/
14:1:42 | [CMD] huseyin(10) => /giseparacek
14:1:42 | [CMD] Hic(12) => /arenk1
14:1:44 | [CMD] Hic(12) => /arenk2
14:1:44 | [CMD] huseyin(10) => /meslek
14:1:45 | [CMD] Sparta298(8) => /arenki
14:1:51 | [CMD] Sparta298(8) => /arenk1
14:1:57 | huseyin(10) Bankaci olarak spawn oldu.
14:2:1 | [CMD] Hic(12) => /asay Animasyonlara bakmak için /animlist yazmanýz yeterlidir... 
14:2:2 | [CMD] Hic(12) => /asay Hep ayný mesleði yapmaktanmý sýkýldýn ? /meslek komutu ile mesleðinizi deðiþtirebilirsiniz... 
14:2:6 | [CMD] huseyin(10) => /kemer
14:2:8 | [CMD] huseyin(10) => /modifiye
14:2:9 | [SirketCHT] Asi_Kaptan(9): ! katýlýn koncoya
14:2:11 | [CMD] huseyin(10) => /work
14:2:13 | [CMD] huseyin(10) => /goreviptal
14:2:13 | [CMD] huseyin(10) => /work
14:2:16 | [SirketCHT] Sparta298(8): ! benimkine gel
14:2:17 | [SirketCHT] Sparta298(8): ! asi
14:2:17 | [CMD] huseyin(10) => /goreviptal
14:2:18 | [CMD] huseyin(10) => /work
14:2:18 | [SirketCHT] Hic(12): ! Spartanunkine gir aSÝ
14:2:18 | [SirketCHT] Jodor(7): ! spartada da açtý sanki
14:2:23 | [SirketCHT] Jodor(7): ! biriniz kapatýn
14:2:23 | [CMD] huseyin(10) => /goreviptal
14:2:24 | [CMD] huseyin(10) => /work
14:2:25 | [CMD] huseyin(10) => /goreviptal
14:2:26 | [CMD] huseyin(10) => /work
14:2:30 | [SirketCHT] Sparta298(8): ! bana gelin
14:2:31 | [SirketCHT] Jodor(7): ! asi spartaya gir
14:2:32 | [SirketCHT] Hic(12): ! Asi sen kapa
14:2:36 | [SirketCHT] Jodor(7): ! convoyuna :)
14:2:43 | [CMD] gorkemu24(11) => /convoy
14:2:48 | [SirketCHT] Sparta298(8): ! asdasd
14:2:48 | [CMD] Asi_Kaptan(9) => /convoy
14:2:50 | [CMD] Jodor(7) => /vtamir
14:2:51 | [SirketCHT] gorkemu24(11): !patronu bekleyýn la
14:2:54 | [CMD] Asi_Kaptan(9) => /convoy
14:2:58 | [CMD] Hic(12) => /sirket
14:2:59 | [SirketCHT] Jodor(7): ! biþey olmaz ben size katýlýrým
14:3:3 | [CMD] Asi_Kaptan(9) => /convoyayril
14:3:5 | [CMD] gorkemu24(11) => /sirketdorse
14:3:7 | [CMD] Asi_Kaptan(9) => /rescue
14:3:14 | Asi_Kaptan(9): arac res
14:3:17 | [SirketCHT] Sparta298(8): ! bende brazzers dorse modu var
14:3:18 | [CMD] huseyin(10) => /asay Arac Res Geliyor!  
14:3:18 | [CMD] huseyin(10) => /asay Arac Res Geliyor!  
14:3:23 | [CMD] huseyin(10) => /respawncars 
14:3:24 | [CMD] huseyin(10) => /cantazele
14:3:28 | [SirketCHT] Jodor(7): ! þirkeet facesinde görmüþtüm :D
14:3:29 | [CMD] Asi_Kaptan(9) => /sirketdorse
14:3:32 | [CMD] Sparta298(8) => /atamir
14:3:34 | [SirketCHT] Sparta298(8): ! :d
14:3:39 | [SirketCHT] gorkemu24(11): !faceden atarmsýn lýnkýný
14:3:47 | [CMD] Hic(12) => /adminol
14:3:48 | [CMD] Hic(12) => /adminol
14:3:50 | [CMD] huseyin(10) => /vtamir
14:3:51 | huseyin(10): bb
14:3:52 | H.R.N.(13): bb
14:3:52 | [SirketCHT] Sparta298(8): ! gtaall.com gir link unuttum
14:3:52 | [CMD] huseyin(10) => /vtamir
14:3:54 | Sparta298(8): Bb
14:3:57 | Hic(12) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
14:4:0 | [CMD] huseyin(10) => /dtemizle
14:4:0 | [CMD] huseyin(10) => /asay2 s  
14:4:1 | [CMD] huseyin(10) => /work
14:4:4 | [CMD] huseyin(10) => /goreviptal
14:4:4 | [CMD] H.R.N.(13) => /tamir
14:4:5 | [CMD] huseyin(10) => /work
14:4:6 | [CMD] huseyin(10) => /goreviptal
14:4:7 | [CMD] huseyin(10) => /work
14:4:8 | [CMD] huseyin(10) => /goreviptal
14:4:9 | [CMD] huseyin(10) => /work
14:4:10 | [CMD] huseyin(10) => /goreviptal
14:4:10 | [CMD] huseyin(10) => /work
14:4:10 | [CMD] Asi_Kaptan(9) => /work
14:4:11 | [CMD] huseyin(10) => /goreviptal
14:4:12 | [CMD] huseyin(10) => /work
14:4:19 | [CMD] Sparta298(8) => /musait
14:4:23 | [CMD] Sparta298(8) => /musait
14:4:40 | [CMD] H.R.N.(13) => /cevir
14:4:45 | [CMD] H.R.N.(13) => /tamir
14:4:48 | [CMD] Sparta298(8) => /a Valla bozoku þimdiden özledim
14:4:48 | [CMD] Asi_Kaptan(9) => /modifiye
14:4:54 | [SirketCHT] gorkemu24(11): !harboura gelýn buluþalým
14:4:56 | [CMD] huseyin(10) => /a hm
14:5:3 | [CMD] Sparta298(8) => /a 1 bi kalkýndýrak þirketi dönecemö
14:5:10 | [CMD] huseyin(10) => /a +
14:5:10 | [SirketCHT] Jodor(7): ! lv ye geldim
14:5:16 | [CMD] Sparta298(8) => /a hic de dönecek
14:5:21 | [CMD] huseyin(10) => /a +
14:5:27 | [CMD] huseyin(10) => /vtamir
14:5:39 | [CMD] huseyin(10) => /respawn 491 
14:5:41 | [CMD] huseyin(10) => /meslek
14:5:41 | gokhan142(6) oyuna girdi [IP: 78.174.151.121]
14:5:50 | [CMD] huseyin(10) => /bangor gokhan142145
14:5:55 | [SirketCHT] Sparta298(8): ! Asi konvoya gelicenmi
14:5:59 | huseyin(10) Gemici olarak spawn oldu.
14:5:59 | [SirketCHT] Asi_Kaptan(9): ! yok
14:6:2 | [SirketCHT] Jodor(7): ! asi yük almýþ
14:6:2 | [CMD] Sparta298(8) => /aka 6,
14:6:2 | [CMD] huseyin(10) => /rescue
14:6:9 | [CMD] Sparta298(8) => /aka 6
14:6:10 | [CMD] huseyin(10) => /cleanupcars
14:6:10 | {FFCC00}gokhan142(6) {FFFFFF}Kamyoncu olarak spawn oldu.
14:6:12 | [CMD] huseyin(10) => /aka 6 
14:6:13 | gokhan142(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
14:6:16 | [CMD] huseyin(10) => /car Squ 0 0 
14:6:18 | [SirketCHT] Sparta298(8): ! ok
14:6:23 | [CMD] huseyin(10) => /work
14:6:29 | [SirketCHT] gorkemu24(11): !kumarhanelerýmý 4 yaptým sonunda
14:6:29 | [SirketCHT] Asi_Kaptan(9): ! ok
14:6:32 | [CMD] huseyin(10) => /goreviptal
14:6:33 | [CMD] huseyin(10) => /work
14:6:46 | [CMD] huseyin(10) => /spawn 10 
14:6:46 | huseyin(10) Gemici olarak spawn oldu.
14:6:54 | [CMD] huseyin(10) => /dorseget 673 
14:7:14 | [CMD] huseyin(10) => /work
14:7:40 | [SirketCHT] Jodor(7): ! harbourdayým bekleyinm
14:7:43 | gokhan142(6) oyuna girdi [IP: 78.174.151.121]
14:7:44 | [SirketCHT] Sparta298(8): ! Bende
14:7:48 | [SirketCHT] Sparta298(8): ! Harbourdayým.
14:7:51 | 
14:7:52 | Chilgin[byhack](12) oyuna girdi [IP: 95.10.203.164]
14:7:53 | gokhan142(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
14:7:55 | [SirketCHT] Sparta298(8): ! daha görkem gelmedi
14:7:58 | [CMD] huseyin(10) => /dtemizle
14:7:58 | [CMD] huseyin(10) => /asay2 s  
14:8:4 | [SirketCHT] gorkemu24(11): !yavaþ yavaþ gelýyorum
14:8:6 | 
14:8:10 | {FFCC00}Chilgin[byhack](12) {FFFFFF}Kamyoncu olarak spawn oldu.
14:8:23 | [CMD] Chilgin[byhack](12) => /admgiris
14:8:25 | [CMD] Asi_Kaptan(9) => /kemer
14:8:26 | [CMD] Chilgin[byhack](12) => /sa
14:8:27 | [CMD] huseyin(10) => /as
14:8:29 | [CMD] Asi_Kaptan(9) => /as
14:8:29 | Sparta298(8): Aleyküm Selam.
14:8:29 | [CMD] H.R.N.(13) => /as
14:8:30 | [CMD] Jodor(7) => /as
14:8:34 | [CMD] Chilgin[byhack](12) => /work
14:8:37 | [SirketCHT] Sparta298(8): ! bi 600k kasayým afk kalýcam
14:8:42 | [SirketCHT] Jodor(7): ! tamam
14:8:42 | [CMD] Chilgin[byhack](12) => /dtemizle
14:8:44 | [CMD] huseyin(10) => /dtemizle
14:8:44 | [CMD] huseyin(10) => /asay2 s  
14:8:47 | [CMD] huseyin(10) => /vtamir
14:8:48 | [CMD] huseyin(10) => /kemer
14:8:49 | [CMD] huseyin(10) => /cantazele
14:8:52 | [CMD] gorkemu24(11) => /sirket
14:8:54 | [CMD] Chilgin[byhack](12) => /setskin 12 219
14:9:1 | [CMD] huseyin(10) => /asay VIP-SIRKET-DONATOR-GISE-Vb.Ürünlerimizden Satýn Almak Ýsterseniz.Facebook: Truck Samp Sayfasýna Mesaj Atabilirsiniz. 
14:9:3 | [CMD] Chilgin[byhack](12) => /araba
14:9:3 | [CMD] Asi_Kaptan(9) => /work
14:9:25 | gokhan142(6) oyuna girdi [IP: 78.174.151.121]
14:9:31 | [CMD] Sparta298(8) => /c a
14:9:34 | 
14:9:36 | gokhan142(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
14:9:38 | [CMD] Sparta298(8) => /c Görkem
14:9:42 | [CMD] gorkemu24(11) => /c ?
14:9:43 | [CMD] Sparta298(8) => /c Beni görüyormusun
14:9:48 | [CMD] H.R.N.(13) => /meslek
14:9:48 | [CMD] gorkemu24(11) => /c görüyorum
14:9:49 | [CMD] Jodor(7) => /convoyiptal
14:9:51 | [CMD] Jodor(7) => /convoy
14:9:53 | {FFCC00}H.R.N.(13) {FFFFFF}Kamyoncu olarak spawn oldu.
14:9:56 | [CMD] H.R.N.(13) => /rescue
14:9:58 | [CMD] Sparta298(8) => /c bende dondu bi an
14:9:59 | [CMD] Sparta298(8) => /work
14:10:6 | [CMD] Jodor(7) => /c afk gözüküyordun
14:10:8 | [CMD] huseyin(10) => /work
14:10:12 | [CMD] Sparta298(8) => /geldim
14:10:13 | [CMD] huseyin(10) => /vtamir
14:10:15 | [CMD] Jodor(7) => /asiriyuk
14:10:20 | [SirketCHT] gorkemu24(11): !çekirdek yiyorum olabýlýr
14:10:31 | [CMD] H.R.N.(13) => /t convoy yapan varmý harbour
14:10:33 | [CMD] huseyin(10) => /dtemizle
14:10:34 | [CMD] huseyin(10) => /asay2 s  
14:10:39 | [CMD] Sparta298(8) => /r biz vardýk
14:10:39 | [CMD] Jodor(7) => /t yeniç ýktý
14:10:45 | [SWAT]DeaD[POH](6) oyuna girdi [IP: 158.181.43.203]
14:10:48 | [CMD] gorkemu24(11) => /t baþladýk biz docks gelýyorsan gel
14:10:50 | [CMD] Jodor(7) => /t docksa gel
14:10:56 | [CMD] H.R.N.(13) => /t nese
14:10:56 | 
14:10:56 | [CMD] Jodor(7) => /vtamir
14:11:2 | {FFCC00}[SWAT]DeaD[POH](6) {FFFFFF}Pilot olarak spawn oldu.
14:11:6 | [CMD] Jodor(7) => /vbenzin
14:11:8 | [CMD] huseyin(10) => /a pzvnk geldi .d
14:11:10 | [CMD] huseyin(10) => /dtemizle
14:11:11 | [CMD] huseyin(10) => /asay2 s  
14:11:12 | [CMD] Sparta298(8) => /a sjsjsj
14:11:19 | [CMD] Chilgin[byhack](12) => /a :D
14:11:36 | [CMD] [SWAT]DeaD[POH](6) => /pm 13 harun kargoculuk yapakmi
14:11:48 | [CMD] [SWAT]DeaD[POH](6) => /meslek
14:11:52 | 
