0:0:16 | [CMD] TIRCI(16) => /araba
15:28:22 | huseyin(16): onu da mý ben söyleyeyim 
15:28:22 | Oguzkaptan355(10): yadýmcý oln
15:28:23 | [CMD] DangerTr07(17) => /Cevir
15:28:25 | [CMD] RingoBamBam(20) => /pm 16 hüseyinn
15:28:25 | [CMD] GSLIMERT(8) => /cevir
15:28:26 | [CMD] GSLIMERT(8) => /cevir
15:28:27 | [CMD] Sparta298(14) => /pm 6 aynen mk
15:28:27 | DangerTr07(17): tamma olalim 
15:28:30 | [CMD] huseyin(16) => /pm 20 söyle
15:28:30 | [CMD] DangerTr07(17) => /a /Ban 
15:28:32 | [CMD] DangerTr07(17) => /A XD
15:28:33 | [CMD] GSLIMERT(8) => /cevir
15:28:33 | Oguzkaptan355(10): sw adý soleyýn
15:28:33 | [CMD] sezzer(6) => /pm 14 tabi mk :D 
15:28:33 | [CMD] RingoBamBam(20) => /pm 6 id 9 yanlýþ araba kullanýyor
15:28:35 | DangerTr07(17): kardeþ 
15:28:35 | Oguzkaptan355(10):  turk cok olan bulam
15:28:36 | huseyin(16): Oguz 
15:28:38 | huseyin(16): banlarým seni 
15:28:38 | DangerTr07(17): çýk sunucundan
15:28:39 | [CMD] GSLIMERT(8) => /cevir
15:28:41 | [CMD] GSLIMERT(8) => /cevir
15:28:41 | [SirketCHT] Jodor(18): ! kickle gitsin
15:28:42 | [CMD] GSLIMERT(8) => /cevir
15:28:42 | DangerTr07(17): samp listesinden ara 
15:28:43 | Oguzkaptan355(10): ardslar kýzmayýn
15:28:43 | TunaS(13): .asiriyuk
15:28:45 | Oguzkaptan355(10): bulamadm
15:28:48 | [CMD] sezzer(6) => /pm 14 tabi mk :D 
15:28:49 | RaMaZaN1(21) oyuna girdi [IP: 88.232.55.53]
15:28:49 | [LOCAL]ozantr12345(12): :dA:D:A
15:28:49 | [CMD] ozantr12345(12) => /l :dA:D:A
15:28:49 | RaMaZaN1(21) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
15:28:50 | huseyin(16): googlede ara 
15:28:51 | [CMD] DangerTr07(17) => /ATamir
15:28:53 | [CMD] GSLIMERT(8) => /cevir
15:28:53 | [CMD] DangerTr07(17) => /fuel
15:28:54 | [LOCAL]ozantr12345(12): aW:DASDAWQEDS
15:28:54 | [CMD] ozantr12345(12) => /l aW:DASDAWQEDS
15:28:55 | [CMD] GSLIMERT(8) => /cevir
15:28:57 | Oguzkaptan355(10): ordada 2012 ser verlerý var
15:28:57 | [CMD] Sparta298(14) => /pm 17 yalan atýyor mk
15:29:0 | [CMD] GSLIMERT(8) => /goreviptal
15:29:4 | [CMD] RingoBamBam(20) => /modifiye
15:29:7 | [CMD] huseyin(16) => /aka 10 
15:29:8 | [CMD] GSLIMERT(8) => /c olum yavas gelsene ya
15:29:9 | [CMD] sezzer(6) => /kemer
15:29:10 | [CMD] huseyin(16) => /spec 10  
15:29:11 | [CMD] GSLIMERT(8) => /c sf gel
15:29:11 | [CMD] huseyin(16) => /slap 10 
15:29:12 | [CMD] huseyin(16) => /slap 10 
15:29:12 | Jodor(18): sen bi örnek versene oðuz
15:29:12 | [CMD] huseyin(16) => /slap 10 
15:29:13 | [CMD] GSLIMERT(8) => /rescue
15:29:14 | [LOCAL]ozantr12345(12): am yalanýr gerisi yalandý
15:29:14 | [CMD] ozantr12345(12) => /l am yalanýr gerisi yalandý
15:29:16 | [CMD] DangerTr07(17) => /pm 14 sus lan çocukluk aþkýmý ariyordum kaç senedir :# 
15:29:16 | Sparta298(14): 8p 6 Keyfim kaçtý gelince
15:29:17 | [CMD] Ahmetefe895(15) => /c napyým olum afk mý ne oldun bi an
15:29:17 | [SirketCHT] Jodor(18): ! böyle yapayým ban yesin
15:29:18 | [SirketCHT] huseyin(16): ! :D 
15:29:24 | [CMD] GSLIMERT(8) => /c harýtaya bakýyodum
15:29:24 | [LOCAL]ozantr12345(12): ADAWQDASDSADA:DAS
15:29:24 | [CMD] ozantr12345(12) => /l ADAWQDASDSADA:DAS
15:29:24 | [CMD] DangerTr07(17) => /pm 14 bulamadim lan :# 
15:29:28 | Oguzkaptan355(10): bana bole caatýsmalý 100 kýsýlk turk sw lazm
15:29:28 | [CMD] DangerTr07(17) => /ATamir
15:29:33 | Sparta298(14): Fial
15:29:34 | Jodor(18): adý ne 
15:29:34 | [CMD] BahadrOkan12(22) => /asiriyuk
15:29:35 | Sparta298(14): Fail
15:29:35 | [CMD] GSLIMERT(8) => /kemer
15:29:35 | [LOCAL]DangerTr07(17): süttür  git :D 
15:29:35 | [CMD] DangerTr07(17) => /l süttür  git :D 
15:29:35 | TunaS(13): lan cýk git
15:29:36 | RingoBamBam(20): git baska yere
15:29:36 | [LOCAL]ozantr12345(12): la biz neden bahsediyoz
15:29:36 | [CMD] ozantr12345(12) => /l la biz neden bahsediyoz
15:29:37 | [CMD] Ahmetefe895(15) => /goreviptal
15:29:38 | Oguzkaptan355(10): z group extreme vardý eskýden
15:29:40 | [CMD] Ahmetefe895(15) => /rescue
15:29:40 | Oguzkaptan355(10): kapandýmýa
15:29:43 | [CMD] DangerTr07(17) => /A banla d 
15:29:45 | [CMD] Ahmetefe895(15) => /c sf gel
15:29:46 | TunaS(13): lan cocuk gýt oynama
15:29:48 | [BAN] huseyin(16) Oguzkaptan355(10)'i 10 gün 0 saat banladý. Sebep: Reklam 
15:29:48 | [CMD] huseyin(16) => /ban 10 10 0 Reklam 
15:29:48 | Oguzkaptan355(10) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
15:29:48 | {FFCC00}huseyin(16) Otobus Soforu olarak spawn oldu.
15:29:48 | [LOCAL]ozantr12345(12): danger istikamet nere
15:29:48 | [CMD] ozantr12345(12) => /l danger istikamet nere
15:29:49 | Jodor(18): güle güle
15:29:50 | [LOCAL]sezzer(6): bizim ilkokulda
15:29:50 | [CMD] sezzer(6) => /l bizim ilkokulda
15:29:50 | TunaS(13): kafa býrakmadýn
15:29:51 | [CMD] huseyin(16) => /a :D 
15:29:51 | [CMD] GSLIMERT(8) => /work
15:29:51 | [CMD] Sparta298(14) => /cc
15:29:52 | [CMD] DangerTr07(17) => /cc
15:29:53 | Jodor(18): haha
15:29:53 | [LOCAL]sezzer(6): bizim ilkokulda
15:29:53 | [CMD] sezzer(6) => /l bizim ilkokulda
15:29:53 | [CMD] RingoBamBam(20) => /tamir
15:29:53 | [CMD] Ahmetefe895(15) => /c yavaþ gidek
15:29:55 | DangerTr07(17): oo fail 
15:29:55 | [CMD] GSLIMERT(8) => /bonus
15:29:57 | [CMD] RingoBamBam(20) => /tamir
15:29:58 | [CMD] GSLIMERT(8) => /work
15:29:59 | [LOCAL]sezzer(6): görkem diye bi arkadaþ vardý
15:29:59 | [CMD] sezzer(6) => /l görkem diye bi arkadaþ vardý
15:30:0 | RingoBamBam(20): work
15:30:1 | [CMD] DangerTr07(17) => /Cantazele 
15:30:2 | [CMD] huseyin(16) => /a adama kumpas kurduk 
15:30:3 | [CMD] RingoBamBam(20) => /modifiye
15:30:7 | [CMD] DangerTr07(17) => /A fenasin sen :D 
15:30:7 | [LOCAL]Sparta298(14): Olm ben çocukken hocama aþýk oldumdu :d
15:30:7 | [CMD] Sparta298(14) => /l Olm ben çocukken hocama aþýk oldumdu :d
15:30:9 | [LOCAL]sezzer(6): bize gelirdi 31 çekerdik mk porno açýp
15:30:9 | [CMD] sezzer(6) => /l bize gelirdi 31 çekerdik mk porno açýp
15:30:9 | [CMD] huseyin(16) => /a :Dd
15:30:14 | [CMD] GSLIMERT(8) => /c kasa al
15:30:16 | [CMD] GSLIMERT(8) => /c dorse
15:30:16 | [CMD] DangerTr07(17) => /A þu sezzerin bir lafý var :D 
15:30:17 | [CMD] Ahmetefe895(15) => /pm 8 kamyonmu alsak
15:30:20 | [LOCAL]sezzer(6): bigün ibne birbirimize þeyapalým demiþti
15:30:20 | [CMD] sezzer(6) => /l bigün ibne birbirimize þeyapalým demiþti
15:30:21 | [CMD] DangerTr07(17) => /A öldürdü beni :D 
15:30:21 | [CMD] GSLIMERT(8) => /c benýmkýnden al
15:30:23 | [CMD] huseyin(16) => /a .d.d
15:30:25 | [LOCAL]sezzer(6): keþke kabul etseydim
15:30:25 | [CMD] sezzer(6) => /l keþke kabul etseydim
15:30:26 | [CMD] huseyin(16) => /dtemizle
15:30:26 | [CMD] DangerTr07(17) => /A bak yazdiracam þimdi :D 
15:30:27 | [CMD] huseyin(16) => /asay Sunucumuzu Favorilerinize Eklemeyi Unutmayýnýz.  
15:30:28 | [SirketCHT] DangerTr07(17): ! Adaþ 
15:30:28 | [CMD] huseyin(16) => /asay VIP-SIRKET-DONATOR-GISE-Vb.Ürünlerimizden Satýn Almak Ýsterseniz.Facebook: Truck Samp Sayfasýna Mesaj Atabilirsiniz. 
15:30:30 | [CMD] huseyin(16) => /asay Arac Res Geliyor!  
15:30:30 | [CMD] huseyin(16) => /asay Arac Res Geliyor!  
15:30:30 | [CMD] [SWAT]DeaD[POH](11) => /meslek
15:30:32 | [SirketCHT] sezzer(6): ! he
15:30:32 | [SWAT]DeaD[POH](11) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
15:30:33 | DarkFlow(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
15:30:35 | [CMD] Sparta298(14) => /a :d
15:30:35 | [CMD] huseyin(16) => /respawncars 
15:30:38 | [SirketCHT] DangerTr07(17): ! gurbetci gibi neyi vardi 
15:30:41 | [CMD] GSLIMERT(8) => /modifiye
15:30:44 | [CMD] huseyin(16) => /dtemizle
15:30:44 | [SirketCHT] sezzer(6): ! bavulu gibi
15:30:46 | [CMD] GSLIMERT(8) => /modifiye
15:30:46 | [SirketCHT] DangerTr07(17): ! Ç:QWÇEQEWQE 
15:30:51 | [LOCAL]Sparta298(14): Sizin amk lafa tuttunuz beni
15:30:51 | [CMD] Sparta298(14) => /l Sizin amk lafa tuttunuz beni
15:30:55 | [SirketCHT] DangerTr07(17): ! lo söyle tamma kýzmýcak hüseyin :D 
15:30:58 | [CMD] GSLIMERT(8) => /isteksarki 69
15:31:1 | [SirketCHT] huseyin(16): ! söyle
15:31:4 | [SWAT]DeaD[POH](10) oyuna girdi [IP: 158.181.40.29]
15:31:5 | [SirketCHT] sezzer(6): ! gurbetçi bavulu gibi götü vardý kanak
15:31:8 | [SirketCHT] DangerTr07(17): ! Ç:QWEQEQEÇQÇE
15:31:9 | [SirketCHT] sezzer(6): ! dolu dolu böyle
15:31:10 | [SirketCHT] DangerTr07(17): ! Ç:ÇWEQEÇWQÇE 
15:31:14 | [SirketCHT] huseyin(16): ! :d
15:31:14 | [CMD] DangerTr07(17) => /A hüseyin qç.EQWÇEWQÇ 
15:31:15 | 
15:31:18 | {FFCC00}[SWAT]DeaD[POH](10) Otobus Soforu olarak spawn oldu.
15:31:18 | Konyali42(9) oyundan cIktI (Hata/Crash) (IP: 89.12.246.31)
15:31:20 | [SirketCHT] Sparta298(14): ! len adasdadasda
15:31:22 | [SirketCHT] DangerTr07(17): ! :QWEÇ 
15:31:29 | [SirketCHT] sezzer(6): ! kýz 1.50 boyu vardý 
15:31:29 | [SirketCHT] DangerTr07(17): ! haykirdim lan :D 
15:31:31 | [SirketCHT] sezzer(6): ! ama o göt
15:31:34 | [LOCAL]Sparta298(14): Amk lafa tutmayýn beni
15:31:34 | [CMD] Sparta298(14) => /l Amk lafa tutmayýn beni
15:31:35 | [SWAT]DeaD[POH](10): oguzhan naapti
15:31:35 | [SirketCHT] DangerTr07(17): ! kanka 
15:31:40 | [SWAT]DeaD[POH](10): oguz naapti
15:31:40 | huseyin(16): Reklam
15:31:42 | [CMD] Jodor(18) => /vtamir
15:31:42 | [SirketCHT] DangerTr07(17): ! o kýz hayla yavþýyabilrisin :D 
15:31:44 | [SWAT]DeaD[POH](10): sw mi
15:31:45 | [LOCAL]ozantr12345(12): sparta
15:31:45 | [CMD] ozantr12345(12) => /l sparta
15:31:47 | huseyin(16): evt
15:31:51 | [LOCAL]Sparta298(14): ozan
15:31:51 | [CMD] Sparta298(14) => /l ozan
15:31:51 | [SirketCHT] DangerTr07(17): ! nasil kankan yavþdi sende yavþa 
15:31:52 | [LOCAL]ozantr12345(12): neyden ödevin var
15:31:52 | [CMD] ozantr12345(12) => /l neyden ödevin var
15:31:53 | [SWAT]DeaD[POH](10): Tamam.
15:31:57 | [SirketCHT] sezzer(6): ! kanka ben buna faceden neler dedim mk
15:31:57 | [CMD] [SWAT]DeaD[POH](10) => /work
15:31:59 | [LOCAL]Sparta298(14): matematik?
15:31:59 | [CMD] Sparta298(14) => /l matematik?
15:32:1 | [SirketCHT] sezzer(6): ! ana bacý girdim faceden
15:32:2 | huseyin(16): Baþka sorunuz varmýydý banlarla ilgili
15:32:2 | [LOCAL]ozantr12345(12): pü
15:32:2 | [CMD] ozantr12345(12) => /l pü
15:32:3 | [SirketCHT] DangerTr07(17): ! xd 
15:32:4 | [SirketCHT] sezzer(6): ! bakmaz daha
15:32:8 | [LOCAL]ozantr12345(12): git yap gel
15:32:8 | [CMD] ozantr12345(12) => /l git yap gel
15:32:9 | RingoBamBam(20): polis varmý beyler
15:32:10 | [CMD] TunaS(13) => /work
15:32:10 | [SirketCHT] DangerTr07(17): ! varmi kýzýn facebooku qÇ:WEQ 
15:32:10 | [SWAT]DeaD[POH](10): Hayir saolun
15:32:10 | [SirketCHT] Sparta298(14): ! püü localdan yazýn mk
15:32:13 | huseyin(16): yok @20 
15:32:15 | [LOCAL]ozantr12345(12): biz hala burdayýz
15:32:15 | [CMD] ozantr12345(12) => /l biz hala burdayýz
15:32:15 | [SirketCHT] Sparta298(14): ! len küfür ettim
15:32:17 | huseyin(16):  /karakol 
15:32:18 | [SirketCHT] Sparta298(14): ! fail .D
15:32:18 | [SWAT]DeaD[POH](10):  /karakol
15:32:18 | [SirketCHT] DangerTr07(17): ! adaþ facebook vardi demi senin :D 
15:32:18 | huseyin(16):  /cezaode
15:32:19 | [CMD] TunaS(13) => /goreviptal
15:32:21 | [CMD] huseyin(16) => /cantazele
15:32:22 | [CMD] huseyin(16) => /asay VIP-SIRKET-DONATOR-GISE-Vb.Ürünlerimizden Satýn Almak Ýsterseniz.Facebook: Truck Samp Sayfasýna Mesaj Atabilirsiniz. 
15:32:23 | [SWAT]DeaD[POH](10):  /cezaode
15:32:24 | [CMD] huseyin(16) => /write
15:32:25 | [LOCAL]ozantr12345(12): 1+1?
15:32:25 | [CMD] ozantr12345(12) => /l 1+1?
15:32:25 | [CMD] TunaS(13) => /meslek
15:32:26 | [SirketCHT] Sparta298(14): ! ekli bende sezer
15:32:26 | [SirketCHT] sezzer(6): ! o zamanlar vardý kanka kapatttým
15:32:28 | [SirketCHT] DangerTr07(17): ! bu mevzuyu özel oalrak anlat :D 
15:32:28 | Jodor(18): dead sen de biþey sormasan var ya
15:32:28 | [LOCAL]Sparta298(14): 8
15:32:28 | [CMD] Sparta298(14) => /l 8
15:32:31 | [SirketCHT] sezzer(6): ! þuan fake var
15:32:31 | [SirketCHT] DangerTr07(17): ! aç sen geri :D 
15:32:32 | [CMD] Ahmetefe895(15) => /czil :D
15:32:33 | [LOCAL]ozantr12345(12): mükemmel
15:32:33 | [CMD] ozantr12345(12) => /l mükemmel
15:32:33 | [SirketCHT] sezzer(6): ! grup için
15:32:35 | [SirketCHT] DangerTr07(17): ! tm oda olur xd 
15:32:35 | {FFCC00}TunaS(13) {FFFFFF}Pilot olarak spawn oldu.
15:32:40 | [SWAT]DeaD[POH](10): ne anlamadim
15:32:40 | [SirketCHT] DangerTr07(17): ! Gruopta anlat :D 
15:32:40 | [CMD] huseyin(16) => /vipler
15:32:41 | [CMD] TunaS(13) => /meslek
15:32:44 | [SirketCHT] sezzer(6): ! hasfdhf
15:32:45 | {FFCC00}TunaS(13) {FFFFFF}Kamyoncu olarak spawn oldu.
15:32:46 | [CMD] huseyin(16) => /godonator 
15:32:50 | Jodor(18): hiç hiç
15:32:52 | [SirketCHT] sezzer(6): ! olm kýza ne küfür ettim ya
15:32:52 | [SirketCHT] DangerTr07(17): ! birazda bizimkiler gülsün :D 
15:32:55 | [SirketCHT] DangerTr07(17): ! salak :D 
15:32:57 | [CMD] TunaS(13) => /kemer
15:32:58 | [SirketCHT] sezzer(6): ! benn hayatýmda öyle sövmemiþtim birine
15:32:59 | [SirketCHT] DangerTr07(17): ! kýzýn günahi ne :D 
15:33:0 | [KAMYONCU] BahadrOkan12, Whestone Farm'den SF Catering LTD'e Sut tasidi. Kazanc: 5175$, 2 Skor ve 5 EXP Sure: 174 Saniye
15:33:2 | [CMD] RingoBamBam(20) => /convoy
15:33:6 | [SirketCHT] Sparta298(14): ! göt sezer
15:33:8 | [CMD] huseyin(16) => /get 19 
15:33:9 | [SirketCHT] Sparta298(14): ! günahý
15:33:10 | [SirketCHT] DangerTr07(17): ! :D :D:D
15:33:12 | [SirketCHT] sezzer(6): ! kýzýn günahý ne biliyo musun
15:33:16 | [SirketCHT] sezzer(6): ! anlatýyorum
15:33:16 | [SirketCHT] DangerTr07(17): ! anlat :D
15:33:17 | [CMD] huseyin(16) => /labelolustur TEST 
15:33:17 | [CMD] TunaS(13) => /work
15:33:18 | [CMD] DangerTr07(17) => /Atamir
15:33:18 | [SirketCHT] sezzer(6): ! bölmeyim
15:33:20 | [CMD] huseyin(16) => /labelsil 104 
15:33:29 | [CMD] huseyin(16) => /dtemizle
15:33:30 | [SirketCHT] sezzer(6): ! kýza ben açýlmadým tamam mý arkadaþ gitmiþ söylemiþ
15:33:31 | [CMD] huseyin(16) => /rescue
15:33:33 | Konyali42(7) oyuna girdi [IP: 89.12.246.31]
15:33:33 | [CMD] GSLIMERT(8) => /c nerdesýn
15:33:36 | [SirketCHT] sezzer(6): ! sezer seni seviyo falan diye
15:33:36 | [CMD] TunaS(13) => /fp
15:33:37 | [KAMYONCU] Jodor, EasterBoard Farm'den Longway Warehouse'e Kurbanlik tasidi. Kazanc: 423804$, 1 Skor ve 5 EXP Sure: 315 Saniye
15:33:39 | [CMD] huseyin(16) => /fly
15:33:42 | 
15:33:45 | Konyali42(7) Itfaiyeci olarak spawn oldu.
15:33:45 | [CMD] Jodor(18) => /work
15:33:45 | [SirketCHT] DangerTr07(17): ! hee sonra :D 
15:33:47 | [CMD] huseyin(16) => /giseparacek 
15:33:47 | [SirketCHT] sezzer(6): ! kýz neler demiþ arkamdan
15:33:47 | [SWAT]DeaD[POH](10): g
15:33:49 | [SWAT]DeaD[POH](10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
15:33:50 | [CMD] huseyin(16) => /giseparacek 
15:33:52 | [SirketCHT] sezzer(6): ! bisürü dalga geçmiþ
15:33:53 | [CMD] huseyin(16) => /goto matite 
15:33:54 | [SirketCHT] DangerTr07(17): ! vay þrfsiz 
15:33:57 | [CMD] Konyali42(7) => /work
15:33:58 | [CMD] huseyin(16) => /rescue
15:34:4 | [SirketCHT] sezzer(6): ! sonra kankamla çýkmaya baþladý
15:34:10 | [SirketCHT] Sparta298(14): ! yapmýyorum .. ödevi
15:34:11 | [SirketCHT] sezzer(6): ! ondan ayrýlma nedeni de ne biliyo musun
15:34:12 | [CMD] huseyin(16) => /giseparacek
15:34:13 | [CMD] RingoBamBam(20) => /tamir
15:34:18 | [CMD] TunaS(13) => /goreviptal
15:34:21 | [CMD] huseyin(16) => /giseparacek
15:34:24 | [CMD] DangerTr07(17) => /pm 14 akþam yap yarsiini 
15:34:24 | [CMD] huseyin(16) => /godonator 
15:34:24 | ozantr12345(12): h
15:34:26 | [CMD] TunaS(13) => /meslek
15:34:27 | [CMD] BahadrOkan12(22) => /meslek
15:34:28 | [CMD] TunaS(13) => /meslek
15:34:29 | [SirketCHT] sezzer(6): ! sen sezerin beni sevdiðini biliyodun nasý benle çýkarsýn falan demiþ
15:34:31 | [CMD] huseyin(16) => /donatorekle
15:34:32 | [SirketCHT] sezzer(6): ! ayrýlmýþ
15:34:34 | [CMD] huseyin(16) => /yaziekle
15:34:38 | TunaS(13) Cöpcü olarak spawn oldu.
15:34:39 | [SirketCHT] sezzer(6): ! beynini sikeyim ben bu kýzýn
15:34:45 | [SirketCHT] sezzer(6): ! ne bok yediði belli deðil
15:34:49 | 
15:34:49 | [SirketCHT] sezzer(6): ! bak yine dellendim mk
15:34:50 | [SirketCHT] DangerTr07(17): ! :ÇQWEQ 
15:34:56 | [CMD] TunaS(13) => /work
15:34:56 | [CMD] RingoBamBam(20) => /report 6 sirketten küfür
15:34:57 | [SirketCHT] DangerTr07(17): ! oglim senin mal arkadaþýn kýzý kandirmiþ :D 
15:34:57 | [SirketCHT] sezzer(6): ! gidip bi tur daha mý sövüm napým
15:35:0 | [CMD] BahadrOkan12(22) => /work
15:35:2 | [CMD] TunaS(13) => /meslek
15:35:5 | {FFCC00}TunaS(13) {FFFFFF}Pilot olarak spawn oldu.
15:35:8 | [CMD] DangerTr07(17) => /A al iþte :D 
15:35:13 | [CMD] Sparta298(14) => /a Asdadada
15:35:24 | [SirketCHT] Sparta298(14): ! Sezer knk
15:35:25 | [CMD] DangerTr07(17) => /a þirketdede rahat yok :D 
15:35:29 | [SirketCHT] Sparta298(14): ! Söyme
15:35:31 | [SirketCHT] huseyin(16): ! þirkette
15:35:31 | [SirketCHT] Sparta298(14): ! sövme
15:35:32 | [CMD] TunaS(13) => /work
15:35:35 | [SirketCHT] DangerTr07(17): ! geçin facebooka :D 
15:35:37 | [SirketCHT] huseyin(16): ! küfür olursa þikayet etmeyin
15:35:40 | [SirketCHT] DangerTr07(17): ! ege oraya geç :D 
15:35:43 | [CMD] RingoBamBam(20) => /tamir
15:35:44 | ahmet55(9) oyuna girdi [IP: 78.163.58.182]
15:35:46 | [SirketCHT] huseyin(16): ! ben diyorum.
15:35:48 | DangerTr07(17) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
15:35:57 | [CMD] Sparta298(14) => /goto 17
15:36:0 | [CMD] huseyin(16) => /asay Kendi Chatinizi Temizlemek Ýsterseniz /pcc Komutunu Kullanabilirsiniz.  
15:36:1 | [LOCAL]ozantr12345(12): ee gezmeye devam?
15:36:1 | [CMD] ozantr12345(12) => /l ee gezmeye devam?
15:36:3 | 
15:36:6 | [CMD] Konyali42(7) => /tamir
15:36:8 | [LOCAL]Sparta298(14): arabayý sürün
15:36:8 | [CMD] Sparta298(14) => /l arabayý sürün
15:36:9 | 
15:36:10 | [CMD] ozantr12345(12) => /araba
15:36:11 | [CMD] Sparta298(14) => /musait
15:36:15 | [CMD] TunaS(13) => /pcc
15:36:16 | [CMD] ahmet55(9) => /sa
15:36:18 | [CMD] huseyin(16) => /as
15:36:19 | Sparta298(14): Aleyküm Selam.
15:36:21 | [LOCAL]ozantr12345(12): napalým þimdi
15:36:21 | [CMD] ozantr12345(12) => /l napalým þimdi
15:36:22 | [CMD] Sparta298(14) => /sa
15:36:23 | [CMD] huseyin(16) => /goto 10 
15:36:25 | TunaS(13): a
15:36:26 | [CMD] huseyin(16) => /goto 19 
15:36:27 | TunaS(13): as
15:36:31 | ozantr12345(12): hüso affetmen için napmam gerek
15:36:40 | huseyin(16): hiç biþi
15:36:40 | [CMD] Ahmetefe895(15) => /PM 8 KIRMIZI NOKTA YOK BENDE
15:36:44 | [CMD] Ahmetefe895(15) => /WORK
15:36:56 | ahmet55(9): kargocu olcak varmý benle
15:36:57 | [CMD] Jodor(18) => /asiriyuk
15:37:0 | [CMD] Konyali42(7) => /tamir
15:37:0 | [CMD] GSLIMERT(8) => /pm 15 nýye
15:37:7 | [CMD] RingoBamBam(20) => /work
15:37:10 | [LOCAL]sezzer(6): neyse beyler ben az afk olcam
15:37:10 | [CMD] sezzer(6) => /l neyse beyler ben az afk olcam
15:37:11 | [CMD] Ahmetefe895(15) => /pm 8 ben binmeden almýþýn görevi
15:37:13 | [LOCAL]sezzer(6): iþim çýktý
15:37:13 | [CMD] sezzer(6) => /l iþim çýktý
15:37:16 | [CMD] RingoBamBam(20) => /work
15:37:16 | TunaS(13): mafya kaç skor veriyor?
15:37:17 | [SirketCHT] Konyali42(7): ! itfayeci de yangin söndügünde simdi geri dön diyormu demiyormu
15:37:19 | [LOCAL]ozantr12345(12): ben mafya olcam gelcek varmý ayný rotada ayný göre4vleri yapak
15:37:19 | [CMD] ozantr12345(12) => /l ben mafya olcam gelcek varmý ayný rotada ayný göre4vleri yapak
15:37:24 | [CMD] GSLIMERT(8) => /c bosuna geldýk :)
15:37:28 | [CMD] ozantr12345(12) => /meslek
15:37:31 | [CMD] sezzer(6) => /sigara1
15:37:31 | ozantr12345(12) Mafya olarak spawn oldu.
15:37:32 | [CMD] sezzer(6) => /sigara1
15:37:32 | [CMD] Jodor(18) => /kemer
15:37:33 | [CMD] GSLIMERT(8) => /goreviptal
15:37:33 | [CMD] ozantr12345(12) => /t sa
15:37:35 | [CMD] RingoBamBam(20) => /t as
15:37:35 | [CMD] TunaS(13) => /meslek
15:37:37 | [LOCAL]sezzer(6): iyi takýlmalar size
15:37:37 | [CMD] sezzer(6) => /l iyi takýlmalar size
15:37:38 | [CMD] Jodor(18) => /akilitle 
15:37:38 | [CMD] ozantr12345(12) => /t lv gelin gezel,m
15:37:39 | TunaS(13) Mafya olarak spawn oldu.
15:37:39 | [CMD] GSLIMERT(8) => /c /goreviptal
15:37:39 | [CMD] Ahmetefe895(15) => /c otobüs olak
15:37:40 | [SirketCHT] ahmet55(9): ! gerý don dýyor 
15:37:44 | [CMD] Ahmetefe895(15) => /goreviptal
15:37:45 | [CMD] RingoBamBam(20) => /t gorev yapýyorum
15:37:46 | TunaS(13) Mafya olarak spawn oldu.
15:37:48 | [CMD] GSLIMERT(8) => /c /goreviptal
15:37:50 | [CMD] GSLIMERT(8) => /meslek
15:37:51 | [CMD] Ahmetefe895(15) => /goreviptal
15:37:52 | [CMD] ozantr12345(12) => /t beraber görev yapalým
15:37:53 | {FFCC00}GSLIMERT(8) Otobus Soforu olarak spawn oldu.
15:37:53 | [CMD] ozantr12345(12) => /araba
15:37:54 | [SirketCHT] Konyali42(7): ! bende demedi yangin söndü
15:37:54 | [CMD] TunaS(13) => /work
15:37:57 | [CMD] Ahmetefe895(15) => /meslek
15:37:57 | [CMD] Sparta298(14) => /sac
15:38:3 | [CMD] Ahmetefe895(15) => /c aranýyorum
15:38:4 | [CMD] RingoBamBam(20) => /t ben gorevi yapýyorum geliyorum
15:38:6 | Ahmetefe895(15): polis varmý
15:38:7 | [CMD] Jodor(18) => /sirket
15:38:8 | [CMD] Sparta298(14) => /kemer
15:38:10 | huseyin(16):  /karakol
15:38:10 | [CMD] GSLIMERT(8) => /c /karakol
15:38:10 | Ahmetefe895(15): aranmam varda
15:38:13 | [CMD] Ahmetefe895(15) => /karakol
15:38:14 | [CMD] ahmet55(9) => /! býlemem bende dýyodu
15:38:16 | huseyin(16):  /cezaode
15:38:22 | [CMD] huseyin(16) => /wanted 16 1 
15:38:23 | [CMD] huseyin(16) => /cezaode
15:38:24 | [CMD] Ahmetefe895(15) => /karakol
15:38:27 | [CMD] Ahmetefe895(15) => /cezaode
15:38:28 | [CMD] huseyin(16) => /wanted 16 -
15:38:28 | [CMD] Jodor(18) => /akilitle 
15:38:31 | [CMD] Ahmetefe895(15) => /karakol
15:38:31 | [CMD] huseyin(16) => /wanted 16 0 
15:38:33 | [CMD] Jodor(18) => /vbenzin 
15:38:34 | [CMD] huseyin(16) => /wanted 16 -
15:38:35 | [CMD] Sparta298(14) => /gobus
15:38:37 | [CMD] Sparta298(14) => /gobus
15:38:38 | [CMD] huseyin(16) => /label
15:38:39 | [CMD] Ahmetefe895(15) => /cezaode
15:38:47 | [CMD] Sparta298(14) => /goto 16
