0:0:0 | Kraply(13): -_-
10:1:17 | [ANTIHACK] Þüpheli swisskobay301(11) => Airbreak-hack
10:1:19 | [CMD] Hic(12) => /sirket
10:1:22 | oktayacar(8): olmaz
10:1:23 | [CMD] CcCAtakan1907(9) => /meslek
10:1:25 | [CMD] CcCAtakan1907(9) => /meslek
10:1:25 | [CMD] testere151(13) => /get 8
10:1:26 | {FFCC00}CcCAtakan1907(9) {FFFFFF}Kamyoncu olarak spawn oldu.
10:1:31 | oktayacar(8):  2k
10:1:34 | [CMD] TIRCI(16) => /kemer
10:1:34 | [CMD] CcCAtakan1907(9) => /goto 8
10:1:36 | Mike_(14): atakan saða çekecem kalkýyon vuruyon :D
10:1:36 | oktayacar(8):  2k atar mýsýnýz lutfen
10:1:40 | [CMD] emirhanertem(0) => /work
10:1:42 | oktayacar(8): korksuzu da cek
10:1:42 | CcCAtakan1907(9): naptýnýz böle
10:1:43 | Hic(12) oktayacar(8)'a 2000$ para gönderdi
10:1:43 | [CMD] Hic(12) => /paragonder 8 2000
10:1:45 | [CMD] testere151(13) => /get 10 
10:1:49 | [KAMYONCU] Mike_, Chuckup LTD'den Las Venturas Mall'e Erzak tasidi. Kazanc: 6720$, 2 Skor ve 5 EXP Sure: 143 Saniye
10:1:52 | KorkusuzKorkak(10): saoðol testere :d
10:2:1 | testere151(13): nasýl baþardýnýz onu
10:2:13 | KorkusuzKorkak(10): ben sýkýþtým oraya
10:2:19 | CcCAtakan1907(9): beni çaðýrdýn ya o zmn yapcak bi þeyim yoktu :D
10:2:22 | [CMD] emirhanertem(0) => /work
10:2:22 | KorkusuzKorkak(10): oktay da beni ittirirken sýkýþtý
10:2:28 | CcCAtakan1907(9): çekme yetkim yok
10:2:29 | oktayacar(8): aynen
10:2:38 | [CMD] Mike_(14) => /work
10:2:40 | [CMD] oktayacar(8) => /tamir
10:2:48 | Hic(12): Benim var ama kendime çekemiyom
10:2:50 | [CMD] CcCAtakan1907(9) => /l
10:2:50 | [CMD] oktayacar(8) => /tamir
10:2:57 | oktayacar(8): can res
10:3:2 | alper(17) oyuna girdi [IP: 78.179.168.127]
10:3:2 | [CMD] CcCAtakan1907(9) => /kemer
10:3:3 | [CMD] testere151(13) => /cantazele
10:3:14 | [LOCAL]CcCAtakan1907(9): testere flood fln var admin yokken ssler aldým
10:3:14 | [CMD] CcCAtakan1907(9) => /l testere flood fln var admin yokken ssler aldým
10:3:15 | [CMD] emirhanertem(0) => /work
10:3:17 | [LOCAL]CcCAtakan1907(9): atayým mý
10:3:17 | [CMD] CcCAtakan1907(9) => /l atayým mý
10:3:20 | [LOCAL]testere151(13): at
10:3:20 | [CMD] testere151(13) => /l at
10:3:21 | [CMD] Mike_(14) => /goreviptal
10:3:24 | [CMD] CcCAtakan1907(9) => /afk
10:3:25 | [CMD] Mike_(14) => /convoy
10:3:25 | [CMD] CcCAtakan1907(9) => /musait
10:3:32 | [CMD] KorkusuzKorkak(10) => /tamir
10:3:35 | [CMD] testere151(13) => /dtemizle
10:3:36 | [CMD] swisskobay301(11) => /djler
10:3:37 | Mike_(14): varmý konvoy yapcak
10:3:44 | 
10:3:44 | alper(17) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
10:3:45 | [CMD] swisskobay301(11) => /convoy
10:3:56 | [CMD] testere151(13) => /eject 9
10:4:11 | [CMD] oktayacar(8) => /asiriyuk
10:4:12 | emirhanertem(0) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
10:4:20 | [CMD] testere151(13) => /slap 9
10:4:24 | [CMD] swisskobay301(11) => /asiriyuk
10:4:24 | Mike_(14): varmý konvoy yapcak ?
10:4:33 | (17) 60 saniye içinde giriþ yapmadýðý için tekmelendi
10:4:35 | emirhanertem(0) oyuna girdi [IP: 88.226.129.21]
10:4:56 | (17) 60 saniye içinde giriþ yapmadýðý için tekmelendi
10:4:56 | (17) 60 saniye içinde giriþ yapmadýðý için tekmelendi
10:5:0 | 
10:5:5 | Mike_(14): varmý konvoy yapcak ?
10:5:10 | testere151(13): yok
10:5:16 | salih338(7): bb
10:5:18 | emirhanertem(0) Balikci olarak spawn oldu.
10:5:19 | Hic(12): @14 Ben gelirim
10:5:22 | [CMD] Hic(12) => /convoy
10:5:28 | salih338(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
10:5:28 | [CMD] Mike_(14) => /convoy
10:5:28 | [CMD] Hic(12) => /rescue
10:5:34 | Hic(12): Harbour gel
10:5:54 | CcCAtakan1907(9): kim attý beni
10:5:57 | Mike_(14): tamamw
10:5:57 | [CMD] Hic(12) => /c /rescue harbour gel
10:6:3 | [CMD] Hic(12) => /kemer
10:6:4 | [CMD] CcCAtakan1907(9) => /goto 13
10:6:7 | Hic(12): Atakan
10:6:7 | [KAMYONCU] swisskobay301, Chuckup LTD'den Emerald Mall'e Spor Aletleri tasidi. Kazanc: 8393$, 2 Skor ve 5 EXP Sure: 80 Saniye
10:6:9 | CcCAtakan1907(9): efm
10:6:13 | CcCAtakan1907(9): donuk kaldým
10:6:13 | Hic(12): Konvoya gelicen mi ?
10:6:19 | CcCAtakan1907(9): no
10:6:21 | emirhanertem(0) Balikci olarak spawn oldu.
10:6:25 | Hic(12): ok
10:6:26 | [CMD] testere151(13) => /etk coz
10:6:30 | [CMD] Hic(12) => /c /rescue harbour gelsene
10:6:32 | CcCAtakan1907(9): sevmem konvoy ben
10:6:46 | [CMD] CcCAtakan1907(9) => /kemer
10:6:47 | [CMD] emirhanertem(0) => /work
10:6:52 | [CMD] Hic(12) => /c /rescue harbour gelseneeeððð
10:6:55 | [CMD] testere151(13) => /sac
10:6:58 | [LOCAL]CcCAtakan1907(9): gizli ajaným bak hemen aldým ssleri :D
10:6:58 | [CMD] CcCAtakan1907(9) => /l gizli ajaným bak hemen aldým ssleri :D
10:7:2 | [CMD] Hic(12) => /rescue
10:7:4 | [LOCAL]testere151(13): Q:WE
10:7:4 | [CMD] testere151(13) => /l Q:WE
10:7:5 | [CMD] Mike_(14) => /rescue harbour burasý deýlmýd
10:7:6 | [CMD] Hic(12) => /goto 14
10:7:18 | [CMD] Hic(12) => /c /rescue harbour gel
10:7:18 | [LOCAL]swisskobay301(11): k.g
10:7:18 | [CMD] swisskobay301(11) => /l k.g
10:7:23 | [CMD] TIRCI(16) => /report 11 meslek dýsý arac
10:7:24 | Mike_(14): nasýl gelcem
10:7:27 | [CMD] swisskobay301(11) => /meslek
10:7:28 | Mike_(14): komutmu var
10:7:30 | Hic(12):  /rescue Harbour
10:7:32 | {FFCC00}swisskobay301(11) Otobus Soforu olarak spawn oldu.
10:7:32 | [CMD] testere151(13) => /spec 11
10:7:36 | Mike_(14): f
10:7:41 | [CMD] swisskobay301(11) => /rescue
10:7:42 | [CMD] Hic(12) => /rescue
10:7:42 | [CMD] emirhanertem(0) => /work
10:7:43 | [CMD] Mike_(14) => /rescue harbour
10:7:50 | [CMD] testere151(13) => /specoff
10:7:50 | {FFCC00}testere151(13) {FFFFFF}Kamyoncu olarak spawn oldu.
10:7:54 | [CMD] swisskobay301(11) => /kemer
10:7:55 | [CMD] CcCAtakan1907(9) => /R phoenix ne kdr aldýn
10:7:55 | [CMD] swisskobay301(11) => /modifiye
10:7:59 | Hic(12):  /rescue Harbour yap gel
10:7:59 | [CMD] swisskobay301(11) => /work
10:8:1 | [LOCAL]CcCAtakan1907(9): sen sür
10:8:1 | [CMD] CcCAtakan1907(9) => /l sen sür
10:8:1 | [CMD] Hic(12) => /r 40m
10:8:7 | [CMD] TIRCI(16) => /araba
10:8:13 | [CMD] CcCAtakan1907(9) => /R beðendiklerim pahalý ztn :D
10:8:16 | [CMD] Hic(12) => /kemer
10:8:18 | [CMD] Hic(12) => /work
10:8:25 | [CMD] swisskobay301(11) => /sirket
10:8:25 | TIRCI(16): .
10:8:30 | [CMD] testere151(13) => /r convoy baþladýmý
10:8:34 | TIRCI(16): lagtest
10:8:36 | [CMD] Hic(12) => /r Baþladý
10:8:41 | [CMD] testere151(13) => /r nerde bitcek
10:8:46 | TIRCI(16): relog
10:8:48 | [CMD] emirhanertem(0) => /work
10:8:50 | TIRCI(16) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
10:8:50 | [CMD] Hic(12) => /r Longway Warehouse
10:8:53 | [CMD] Hic(12) => /r Odan Docksa
10:8:55 | [CMD] testere151(13) => /r ok
10:8:56 | Mike_(14): oha buga mý girdin
10:9:2 | Hic(12): Hayýr
10:9:12 | emirhanertem(0): la g var
10:9:18 | [CMD] testere151(13) => /sac
10:9:19 | [CMD] emirhanertem(0) => /workw
10:9:20 | KorkusuzKorkak(10) oktayacar(8)'a 501$ para gönderdi
10:9:20 | [CMD] KorkusuzKorkak(10) => /paragonder 8 501
10:9:24 | [CMD] emirhanertem(0) => /work
10:9:28 | Hic(12): Pingin yüksek @0 
10:9:41 | KorkusuzKorkak(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
10:9:43 | TIRCI(7) oyuna girdi [IP: 95.10.29.207]
10:9:50 | [CMD] oktayacar(8) => /adminol
10:9:51 | [CMD] oktayacar(8) => /adminol
10:9:53 | Hic(12): bb
10:9:53 | oktayacar(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
10:10:2 | Mike_(14): hiç
10:10:6 | Hic(12): ?
10:10:6 | [LOCAL]CcCAtakan1907(9): sen þimdi uyarý atcan ya kanýt isterse attýklarým mý
10:10:6 | [CMD] CcCAtakan1907(9) => /l sen þimdi uyarý atcan ya kanýt isterse attýklarým mý
10:10:8 | Mike_(14): nerdesn
10:10:12 | [LOCAL]testere151(13): evet
10:10:12 | [CMD] testere151(13) => /l evet
10:10:14 | [KAMYONCU] BilalGLYZ12, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 179939$, 1 Skor ve 5 EXP Sure: 600 Saniye
10:10:14 | Hic(12): Yoldan ileri gel
10:10:17 | swisskobay301(11): araç res
10:10:24 | 
10:10:28 | Hic(12): Sen nereye girdin ?
10:10:35 | Mike_(14): köprü
10:10:39 | Hic(12): Gel
10:10:39 | [CMD] swisskobay301(11) => /admins
10:10:45 | [CMD] Hic(12) => /tamir
10:10:45 | [CMD] swisskobay301(11) => /pm 13 araç res
10:10:51 | Hic(12): Dümdüz gel köprüden
10:10:56 | testere151(13): araç res geliyor!!
10:10:57 | [OTOBUSCU] swisskobay301, San Fierro Otogar'den Las Venturas Otogar'e Yolcu tasidi. Kazanc: 13238$ ve 3 Skor Sure: 212 Saniye
10:10:57 | testere151(13): araç res geliyor!!
10:11:1 | KaanPro02020(8) oyuna girdi [IP: 88.231.130.129]
10:11:3 | TIRCI(7) Bankaci olarak spawn oldu.
10:11:4 | [CMD] testere151(13) => /respawncars
10:11:7 | [CMD] TIRCI(7) => /sa
10:11:9 | [CMD] swisskobay301(11) => /as
10:11:11 | [CMD] testere151(13) => /as
10:11:12 | [CMD] swisskobay301(11) => /rescue
10:11:12 | [CMD] Hic(12) => /asiriyuk
10:11:16 | Hic(12): Aleyküm Selam.
10:11:18 | Hic(12): H.g.
10:11:20 | TIRCI(7): 1k ping oh mis 
10:11:23 | [CMD] emirhanertem(0) => /work
10:11:26 | [CMD] swisskobay301(11) => /work
10:11:29 | [CMD] swisskobay301(11) => /kemer
10:11:30 | [CMD] swisskobay301(11) => /modifye
10:11:32 | [CMD] swisskobay301(11) => /modifiye
10:11:38 | TIRCI(7): hb
10:11:42 | [CMD] Mike_(14) => /asw
10:11:58 | 
10:12:7 | [CMD] TIRCI(7) => /araba
10:12:12 | {FFCC00}KaanPro02020(8) {FFFFFF}Kamyoncu olarak spawn oldu.
10:12:13 | [LOCAL]CcCAtakan1907(9): nicee
10:12:13 | [CMD] CcCAtakan1907(9) => /l nicee
10:12:16 | [CMD] emirhanertem(0) => /work
10:12:18 | [LOCAL]testere151(13): qW:E
10:12:18 | [CMD] testere151(13) => /l qW:E
10:12:20 | [CMD] testere151(13) => /atamir
10:12:23 | KaanPro02020(8): Sa
10:12:24 | [CMD] CcCAtakan1907(9) => /kemer
10:12:27 | [CMD] Hic(12) => /as
10:12:29 | [LOCAL]testere151(13): çarpmayaydýk iyidi :D
10:12:29 | [CMD] testere151(13) => /l çarpmayaydýk iyidi :D
10:12:29 | [CMD] CcCAtakan1907(9) => /as
10:12:29 | Hic(12):  /sa /as
10:12:31 | [CMD] swisskobay301(11) => /as
10:12:31 | CcCAtakan1907(9):  /sa /as
10:12:34 | [LOCAL]CcCAtakan1907(9): aynn :D
10:12:34 | [CMD] CcCAtakan1907(9) => /l aynn :D
10:12:43 | Hic(12): Skorum 9031 miþ la
10:12:49 | testere151(13): :D
10:12:56 | [CMD] KaanPro02020(8) => /convoy
10:13:3 | TIRCI(7): lagtest
10:13:14 | [CMD] BilalGLYZ12(15) => /sirket
10:13:16 | KaanPro02020(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
10:13:17 | [LOCAL]CcCAtakan1907(9): yarýnda tatil ohh miss
10:13:17 | [CMD] CcCAtakan1907(9) => /l yarýnda tatil ohh miss
10:13:32 | [CMD] emirhanertem(0) => /work
10:13:34 | [LOCAL]CcCAtakan1907(9): bi uyuyamadým bu gece
10:13:34 | [CMD] CcCAtakan1907(9) => /l bi uyuyamadým bu gece
10:13:39 | [LOCAL]CcCAtakan1907(9): saat baþý ayaktaydým
10:13:39 | [CMD] CcCAtakan1907(9) => /l saat baþý ayaktaydým
10:13:41 | [LOCAL]CcCAtakan1907(9): .d
10:13:41 | [CMD] CcCAtakan1907(9) => /l .d
10:13:51 | [CMD] Hic(12) => /tamir
10:13:57 | [CMD] BilalGLYZ12(15) => /gobus
10:14:6 | [OTOBUSCU] swisskobay301, San Fierro Otogar'den Las Venturas Otogar'e Yolcu tasidi. Kazanc: 13238$ ve 3 Skor Sure: 332 Saniye
10:14:8 | [CMD] BilalGLYZ12(15) => /icerigir
10:14:18 | [CMD] swisskobay301(11) => /rescue
10:14:21 | [CMD] BilalGLYZ12(15) => /isyerimenu
10:14:33 | CcCAtakan1907(9): .
10:14:43 | TIRCI(7): lagtest
10:14:45 | [CMD] testere151(13) => /car inf . .
10:14:46 | Mike_(14): bekle
10:14:51 | TIRCI(7): .
10:14:52 | Mike_(14): sana carptým lag var sende
10:14:58 | Hic(12): Yoo
10:15:4 | [CMD] CcCAtakan1907(9) => /kemer
10:15:9 | [KGT]Ruhatcan(8) oyuna girdi [IP: 85.99.83.27]
10:15:13 | [CMD] swisskobay301(11) => /kemer
10:15:15 | [CMD] swisskobay301(11) => /work
10:15:20 | [CMD] swisskobay301(11) => /modifiye
10:15:24 | 
10:15:28 | {FFCC00}[KGT]Ruhatcan(8) {FFFFFF}Kamyoncu olarak spawn oldu.
10:15:30 | [CMD] [KGT]Ruhatcan(8) => /sa
10:15:33 | [CMD] testere151(13) => /as
10:15:35 | [CMD] swisskobay301(11) => /as
10:15:36 | [CMD] CcCAtakan1907(9) => /as
10:15:39 | Hic(12): Aleyküm Selam.
10:15:41 | [CMD] Hic(12) => /tamir
10:15:45 | [CMD] TIRCI(7) => /araba
10:15:49 | [CMD] Mike_(14) => /as
10:15:50 | Hic(12): h.g.
10:15:53 | [KGT]Ruhatcan(8): hb
10:15:54 | TIRCI(7): .
10:15:59 | [KGT]Ruhatcan(8): nasýlsýnýz gençler
10:16:27 | TIRCI(7): .
10:16:43 | [CMD] [KGT]Ruhatcan(8) => /gobus
10:16:50 | CcCAtakan1907(9): f
10:16:56 | [LOCAL]testere151(13): hhe bi bu eksikti :QWE
10:16:56 | [CMD] testere151(13) => /l hhe bi bu eksikti :QWE
10:16:59 | Hic(12): lagtest
10:17:14 | [CMD] testere151(13) => /cleanupcars
10:17:15 | [CMD] [KGT]Ruhatcan(8) => /admins
10:17:21 | [KGT]Ruhatcan(8): kadir
10:17:24 | BilalGLYZ12(15) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
10:17:24 | [CMD] testere151(13) => /plane
10:17:29 | testere151(13): ?
10:17:41 | [LOCAL]CcCAtakan1907(9): sende inf var mý beleþ mi getiriyon
10:17:41 | [CMD] CcCAtakan1907(9) => /l sende inf var mý beleþ mi getiriyon
10:17:45 | [KGT]Ruhatcan(8): ne ara 6 level oldun la h.o yeni gördüm :D
10:17:46 | [LOCAL]testere151(13): beleþ :D
10:17:46 | [CMD] testere151(13) => /l beleþ :D
10:17:50 | testere151(13): Q:WE
10:17:50 | [LOCAL]CcCAtakan1907(9): .d
10:17:50 | [CMD] CcCAtakan1907(9) => /l .d
10:17:53 | testere151(13): saol
10:17:55 | [KGT]Ruhatcan(8): canýmsýn :D
10:18:2 | [OTOBUSCU] swisskobay301, San Fierro Otogar'den Las Venturas Otogar'e Yolcu tasidi. Kazanc: 13238$ ve 3 Skor Sure: 458 Saniye
10:18:4 | [CMD] TIRCI(7) => /pm 8 rezidans satayýmmý san tekno evin bi altý camlý gokdelende super dýsarýsý gorunuyo 
10:18:17 | [CMD] swisskobay301(11) => /rescue
10:18:23 | [CMD] [KGT]Ruhatcan(8) => /pm 7 bakmam lazým eve git geliyom
10:18:27 | [CMD] [KGT]Ruhatcan(8) => /yerbul 7
10:18:30 | [CMD] swisskobay301(11) => /kemer
10:18:33 | [CMD] swisskobay301(11) => /work
10:18:34 | [CMD] TIRCI(7) => /pm 8 bekle ev uzak meslek degýseyým 
10:18:37 | [CMD] TIRCI(7) => /meslek
10:18:37 | [CMD] swisskobay301(11) => /modifiye
10:18:48 | [CMD] TIRCI(7) => /pm 8 relog dur
10:18:54 | TIRCI(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
10:19:2 | [CMD] testere151(13) => /atamir
10:19:12 | [CMD] emirhanertem(0) => /work
10:19:12 | [LOCAL]testere151(13): al sür benim  deðil araç :D
10:19:12 | [CMD] testere151(13) => /l al sür benim  deðil araç :D
10:19:18 | [LOCAL]testere151(13): hicin :D
10:19:18 | [CMD] testere151(13) => /l hicin :D
10:19:19 | [LOCAL]CcCAtakan1907(9): inf verseydin
10:19:19 | [CMD] CcCAtakan1907(9) => /l inf verseydin
10:19:29 | TIRCI(7) oyuna girdi [IP: 95.10.29.207]
10:20:4 | 
10:20:5 | Gezegen(10) oyuna girdi [IP: 78.174.249.89]
10:20:15 | 
10:20:17 | {FFCC00}Gezegen(10) {FFFFFF}Kamyoncu olarak spawn oldu.
10:20:25 | [CMD] Gezegen(10) => /sa
10:20:28 | [CMD] CcCAtakan1907(9) => /as
10:20:28 | [CMD] testere151(13) => /as
10:20:28 | [CMD] Mike_(14) => /as
10:20:29 | [CMD] swisskobay301(11) => /as
10:20:29 | {FFCC00}TIRCI(7) {FFFFFF}Pilot olarak spawn oldu.
10:20:30 | Hic(12): Aleyküm Selam.
10:20:31 | [CMD] [KGT]Ruhatcan(8) => /as
10:20:35 | [CMD] TIRCI(7) => /sa
10:20:39 | [CMD] Mike_(14) => /as
10:20:42 | Hic(12): Aleyküm Selam
10:20:43 | [CMD] TIRCI(7) => /araba
10:20:45 | [CMD] Gezegen(10) => /as
10:21:1 | [LOCAL]Hic(12): Kadir docksa git sen
10:21:1 | [CMD] Hic(12) => /l Kadir docksa git sen
10:21:4 | TheS1LKENAdam(15) oyuna girdi [IP: 149.140.44.85]
10:21:6 | [CMD] TIRCI(7) => /kemer
10:21:10 | Mike_(14): testere gorev bitince koonvoy katýlsanaw
10:21:15 | [CMD] CcCAtakan1907(9) => /r avni
10:21:15 | [CMD] TIRCI(7) => /pm 8 gýýdyom eve
10:21:17 | TheS1LKENAdam(15) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
10:21:20 | [CMD] Hic(12) => /r Buyur aþqým
10:21:21 | [OTOBUSCU] swisskobay301, San Fierro Otogar'den Las Venturas Otogar'e Yolcu tasidi. Kazanc: 13238$ ve 3 Skor Sure: 584 Saniye
10:21:24 | [CMD] CcCAtakan1907(9) => /R sende inf var mý :D
10:21:30 | [CMD] Hic(12) => /r Ne arar la bende inf
10:21:32 | [CMD] Gezegen(10) => /ev
10:21:36 | [CMD] swisskobay301(11) => /rescue
10:21:37 | [CMD] CcCAtakan1907(9) => /R ne bilem herþey var da :D
10:21:42 | [CMD] testere151(13) => /r :D
10:21:49 | [CMD] Hic(12) => /r Olm tek Phoneix var
10:21:49 | [CMD] swisskobay301(11) => /work
10:21:49 | RavlyCoder(15) oyuna girdi [IP: 149.140.44.85]
10:21:51 | [CMD] swisskobay301(11) => /kemer
10:21:53 | [CMD] swisskobay301(11) => /modifiye
10:21:55 | [LOCAL]CcCAtakan1907(9): maverick?
10:21:55 | [CMD] CcCAtakan1907(9) => /l maverick?
10:21:59 | [CMD] CcCAtakan1907(9) => /r maverick?
10:22:2 | 
10:22:4 | [CMD] Hic(12) => /r Yoq
10:22:6 | [CMD] testere151(13) => /r az önce maverick vardý senin bende :D
10:22:9 | [CMD] Gezegen(10) => /ev
10:22:15 | [CMD] CcCAtakan1907(9) => /r þuan sürdüðüm komþunun mu
10:22:15 | 
10:22:16 | [CMD] CcCAtakan1907(9) => /r :D
10:22:18 | [CMD] RavlyCoder(15) => /sac
10:22:26 | [CMD] RavlyCoder(15) => /meslek
10:22:26 | [CMD] Hic(12) => /r Benimmi ?
10:22:28 | TIRCI(7): .
10:22:31 | [CMD] testere151(13) => /r he senin
10:22:32 | [CMD] CcCAtakan1907(9) => /r evt senin yazýyo
10:22:36 | [CMD] Hic(12) => /r Maverick ?
10:22:36 | {FFCC00}RavlyCoder(15) {FFFFFF}Polis olarak spawn oldu.
10:22:38 | [CMD] RavlyCoder(15) => /sac
10:22:39 | [CMD] testere151(13) => /r evet
10:22:40 | [CMD] CcCAtakan1907(9) => /R evet maverick
10:22:45 | [CMD] Hic(12) => /r Bug olmuþtur olm
10:22:49 | [CMD] RavlyCoder(15) => /kemer
10:22:50 | [CMD] Gezegen(10) => /gobys
10:22:52 | [CMD] Hic(12) => /r Ne arar bende :d
10:22:52 | [CMD] Gezegen(10) => /gobus
10:22:53 | [CMD] CcCAtakan1907(9) => /R uçan heli var ya o iþte
10:22:57 | [CMD] testere151(13) => /r Q:WE
10:23:7 | [CMD] Hic(12) => /r Fakirik olm
10:23:13 | [CMD] CcCAtakan1907(9) => /R harun zengin ama
10:23:22 | [CMD] Hic(12) => /r Harunda poh gibi para var
10:23:23 | [CMD] CcCAtakan1907(9) => /R 4giþesi var
10:23:31 | [CMD] CcCAtakan1907(9) => /R bana diyoki para nedir
10:23:41 | [CMD] testere151(13) => /convoy
10:23:46 | Mike_(14): oha 11k verdi
10:23:47 | Hic(12): Mike takip
10:23:47 | (BANKA) Gezegen(10) 1080 nolu banka hesabina 2900000$ yatirdi.
10:23:49 | [CMD] CcCAtakan1907(9) => /R para bende olmaz diyo
10:23:52 | Mike_(14): oha 110k
10:23:56 | [CMD] CcCAtakan1907(9) => /R 4 giþe var adamda .d
10:23:58 | [CMD] Hic(12) => /r Ben paraya karþýyým
10:24:7 | [CMD] TIRCI(7) => /pm 8 gel geldým eve
10:24:8 | Hic(12): Þimdi daha fazla vericek :d
10:24:13 | RavlyCoder(15) oyundan cIktI (Hata/Crash) (IP: 149.140.44.85)
10:24:14 | RavlyCoder(15) oyuna girdi [IP: 149.140.44.85]
10:24:16 | efepro0550(16) oyuna girdi [IP: 88.234.240.54]
10:24:16 | [CMD] CcCAtakan1907(9) => /sirket
10:24:25 | 
10:24:31 | 
10:24:32 | [OTOBUSCU] swisskobay301, San Fierro Otogar'den Las Venturas Otogar'e Yolcu tasidi. Kazanc: 13238$ ve 3 Skor Sure: 706 Saniye
10:24:34 | [CMD] RavlyCoder(15) => /sac
10:24:36 | {FFCC00}efepro0550(16) Otobus Soforu olarak spawn oldu.
10:24:38 | {FFCC00}RavlyCoder(15) {FFFFFF}Polis olarak spawn oldu.
10:24:38 | [CMD] CcCAtakan1907(9) => /R fps modu yaptým çok güzel duruyo
10:24:40 | [CMD] RavlyCoder(15) => /sac
10:24:43 | efepro0550(16): sa
10:24:45 | [CMD] CcCAtakan1907(9) => /as
10:24:45 | [CMD] Hic(12) => /as
10:24:46 | [CMD] testere151(13) => /r :)
10:24:46 | [CMD] swisskobay301(11) => /rescue
10:24:47 | Hic(12):  /sa /as
10:24:47 | CcCAtakan1907(9):  /sa /as
10:24:48 | [CMD] testere151(13) => /as
10:24:48 | [CMD] RavlyCoder(15) => /rescue
10:24:50 | [CMD] Mike_(14) => /as
10:24:50 | [CMD] swisskobay301(11) => /as
10:24:58 | [CMD] testere151(13) => /dtemizle
10:24:59 | [CMD] swisskobay301(11) => /kemer
10:25:2 | [CMD] CcCAtakan1907(9) => /R /fps hep içine giriyo arabalarýn
10:25:2 | [CMD] efepro0550(16) => /work
10:25:2 | [CMD] Hic(12) => /r Ben moda da karþýyým
10:25:2 | [CMD] swisskobay301(11) => /work
10:25:2 | [CMD] RavlyCoder(15) => /kemer
10:25:3 | [CMD] testere151(13) => /asay2 k 
10:25:3 | [CMD] efepro0550(16) => /kemer
10:25:5 | [CMD] Mike_(14) => /kar
10:25:6 | [CMD] swisskobay301(11) => /modifiye
10:25:8 | xSamet(17) oyuna girdi [IP: 78.172.187.143]
10:25:8 | [CMD] Mike_(14) => /kar
10:25:10 | [CMD] efepro0550(16) => /goreviptal
10:25:12 | [CMD] efepro0550(16) => /work
10:25:13 | [CMD] CcCAtakan1907(9) => /R ben araba moduna karþýyým tek
10:25:14 | [CMD] testere151(13) => /r kýz skin modlarý var :D
10:25:15 | emirhanertem(0): rehber admin bi bakarmýsýn
10:25:17 | [CMD] TIRCI(7) => /ev
10:25:18 | [CMD] [KGT]Ruhatcan(8) => /as
10:25:18 | [CMD] testere151(13) => /r bende
10:25:21 | 
10:25:22 | [CMD] Hic(12) => /r Bundan sonra modçuyum
10:25:23 | testere151(13): sorun nedir
10:25:26 | {FFCC00}xSamet(17) {FFFFFF}Kamyoncu olarak spawn oldu.
10:25:32 | Tuan_Tiniay(18) oyuna girdi [IP: 88.238.10.242]
10:25:33 | Hic(12): Sorun nedir emirhanertem ?
10:25:33 | [CMD] xSamet(17) => /sirket
10:25:35 | [CMD] Gezegen(10) => /meslek
10:25:37 | {FFCC00}Gezegen(10) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
10:25:43 | emirhanertem(0): bi gelirmsin yanýma balýk sat yerini bulamýyom
10:25:44 | [CMD] Gezegen(10) => /araba
10:25:44 | xSamet(17): testere
10:25:51 | 
10:25:51 | xSamet(17): testere
10:25:53 | {FFCC00}Tuan_Tiniay(18) {FFFFFF}Kamyoncu olarak spawn oldu.
10:25:55 | [CMD] Tuan_Tiniay(18) => /sa
10:25:56 | emirhanertem(0) oyundan cIktI (Hata/Crash) (IP: 88.226.129.21)
10:25:57 | [CMD] [KGT]Ruhatcan(8) => /as
10:25:58 | testere151(13): ?
10:25:59 | Mike_(14): as
10:25:59 | [CMD] CcCAtakan1907(9) => /r þöyle bi chat olsa tüm dj rehber adminlerin gorceði chat olsa
10:25:59 | [CMD] swisskobay301(11) => /as
10:26:0 | Hic(12): Aleyküm Selam.
10:26:1 | testere151(13): evet
10:26:1 | [CMD] Mike_(14) => /as
10:26:2 | CcCAtakan1907(9): crash verdi
10:26:3 | Hic(12):  /sa /as
10:26:7 | [CMD] TIRCI(7) => /pm 8 aga gel evin onundeyim ev super 
10:26:8 | [CMD] Hic(12) => /r AR-GE ye yaz
10:26:10 | [CMD] Tuan_Tiniay(18) => /sirketdorse
10:26:10 | [CMD] CcCAtakan1907(9) => /r güzel olurdu
10:26:11 | xSamet(17): sirket maasalar
10:26:13 | [CMD] xSamet(17) => /wprl
10:26:14 | [CMD] [KGT]Ruhatcan(8) => /yerbul 7
