0:0:2 | [CMD] huso608(12) => /admins
15:27:6 | [CMD] Hic(10) => /goto 8
15:27:7 | [CMD] Hic(10) => /goto 8
15:27:8 | [CMD] Hic(10) => /goto 8
15:27:8 | [CMD] Hic(10) => /goto 8
15:27:9 | [CMD] Hic(10) => /goto 8
15:27:9 | [CMD] Hic(10) => /goto 8
15:27:10 | [CMD] Hic(10) => /goto 8
15:27:10 | [CMD] Hic(10) => /goto 8
15:27:13 | 
15:27:14 | [CMD] Chilgin[byhack](12) => /a orda müze cift tyýkla suncuada cal cýkcak ona basn
15:27:15 | [CMD] Jodor(13) => /pm 0 biraz karýþýk. çevik beni öldürdü þirkette doðdum. berkaydý çevik anladý þirkete gideceðimi
15:27:18 | [CMD] DarkFlow(17) => /work
15:27:20 | [LOCAL]Grejuva(6): la yko milli geleneðimiz varya kazý çalýþmalarýný izliyoz
15:27:20 | [CMD] Grejuva(6) => /l la yko milli geleneðimiz varya kazý çalýþmalarýný izliyoz
15:27:22 | [CMD] Hic(10) => /goto 8
15:27:22 | [CMD] RingoBamBam(16) => /sac
15:27:22 | [CMD] TIRCI(8) => /sa
15:27:23 | [CMD] Jodor(13) => /c dark biraz bekle
15:27:24 | [CMD] Hic(10) => /flip
15:27:26 | Hic(10): Aleyküm Selam Hoþgeldin.
15:27:26 | [CMD] DarkFlow(17) => /c tmm
15:27:27 | [LOCAL]cucehamster11(18): he :D
15:27:27 | [CMD] cucehamster11(18) => /l he :D
15:27:27 | RingoBamBam(16): tamam
15:27:28 | [CMD] Grejuva(6) => /l 
15:27:29 | [CMD] ahmet55(14) => /as
15:27:30 | [KAMYONCU] huseyin, Tugayogullari Petrol'den Xoomer Gas Station'e Kursunsuz Benzin tasidi. Kazanc: 66285$, 2 Skor ve 5 EXP Sure: 145 Saniye
15:27:31 | [CMD] Grejuva(6) => /as
15:27:31 | [LOCAL]cucehamster11(18): iyide olum o meslek deðil ki
15:27:31 | [CMD] cucehamster11(18) => /l iyide olum o meslek deðil ki
15:27:33 | [CMD] Hic(10) => /meslek
15:27:37 | [CMD] huseyin(0) => /pm 13 hm 
15:27:37 | 
15:27:39 | THE_BaBo(7) oyundan cIktI (Hata/Crash) (IP: 176.217.21.188)
15:27:40 | [CMD] Chilgin[byhack](12) => /as
15:27:40 | [CMD] Hic(10) => /goto 8
15:27:44 | [LOCAL]Grejuva(6): bir türk için meslek
15:27:44 | [CMD] Grejuva(6) => /l bir türk için meslek
15:27:47 | [CMD] huseyin(0) => /sac
15:27:47 | [CMD] RingoBamBam(16) => /as hg
15:27:47 | [LOCAL]cucehamster11(18): haha :D
15:27:47 | [CMD] cucehamster11(18) => /l haha :D
15:27:49 | [CMD] Jodor(13) => /pm 0 o sýrada ben /rescue çekerken hapis cezasý yedim ama los santosa da ýþýnlandým. 
15:27:50 | TIRCI(8): kargocu olmak ýsteyen
15:27:51 | [CMD] Hic(10) => /kemer
15:27:58 | [CMD] huseyin(0) => /pm 13 yazarsýn
15:27:59 | [CMD] Hic(10) => /asay Vip-donator-þirket vb. almak isteyenler forum ----> www.trucksamp.com/forum 
15:27:59 | [CMD] Hic(10) => /asay Sorularýnýz var ise /sorusor komutu ile iletiniz... 
15:28:3 | [CMD] Jodor(13) => /pm 0 sokaktayken hapis cezam azalýyordu. 
15:28:4 | [CMD] huseyin(0) => /cleanupcars
15:28:6 | [ANTIHACK] Þüpheli Hic(10) => Airbreak-hack
15:28:8 | [CMD] huseyin(0) => /pm 13 :/ 
15:28:11 | [CMD] huseyin(0) => /respawn 220 
15:28:13 | [CMD] Hic(10) => /work
15:28:15 | Ahmetefe895(9): çöpçü ortak olcak varmý
15:28:15 | [CMD] huseyin(0) => /respawn 211 
15:28:16 | [CMD] RingoBamBam(16) => /pm 10 hýz hilesi yok dimi
15:28:17 | [CMD] Chilgin[byhack](12) => /a hiç ne yapui la :D
15:28:17 | [CMD] huseyin(0) => /spec 10 
15:28:18 | [CMD] Jodor(13) => /pm 0 sonra da yine þirkete ýþýnlandým
15:28:22 | [CMD] Hic(10) => /pm 16 yok
15:28:25 | [CMD] Jodor(13) => /pm 0 bug mu
15:28:28 | [CMD] RingoBamBam(16) => /pm 10 tm
15:28:31 | TIRCI(8): dur lo9ooo
15:28:32 | [CMD] Jodor(13) => /pm 0 yazmama gerek var mý
15:28:33 | [CMD] RingoBamBam(16) => /a ayn
15:28:35 | [CMD] huseyin(0) => /a bir daha kimseye hýz hilesi yok deme 
15:28:38 | [CMD] Jodor(13) => /pm 0 foruma
15:28:40 | [CMD] huseyin(0) => /a pm den yazma hileleri
15:28:42 | zZPlayerZz(7) oyuna girdi [IP: 212.133.243.16]
15:28:48 | TIRCI(8): gorev yok
15:28:49 | [CMD] huseyin(0) => /pm 13 A7 ye söylersin
15:28:49 | 
15:28:52 | [CMD] huseyin(0) => /pm 13 bi a7 ye 
15:28:52 | {FFCC00}zZPlayerZz(7) {FFFFFF}Kamyoncu olarak spawn oldu.
15:28:53 | [CMD] Hic(10) => /goreviptal
15:28:55 | [CMD] Hic(10) => /work
15:28:55 | [CMD] Jodor(13) => /pm 0 ödül var mý :D
15:28:55 | [CMD] RingoBamBam(16) => /a uyarcam sýmdý  kýzarsýnýz bana
15:28:58 | [LOCAL]Hic(10): þimdi ?
15:28:58 | [CMD] Hic(10) => /l þimdi ?
15:29:0 | [CMD] DarkFlow(17) => /work
15:29:1 | [CMD] huseyin(0) => /pm 13 bilmiyorum. 
15:29:2 | [CMD] Jodor(13) => /pm 0 tamam
15:29:4 | [CMD] zZPlayerZz(7) => /sa
15:29:5 | [CMD] Chilgin[byhack](12) => /a püðð la yol yukelmdi susyu boyadýk :D
15:29:6 | [CMD] zZPlayerZz(7) => /asc
15:29:7 | Hic(10): Aleyküm Selam Hoþgeldin.
15:29:7 | [CMD] zZPlayerZz(7) => /sac
15:29:10 | [CMD] Grejuva(6) => /as
15:29:10 | [CMD] huseyin(0) => /a susyu
15:29:11 | [CMD] Ahmetefe895(9) => /As
15:29:11 | [CMD] huseyin(0) => /specoff
15:29:12 | {FFCC00}huseyin(0) {FFFFFF}Kamyoncu olarak spawn oldu.
15:29:12 | TIRCI(8): var
15:29:13 | ignacio(11) oyuna girdi [IP: 192.141.180.250]
15:29:13 | [CMD] DarkFlow(17) => /as
15:29:17 | [CMD] Jodor(13) => /pm 0 þaka yapýyorum. tesadüfi öðrenilmiþ bi bug zaten
15:29:18 | [CMD] TIRCI(8) => /as
15:29:22 | [CMD] huseyin(0) => /pm 13 tm
15:29:24 | [CMD] huseyin(0) => /dtemizle
15:29:25 | [CMD] huseyin(0) => /asay2 s  
15:29:25 | [CMD] RingoBamBam(16) => /a huseyin onume hýz hilesi algýlandýgýnda uyarýyýmmý
15:29:25 | [CMD] huseyin(0) => /cantazele
15:29:26 | [CMD] huseyin(0) => /asay VIP-SIRKET-DONATOR-GISE-Vb.Ürünlerimizden Satýn Almak Ýsterseniz.Facebook: Truck Samp Sayfasýna Mesaj Atabilirsiniz. 
15:29:27 | saha(19) oyuna girdi [IP: 109.61.207.143]
15:29:29 | [OTOBUSCU] Ahmetefe895, Los Santos Otogar'den San Fierro Otogar'e Yolcu tasidi. Kazanc: 15724$ ve 3 Skor Sure: 1286 Saniye
15:29:33 | [CMD] huseyin(0) => /a yk
15:29:35 | [CMD] Hic(10) => /asay Sunucuda istediðiniz þarkýnýn çalmasý için /isteksarki <id> þeklinde gönderebilirsiniz.... 
15:29:36 | [CMD] Ahmetefe895(9) => /work
15:29:36 | saha(19) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
15:29:36 | [CMD] Hic(10) => /asay Eðer bir oyunucudan þikayetci iseniz /sikayet <id> <sebep> þeklinde gönderebilirsiniz.... 
15:29:36 | [CMD] huseyin(0) => /a /spec le
15:29:36 | HDmete(15): admin
15:29:37 | ignacio(11) oyundan cIktI (Hata/Crash) (IP: 192.141.180.250)
15:29:37 | [SirketCHT] TIRCI(8): ! var sýmdý
15:29:37 | [CMD] Hic(10) => /asay Hep ayný mesleði yapmaktanmý sýkýldýn ? /meslek komutu ile meslek deðiþebilirsiniz... 
15:29:40 | [CMD] Hic(10) => /asay Yeni gelenler /kurallar yazýp kabul ettikten sonra 30.000$ ve 5 skor kazanabilirler... 
15:29:41 | [CMD] RingoBamBam(16) => /a tm
15:29:43 | [CMD] zZPlayerZz(7) => /kemer
15:29:44 | [CMD] huseyin(0) => /a chatte 
15:29:45 | [CMD] Ahmetefe895(9) => /Asiriyuk
15:29:48 | [CMD] huseyin(0) => /a admin diyenlere bak
15:29:49 | [CMD] zZPlayerZz(7) => /work
15:29:51 | HDmete(15): ev ne iþe yarýyor
15:29:52 | [CMD] Chilgin[byhack](12) => /rescue
15:29:52 | [CMD] Ahmetefe895(9) => /asiriyuk
15:29:53 | [CMD] Grejuva(6) => /work
15:29:54 | RingoBamBam(16): Arac Res geliyor ....
15:29:55 | RingoBamBam(16): Arac Res geliyor ....
15:30:0 | Ahmetefe895(9): otobüste aþýrý yük oluyomu
15:30:1 | [CMD] RingoBamBam(16) => /respawncars
15:30:4 | [CMD] Ahmetefe895(9) => /asiriyuk
15:30:5 | Chilgin[byhack](12): yok 
15:30:6 | huseyin(0): olmuyor @9 
15:30:8 | Hic(10): @9 olmuyo
15:30:11 | huseyin(0): Ýþe yaramýyor @15 
15:30:17 | huseyin(0): sana kazanç saðlamaz
15:30:23 | huseyin(0): iþyeri saðlar kazancý 
15:30:24 | RingoBamBam(16): jodor
15:30:25 | Hic(10): aksine zarar salar
15:30:25 | [CMD] Chilgin[byhack](12) => /sirketdorse
15:30:28 | Ahmetefe895(9): bi iki kiþi sýkýþtýrýrdýk araya olaydý keþkem :/
15:30:29 | [CMD] DarkFlow(17) => /c lagmý var
15:30:29 | Hic(10): sðlar*
15:30:32 | Hic(10): saðlar*
15:30:35 | Jodor(13) oyundan cIktI (Hata/Crash) (IP: 78.168.26.18)
15:30:36 | [CMD] TIRCI(8) => /pm 10 býr gorev yapýp býrakcanmý?
15:30:39 | [CMD] zZPlayerZz(7) => /goreviptal
15:30:42 | [CMD] RingoBamBam(16) => /a hüseyin bi gelirmisin
15:30:42 | [LOCAL]Hic(10): hyr
15:30:42 | [CMD] Hic(10) => /l hyr
15:30:46 | [CMD] huseyin(0) => /pm jodor simdi boþum ne gösterien 
15:30:48 | Grejuva(6): @15 /sorusor komutu ile rehber ve adminlere soru sorabilirsin
15:30:48 | [CMD] huseyin(0) => /goot 16 
15:30:51 | [CMD] huseyin(0) => /goto 16 
15:30:52 | zZPlayerZz(7): sansa bak
15:30:54 | [CMD] RingoBamBam(16) => /a tamir
15:30:55 | zZPlayerZz(7): dorse gitti
15:30:57 | [LOCAL]Hic(10): 17.00 a kadar kasak
15:30:57 | [CMD] Hic(10) => /l 17.00 a kadar kasak
15:30:58 | [CMD] RingoBamBam(16) => /atamir
15:31:0 | [CMD] Hic(10) => /asay Sorularýnýz var ise /sorusor komutu ile iletiniz... 
15:31:2 | [CMD] huseyin(0) => /a ne
15:31:3 | [CMD] TIRCI(8) => /pm 10 TM HEP OYLE YAPIYONDA
15:31:5 | [CMD] RingoBamBam(16) => /a bunlarý bu koymasý dogrumu
15:31:6 | [CMD] DarkFlow(17) => /convoyiptal
15:31:6 | [CMD] Chilgin[byhack](12) => /atamir
15:31:6 | [LOCAL]Hic(10): :D
15:31:6 | [CMD] Hic(10) => /l :D
15:31:9 | [CMD] zZPlayerZz(7) => /tamir
15:31:12 | zZPlayerZz(7):  
15:31:18 | [CMD] zZPlayerZz(7) => /sirketdorse
15:31:18 | huseyin(0): ufuk
15:31:20 | Chilgin[byhack](12): evt
15:31:22 | huseyin(0): 1dk
15:31:23 | TIRCI(8): :D
15:31:24 | [CMD] Hic(10) => /djler
15:31:25 | [CMD] zZPlayerZz(7) => /work
15:31:26 | huseyin(0): previon aracýný park et
15:31:31 | [LOCAL]Hic(10): oyunda hiç dj olmuyo la fazla
15:31:31 | [CMD] Hic(10) => /l oyunda hiç dj olmuyo la fazla
15:31:32 | Chilgin[byhack](12): ediyom 
15:31:35 | huseyin(0): DarkFlow inf model aracýný park et
15:31:38 | Chilgin[byhack](12): ama gene eski yerien gidiyo
15:31:42 | DarkFlow(17): tmm
15:31:45 | [CMD] DarkFlow(17) => /araba
15:31:46 | Sahildeniz(11) oyuna girdi [IP: 176.218.171.146]
15:31:53 | [CMD] huseyin(0) => /a bu heli de bnm miþ .d
15:31:54 | 
15:31:56 | [CMD] huseyin(0) => /a bnde park edem .d
15:31:57 | [CMD] DarkFlow(17) => /araba
15:31:59 | {FFCC00}Sahildeniz(11) {FFFFFF}Pilot olarak spawn oldu.
15:32:2 | DarkFlow(17): ettim
15:32:2 | Chilgin[byhack](12): hüseyin park ediyom ama gene eski yerien gidiyo
15:32:4 | [LOCAL]TIRCI(8): evet
15:32:4 | [CMD] TIRCI(8) => /l evet
15:32:7 | huseyin(0): tmm
15:32:12 | [LOCAL]Hic(10): knk arada geçici görevlendirme oluyo.
15:32:12 | [CMD] Hic(10) => /l knk arada geçici görevlendirme oluyo.
15:32:24 | [LOCAL]Hic(10): mesela dj eksikliði var
15:32:24 | [CMD] Hic(10) => /l mesela dj eksikliði var
15:32:26 | [LOCAL]cucehamster11(18): yorulduðun zaman söyle ben sürerim 
15:32:26 | [CMD] cucehamster11(18) => /l yorulduðun zaman söyle ben sürerim 
15:32:34 | [LOCAL]Hic(10): beni dj olarak geçici göreve koyuyolar
15:32:34 | [CMD] Hic(10) => /l beni dj olarak geçici göreve koyuyolar
15:32:41 | DarkFlow(17): çýlgýn sen de sorun var
15:32:43 | [CMD] Ahmetefe895(9) => /tamir
15:32:44 | [CMD] zZPlayerZz(7) => /sac
15:32:57 | [CMD] huseyin(0) => /araba
15:32:58 | Hic(10): Kanka sen bu lagla bu kadar skoru nasý kastýn :D ?
15:33:1 | Chilgin[byhack](12): hee sw de park et bak sw cýk gir eski yerine gitcek
15:33:13 | DarkFlow(17): deniyelim
15:33:20 | [LOCAL]Hic(10): knk ar-ge ye meslek yazdým
15:33:20 | [CMD] Hic(10) => /l knk ar-ge ye meslek yazdým
15:33:22 | [CMD] Grejuva(6) => /tamir
15:33:23 | DarkFlow(17) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
15:33:24 | [CMD] RingoBamBam(16) => /atamir
15:33:27 | [CMD] huseyin(0) => /a adam cýktý valla .d
15:33:34 | Chilgin[byhack](12): bende bi relog atam :D
15:33:36 | [LOCAL]Hic(10): efsane bi meslek.
15:33:36 | [CMD] Hic(10) => /l efsane bi meslek.
15:33:36 | [CMD] Chilgin[byhack](12) => /a cýskýn D:
15:33:38 | Chilgin[byhack](12) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
15:33:40 | DarkFlow(12) oyuna girdi [IP: 85.97.215.183]
15:33:50 | 
15:33:52 | [CMD] Hic(10) => /asay Animasyonlara bakmak için /animlist yazmanýz yeterlidir... 
15:33:52 | {FFCC00}DarkFlow(12) {FFFFFF}Kamyoncu olarak spawn oldu.
15:33:55 | [CMD] Hic(10) => /asay Hep ayný mesleði yapmaktanmý sýkýldýn ? /meslek komutu ile meslek deðiþebilirsiniz... 
15:33:55 | [CMD] DarkFlow(12) => /rescue
15:33:57 | [CMD] huseyin(0) => /goto dark 
15:34:4 | [CMD] huseyin(0) => /myskin 304 
15:34:7 | [CMD] huseyin(0) => /dtemizle
15:34:7 | [CMD] huseyin(0) => /asay2 s  
15:34:9 | [CMD] TIRCI(8) => /pm 10 býlmem :D
15:34:9 | Chilgin[byhack](13) oyuna girdi [IP: 95.10.234.63]
15:34:10 | [CMD] huseyin(0) => /goto dark 
15:34:15 | Mesele19(17) oyuna girdi [IP: 95.5.80.103]
15:34:18 | [OTOBUSCU] Ahmetefe895, San Fierro Otogar'den Los Santos Otogar'e Yolcu tasidi. Kazanc: 15724$ ve 3 Skor Sure: 1511 Saniye
15:34:20 | 
15:34:21 | [LOCAL]Hic(10): knk vinç öperatörlüðü yaptým
15:34:21 | [CMD] Hic(10) => /l knk vinç öperatörlüðü yaptým
15:34:22 | [CMD] Grejuva(6) => /work
15:34:24 | {FFCC00}Chilgin[byhack](13) {FFFFFF}Kamyoncu olarak spawn oldu.
15:34:24 | [CMD] DarkFlow(12) => / latla
15:34:25 | 
15:34:27 | [LOCAL]Hic(10): yazdým argeye
15:34:27 | [CMD] Hic(10) => /l yazdým argeye
15:34:28 | Mesele19(17) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
15:34:29 | [CMD] Chilgin[byhack](13) => /admgiris
15:34:29 | [CMD] Hic(10) => /sac
15:34:35 | Ahmetefe895(9): otobüste en iyi skoru veren yol hangisi
15:34:41 | [CMD] Chilgin[byhack](13) => /setskin 13 219
15:34:43 | [CMD] Hic(10) => /asay Yardýma ihtiyacý olan,yolunu kaybeden varmý ? 
15:34:43 | [CMD] Hic(10) => /asay Vip-donator-þirket vb. almak isteyenler forum ----> www.trucksamp.com/forum 
15:34:52 | [SirketCHT] Chilgin[byhack](13): ! þirket res hüseyin güzel týrým gelsin :D
15:34:56 | Hic(10): @9 skor ayný paralar farklý.
15:34:57 | [CMD] huseyin(0) => /srespawncars
15:35:0 | [SirketCHT] huseyin(0): ! hangi týr ki 
15:35:5 | [SirketCHT] Chilgin[byhack](13): ! en baþtaki :D
15:35:9 | DarkFlow(12): soron yok
15:35:9 | cucehamster11(18): ayný deðil 2 verdiðede oluyo
15:35:13 | [CMD] Hic(10) => /work
15:35:14 | [CMD] TIRCI(8) => / :D
15:35:15 | Jodor(17) oyuna girdi [IP: 78.168.26.18]
15:35:15 | [CMD] huseyin(0) => /respawn 108 
15:35:18 | [LOCAL]huseyin(0): burada mý park ettin 
15:35:18 | [CMD] huseyin(0) => /l burada mý park ettin 
15:35:19 | cucehamster11(18): verdiðide*
15:35:21 | [LOCAL]DarkFlow(12): evet
15:35:21 | [CMD] DarkFlow(12) => /l evet
15:35:24 | [LOCAL]huseyin(0): tmm
15:35:24 | [CMD] huseyin(0) => /l tmm
15:35:25 | 
15:35:28 | {FFCC00}Jodor(17) {FFFFFF}Kamyoncu olarak spawn oldu.
15:35:30 | [CMD] Sahildeniz(11) => /work
15:35:32 | [CMD] Chilgin[byhack](13) => /sirketdorse
15:35:37 | [CMD] huseyin(0) => /respawn 115 
15:35:40 | cucehamster11(18): Ahmetefe San fierro Las Venturas arasý veya San fierro Los santos yap 
15:35:41 | cucehamster11(18): 3 verir
15:35:44 | [CMD] Chilgin[byhack](13) => /modifiye
15:35:56 | [CMD] Jodor(17) => /rescue
15:35:57 | Hic(10): @9 para için longway-tugis yapabilirsin.
15:35:58 | [CMD] huseyin(0) => /a sorun yk senin aracýn nerde
15:35:59 | [CMD] huseyin(0) => /gopos
15:36:0 | [CMD] Jodor(17) => /convoy
15:36:1 | [CMD] huseyin(0) => /gopos 0 0 0 
15:36:1 | [CMD] DarkFlow(12) => /pm 0 rezidansýn önundeydi aracý çagýrýp buraya aprt ettim
15:36:6 | [CMD] TIRCI(8) => / :D
15:36:8 | [CMD] Chilgin[byhack](13) => /a kimin
15:36:11 | [CMD] huseyin(0) => /a senin arac hala burda 
15:36:12 | [CMD] huseyin(0) => /a sen 
15:36:14 | [CMD] Jodor(17) => /pm 17 dark nerdesin
15:36:17 | [CMD] huseyin(0) => /pm 12 tmm 
15:36:18 | Hic(10): veya emkatu
15:36:19 | Ahmetefe895(9): skor için en fazk
15:36:21 | [CMD] Jodor(17) => /pm 12 dark nerdesin
15:36:25 | Ahmetefe895(9): 3 mü veriyo
15:36:27 | [CMD] DarkFlow(12) => /pm 17 sf 
15:36:28 | huseyin(0): evet
15:36:29 | [CMD] Chilgin[byhack](13) => /a park etim ralog atým gene oraya gidyo sw kayýt etmiyo iþte la
15:36:29 | cucehamster11(18): evet
15:36:34 | [CMD] Jodor(17) => /convoy
15:36:37 | [CMD] huseyin(0) => /a gusul
15:36:39 | [CMD] DarkFlow(12) => /convoy
15:36:42 | [CMD] DarkFlow(12) => /rescue
15:36:44 | [CMD] Hic(10) => /asay Vip-donator-þirket vb. almak isteyenler forum ----> www.trucksamp.com/forum 
15:36:45 | [CMD] Hic(10) => /asay /rescue Komutu ile mesleðinizin spawn noktalarýna gidebilirsiniz.... 
15:36:47 | [CMD] huseyin(0) => /car sunrise 3 3 
15:36:47 | [CMD] Jodor(17) => /kemer
15:36:48 | DarkFlow(12): arac res
15:36:50 | [CMD] Jodor(17) => /modifiye
15:36:50 | [CMD] huseyin(0) => /asay Arac Res Geliyor!  
15:36:51 | [CMD] huseyin(0) => /asay Arac Res Geliyor!  
15:36:52 | [CMD] Chilgin[byhack](13) => /a senin arablarda yok yeni evin orda
15:36:53 | cucehamster11(18): Mesela Las Venturas - Los Santos 2 veriyo kýsa mesafe
15:36:55 | [CMD] huseyin(0) => /respawncars 
15:36:57 | [CMD] huseyin(0) => /a bakam bi
15:37:2 | [CMD] huseyin(0) => /a benimkiler ls deydi sanýrým
15:37:2 | HDmete(15): ringo
15:37:7 | RingoBamBam(16): he
15:37:8 | [CMD] huseyin(0) => /a benim sahildeki
15:37:8 | HDmete(15): ringo
15:37:8 | Hic(10): Mesafeye göre para skor deðiþir ama exp deðiþmez.
15:37:11 | [CMD] huseyin(0) => /cantazele
15:37:11 | [CMD] RingoBamBam(16) => /work
15:37:12 | HDmete(15): ekmek parasý be
15:37:13 | [CMD] Chilgin[byhack](13) => /a evt ama orda yok benim ev onde boþ 
15:37:17 | HDmete(15): kaçmada yazam
15:37:22 | [CMD] huseyin(0) => /a sahildeki evde lo bnm araclar
15:37:31 | [CMD] Chilgin[byhack](13) => /a bak bakim ordamý :D
15:37:32 | [CMD] DarkFlow(12) => /modifiy
15:37:34 | [CMD] Jodor(17) => /c pc ýsýndý kapandý ya
15:37:34 | [CMD] DarkFlow(12) => /modifiye
15:37:34 | [CMD] Chilgin[byhack](13) => /a yok lar
15:37:35 | [CMD] huseyin(0) => /a :d
15:37:36 | [CMD] Jodor(17) => /work
15:37:39 | [LOCAL]DarkFlow(12): hmm
15:37:39 | [CMD] DarkFlow(12) => /l hmm
15:37:40 | [CMD] huseyin(0) => /goto 13 
15:37:40 | RingoBamBam(16): hapis atýcan
15:37:44 | [LOCAL]DarkFlow(12): bi anda düþtün
15:37:44 | [CMD] DarkFlow(12) => /l bi anda düþtün
15:37:45 | [CMD] Hic(10) => /modifiye
15:37:47 | [CMD] huseyin(0) => /rescue
15:37:50 | [CMD] Hic(10) => /asay /rescue Komutu ile mesleðinßizin spawn noktalarýna gidebilirsiniz.... 
15:37:53 | [CMD] Jodor(17) => /c crash hatasý veriyor diyor
15:37:53 | [CMD] Chilgin[byhack](13) => /a sw kaýyt etmiyo galba
15:37:59 | HDmete(15): olm 2 dk gir nolcak ya
15:38:0 | huseyin(0) oyundan cIktI (Hata/Crash) (IP: 81.214.104.138)
15:38:0 | [CMD] DarkFlow(12) => /c evet
15:38:2 | RingoBamBam(16): hadi gorusuruz
15:38:4 | HDmete(15): hatrým için
15:38:9 | RingoBamBam(16): gorev aldým
15:38:12 | [CMD] zZPlayerZz(7) => /sac
15:38:13 | cucehamster11(18): Mete
15:38:14 | huseyin(0) oyuna girdi [IP: 81.214.104.138]
15:38:14 | [LOCAL]TIRCI(8): d
15:38:14 | [CMD] TIRCI(8) => /l d
15:38:15 | HDmete(15): efm
15:38:17 | cucehamster11(18): þirkete git
15:38:18 | [CMD] Chilgin[byhack](13) => /dtemizle
15:38:19 | [CMD] Jodor(17) => /c laptopun içini açacam bi daha temizleyeyim bari
15:38:19 | cucehamster11(18): bullet al
15:38:24 | 
15:38:25 | cucehamster11(18): öyle yakalarsýn
15:38:26 | {FFCC00}huseyin(0) Otobus Soforu olarak spawn oldu.
15:38:28 | [CMD] HDmete(15) => /rescue
15:38:29 | [CMD] DarkFlow(12) => /c tmm
15:38:33 | [CMD] Grejuva(6) => /work
15:38:40 | [CMD] Jodor(17) => /convoysifre jodor 
15:38:41 | huseyin(0): s
15:38:43 | [CMD] DarkFlow(12) => /c ayný teknik burda iþliyomu
15:38:44 | [CMD] HDmete(15) => /kemer
15:38:45 | [CMD] huseyin(0) => /godonator 
15:38:46 | [CMD] Jodor(17) => /work
15:38:52 | [CMD] Hic(10) => /admins
15:38:54 | [CMD] Chilgin[byhack](13) => /a bak þidmi ls de saihldeki villaya araacýnr yok yeride esk iyerien gidiyo 
15:38:55 | [CMD] huseyin(0) => /myskin
15:38:57 | [CMD] huseyin(0) => /myskin 287
15:38:58 | [CMD] Jodor(17) => /c nasýl
15:39:0 | [CMD] huseyin(0) => /animkapat
15:39:2 | [CMD] RingoBamBam(16) => /cantazelel
15:39:3 | [CMD] RingoBamBam(16) => /cantazele
15:39:6 | [CMD] huseyin(0) => /cantazele
15:39:8 | [CMD] DarkFlow(12) => /c dunku söyledigin
15:39:9 | [CMD] huseyin(0) => /asay VIP-SIRKET-DONATOR-GISE-Vb.Ürünlerimizden Satýn Almak Ýsterseniz.Facebook: Truck Samp Sayfasýna Mesaj Atabilirsiniz. 
15:39:12 | [LOCAL]Hic(10): sence 6k olurmuyum ?
15:39:12 | [CMD] Hic(10) => /l sence 6k olurmuyum ?
15:39:12 | [CMD] huseyin(0) => /dtemizle
15:39:12 | [CMD] huseyin(0) => /asay2 s  
15:39:17 | [CMD] huseyin(0) => /admgiris
15:39:20 | [CMD] Jodor(17) => /c evet
15:39:21 | [CMD] huseyin(0) => /dtemizle
15:39:21 | [CMD] huseyin(0) => /asay2 s  
15:39:21 | [CMD] Hic(10) => /asay Animasyonlara bakmak için /animlist yazmanýz yeterlidir... 
15:39:22 | [CMD] Hic(10) => /asay Yeni gelenler /kurallar yazýp kabul ettikten sonra 30.000$ ve 5 skor kazanabilirler... 
15:39:27 | [CMD] DarkFlow(12) => /c farketmiyo yani
15:39:28 | [CMD] huseyin(0) => /car lspd 0 1 
15:39:29 | [CMD] RingoBamBam(16) => /a hüseyi
15:39:30 | [CMD] TIRCI(8) => /kemer
15:39:31 | [CMD] huseyin(0) => /a he
15:39:33 | [CMD] huseyin(0) => /kemer
15:39:34 | [CMD] DarkFlow(12) => /c anladým
15:39:36 | vlad_klokov(19) oyuna girdi [IP: 95.47.104.162]
15:39:42 | [CMD] RingoBamBam(16) => /a benim niye giþem yoq
15:39:43 | [CMD] Jodor(17) => /c cmd den gözükmüyor 
15:39:47 | [CMD] HDmete(15) => /tamir
15:39:48 | [CMD] Sahildeniz(11) => /tamir
15:39:50 | [CMD] huseyin(0) => /a satýn alýnýyor
15:39:52 | [CMD] Hic(10) => /asay Eðer bir oyunucudan þikayetci iseniz /sikayet <id> <sebep> þeklinde gönderebilirsiniz.... 
15:39:54 | ibrahimkk(20) oyuna girdi [IP: 217.25.19.122]
15:39:57 | [CMD] DarkFlow(12) => /c kime teyit ettirdin :D
15:40:0 | 
15:40:1 | [CMD] RingoBamBam(16) => /a testere satýnmý aldý
15:40:3 | 
15:40:4 | [CMD] huseyin(0) => /a evt
15:40:5 | 
15:40:6 | [CMD] ibrahimkk(20) => /sa
15:40:9 | [CMD] zZPlayerZz(7) => /as
15:40:9 | [CMD] DarkFlow(12) => /as
15:40:10 | Hic(10): Aleyküm Selam Hoþgeldin.
15:40:10 | [LOCAL]cucehamster11(18): sakin
15:40:10 | [CMD] cucehamster11(18) => /l sakin
15:40:11 | ibrahimkk(20): kargocu ortak olcak?
15:40:13 | ibrahimkk(20): hb
15:40:14 | [CMD] Grejuva(6) => /as
15:40:14 | [CMD] RingoBamBam(16) => /a varmý satýlýk gise
15:40:20 | [CMD] huseyin(0) => /a gezerek bulabilirsin
15:40:20 | [CMD] zZPlayerZz(7) => /tamir
15:40:22 | [CMD] Sahildeniz(11) => /work
