0:0:4 | [CMD] GeneralRookie(8) => /work
14:0:38 | [SirketCHT] DangerTr07(8): ! ? 
14:0:38 | [CMD] TheS1LKENAdam(9) => /araba
14:0:40 | [SirketCHT] Kraply(17): !görüyomu la
14:0:41 | [SirketCHT] Kraply(17): !heh
14:0:43 | [SirketCHT] DangerTr07(8): ! neyi :D 
14:0:43 | H.R.N.(13): nereye
14:0:48 | [CMD] AsosyalAlbay(6) => /pm 9 adam 5 lvli 100m ye sartýyor
14:0:48 | [SirketCHT] Kraply(17): !ben haftaya giremeyebilirim
14:0:49 | [SirketCHT] DangerTr07(8): ! dead 
14:0:49 | [SWAT]DeaD[POH](0) oyuna girdi [IP: 158.181.42.231]
14:0:52 | [SirketCHT] DangerTr07(8): ! pardon albay 
14:0:54 | [CMD] ByFaruk(14) => /pm 13 selamýn aleykum
14:0:54 | [SirketCHT] Kraply(17): !sýnav haftam
14:0:56 | [SirketCHT] AsosyalAlbay(6): !efem
14:0:57 | KenanBey78(15): o ne la
14:0:57 | selimdemote(16): yanýma goto ol iþte
14:0:57 | [CMD] TheS1LKENAdam(9) => /pm 6 sen o 5 levelle
14:1:2 | [CMD] H.R.N.(13) => /pm 14 as
14:1:5 | [CMD] ByFaruk(14) => /pm 13 Þirketinize alým varmý *
14:1:5 | [CMD] TheS1LKENAdam(9) => /pm 6 çok para kaldýrýrýn
14:1:5 | [SirketCHT] DangerTr07(8): ! iþyerini aldiktan sonra önünden 1 ss al yeter 
14:1:6 | selimdemote(16): sebze almaya gidecez
14:1:7 | [CMD] ByFaruk(14) => /pm 13 Þirketinize alým varmý ?
14:1:8 | [CMD] AsosyalAlbay(6) => /rescue
14:1:10 | [SirketCHT] DangerTr07(8): ! ne olur ne olmaz
14:1:10 | [CMD] H.R.N.(13) => /uyeal 14
14:1:13 | [SirketCHT] DangerTr07(8): ! kraply kanka 
14:1:13 | Hic(7) oyuna girdi [IP: 88.253.177.101]
14:1:14 | [SirketCHT] DangerTr07(8): ! tamam 
14:1:15 | [SirketCHT] H.R.N.(13): ! ho
14:1:18 | [SirketCHT] DangerTr07(8): ! rankýn düþmez senin 
14:1:18 | TheS1LKENAdam(9): Modifiyeli motor
14:1:18 | 
14:1:18 | [SirketCHT] AsosyalAlbay(6): !tamam kardeþim
14:1:20 | [CMD] ByFaruk(14) => /s teþekkurler
14:1:21 | [SirketCHT] DangerTr07(8): ! caliþ sen 
14:1:21 | [CMD] ByFaruk(14) => /sirket
14:1:22 | [CMD] KenanBey78(15) => /convoy
14:1:22 | [SirketCHT] Kraply(17): !tamam
14:1:23 | 
14:1:24 | [CMD] ismayil(11) => /konvoyayril
14:1:26 | {FFCC00}Hic(7) {FFFFFF}Pilot olarak spawn oldu.
14:1:26 | {FFCC00}[SWAT]DeaD[POH](0) {FFFFFF}Kamyoncu olarak spawn oldu.
14:1:29 | [SirketCHT] ByFaruk(14): ! tesekkurler
14:1:30 | [SirketCHT] AsosyalAlbay(6): !dead nerdesin
14:1:30 | [SWAT]DeaD[POH](0): g
14:1:31 | [CMD] ismayil(11) => /convoyayril
14:1:31 | [SirketCHT] H.R.N.(13): ! ! mesaj
14:1:32 | [CMD] DangerTr07(8) => /pm 6 kumarhaneyi aldiktan sonra önünden ss al 
14:1:33 | [SirketCHT] Kraply(17): !hadi Allah'a emanet olun çýktým ben
14:1:33 | [CMD] TheS1LKENAdam(9) => /araba
14:1:34 | [CMD] Hic(7) => /sac
14:1:35 | [CMD] ismayil(11) => /goto 16
14:1:36 | [CMD] ByFaruk(14) => /sirket
14:1:36 | [SirketCHT] KenanBey78(15): !bb
14:1:37 | [CMD] ismayil(11) => /goto 16
14:1:37 | [CMD] Hic(7) => /sa
14:1:37 | [SirketCHT] [SWAT]DeaD[POH](0): ! lv gel
14:1:37 | [SirketCHT] Kraply(17): !kolay gelsin
14:1:38 | [CMD] DangerTr07(8) => /pm 6 bug olur yada giderse felanss al 
14:1:38 | [CMD] ismayil(11) => /goto 16
14:1:39 | [SirketCHT] KenanBey78(15): !/bb
14:1:39 | [CMD] TheS1LKENAdam(9) => /as
14:1:39 | [CMD] Hic(7) => /sirket
14:1:39 | [CMD] Chilgin[byhack](18) => /as
14:1:40 | [CMD] [SWAT]DeaD[POH](0) => /rescue
14:1:41 | Kraply(17) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
14:1:44 | [CMD] ByFaruk(14) => /as
14:1:45 | [CMD] AsosyalAlbay(6) => /pm 8 tamam neyle alýcam ss i
14:1:45 | [CMD] ismayil(11) => /gotool 16
14:1:46 | [CMD] ByFaruk(14) => /rescue
14:1:46 | [CMD] DangerTr07(8) => /pm 6 aldiktan sonra ama 
14:1:48 | H.R.N.(13): flykenan
14:1:48 | [CMD] selimdemote(16) => /as
14:1:51 | [CMD] DangerTr07(8) => /pm 6 f8 yeter abi 
14:1:53 | selimdemote(16): harun yanýma gelde hale gidek
14:1:55 | [CMD] ismayil(11) => /rescue
14:1:55 | KenanBey78(15) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
14:1:58 | [SirketCHT] DangerTr07(8): ! bide parayi bankadan yollayin 
14:1:59 | [CMD] Hic(7) => /goto 16
14:2:0 | [CMD] H.R.N.(13) => /goto 16
14:2:1 | [SirketCHT] DangerTr07(8): ! orada sýnýr yok 
14:2:3 | [CMD] ismayil(11) => /sirket
14:2:4 | selimdemote(16): sebze almaya gidecez
14:2:5 | [CMD] DangerTr07(8) => /work
14:2:6 | [CMD] AsosyalAlbay(6) => /banka
14:2:7 | [CMD] TheS1LKENAdam(9) => /a Ben cýkýyom sen tek kal
14:2:9 | [SirketCHT] [SWAT]DeaD[POH](0): ! albay qnq
14:2:12 | [CMD] DangerTr07(8) => /Convoyiptal
14:2:12 | [SirketCHT] AsosyalAlbay(6): !efem
14:2:14 | [SirketCHT] [SWAT]DeaD[POH](0): ! gel lv
14:2:16 | [CMD] TheS1LKENAdam(9) => /fly
14:2:16 | [CMD] Hic(7) => /araba
14:2:16 | [CMD] [SWAT]DeaD[POH](0) => /araba
14:2:17 | [CMD] AsosyalAlbay(6) => /rescue
14:2:18 | [CMD] DangerTr07(8) => /goto 0 
14:2:18 | [CMD] TheS1LKENAdam(9) => /convoy
14:2:22 | selimdemote(16): benim ortak geldi
14:2:23 | [CMD] TheS1LKENAdam(9) => /goto 8
14:2:26 | [CMD] H.R.N.(13) => /tamir
14:2:29 | DangerTr07(8) oyundan cIktI (Hata/Crash) (IP: 95.12.121.2)
14:2:32 | [CMD] ByFaruk(14) => /sorusor Arac almak için ev lazýmmý
14:2:34 | [CMD] TheS1LKENAdam(9) => /mesle
14:2:35 | [CMD] TheS1LKENAdam(9) => /meslek
14:2:35 | selimdemote(16): geliyonmu harun
14:2:35 | [CMD] Hic(7) => /sorular
14:2:36 | {FFCC00}TheS1LKENAdam(9) {FFFFFF}Kamyoncu olarak spawn oldu.
14:2:41 | AsosyalAlbay(6): bekle
14:2:43 | [CMD] ByFaruk(14) => /pm h.r.n reis
14:2:44 | [CMD] TheS1LKENAdam(9) => /a Ufukj
14:2:44 | [CMD] Hic(7) => /sorukabul 14
14:2:44 | [SWAT]DeaD[POH](0): g
14:2:45 | AsosyalAlbay(6): dangerde gelsin
14:2:47 | [CMD] TheS1LKENAdam(9) => /goto 18
14:2:50 | [CMD] ByFaruk(14) => /pm h.r.n þirket araçlarý varmý 
14:2:50 | [CMD] Chilgin[byhack](18) => /a he
14:2:50 | AsosyalAlbay(6): danger sende gel
14:2:51 | [CMD] Hic(7) => /ypm Merhaba.
14:2:55 | H.R.N.(13): bende 1 kilo çilek alacam
14:2:55 | [SirketCHT] AsosyalAlbay(6): !danger sende gel
14:2:56 | [SWAT]DeaD[POH](0): gelcek o
14:2:56 | [CMD] ByFaruk(14) => /ypm merhaba
14:2:58 | [CMD] TheS1LKENAdam(9) => /a dursana amüp
14:3:3 | [CMD] TheS1LKENAdam(9) => /goto 18
14:3:4 | selimdemote(16): tm
14:3:4 | [CMD] Hic(7) => /ypm Araç satýn almak için eve gerek yok.
14:3:5 | [CMD] H.R.N.(13) => /pm 14 var sultan ve bullet
14:3:10 | [CMD] Chilgin[byhack](18) => /atamir
14:3:14 | [LOCAL]TheS1LKENAdam(9): en sevdiðim araba bu ha
14:3:14 | [CMD] TheS1LKENAdam(9) => /l en sevdiðim araba bu ha
14:3:15 | [CMD] ByFaruk(14) => /ypm teþekkurler
14:3:15 | [CMD] H.R.N.(13) => /pm 14 /rescue > þirkete ýþýnlan
14:3:15 | ismayil(11): selim knk olakmi ?
14:3:16 | [SWAT]DeaD[POH](0): g
14:3:17 | [LOCAL]Chilgin[byhack](18): :D
14:3:17 | [CMD] Chilgin[byhack](18) => /l :D
14:3:18 | [CMD] AsosyalAlbay(6) => /pm 9 kaç m kaldýrýrýz
14:3:18 | selimdemote(16): biz ortakla 100 kilo alcaz
14:3:19 | [SWAT]DeaD[POH](0) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
14:3:19 | [CMD] Hic(7) => /ypm Ýyi Oyunlar..
14:3:19 | [LOCAL]TheS1LKENAdam(9): 3 level kaldý almama
14:3:19 | [CMD] TheS1LKENAdam(9) => /l 3 level kaldý almama
14:3:20 | ismayil(11): bende sebze alcam
14:3:21 | [CMD] ByFaruk(14) => /pm 13 þirketdeyým
14:3:22 | [CMD] Hic(7) => /ybitir
14:3:22 | selimdemote(16): biz ortakla 100 kilo alcaz
14:3:24 | {FFCC00}AsosyalAlbay(6) {FFFFFF}Kamyoncu olarak spawn oldu.
14:3:26 | [LOCAL]H.R.N.(13): bi dk geliyom
14:3:26 | [CMD] H.R.N.(13) => /l bi dk geliyom
14:3:26 | Hic(7): Ortak bas
14:3:28 | [CMD] ByFaruk(14) => /pm 13 gordum býrþey daha sorcam
14:3:29 | [CMD] H.R.N.(13) => /goto 14
14:3:30 | [CMD] TheS1LKENAdam(9) => /pm 6 ben haftada birinden 3 m alýyorum
14:3:31 | ismayil(11): bende alcam nasil geliyim
14:3:34 | [CMD] H.R.N.(13) => /goto 14
14:3:36 | [CMD] ByFaruk(14) => /pm 13 kendý arabamý parketsem park yerýne olurmu
14:3:39 | [CMD] Hic(7) => /ogorev 11
14:3:39 | [CMD] TheS1LKENAdam(9) => /pm 6 3 tane kumarhanem var 5 level
14:3:40 | DangerTr07(0) oyuna girdi [IP: 95.12.121.2]
14:3:45 | [CMD] TheS1LKENAdam(9) => /6 toplam 9 m
14:3:50 | [CMD] TheS1LKENAdam(9) => /pm 6 toplam 9 m
14:3:50 | Hic(7): Görev de misin ? 
14:3:51 | 
14:3:52 | [CMD] H.R.N.(13) => /pm 14 bazen orda araç oluyo bug olur boþ biyere koy
14:3:53 | selimdemote(16): oratk getir þu ýsmayýlý yanýmýza
14:3:55 | ismayil(11): yok
14:3:55 | {FFCC00}DangerTr07(0) {FFFFFF}Kamyoncu olarak spawn oldu.
14:3:56 | selimdemote(16): oratk getir þu ýsmayýlý yanýmýza
14:3:59 | Hic(7): Dur ortak
14:3:59 | [CMD] DangerTr07(0) => /myskin 21 
14:4:2 | Hic(7): Dur da getirem
14:4:3 | [CMD] ByFaruk(14) => /pm 13 þirket içinde olsa olurmu yani
14:4:3 | [SirketCHT] AsosyalAlbay(6): !danger
14:4:4 | [CMD] DangerTr07(0) => /admgiris
14:4:8 | [SirketCHT] DangerTr07(0): ! ? 
14:4:8 | [CMD] AsosyalAlbay(6) => /pm 
14:4:8 | [CMD] TheS1LKENAdam(9) => /aka 6
14:4:10 | [CMD] DangerTr07(0) => /goto 6 
14:4:12 | [CMD] Hic(7) => /tele 11 16
14:4:14 | [CMD] AsosyalAlbay(6) => /pm 9 9m mi veriyor toplam
14:4:16 | [LOCAL]DangerTr07(0): ne oldu reis 
14:4:16 | [CMD] DangerTr07(0) => /l ne oldu reis 
14:4:18 | [SirketCHT] AsosyalAlbay(6): !nere cýktý dead
14:4:20 | [CMD] H.R.N.(13) => /pm 14 olur þirketin boþ biyerine koy
14:4:28 | ismayil(11): cilek alcam ebn
14:4:29 | [CMD] ByFaruk(14) => /pm 13 tamamdýr teþekkurler
14:4:31 | [CMD] TheS1LKENAdam(9) => /pm 6 3 tane 5 level kumarhanem var toplam 3 ünden de 9 m alýyorum
14:4:31 | ismayil(11): cilek alcam ben
14:4:33 | [SirketCHT] DangerTr07(0): ! gelir þimdi 
14:4:34 | [LOCAL]H.R.N.(13): söyle mesela
14:4:34 | [CMD] H.R.N.(13) => /l söyle mesela
14:4:37 | Hic(7): Yük alýp satcaz 
14:4:44 | [CMD] ByFaruk(14) => /pm 13 tamam 
14:4:44 | [CMD] TheS1LKENAdam(9) => /pm 6 Ama ben onlarý 5 level yapana kadar caným cýktý
14:4:47 | [SWAT]DeaD[POH](8) oyuna girdi [IP: 158.181.42.231]
14:4:48 | [SirketCHT] DangerTr07(0): ! banka hesap þifreni unuttmadin inþ abi :D 
14:4:48 | [CMD] H.R.N.(13) => /goto 7
14:4:49 | [CMD] Hic(7) => /vipler
14:4:50 | [CMD] H.R.N.(13) => /goto 7
14:4:52 | ismayil(11): yarisi sana yarisi bana yarisida selime
14:4:52 | [CMD] Hic(7) => /djler
14:4:55 | [SirketCHT] DangerTr07(0): ! unutuysan /bankasifredegis
14:4:55 | H.R.N.(13): durla
14:4:59 | 
14:4:59 | [CMD] DangerTr07(0) => /Bankasifredegis
14:5:0 | [CMD] H.R.N.(13) => /goto 7
14:5:0 | [CMD] ismayil(11) => /ise
14:5:1 | {FFCC00}[SWAT]DeaD[POH](8) {FFFFFF}Kamyoncu olarak spawn oldu.
14:5:1 | Hic(7): Ortak dur
14:5:3 | [SirketCHT] AsosyalAlbay(6): !kardeþ banka yazýyorum olmuyor
14:5:4 | Hic(7): Ortak dursaða
14:5:7 | H.R.N.(13): pazrcý ur
14:5:9 | [SirketCHT] DangerTr07(0): ! y bas abi 
14:5:9 | [CMD] ByFaruk(14) => /gps
14:5:9 | [CMD] H.R.N.(13) => /goto 7
14:5:9 | [CMD] Chilgin[byhack](18) => /atamir
14:5:9 | [CMD] ismayil(11) => /animkapat
14:5:10 | [LOCAL][SWAT]DeaD[POH](8): lv 
14:5:10 | [CMD] [SWAT]DeaD[POH](8) => /l lv 
14:5:12 | [CMD] [SWAT]DeaD[POH](8) => /rescue
14:5:13 | [LOCAL]selimdemote(16): bu sefer ahýradn alcaz
14:5:13 | [CMD] selimdemote(16) => /l bu sefer ahýradn alcaz
14:5:15 | [SirketCHT] DangerTr07(0): ! y bas orada banka var 
14:5:16 | [CMD] ByFaruk(14) => /sorusor araç galerisini nerden bulabýlýrým
14:5:16 | (BANKA) AsosyalAlbay(6) 2328 nolu banka hesabi olusturdu.
14:5:16 | H.R.N.(13):  /pcc
14:5:16 | [SWAT]DeaD[POH](8): albay
14:5:18 | [CMD] H.R.N.(13) => /pcc
14:5:19 | [CMD] TheS1LKENAdam(9) => /a Ufuk
14:5:19 | [SWAT]DeaD[POH](8): lv gelin
14:5:21 | [CMD] TheS1LKENAdam(9) => /a Danger
14:5:22 | Hic(7): Okey
14:5:24 | [CMD] ismayil(11) => /pcc
14:5:24 | [CMD] DangerTr07(0) => /goto 8 
14:5:25 | [CMD] TheS1LKENAdam(9) => /a yasin banlandý 
14:5:27 | DangerTr07(0): bekle qnq 
14:5:29 | [CMD] Chilgin[byhack](18) => /a neden
14:5:31 | [CMD] DangerTr07(0) => /A :D 
14:5:31 | [CMD] ismayil(11) => /pcc
14:5:32 | [CMD] Chilgin[byhack](18) => /cevir
14:5:32 | [CMD] ismayil(11) => /pcc
14:5:33 | [CMD] TheS1LKENAdam(9) => /a Baþka hesap la gelirse kick leyin
14:5:33 | [CMD] ismayil(11) => /pcc
14:5:33 | [CMD] ismayil(11) => /pcc
14:5:34 | [SWAT]DeaD[POH](8): g
14:5:35 | [CMD] ismayil(11) => /pcc
14:5:36 | [CMD] ismayil(11) => /pcc
14:5:36 | [CMD] ismayil(11) => /pcc`
14:5:36 | [CMD] DangerTr07(0) => /Get 6 
14:5:38 | [CMD] ismayil(11) => /pcc`
14:5:38 | [SWAT]DeaD[POH](8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
14:5:40 | [CMD] Chilgin[byhack](18) => /a neden yedi la
14:5:40 | [CMD] TheS1LKENAdam(9) => /a Goto olup ceza kesmiþ
14:5:40 | [CMD] DangerTr07(0) => /m1
14:5:40 | [CMD] Hic(7) => /asay Yardýmaa Ýhtiyacý Olan, Sorusu Olan Var mý ?
14:5:41 | [CMD] ismayil(11) => /pcc
14:5:44 | [CMD] Chilgin[byhack](18) => /a haa ok
14:5:44 | [CMD] DangerTr07(0) => /m2
14:5:45 | [CMD] TheS1LKENAdam(9) => /cevir
14:5:46 | [CMD] ByFaruk(14) => /sorusor araç galerisini nerden bulabýlýrým
14:5:49 | AsosyalAlbay(6): dead
14:5:51 | [CMD] TheS1LKENAdam(9) => /a aka lara bakýn da arada
14:5:51 | AsosyalAlbay(6): gelicenmi?
14:5:52 | [CMD] Chilgin[byhack](18) => /goto 18
14:5:52 | [CMD] ByFaruk(14) => /sorusor araç galerýsýný nasý bulablrm
14:5:55 | [CMD] TheS1LKENAdam(9) => /sorular
14:5:57 | [CMD] Chilgin[byhack](18) => /atamir
14:5:57 | [CMD] selimdemote(16) => /tamir
14:5:57 | [CMD] Hic(7) => /sorular
14:5:59 | DangerTr07(0): crash yiyor galiba 
14:6:2 | [CMD] Hic(7) => /sorukabul 14
14:6:6 | [CMD] Hic(7) => /ypm Merhaba.
14:6:6 | AsosyalAlbay(6): yo kendi istegiyle cýktý diyor
14:6:6 | [CMD] H.R.N.(13) => /gc pazarda ananas aldýrdým
14:6:8 | [CMD] AsosyalAlbay(6) => /banka
14:6:10 | [CMD] ByFaruk(14) => /ypm merhaba
14:6:13 | Hic(7): Az beqlein beni
14:6:17 | [CMD] DangerTr07(0) => /Car alpha 0 0 
14:6:19 | (BANKA) AsosyalAlbay(6) 2328 nolu banka hesabina 347950000$ yatirdi.
14:6:20 | [CMD] Hic(7) => /ypm Galeriye götüreyim sizi.
14:6:23 | [CMD] DangerTr07(0) => /modifiye
14:6:25 | H.R.N.(13): 5 kilo 5 lira
14:6:25 | [CMD] Hic(7) => /got o14
14:6:26 | [CMD] ByFaruk(14) => /ypm olur
14:6:26 | H.R.N.(13): 5 kilo 5 lira
14:6:27 | [CMD] Chilgin[byhack](18) => /cevir
14:6:32 | [CMD] Chilgin[byhack](18) => /goto 18
14:6:33 | [CMD] DangerTr07(0) => /modifiye
14:6:34 | [CMD] TheS1LKENAdam(9) => /admins
14:6:37 | [CMD] Chilgin[byhack](18) => /atamir
14:6:41 | selimdemote(16): harun gel yardým et
14:6:41 | [CMD] DangerTr07(0) => /kemer
14:6:43 | [CMD] ismayil(11) => /dovusstilleri
14:6:44 | [CMD] DangerTr07(0) => /Atamir
14:6:46 | [CMD] ismayil(11) => /stiller
14:6:47 | [CMD] Hic(7) => /goto 14
14:6:49 | [CMD] H.R.N.(13) => /elsalla
14:6:50 | [CMD] H.R.N.(13) => /elsalla
14:6:51 | [CMD] Hic(7) => /goto 14
14:6:55 | H.R.N.(13): gel vatandaþ gell
14:6:56 | Hic(7): Dur byFaruk
14:6:57 | [LOCAL]TheS1LKENAdam(9): napýyon la
14:6:57 | [CMD] TheS1LKENAdam(9) => /l napýyon la
14:6:58 | ismayil(11): bekle cilek 
14:6:58 | [SirketCHT] AsosyalAlbay(6): !ne zaman gelicek ya
14:6:59 | [CMD] H.R.N.(13) => /animlist
14:7:2 | [CMD] Hic(7) => /araba
14:7:4 | selimdemote(16): harun havaya girdi
14:7:4 | ismayil(11): nasil yapdin
14:7:5 | [SirketCHT] DangerTr07(0): ! gelir þimdi :D 
14:7:7 | selimdemote(16): harun havaya girdi
14:7:7 | [CMD] H.R.N.(13) => /nevarlan
14:7:8 | [CMD] AsosyalAlbay(6) => /admins
14:7:8 | ismayil(11): nasil yapdin o hareketi
14:7:9 | [CMD] H.R.N.(13) => /nevarlan
14:7:11 | Hic(7): Takip et
14:7:12 | [CMD] H.R.N.(13) => /animlist
14:7:15 | [CMD] AsosyalAlbay(6) => /pm 18 s.a
14:7:16 | [CMD] Hic(7) => /kemer
14:7:18 | [CMD] TheS1LKENAdam(9) => /spec 11
14:7:20 | [CMD] H.R.N.(13) => /sarjör
14:7:21 | [CMD] H.R.N.(13) => /sarjör
14:7:24 | [CMD] H.R.N.(13) => /sarjor
14:7:26 | [SWAT]DeaD[POH](8) oyuna girdi [IP: 158.181.42.231]
14:7:27 | selimdemote(16): hadi yola çýkýyoz
14:7:28 | [CMD] H.R.N.(13) => /sarjor deadle
14:7:29 | [CMD] Chilgin[byhack](18) => /cevir
14:7:31 | [CMD] H.R.N.(13) => /sarjor deadle
14:7:32 | selimdemote(16): araç res
14:7:32 | [CMD] Chilgin[byhack](18) => /goto 18
14:7:35 | [CMD] H.R.N.(13) => /sarjor deagle
14:7:36 | [CMD] H.R.N.(13) => /sarjor deagle
14:7:36 | [CMD] DangerTr07(0) => /Cleanupcars
14:7:37 | [CMD] H.R.N.(13) => /sarjor deagle
14:7:37 | [CMD] ismayil(11) => /kemer
14:7:38 | TheS1LKENAdam(9): Araç Res Geliyor
14:7:38 | 
14:7:38 | [CMD] Chilgin[byhack](18) => /atamir
14:7:39 | TheS1LKENAdam(9): Araç Res Geliyor
14:7:40 | {FFCC00}[SWAT]DeaD[POH](8) {FFFFFF}Kamyoncu olarak spawn oldu.
14:7:41 | [CMD] DangerTr07(0) => /car huntley 0 0 
14:7:42 | [CMD] H.R.N.(13) => /sarjor smg
14:7:43 | [CMD] [SWAT]DeaD[POH](8) => /rescue
14:7:43 | [CMD] H.R.N.(13) => /sarjor smg
14:7:45 | [CMD] TheS1LKENAdam(9) => /respawncars 
14:7:46 | [SWAT]DeaD[POH](8): danger
14:7:47 | [CMD] TheS1LKENAdam(9) => /cantazele
14:7:47 | [CMD] DangerTr07(0) => /m
14:7:47 | [CMD] selimdemote(16) => /araba
14:7:48 | [CMD] H.R.N.(13) => /sarjor smg
14:7:50 | [CMD] TheS1LKENAdam(9) => /specoff
14:7:50 | {FFCC00}TheS1LKENAdam(9) {FFFFFF}Kamyoncu olarak spawn oldu.
14:7:50 | AsosyalAlbay(6): dead bekliyorum
14:7:51 | [CMD] DangerTr07(0) => /modifiye
14:7:52 | AsosyalAlbay(6): lv de
14:7:53 | [SWAT]DeaD[POH](8): albayla lv gelin
14:7:53 | [CMD] TheS1LKENAdam(9) => /goto 11
14:7:54 | H.R.N.(13): poþetliyorum abicim
14:7:57 | [CMD] AsosyalAlbay(6) => /tamir
14:7:59 | [CMD] DangerTr07(0) => /modifiye
14:7:59 | [CMD] ismayil(11) => /kemer
14:8:0 | [CMD] H.R.N.(13) => /sarjor smg
14:8:0 | [CMD] TheS1LKENAdam(9) => /fly
14:8:1 | [CMD] Chilgin[byhack](18) => /modcontrol
14:8:2 | [CMD] [SWAT]DeaD[POH](8) => /araba
14:8:3 | [CMD] H.R.N.(13) => /sarjor smg
14:8:5 | DangerTr07(0): oradayiz
14:8:5 | [CMD] H.R.N.(13) => /sarjor smg
14:8:7 | [CMD] DangerTr07(0) => /kemer
14:8:10 | [CMD] selimdemote(16) => /modifiye
14:8:13 | [CMD] H.R.N.(13) => /sarjor
14:8:16 | [CMD] H.R.N.(13) => /sarjor ak
14:8:18 | [CMD] H.R.N.(13) => /sarjor ak
14:8:20 | selimdemote(16): hadi gençle
14:8:20 | [CMD] H.R.N.(13) => /sarjor m4
14:8:23 | AsosyalAlbay(6): hadi
14:8:24 | Hic(7): Burasý Galeri
14:8:26 | [CMD] TheS1LKENAdam(9) => /m1
14:8:32 | [CMD] Hic(7) => /goto 13
14:8:33 | ByFaruk(14): Teþekkurler
14:8:34 | [CMD] TheS1LKENAdam(9) => /goto 7
14:8:35 | [SirketCHT] DangerTr07(0): ! dead lag :D
14:8:36 | selimdemote(16): harun
14:8:40 | selimdemote(16): atlayýn
14:8:40 | Hic(7): Rica.
14:8:40 | [SirketCHT] [SWAT]DeaD[POH](8): ! ayn
14:8:40 | [SirketCHT] DangerTr07(0): ! dead ulen orada akn yok 
14:8:42 | [CMD] ByFaruk(14) => /galeri
14:8:43 | [SirketCHT] DangerTr07(0): ! nasil o lag :D 
14:8:43 | [CMD] H.R.N.(13) => /otur
14:8:44 | [CMD] H.R.N.(13) => /otur
14:8:44 | [CMD] TheS1LKENAdam(9) => /goto 14
14:8:49 | H.R.N.(13): çilekte iyimiþ ha
14:8:49 | [CMD] Chilgin[byhack](18) => /r hi galeriden goto oluyom
14:8:52 | [SirketCHT] DangerTr07(0): ! arkadaþým baküde orada akn yok dedi :D 
14:8:55 | [CMD] DangerTr07(0) => /Atamir
14:9:0 | [CMD] ismayil(11) => /kemer
14:9:0 | [CMD] Hic(7) => /r Yardýma gittiydim 
14:9:0 | [CMD] Chilgin[byhack](18) => /goto 7
14:9:3 | [SirketCHT] [SWAT]DeaD[POH](8): ! var
14:9:5 | [SWAT]DeaD[POH](8): g
14:9:10 | [SWAT]DeaD[POH](8): h
14:9:11 | [CMD] Chilgin[byhack](18) => /r neyse tm
14:9:12 | [SirketCHT] DangerTr07(0): ! bir netinde yokmuþ :D 
14:9:14 | selimdemote(16): arabaya girmeyin ya
14:9:15 | [SWAT]DeaD[POH](8): net gidiyo of ya
14:9:17 | [SirketCHT] DangerTr07(0): ! indirme hýzý 
14:9:18 | [CMD] TheS1LKENAdam(9) => /sirket
14:9:18 | H.R.N.(13): aha xabýta geliyo
14:9:22 | H.R.N.(13): aha zabýta geliyo
14:9:22 | [CMD] Chilgin[byhack](18) => /atamir
14:9:24 | [CMD] Hic(7) => /goto 13
14:9:26 | selimdemote(16): kaçýn
14:9:29 | H.R.N.(13): gaçýn
14:9:29 | [SWAT]DeaD[POH](8): g
14:9:34 | DangerTr07(0): dead one :D 
14:9:34 | AsosyalAlbay(6): danger
14:9:37 | [SirketCHT] DangerTr07(0): ! dead ne indiriyon 
14:9:38 | DangerTr07(0): ? 
14:9:40 | AsosyalAlbay(6): aracý tamir et ya
14:9:40 | Hic(7): Bas Çýlgýn
14:9:41 | [CMD] Hic(7) => /kemer
14:9:44 | [SirketCHT] [SWAT]DeaD[POH](8): ! hic bi sey
14:9:45 | Hic(7):  /tamir
14:9:46 | DangerTr07(0):  /tamir yaz abi 
14:9:46 | [CMD] Chilgin[byhack](18) => /kemer
14:9:46 | [CMD] TheS1LKENAdam(9) => /goto 7
14:9:49 | [SWAT]DeaD[POH](8): g
14:9:50 | AsosyalAlbay(6): para bankada
14:9:51 | [CMD] TheS1LKENAdam(9) => /araba
14:9:56 | Hic(7): S1lken mi o ?
14:9:57 | DangerTr07(0) AsosyalAlbay(6)'a 50000$ para gönderdi
14:9:57 | [CMD] DangerTr07(0) => /paragonder 6 50000 
14:9:58 | AsosyalAlbay(6): butun para
14:10:0 | [CMD] AsosyalAlbay(6) => /tamir
14:10:3 | [CMD] TheS1LKENAdam(9) => /kemer
14:10:6 | [CMD] [SWAT]DeaD[POH](8) => /cevir
14:10:6 | [CMD] ByFaruk(14) => /galeri
14:10:7 | AsosyalAlbay(6): sagol
14:10:11 | [CMD] DangerTr07(0) => /pm 6 banka þifreni unutuysan /bankasifredegis 
14:10:12 | H.R.N.(13): zabýta görmedi gaç
14:10:14 | [CMD] [SWAT]DeaD[POH](8) => /tamir
14:10:16 | [CMD] AsosyalAlbay(6) => /pm 0 unutmadým
14:10:20 | [CMD] DangerTr07(0) => /pm 6 tm :D 
14:10:21 | [CMD] AsosyalAlbay(6) => /cevir
14:10:22 | Hic(7): Genemi Amcalaaððr
14:10:26 | [CMD] ByFaruk(14) => /sorusor 1 karavan 1 de araba alabýlýyoruz degilmi
