0:0:5 | [CMD] Freezer3543(6) => /tamir
16:33:55 | [CMD] RingoBamBam(10) => /a giriyim hergull bey
16:33:57 | [CMD] xqHost(0) => /tamir
16:34:1 | [CMD] RingoBamBam(10) => /myskin 120
16:34:3 | [CMD] salih337(8) => /motor
16:34:8 | [CMD] Gezegen(9) => /afk
16:34:8 | [CMD] RingoBamBam(10) => /odunsat
16:34:14 | [CMD] Gezegen(9) => /geldim
16:34:19 | [CMD] RingoBamBam(10) => /godonator
16:34:40 | [CMD] HeRquL(6) => /duyuru ~r~telefona bakma ~w~yola bak
16:34:42 | huseyin(12) oyuna girdi [IP: 95.12.117.177]
16:34:47 | [CMD] RingoBamBam(10) => /a kim
16:34:52 | [CMD] HeRquL(6) => /a kamu spotu
16:34:54 | 
16:34:55 | [CMD] RingoBamBam(10) => /a :QWEQWE
16:34:56 | {FFCC00}huseyin(12) Otobus Soforu olarak spawn oldu.
16:34:58 | [CMD] huseyin(12) => /admgiris
16:34:59 | xqHost(0): oo baþkan
16:35:1 | [CMD] huseyin(12) => /sa
16:35:3 | [CMD] xqHost(0) => /as
16:35:4 | [CMD] CagatayBro(7) => /as
16:35:5 | [CMD] RingoBamBam(10) => /as
16:35:8 | [CMD] RingoBamBam(10) => /a hüseyin
16:35:11 | Gezegen(9): direk time
16:35:12 | [CMD] huseyin(12) => /a ?
16:35:18 | [CMD] salih337(8) => /motor
16:35:19 | [CMD] huseyin(12) => /sac
16:35:21 | [CMD] huseyin(12) => /dtemizle 
16:35:22 | [CMD] huseyin(12) => /asay2 s  
16:35:23 | [CMD] RingoBamBam(10) => /a bu yeni sürümle araba gelecekmi donotorlara
16:35:24 | [CMD] salih337(8) => /motor
16:35:28 | [CMD] CagatayBro(7) => /convoy
16:35:28 | [CMD] Gezegen(9) => /araba
16:35:31 | [CMD] huseyin(12) => /a Bilgim yok
16:35:35 | [CMD] Gezegen(9) => /araba
16:35:35 | RingoBamBam(10): gelecek diyor
16:35:39 | [CMD] RingoBamBam(10) => /donator
16:35:42 | [CMD] HeRquL(6) => /duyuru ~w~can guvenligi icin ~g~/kemer tak
16:35:45 | [CMD] HeRquL(6) => /as
16:35:53 | Muya(13) oyuna girdi [IP: 78.191.94.144]
16:35:54 | [CMD] RingoBamBam(10) => /market
16:35:59 | [CMD] xqHost(0) => /tamir
16:36:0 | [CMD] HeRquL(6) => /a nerde bu millet
16:36:1 | [CMD] salih337(8) => /moto
16:36:1 | [CMD] HeRquL(6) => /djler
16:36:2 | [CMD] huseyin(12) => /a kime diyon onu ringo
16:36:3 | [CMD] RingoBamBam(10) => /a :QWE
16:36:4 | [CMD] salih337(8) => /motor
16:36:7 | TheS1LKENAdam(14) oyuna girdi [IP: 46.2.9.126]
16:36:8 | RingoBamBam(10): neyi
16:36:12 | [CMD] RingoBamBam(10) => /a neyi
16:36:13 | [CMD] Gezegen(9) => /araba
16:36:14 | [CMD] HeRquL(6) => /sac
16:36:15 | [CMD] huseyin(12) => /a gelecek diyor diyorsun ya
16:36:15 | [CMD] RingoBamBam(10) => /rescue
16:36:16 | 
16:36:19 | 
16:36:20 | [CMD] Gezegen(9) => /araba
16:36:21 | {FFCC00}TheS1LKENAdam(14) {FFFFFF}Kamyoncu olarak spawn oldu.
16:36:24 | [CMD] TheS1LKENAdam(14) => /admgiris
16:36:24 | [CMD] RingoBamBam(10) => /a donotor yazýyor
16:36:27 | [CMD] salih337(8) => /motor
16:36:27 | [CMD] TheS1LKENAdam(14) => /sa
16:36:28 | [CMD] TheS1LKENAdam(14) => /sac
16:36:28 | [CMD] xqHost(0) => /as
16:36:29 | [CMD] huseyin(12) => /a hm 
16:36:29 | [CMD] Gezegen(9) => /as
16:36:30 | [CMD] huseyin(12) => /as
16:36:30 | [CMD] RingoBamBam(10) => /donator
16:36:34 | {FFCC00}Muya(13) {FFFFFF}Pilot olarak spawn oldu.
16:36:35 | [CMD] HeRquL(6) => /sac
16:36:37 | [CMD] RingoBamBam(10) => /as
16:36:38 | RingoBamBam(10): hg
16:36:40 | [CMD] RingoBamBam(10) => /rescue
16:36:40 | [CMD] huseyin(12) => /a bnle konuþurken admin chatten yaz 
16:36:41 | [CMD] TheS1LKENAdam(14) => /a gavat ravly bugün verdi pc yi
16:36:42 | [CMD] huseyin(12) => /dtemizle 
16:36:42 | [CMD] huseyin(12) => /asay2 s  
16:36:43 | [CMD] Gezegen(9) => /meslek
16:36:44 | [CMD] RingoBamBam(10) => /a tm
16:36:45 | {FFCC00}Gezegen(9) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
16:36:46 | [CMD] huseyin(12) => /myskin 285
16:36:46 | Muya(13): selamunaleyküm
16:36:47 | [CMD] Gezegen(9) => /rescue
16:36:48 | [CMD] xqHost(0) => /as
16:36:48 | [CMD] huseyin(12) => /as
16:36:51 | [CMD] RingoBamBam(10) => /basarimlar
16:36:56 | [CMD] Gezegen(9) => /meslek
16:36:57 | [CMD] CagatayBro(7) => /as
16:36:59 | Gezegen(9) Pizzaci olarak spawn oldu.
16:37:1 | [CMD] Gezegen(9) => /rescue
16:37:4 | xqHost(0): çaðatay az kaldý geliyom
16:37:6 | [CMD] salih337(8) => /motor
16:37:6 | [CMD] huseyin(12) => /dtemizle 
16:37:7 | [CMD] huseyin(12) => /asay2 s  
16:37:9 | [CMD] TheS1LKENAdam(14) => /a gelirken marketten çukulata kola aldým
16:37:13 | [CMD] TheS1LKENAdam(14) => /a yoksa vermiyor pc yi bana
16:37:17 | [CMD] salih337(8) => /motor
16:37:22 | [CMD] TheS1LKENAdam(14) => /a ben önceden kendi pc mi vermiyordum ya ona :D
16:37:27 | [CMD] RingoBamBam(10) => /a hüseyin
16:37:30 | [CMD] huseyin(12) => /a he
16:37:32 | Muya(13): huseyin
16:37:34 | huseyin(12): Evet
16:37:36 | [CMD] huseyin(12) => /cleanupcars
16:37:37 | TheS1LKENAdam(14): Yardýma ihtiyacý olan var mý?
16:37:38 | Muya(13): bn kaç aydýr katký ypmom :D
16:37:39 | [CMD] RingoBamBam(10) => /a odunculukta basarý yokmu
16:37:43 | [SirketCHT] huseyin(12): ! he
16:37:48 | [CMD] RingoBamBam(10) => /vipgor 14
16:37:49 | Gezegen(9): direðe çýktým inemiy filan :D
16:37:49 | [CMD] huseyin(12) => /a Bilmem yoh galiba
16:37:53 | [CMD] salih337(8) => /motor
16:37:55 | [CMD] RingoBamBam(10) => /meslek
16:37:57 | [CMD] TheS1LKENAdam(14) => /a basarimlar a bak yoksa yokmus demekki
16:37:57 | [CMD] salih337(8) => /mototr
16:37:59 | [SirketCHT] Muya(13): ! ögüs :D
16:38:1 | [CMD] huseyin(12) => /sirket
16:38:3 | [CMD] salih337(8) => /motor
16:38:4 | RingoBamBam(10) Gemici olarak spawn oldu.
16:38:7 | [CMD] TheS1LKENAdam(14) => /a ben yok diye biliyom ama :D
16:38:12 | [CMD] salih337(8) => /motor
16:38:13 | [SirketCHT] Gezegen(9): ! muya gel yanýma
16:38:14 | [SirketCHT] Muya(13): ! döverüm
16:38:18 | [CMD] TheS1LKENAdam(14) => /araba
16:38:19 | [SirketCHT] Muya(13): ! nerdesin abidin
16:38:22 | [CMD] Muya(13) => /yerbul 9
16:38:24 | [CMD] Muya(13) => /tamir
16:38:27 | Gezegen(9): gel gor þirket
16:38:28 | [CMD] RingoBamBam(10) => /work
16:38:29 | [KAMYONCU] xqHost, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 179939$, 1 Skor ve 5 EXP Sure: 516 Saniye
16:38:31 | [SirketCHT] Gezegen(9): !gel gor þirket
16:38:31 | [CMD] CcCAtakan1907(15) => /geldim
16:38:33 | [CMD] CcCAtakan1907(15) => /musait
16:38:33 | [CMD] TheS1LKENAdam(14) => /gobus
16:38:34 | Muya(13): gelom
16:38:35 | [CMD] CcCAtakan1907(15) => /rehberler
16:38:37 | [CMD] TheS1LKENAdam(14) => /gobus
16:38:38 | [CMD] CcCAtakan1907(15) => /sa
16:38:38 | [CMD] TheS1LKENAdam(14) => /gobus
16:38:39 | Muya(13): kafana dikkat et :D
16:38:40 | [CMD] xqHost(0) => /as
16:38:41 | [CMD] huseyin(12) => /as
16:38:41 | [CMD] xqHost(0) => /convoy
16:38:42 | [CMD] RingoBamBam(10) => /basarimlar
16:38:45 | [CMD] huseyin(12) => /rescue
16:38:45 | [CMD] RingoBamBam(10) => /as
16:38:46 | Muya(13): shamal indircem oraya :D
16:38:46 | [CMD] RingoBamBam(10) => /as
16:38:49 | [CMD] RingoBamBam(10) => /basarimlar
16:38:50 | [CMD] salih337(8) => /moto
16:38:53 | [CMD] huseyin(12) => /srespawncars
16:38:56 | [CMD] CcCAtakan1907(15) => /rescue
16:38:58 | Gezegen(9): hacker gezo uçarak çýktý ora :D
16:38:59 | [CMD] salih337(8) => /motor
16:39:1 | [CMD] CcCAtakan1907(15) => /gobus
16:39:5 | [CMD] TheS1LKENAdam(14) => /a matematik den 90 aldým hüseyin
16:39:5 | [CMD] huseyin(12) => /myskin 181
16:39:7 | Muya(13): gazozmu
16:39:7 | [CMD] CcCAtakan1907(15) => /icerigir
16:39:9 | [CMD] huseyin(12) => /a Nice
16:39:11 | [CMD] TheS1LKENAdam(14) => /a allah çarpsn
16:39:12 | [CMD] CcCAtakan1907(15) => /isyerimenu
16:39:14 | Gezegen(9): gezo
16:39:16 | [CMD] RingoBamBam(10) => /a ben 45 :QWEQW
16:39:21 | Muya(13): gazoz
16:39:24 | [CMD] TheS1LKENAdam(14) => /a peygamber efendimizin hayatý 40 din 45
16:39:25 | [CMD] salih337(8) => /motor
16:39:27 | [CMD] TheS1LKENAdam(14) => /a kimya 45
16:39:29 | Gezegen(9): gezo
16:39:30 | [CMD] salih337(8) => /moto
16:39:30 | [CMD] RingoBamBam(10) => /a :QWEQW
16:39:31 | Muya(13): gazoz
16:39:32 | [CMD] TheS1LKENAdam(14) => /a saðlýk 42
16:39:35 | Gezegen(9): g e z o
16:39:39 | [CMD] RingoBamBam(10) => /a hangi lise
16:39:40 | [CMD] salih337(8) => /motor
16:39:40 | Muya(13): g a z o z
16:39:42 | Gezegen(9): G E Z O
16:39:43 | [CMD] TheS1LKENAdam(14) => /a mesleki geliþim 95 biyoloji 83
16:39:45 | [CMD] TheS1LKENAdam(14) => /a Meslek
16:39:46 | [CMD] salih337(8) => /motor
16:39:48 | [CMD] huseyin(12) => /a id 9 caps 
16:39:50 | [CMD] RingoBamBam(10) => /uyar 9 Caps Of
16:39:50 | Muya(13): G A Z O Z
16:39:52 | Muya(13): aha
16:39:54 | Muya(13): abidin :D
16:39:54 | [CMD] huseyin(12) => /a id 13 
16:39:55 | [CMD] salih337(8) => /motor
16:39:58 | xqHost(0): chat kirletmeyi
16:39:59 | xqHost(0): n
16:40:0 | [CMD] TheS1LKENAdam(14) => /uyar 13 Caps Off
16:40:3 | [CMD] salih337(8) => /motor
16:40:4 | Gezegen(9): dfgsdbgndg
16:40:7 | [CMD] TheS1LKENAdam(14) => /a sýrayla yapak ringo
16:40:7 | Muya(13): adam bni silkdi
16:40:10 | [CMD] salih337(8) => /motor
16:40:11 | Muya(13): oldumu simdi
16:40:12 | [CMD] RingoBamBam(10) => /A atam
16:40:12 | TheS1LKENAdam(14): :/
16:40:14 | [CMD] salih337(8) => /motor
16:40:15 | [CMD] CcCAtakan1907(15) => /isyeriemu
16:40:15 | [CMD] RingoBamBam(10) => /a taam
16:40:17 | [CMD] CcCAtakan1907(15) => /isyerimenu
16:40:26 | [CMD] RingoBamBam(10) => /a yaptý espireye bak
16:40:28 | [SirketCHT] Gezegen(9): ! muya gel yanýma
16:40:29 | [CMD] CcCAtakan1907(15) => /gobus
16:40:29 | Muya(13): sen yoksun gazoz
16:40:32 | [CMD] huseyin(12) => /dtemizle 
16:40:32 | [CMD] huseyin(12) => /asay2 s  
16:40:35 | [CMD] TheS1LKENAdam(14) => /a boþver geyik yapyor
16:40:38 | Muya(13): sirkettekielr kafaya diikat
16:40:39 | [CMD] TheS1LKENAdam(14) => /a bize yasak artýk 
16:40:40 | [CMD] CcCAtakan1907(15) => /icerigir
16:40:43 | [CMD] RingoBamBam(10) => /a ayn
16:40:44 | Gezegen(9): direðin ustundeyim indir beni hade
16:40:47 | [CMD] CcCAtakan1907(15) => /isyerimenu
16:40:56 | Gezegen(9): fksdsgvv
16:41:0 | TheS1LKENAdam(14): Kandiliniz Mübarek Olsun
16:41:3 | [CMD] huseyin(12) => /cleanupcars
16:41:4 | Gezegen(9): eyw senþnde
16:41:5 | huseyin(12): Eyw seninde 
16:41:5 | Muya(13): ordan indiririmki :d
16:41:6 | xqHost(0): eyv seninde
16:41:8 | RingoBamBam(10): Seninde Kardesým
16:41:9 | [CMD] Muya(13) => /araba
16:41:10 | [CMD] huseyin(12) => /car inf 126 126 
16:41:14 | Gezegen(9): heli yok
16:41:15 | [CMD] huseyin(12) => /car inf 126 126 
16:41:16 | Gezegen(9): jetle
16:41:18 | [CMD] huseyin(12) => /car inf 126 126 
16:41:20 | [CMD] huseyin(12) => /car inf 126 126 
16:41:26 | [CMD] huseyin(12) => /cleanupcars 
16:41:26 | Gezegen(9): inerim aþaðý
16:41:28 | [CMD] huseyin(12) => /kemer
16:41:29 | [CMD] xqHost(0) => /c baþþlat
16:41:29 | [CMD] HeRquL(6) => /djler
16:41:31 | [CMD] salih337(8) => /motor
16:41:31 | Muya(13): bna minigunla vuruyodunuz :D
16:41:35 | [CMD] CagatayBro(7) => /convoysifre 189
16:41:35 | [CMD] xqHost(0) => /tamir
16:41:36 | [CMD] salih337(8) => /motor
16:41:37 | Muya Gezegen'i öldürdü. Oldurme Sekli: 50
16:41:39 | [CMD] CcCAtakan1907(15) => /isyerimenu
16:41:39 | Muya(13): abidin :D
16:41:40 | Gezegen(9) Pizzaci olarak spawn oldu.
16:41:43 | [CMD] Gezegen(9) => /rescue
16:41:44 | [CMD] CagatayBro(7) => /asiriyuk
16:41:44 | Muya(13): sen öldürmüsdün bni :D
16:41:45 | [CMD] salih337(8) => /motor
16:41:46 | [CMD] CagatayBro(7) => /work
16:41:48 | TheS1LKENAdam(14): Yardýma Ýhtiyacý Olan Var mý?
16:41:55 | [CMD] TheS1LKENAdam(14) => /a hüseyin bugün babama mesaj attým
16:41:56 | [CMD] CagatayBro(7) => /asiriyuk
16:41:58 | [CMD] CagatayBro(7) => /asiriyuk
16:41:59 | [CMD] CagatayBro(7) => /asiriyuk
16:41:59 | [CMD] xqHost(0) => /asiriyuk
16:42:0 | [CMD] CagatayBro(7) => /asiriyuk
16:42:0 | [CMD] salih337(8) => /motor
16:42:1 | [CMD] xqHost(0) => /asiriyuk
16:42:2 | [CMD] xqHost(0) => /asiriyuk
16:42:3 | [CMD] TheS1LKENAdam(14) => /a para geldimi diye pc alcam ya
16:42:3 | [CMD] huseyin(12) => /a he
16:42:4 | [CMD] salih337(8) => /motor
16:42:4 | [CMD] huseyin(12) => /vtamir
16:42:6 | [CMD] CagatayBro(7) => /sac
16:42:6 | [CMD] Gezegen(9) => /sac
16:42:6 | [CMD] CcCAtakan1907(15) => /isyerimenu
16:42:13 | [CMD] salih337(8) => /motor
16:42:14 | [CMD] HeRquL(6) => /plane
16:42:19 | [CMD] TheS1LKENAdam(14) => /a Dediki oglum 2 bucuk milyar az para deðil
16:42:21 | [CMD] salih337(8) => /motor
16:42:21 | Muya(13): newrde bu :D
16:42:24 | [CMD] CcCAtakan1907(15) => /gobus
16:42:26 | [CMD] TheS1LKENAdam(14) => /a ha diyince olmuyor
16:42:27 | [CMD] salih337(8) => /tamir
16:42:28 | [CMD] HeRquL(6) => /cleanupcars
16:42:30 | [CMD] CcCAtakan1907(15) => /icerigir
16:42:31 | [CMD] HeRquL(6) => /plane
16:42:34 | [CMD] CcCAtakan1907(15) => /isyerimený
16:42:35 | [CMD] RingoBamBam(10) => /a hüseyin
16:42:36 | [CMD] TheS1LKENAdam(14) => /a Gelsin söz verdim alcam dedi
16:42:36 | [CMD] CcCAtakan1907(15) => /gobus
16:42:36 | [CMD] HeRquL(6) => /cleanupcars
16:42:38 | [CMD] huseyin(12) => /a he
16:42:39 | [CMD] CcCAtakan1907(15) => /isyerimený
16:42:40 | [CMD] salih337(8) => /motor
16:42:41 | [CMD] CcCAtakan1907(15) => /isyerimenu
16:42:45 | [CMD] RingoBamBam(10) => /a ayýptýr soylemesi
16:42:49 | [CMD] huseyin(12) => /a ayýp mý 
16:42:50 | [CMD] TheS1LKENAdam(14) => /a inþ bu hafta sonu hallolur ya
16:42:51 | [CMD] HeRquL(6) => /a heli indiriyom baþkasýnýn diyo hüsseyin
16:42:55 | [CMD] TheS1LKENAdam(14) => /djler
16:42:56 | [CMD] HeRquL(6) => /plane
16:42:57 | [CMD] RingoBamBam(10) => /a nargile hangi karýsýmla güzel oluyor
16:42:59 | [CMD] huseyin(12) => /a kendi helin mi 
16:42:59 | Gezegen(9): ehuehuehu
16:43:2 | [CMD] HeRquL(6) => /a yok
16:43:7 | [CMD] huseyin(12) => /a 2-3 tane indir herqul 
16:43:9 | [CMD] CcCAtakan1907(15) => /isyerimenu
16:43:9 | [CMD] huseyin(12) => /a silmeden 
16:43:10 | Muya Gezegen'i öldürdü. Oldurme Sekli: 50
16:43:13 | Muya(13): abidin
16:43:14 | Gezegen(9) Pizzaci olarak spawn oldu.
16:43:14 | [CMD] huseyin(12) => /a dene bi 2-3-4 tane indir
16:43:17 | [CMD] Gezegen(9) => /rescue
16:43:17 | Muya(13): keserim
16:43:18 | [CMD] HeRquL(6) => /a la niye deðþiyon silken 
16:43:20 | [CMD] RingoBamBam(10) => /a nargile hangi karýsýmla güzel oluyor
16:43:24 | Gezegen(9): jetle gel
16:43:26 | [CMD] TheS1LKENAdam(14) => /a þarký çalmýyordu usta
16:43:27 | [CMD] huseyin(12) => /a ringo elma - nane mix 
16:43:27 | Muya Gezegen'i öldürdü. Oldurme Sekli: 50
16:43:31 | Gezegen(9) Pizzaci olarak spawn oldu.
16:43:31 | Gezegen(9): jetle jetle
16:43:31 | Muya(13): jetle gelom :D
16:43:32 | [CMD] CcCAtakan1907(15) => /goto 12
16:43:33 | [CMD] HeRquL(6) => /a çalýyor ne çalmamasý
16:43:35 | [CMD] Gezegen(9) => /rescue
16:43:36 | [CMD] CcCAtakan1907(15) => /goto 12
16:43:36 | [CMD] RingoBamBam(10) => /a eyw denicem
16:43:37 | [CMD] Muya(13) => /rescue
16:43:39 | [CMD] CcCAtakan1907(15) => /goto 12
16:43:43 | [CMD] huseyin(12) => /vtamir
16:43:50 | [LOCAL]CcCAtakan1907(15): sa
16:43:50 | [CMD] CcCAtakan1907(15) => /l sa
16:43:55 | [CMD] TheS1LKENAdam(14) => /a herqul kusura bakmayýn :/
16:43:55 | [LOCAL]huseyin(12): Aleyküm Selam.
16:43:55 | [CMD] huseyin(12) => /l Aleyküm Selam.
16:43:58 | [CMD] TheS1LKENAdam(14) => /a lag var mýs
16:43:59 | HeRquL(6):  /sac yapýn ses var mý
16:44:4 | CagatayBro(7): var
16:44:5 | [CMD] TheS1LKENAdam(14) => /a bende bos býrakmayayým dedim
16:44:7 | [CMD] HeRquL(6) => /a bilmeden yapma þu iþleri sormadan
16:44:18 | Gezegen(9): evet
16:44:19 | [CMD] TheS1LKENAdam(14) => /a Tm 
16:44:20 | [CMD] CcCAtakan1907(15) => /asay Yolunu Bulamayan, Yardýma Ýhtiyacý Olan ? 
16:44:22 | [CMD] CcCAtakan1907(15) => /asay Sorularýnýzý /sorusor Komutu Ýle Bizlere Sorabilirsiniz. 
16:44:23 | HeRquL(6): tamam
16:44:23 | [CMD] CcCAtakan1907(15) => /asay Yeni Gelen Oyuncularýmýz /kurallar Yazýp Okuyup Kabul Ederek 30 K Para Ve 5 Skor Kazanabilirsiniz. 
16:44:27 | [CMD] TheS1LKENAdam(14) => /araba
16:44:36 | [CMD] Muya(13) => /tamir
16:44:36 | [CMD] HeRquL(6) => /car Police maverick 0 0
16:44:38 | [CMD] TheS1LKENAdam(14) => /modifiye
16:44:41 | [CMD] salih337(8) => /kurallar
16:44:42 | [CMD] TheS1LKENAdam(14) => /kemer
16:44:43 | [CMD] huseyin(12) => /skapat
16:44:45 | [CMD] HeRquL(6) => /car Police maverick 0 0
16:44:54 | [CMD] HeRquL(6) => /cleanupcars
16:44:57 | Gezegen(9): fdjsfsdfnfs
16:45:3 | Muya(13): gelom
16:45:4 | [CMD] Muya(13) => /rescue
16:45:5 | Gezegen(9): bi indiremediniz
16:45:7 | [CMD] HeRquL(6) => /modifiye
16:45:10 | [CMD] HeRquL(6) => /modifiye
16:45:20 | [CMD] huseyin(12) => /vtamir
16:45:28 | [CMD] Gezegen(9) => /araba
16:45:28 | [ANTIHACK] Þüpheli HeRquL(6) => Airbreak-hack
16:45:32 | [CMD] xqHost(0) => /c abi bug oldu ya
16:45:34 | [CMD] xqHost(0) => /c :/
16:45:34 | [CMD] huseyin(12) => /vtamir
16:45:36 | [CMD] TheS1LKENAdam(14) => /sac
16:45:38 | [CMD] xqHost(0) => /c suya düþtüm
16:45:38 | [CMD] CcCAtakan1907(15) => /asay2 ~g~ts 3 Adresimiz: ~y~ts3.trucksamp.com
16:45:44 | [CMD] CagatayBro(7) => /c saðlýk olsun
16:45:45 | [CMD] RingoBamBam(10) => /asay 2
16:45:48 | CcCAtakan1907(15): bu 65k nerden geldi bana
16:45:49 | [CMD] RingoBamBam(10) => /asay2
16:45:51 | Gezegen(9): host :D
16:45:52 | [CMD] xqHost(0) => /c yap sen ben geri gelirim
16:45:54 | Gezegen(9): hööst
16:45:57 | RingoBamBam(10): lotto
16:45:58 | [CMD] Muya(13) => /tamir
16:45:58 | TheS1LKENAdam(14): Lotto olabilir
16:46:0 | [CMD] xqHost(0) => /convoyayril
16:46:1 | RingoBamBam(10): geldi
16:46:1 | Gezegen(9): kaç kiþi geliyonuz
16:46:4 | CcCAtakan1907(15): heew afkdým :D
16:46:9 | TheS1LKENAdam(14): Muya biraz yavaþ çarpýcaksýn bana
16:46:10 | RingoBamBam(10): bana gelmiyor yaw
16:46:11 | xqHost(0): araç res
16:46:13 | [CMD] HeRquL(6) => /a nerde bu millet sv boþ
16:46:14 | [CMD] huseyin(12) => /asay Arac Res Geliyor!  
16:46:14 | [CMD] huseyin(12) => /asay Arac Res Geliyor!  
16:46:20 | [CMD] huseyin(12) => /respawncars 
16:46:21 | [CMD] huseyin(12) => /cantazele
16:46:24 | [CMD] huseyin(12) => /vtamir
16:46:30 | CagatayBro(7): xqhost
16:46:33 | xqHost(0): ?
16:46:37 | [CMD] RingoBamBam(10) => /a cuma günündeyiz
16:46:37 | CagatayBro(7): reis þunu yapýyým çýkýcaðým
16:46:37 | {FFCC00}xqHost(0) {FFFFFF}Kamyoncu olarak spawn oldu.
16:46:38 | [SirketCHT] TheS1LKENAdam(14): ! muyada bana vurmaya çalýþýyor
16:46:39 | [CMD] huseyin(12) => /vtamir
16:46:40 | [CMD] CcCAtakan1907(15) => /kemer
16:46:41 | [CMD] RingoBamBam(10) => /a geln yok
16:46:42 | CagatayBro(7): gece giriceðim
16:46:42 | xqHost(0): tamam
16:46:43 | [CMD] huseyin(12) => /vtamir
16:46:44 | Gezegen(9): fdhýsgkdg
16:46:48 | Gezegen(9): höst muya
16:46:49 | [CMD] HeRquL(6) => /a cuma nýn ayrýcalýðý ne
16:46:55 | [CMD] Gezegen(9) => /meslek
16:46:55 | [CMD] xqHost(0) => /karakol
16:46:59 | [CMD] xqHost(0) => /cezaode
16:46:59 | {FFCC00}Gezegen(9) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
16:47:0 | [CMD] xqHost(0) => /rescue
16:47:1 | [CMD] Muya(13) => /tamir
16:47:2 | [CMD] xqHost(0) => /meslek
16:47:2 | [CMD] RingoBamBam(10) => /a mubarek gün
16:47:3 | Muya(13): düsmüssün
16:47:5 | [CMD] xqHost(0) => /cezaode
16:47:9 | CagatayBro(7) oyundan cIktI (Hata/Crash) (IP: 178.233.46.143)
16:47:10 | Gezegen(9): çizdim uçaðýnu muya
16:47:10 | xqHost(0): gezegen
16:47:12 | [CMD] Gezegen(9) => /rescue
16:47:12 | xqHost(0): þirkete gel
16:47:13 | [CMD] xqHost(0) => /rescue
16:47:19 | xqHost(0): eyv
16:47:19 | Muya(13): sýlken
16:47:21 | [CMD] xqHost(0) => /meslek
16:47:22 | Muya(13): düsürimmi
16:47:22 | TheS1LKENAdam(14): Evet
16:47:22 | [CMD] Gezegen(9) => /meslek
16:47:22 | [CMD] huseyin(12) => /vtamir
16:47:23 | Muya(13): seni :D
16:47:24 | {FFCC00}xqHost(0) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
16:47:27 | [CMD] Emirbaba3373(11) => /geldim
16:47:31 | xqHost(0): suçlu yok hayret
16:47:32 | Emirbaba3373(11): tekrar
16:47:33 | TheS1LKENAdam(14): Biþey demem :)
16:47:33 | [CMD] Emirbaba3373(11) => /sa
16:47:34 | [CMD] huseyin(12) => /dtemizle 
16:47:34 | [CMD] huseyin(12) => /asay2 s  
16:47:35 | xqHost(0):  /as
16:47:36 | [CMD] xqHost(0) => /As
16:47:37 | [CMD] huseyin(12) => /as
16:47:38 | Muya(13): geliyom :D
16:47:38 | [CMD] HeRquL(6) => /as
16:47:39 | [CMD] CcCAtakan1907(15) => /as
16:47:46 | Gezegen(9): havadaki helii kim
16:47:46 | xqHost(0): beyler sunrise nasý araba
16:47:47 | [CMD] Emirbaba3373(11) => /meslek
16:47:51 | Gezegen(9): kotu
16:47:53 | 
16:47:59 | Emirbaba3373(11): kargocu ortak sf varmý
16:48:1 | xqHost(0): gel
16:48:2 | Muya(13): pü :D
16:48:2 | [CMD] xqHost(0) => /meslek
16:48:4 | 
16:48:4 | Muya(13): gacdý
16:48:6 | TheS1LKENAdam(14): Düþürdünmü bari
16:48:7 | Emirbaba3373(11): nerye
16:48:8 | Muya(13): layn ucakdan indim
16:48:8 | [CMD] huseyin(12) => /vtamir
16:48:11 | [CMD] Muya(13) => /rescue
16:48:12 | [CMD] Emirbaba3373(11) => /kemer
16:48:12 | [CMD] HeRquL(6) => /atamir
16:48:14 | [CMD] Emirbaba3373(11) => /modifiye
16:48:15 | [CMD] xqHost(0) => /kemer
16:48:16 | Muya(13): gelom dur :D
16:48:19 | [CMD] Emirbaba3373(11) => /work
16:48:19 | [CMD] huseyin(12) => /vtamir
16:48:23 | Gezegen(9): havadaki heliliyi snipera indiriyom
16:48:27 | TheS1LKENAdam(14): Yardýma ihtiyacý olan var mý?
16:48:31 | {FFCC00}HeRquL(6) {FFFFFF}Kamyoncu olarak spawn oldu.
16:48:36 | [CMD] HeRquL(6) => /god
16:48:40 | [CMD] TheS1LKENAdam(14) => /sirket
16:48:47 | [CMD] huseyin(12) => /vtamir
16:48:48 | [SirketCHT] TheS1LKENAdam(14): ! hüseyin
16:48:52 | [SirketCHT] huseyin(12): ! he
16:48:55 | [SirketCHT] TheS1LKENAdam(14): ! katkýmý sýfýrlarmýsýn
16:48:57 | Gezegen(9): havadaki helili kim la
16:48:59 | [CMD] huseyin(12) => /sirket
16:49:1 | Muya(13): sýlken
16:49:2 | [CMD] CcCAtakan1907(15) => /asay Yolunu Bulamayan, Yardýma Ýhtiyacý Olan ? 
16:49:3 | [CMD] CcCAtakan1907(15) => /asay Sorularýnýzý /sorusor Komutu Ýle Bizlere Sorabilirsiniz. 
16:49:4 | [CMD] CcCAtakan1907(15) => /asay Yeni Gelen Oyuncularýmýz /kurallar Yazýp Okuyup Kabul Ederek 30 K Para Ve 5 Skor Kazanabilirsiniz. 
16:49:4 | Muya(13): onu düsürcem simdi
16:49:5 | TheS1LKENAdam(14): Evet
